Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
20:57:36:19446,13625,-5017,-2928,7003,60,-1422,1562,4,-38,-45
20:57:36:33609,13625,-5017,-2928,7003,60,-1422,1562,4,-38,-45
20:57:36:34414,13630,-5010,-2933,6997,81,-1427,1549,47,-22,-54
20:57:36:40349,13630,-5010,-2933,6997,81,-1427,1549,47,-22,-54
20:57:36:47878,13630,-5010,-2933,6997,81,-1427,1549,47,-22,-54
20:57:36:55607,13636,-5003,-2933,6990,82,-1404,1543,53,2,-54
20:57:36:62882,13636,-5003,-2933,6990,82,-1404,1543,53,2,-54
20:57:36:70409,13636,-5003,-2933,6990,82,-1404,1543,53,2,-54
20:57:36:78613,13641,-4999,-2932,6983,83,-1394,1573,22,12,-45
20:57:36:79433,13641,-4999,-2932,6983,83,-1394,1573,22,12,-45
20:57:36:101762,13641,-4999,-2932,6983,83,-1394,1573,22,12,-45
20:57:36:102551,13646,-4999,-2929,6974,80,-1388,1565,12,32,-50
20:57:36:103671,13646,-4999,-2929,6974,80,-1388,1565,12,32,-50
20:57:36:107859,13646,-4999,-2929,6974,80,-1388,1565,12,32,-50
20:57:36:115470,13652,-4997,-2927,6965,84,-1374,1569,8,29,-53
20:57:36:122915,13652,-4997,-2927,6965,84,-1374,1569,8,29,-53
20:57:36:130377,13652,-4997,-2927,6965,84,-1374,1569,8,29,-53
20:57:36:138625,13658,-4994,-2924,6957,87,-1365,1589,10,30,-45
20:57:36:139418,13658,-4994,-2924,6957,87,-1365,1589,10,30,-45
20:57:36:153600,13658,-4994,-2924,6957,87,-1365,1589,10,30,-45
20:57:36:154399,13664,-4989,-2917,6951,82,-1403,1604,42,38,-39
20:57:36:160403,13664,-4989,-2917,6951,82,-1403,1604,42,38,-39
20:57:36:167902,13664,-4989,-2917,6951,82,-1403,1604,42,38,-39
20:57:36:175454,13673,-4976,-2904,6948,79,-1395,1623,96,38,-26
20:57:36:182878,13673,-4976,-2904,6948,79,-1395,1623,96,38,-26
20:57:36:190394,13673,-4976,-2904,6948,79,-1395,1623,96,38,-26
20:57:36:198612,13682,-4961,-2890,6948,64,-1367,1636,95,33,-15
20:57:36:199411,13682,-4961,-2890,6948,64,-1367,1636,95,33,-15
20:57:36:214016,13682,-4961,-2890,6948,64,-1367,1636,95,33,-15
20:57:36:214818,13686,-4952,-2882,6949,54,-1358,1638,44,7,-13
20:57:36:220402,13686,-4952,-2882,6949,54,-1358,1638,44,7,-13
20:57:36:227889,13686,-4952,-2882,6949,54,-1358,1638,44,7,-13
20:57:36:235487,13686,-4952,-2881,6949,63,-1370,1614,5,-13,-14
20:57:36:242905,13686,-4952,-2881,6949,63,-1370,1614,5,-13,-14
20:57:36:250425,13686,-4952,-2881,6949,63,-1370,1614,5,-13,-14
20:57:36:266128,13688,-4946,-2884,6949,74,-1397,1624,18,-28,-14
20:57:36:266905,13688,-4946,-2884,6949,74,-1397,1624,18,-28,-14
20:57:36:273525,13688,-4946,-2884,6949,74,-1397,1624,18,-28,-14
20:57:36:274368,13690,-4936,-2885,6951,91,-1416,1620,61,-26,-7
20:57:36:280432,13690,-4936,-2885,6951,91,-1416,1620,61,-26,-7
20:57:36:296146,13690,-4936,-2885,6951,91,-1416,1620,61,-26,-7
20:57:36:296909,13696,-4918,-2878,6956,66,-1361,1620,99,-22,-4
20:57:36:302880,13696,-4918,-2878,6956,66,-1361,1620,99,-22,-4
20:57:36:310385,13696,-4918,-2878,6956,66,-1361,1620,99,-22,-4
20:57:36:318566,13699,-4900,-2873,6964,63,-1327,1619,83,-36,18
20:57:36:319363,13699,-4900,-2873,6964,63,-1327,1619,83,-36,18
20:57:36:333611,13699,-4900,-2873,6964,63,-1327,1619,83,-36,18
20:57:36:334421,13696,-4885,-2872,6981,38,-1302,1659,38,-83,55
20:57:36:340390,13696,-4885,-2872,6981,38,-1302,1659,38,-83,55
20:57:36:347888,13696,-4885,-2872,6981,38,-1302,1659,38,-83,55
20:57:36:355429,13688,-4875,-2879,7001,45,-1299,1657,-13,-112,82
20:57:36:362924,13688,-4875,-2879,7001,45,-1299,1657,-13,-112,82
20:57:36:370443,13688,-4875,-2879,7001,45,-1299,1657,-13,-112,82
20:57:36:378585,13680,-4867,-2889,7018,82,-1377,1654,6,-105,71
20:57:36:379393,13680,-4867,-2889,7018,82,-1377,1654,6,-105,71
20:57:36:394009,13680,-4867,-2889,7018,82,-1377,1654,6,-105,71
20:57:36:394848,13677,-4846,-2892,7037,103,-1416,1622,122,-97,77
20:57:36:408561,13677,-4846,-2892,7037,103,-1416,1622,122,-97,77
20:57:36:409357,13677,-4846,-2892,7037,103,-1416,1622,122,-97,77
20:57:36:415457,13678,-4816,-2887,7057,102,-1369,1580,188,-70,71
20:57:36:422919,13678,-4816,-2887,7057,102,-1369,1580,188,-70,71
20:57:36:430415,13678,-4816,-2887,7057,102,-1369,1580,188,-70,71
20:57:36:438583,13674,-4802,-2890,7074,86,-1319,1563,73,-79,71
20:57:36:439375,13674,-4802,-2890,7074,86,-1319,1563,73,-79,71
20:57:36:453522,13674,-4802,-2890,7074,86,-1319,1563,73,-79,71
20:57:36:454364,13662,-4812,-2908,7082,109,-1361,1533,-71,-75,57
20:57:36:460426,13662,-4812,-2908,7082,109,-1361,1533,-71,-75,57
20:57:36:467879,13662,-4812,-2908,7082,109,-1361,1533,-71,-75,57
20:57:36:475429,13650,-4830,-2923,7087,102,-1407,1554,-97,-40,46
20:57:36:482913,13650,-4830,-2923,7087,102,-1407,1554,-97,-40,46
20:57:36:490398,13650,-4830,-2923,7087,102,-1407,1554,-97,-40,46
20:57:36:498594,13640,-4843,-2929,7094,64,-1349,1583,-85,-29,53
20:57:36:499378,13640,-4843,-2929,7094,64,-1349,1583,-85,-29,53
20:57:36:513571,13640,-4843,-2929,7094,64,-1349,1583,-85,-29,53
20:57:36:514380,13630,-4858,-2935,7102,79,-1327,1593,-105,-17,63
20:57:36:520369,13630,-4858,-2935,7102,79,-1327,1593,-105,-17,63
20:57:36:527858,13630,-4858,-2935,7102,79,-1327,1593,-105,-17,63
20:57:36:535435,13620,-4875,-2935,7109,85,-1382,1591,-85,20,75
20:57:36:542876,13620,-4875,-2935,7109,85,-1382,1591,-85,20,75
20:57:36:550372,13620,-4875,-2935,7109,85,-1382,1591,-85,20,75
20:57:36:558607,13613,-4887,-2930,7116,90,-1414,1593,-27,37,71
20:57:36:559399,13613,-4887,-2930,7116,90,-1414,1593,-27,37,71
20:57:36:573573,13613,-4887,-2930,7116,90,-1414,1593,-27,37,71
20:57:36:574409,13605,-4897,-2924,7127,51,-1420,1623,-29,15,78
20:57:36:580354,13605,-4897,-2924,7127,51,-1420,1623,-29,15,78
20:57:36:587886,13605,-4897,-2924,7127,51,-1420,1623,-29,15,78
20:57:36:595491,13593,-4917,-2927,7134,42,-1378,1612,-119,-3,65
20:57:36:602920,13593,-4917,-2927,7134,42,-1378,1612,-119,-3,65
20:57:36:610401,13593,-4917,-2927,7134,42,-1378,1612,-119,-3,65
20:57:36:618660,13581,-4953,-2934,7130,44,-1388,1645,-229,37,28
20:57:36:619400,13581,-4953,-2934,7130,44,-1388,1645,-229,37,28
20:57:36:633589,13581,-4953,-2934,7130,44,-1388,1645,-229,37,28
20:57:36:634403,13564,-5002,-2937,7127,-9,-1433,1712,-298,63,41
20:57:36:640433,13564,-5002,-2937,7127,-9,-1433,1712,-298,63,41
20:57:36:647921,13564,-5002,-2937,7127,-9,-1433,1712,-298,63,41
20:57:36:655453,13542,-5057,-2945,7127,-52,-1512,1791,-352,20,50
20:57:36:671037,13542,-5057,-2945,7127,-52,-1512,1791,-352,20,50
20:57:36:671828,13542,-5057,-2945,7127,-52,-1512,1791,-352,20,50
20:57:36:678589,13517,-5120,-2964,7121,-55,-1480,1731,-427,2,24
