Time,FT1,FT2,X,Y,Z
20:46:39:935693,0,0,-0.125,0.465,0.01
20:46:39:940683,0,0,-0.125,0.465038,0.01
20:46:39:945670,0,0,-0.125,0.465043,0.01
20:46:39:950799,0,0,-0.125,0.465048,0.01
20:46:39:955807,0,0,-0.125,0.465053,0.01
20:46:39:960791,0,0,-0.125,0.465053,0.01
20:46:39:965953,0,0,-0.125,0.465053,0.01
20:46:39:970928,0,0,-0.125,0.465059,0.01
20:46:39:976056,0,0,-0.125,0.465059,0.01
20:46:39:981043,0,0,-0.125,0.465059,0.01
20:46:39:986170,0,0,-0.125,0.465059,0.01
20:46:39:991167,0,0,-0.125,0.465059,0.01
20:46:39:996307,0,0,-0.125,0.465064,0.01
20:46:40:1305,0,0,-0.125,0.465064,0.01
20:46:40:6304,0,0,-0.125,0.465064,0.01
20:46:40:11422,0,0,-0.125,0.465064,0.01
20:46:40:16544,0,0,-0.125,0.465064,0.01
20:46:40:21548,0,0,-0.125,0.465064,0.01
20:46:40:26546,0,0,-0.125,0.465064,0.01
20:46:40:31666,0,0,-0.125,0.465064,0.01
20:46:40:36684,0,0,-0.125,0.465064,0.01
20:46:40:41807,0,0,-0.125,0.465064,0.01
20:46:40:46790,0,0,-0.125,0.465064,0.01
20:46:40:51929,0,0,-0.125,0.465064,0.01
20:46:40:56938,0,0,-0.125,0.465064,0.01
20:46:40:62041,0,0,-0.125,0.465064,0.01
20:46:40:67043,0,0,-0.125,0.465064,0.01
20:46:40:72179,0,0,-0.125,0.465069,0.01
20:46:40:77177,0,0,-0.125,0.465069,0.01
20:46:40:82187,0,0,-0.125,0.465069,0.01
20:46:40:87295,0,0,-0.125,0.465069,0.01
20:46:40:92295,0,0,-0.125,0.465069,0.01
20:46:40:97314,0,0,-0.125,0.465069,0.01
20:46:40:102427,0,0,-0.125,0.465069,0.01
20:46:40:107547,0,0,-0.125,0.465069,0.01
20:46:40:112544,0,0,-0.125,0.465069,0.01
20:46:40:117690,0,0,-0.125,0.465069,0.01
20:46:40:122670,0,0,-0.125,0.465069,0.01
20:46:40:127813,0,0,-0.125,0.465069,0.01
20:46:40:132795,0,0,-0.125,0.465069,0.01
20:46:40:137918,0,0,-0.125,0.465069,0.01
20:46:40:142925,0,0,-0.125,0.465069,0.01
20:46:40:148062,0,0,-0.125,0.465069,0.01
20:46:40:153044,0,0,-0.125,0.465069,0.01
20:46:40:158046,0,0,-0.125,0.465069,0.01
20:46:40:163169,0,0,-0.125,0.465069,0.01
20:46:40:168164,0,0,-0.125,0.465069,0.01
20:46:40:173299,0,0,-0.125,0.465069,0.01
20:46:40:178293,0.03,0.081,-0.125,0.465069,0.01
20:46:40:183415,0.043,0.056,-0.125,0.465069,0.01
20:46:40:188435,0.029,0.033,-0.125,0.465069,0.01
20:46:40:193419,-0.013,0.033,-0.125,0.465069,0.01
20:46:40:198553,-0.032,0.053,-0.125,0.465069,0.01
20:46:40:203547,-0.02,0.069,-0.125,0.465069,0.01
20:46:40:208684,-0.005,0.052,-0.125,0.465069,0.01
20:46:40:213675,-0.03,0.004,-0.125,0.465069,0.01
20:46:40:218796,-0.085,-0.02,-0.125,0.465069,0.01
20:46:40:223790,-0.168,-0.028,-0.125,0.465069,0.01
20:46:40:228918,-0.169,-0.011,-0.125,0.465069,0.01
20:46:40:234058,-0.121,-0.005,-0.125,0.465069,0.01
20:46:40:239059,-0.036,-0.019,-0.125,0.465069,0.01
20:46:40:244051,0,-0.04,-0.125,0.465069,0.01
20:46:40:249168,0.016,-0.061,-0.125,0.465069,0.01
20:46:40:254068,0.015,-0.058,-0.125,0.465069,0.01
20:46:40:259294,0.013,-0.039,-0.125,0.465069,0.01
20:46:40:264293,0.012,-0.026,-0.125,0.465069,0.01
20:46:40:269451,0.007,-0.004,-0.125,0.465074,0.01
20:46:40:274434,0.003,0.014,-0.125,0.465074,0.01
20:46:40:279540,0.011,0.035,-0.125,0.465074,0.01
20:46:40:284543,0.03,0.03,-0.125,0.465074,0.01
20:46:40:289541,0.062,0,-0.125,0.465074,0.01
20:46:40:294682,0.07,-0.013,-0.125,0.465074,0.01
20:46:40:299683,0.041,-0.004,-0.125,0.465074,0.01
20:46:40:304793,0.004,0.013,-0.125,0.465074,0.01
20:46:40:309795,-0.03,0.024,-0.125,0.465074,0.01
20:46:40:314919,0,-0.001,-0.125,0.465074,0.01
20:46:40:319837,0.033,-0.03,-0.125,0.465074,0.01
20:46:40:325062,0.019,-0.064,-0.125,0.465074,0.01
20:46:40:330041,-0.049,-0.071,-0.125,0.465074,0.01
20:46:40:335042,-0.16,-0.065,-0.125,0.465074,0.01
20:46:40:340170,-0.18,-0.061,-0.125,0.465074,0.01
20:46:40:345169,-0.116,-0.052,-0.125,0.465074,0.01
20:46:40:350294,-0.053,-0.035,-0.125,0.465074,0.01
20:46:40:355293,0.002,0.01,-0.125,0.465074,0.01
20:46:40:360421,0.01,0.034,-0.125,0.465074,0.01
20:46:40:365448,-0.004,0.022,-0.125,0.465074,0.01
20:46:40:370543,-0.022,-0.01,-0.125,0.465079,0.01
20:46:40:375540,-0.041,-0.038,-0.125,0.465079,0.01
20:46:40:380682,-0.039,-0.018,-0.125,0.465079,0.01
20:46:40:385681,-0.023,0.042,-0.125,0.465079,0.01
20:46:40:390817,-0.018,0.068,-0.125,0.465079,0.01
20:46:40:395793,-0.025,0.06,-0.125,0.465079,0.01
20:46:40:400812,-0.03,0.039,-0.125,0.465079,0.01
20:46:40:405924,-0.032,0.021,-0.125,0.465079,0.01
20:46:40:410928,-0.031,0.023,-0.125,0.465079,0.01
20:46:40:416052,-0.023,0.023,-0.125,0.465079,0.01
20:46:40:421063,0.007,0.02,-0.125,0.465084,0.01
20:46:40:426191,0.029,0.024,-0.125,0.465084,0.01
20:46:40:431169,0.024,0.03,-0.125,0.465084,0.01
20:46:40:436314,-0.003,0.019,-0.125,0.465084,0.01
20:46:40:441325,-0.039,-0.026,-0.125,0.465084,0.01
20:46:40:446300,-0.037,-0.055,-0.125,0.465084,0.01
20:46:40:451419,-0.004,-0.051,-0.125,0.465089,0.01
20:46:40:456569,0.016,-0.013,-0.125,0.465089,0.01
20:46:40:461544,0.025,0.051,-0.125,0.465089,0.01
20:46:40:466671,0.017,0.071,-0.125,0.465094,0.01
20:46:40:471674,0.001,0.06,-0.125,0.465094,0.01
20:46:40:476570,0,0.045,-0.125,0.465094,0.01
20:46:40:481796,0.017,0.028,-0.125,0.465094,0.01
20:46:40:486793,0.03,0.013,-0.125,0.465094,0.01
20:46:40:491938,0.018,-0.021,-0.125,0.4651,0.01
20:46:40:496962,-0.027,-0.032,-0.125,0.4651,0.01
20:46:40:502056,-0.046,-0.009,-0.125,0.4651,0.01
20:46:40:507044,-0.031,0.036,-0.125,0.4651,0.01
20:46:40:512049,-0.008,0.042,-0.125,0.4651,0.01
20:46:40:517183,0.002,0,-0.125,0.4651,0.01
20:46:40:522310,-0.007,-0.037,-0.125,0.4651,0.01
20:46:40:527291,-0.019,-0.059,-0.125,0.4651,0.01
20:46:40:532419,-0.017,-0.045,-0.125,0.4651,0.01
20:46:40:537427,-0.011,-0.008,-0.125,0.4651,0.01
20:46:40:542429,-0.009,0.003,-0.125,0.4651,0.01
20:46:40:547546,-0.001,-0.004,-0.125,0.4651,0.01
20:46:40:552566,0.008,-0.015,-0.125,0.4651,0.01
20:46:40:557672,0.008,-0.019,-0.125,0.4651,0.01
20:46:40:562695,-0.008,-0.013,-0.125,0.4651,0.01
20:46:40:567798,-0.039,-0.007,-0.125,0.4651,0.01
20:46:40:572798,-0.039,-0.005,-0.125,0.4651,0.01
20:46:40:577916,-0.005,0.007,-0.125,0.4651,0.01
20:46:40:582924,0.019,0.033,-0.125,0.4651,0.01
20:46:40:587921,0.008,0.044,-0.125,0.4651,0.01
20:46:40:593046,-0.029,0.032,-0.125,0.4651,0.01
20:46:40:598049,-0.036,0.009,-0.125,0.4651,0.01
20:46:40:603169,-0.004,-0.02,-0.125,0.465105,0.01
20:46:40:608176,0.018,-0.028,-0.125,0.465105,0.01
20:46:40:613304,0.008,-0.032,-0.125,0.465105,0.01
20:46:40:618299,-0.024,-0.032,-0.125,0.465105,0.01
20:46:40:623421,-0.057,-0.014,-0.125,0.465105,0.01
20:46:40:628422,-0.045,0.014,-0.125,0.465105,0.01
20:46:40:633565,0.005,0.055,-0.125,0.465105,0.01
20:46:40:638565,0.034,0.06,-0.125,0.465105,0.01
20:46:40:643673,0.043,0.039,-0.125,0.465105,0.01
20:46:40:648680,0.029,0.023,-0.125,0.465105,0.01
20:46:40:653803,-0.003,0.009,-0.125,0.465105,0.01
20:46:40:658798,-0.026,-0.002,-0.125,0.465106,0.01
20:46:40:663923,-0.053,-0.029,-0.125,0.465108,0.01
20:46:40:668921,-0.076,-0.041,-0.125,0.465108,0.01
20:46:40:674046,-0.09,-0.029,-0.125,0.465109,0.01
20:46:40:679045,-0.102,0.005,-0.125,0.46511,0.01
20:46:40:684170,-0.095,0.021,-0.125,0.465111,0.01
20:46:40:689170,-0.065,0.016,-0.125,0.465111,0.01
20:46:40:694170,-0.042,-0.004,-0.125,0.465112,0.01
20:46:40:699294,-0.017,-0.037,-0.125,0.465112,0.01
20:46:40:704421,-0.009,-0.043,-0.125,0.465112,0.01
20:46:40:709432,-0.005,-0.019,-0.125,0.465118,0.01
20:46:40:714425,-0.008,0.004,-0.125,0.465119,0.01
20:46:40:719563,-0.012,0.018,-0.125,0.465119,0.01
20:46:40:724559,-0.005,0.009,-0.125,0.46512,0.01
20:46:40:729681,0.025,-0.001,-0.125,0.465121,0.01
20:46:40:734682,0.048,0.01,-0.125,0.465121,0.01
20:46:40:739802,0.053,0.042,-0.125,0.465122,0.01
20:46:40:744802,0.026,0.05,-0.125,0.465122,0.01
20:46:40:749920,-0.039,0.035,-0.125,0.465122,0.01
20:46:40:754932,-0.072,0.032,-0.125,0.465122,0.01
20:46:40:760056,-0.058,0.048,-0.125,0.465122,0.01
20:46:40:765195,-0.023,0.062,-0.125,0.465122,0.01
20:46:40:770174,-0.026,0.048,-0.125,0.465122,0.01
20:46:40:775179,-0.075,0.015,-0.125,0.465127,0.01
20:46:40:780312,-0.101,0.016,-0.125,0.465127,0.01
20:46:40:785297,-0.09,0.054,-0.125,0.465127,0.01
20:46:40:790421,-0.065,0.072,-0.125,0.465127,0.01
20:46:40:795418,-0.053,0.049,-0.125,0.465127,0.01
20:46:40:800589,-0.057,0.014,-0.125,0.465127,0.01
20:46:40:805553,-0.033,-0.016,-0.125,0.465133,0.01
20:46:40:810556,0.012,-0.008,-0.125,0.465133,0.01
20:46:40:815671,0.071,0.014,-0.125,0.465133,0.01
20:46:40:820697,0.073,0.017,-0.125,0.465138,0.01
20:46:40:825814,0.027,0.007,-0.125,0.465138,0.01
20:46:40:830807,-0.005,0.004,-0.125,0.465143,0.01
20:46:40:835924,-0.029,0.006,-0.125,0.465143,0.01
20:46:40:840923,-0.028,-0.004,-0.125,0.465148,0.01
20:46:40:846067,-0.022,-0.018,-0.125,0.465153,0.01
20:46:40:851060,-0.004,-0.023,-0.125,0.465153,0.01
20:46:40:856170,0.012,-0.011,-0.125,0.465158,0.01
20:46:40:861194,0.033,0.007,-0.125,0.465158,0.01
20:46:40:866326,0.035,0.009,-0.125,0.465158,0.01
20:46:40:871300,0.022,0,-0.125,0.465163,0.01
20:46:40:876300,0.013,-0.001,-0.125,0.465163,0.01
20:46:40:881447,0.016,0.016,-0.125,0.465163,0.01
20:46:40:886424,0.02,0.031,-0.125,0.465163,0.01
20:46:40:891558,0.003,0.043,-0.125,0.465163,0.01
20:46:40:896564,-0.022,0.044,-0.125,0.465168,0.01
20:46:40:901671,-0.048,0.044,-0.125,0.465168,0.01
20:46:40:906678,-0.044,0.043,-0.125,0.465168,0.01
20:46:40:911671,-0.027,0.024,-0.125,0.465173,0.01
20:46:40:916809,-0.028,-0.001,-0.125,0.465173,0.01
20:46:40:921797,-0.033,-0.037,-0.125,0.465173,0.01
20:46:40:926940,-0.003,-0.034,-0.125,0.465173,0.01
20:46:40:931940,0.035,-0.015,-0.125,0.465173,0.01
20:46:40:937071,0.076,0.003,-0.125,0.465173,0.01
20:46:40:942055,0.071,0.002,-0.125,0.465179,0.01
20:46:40:947172,0.017,-0.004,-0.125,0.465179,0.01
20:46:40:952187,-0.025,-0.003,-0.125,0.465179,0.01
20:46:40:957314,-0.05,-0.002,-0.125,0.465179,0.01
20:46:40:962324,-0.028,-0.005,-0.125,0.465179,0.01
20:46:40:967297,0.028,-0.004,-0.125,0.465179,0.01
20:46:40:972438,0.047,0.002,-0.125,0.465179,0.01
20:46:40:977551,0.018,0.009,-0.125,0.465179,0.01
20:46:40:982561,-0.017,0.002,-0.125,0.465179,0.01
20:46:40:987560,-0.048,-0.01,-0.125007,0.465179,0.01
20:46:40:992683,-0.047,-0.007,-0.125007,0.465179,0.01
20:46:40:997800,-0.035,0.007,-0.125007,0.465179,0.01
20:46:41:2802,-0.029,0.008,-0.125007,0.465179,0.01
20:46:41:7958,-0.022,-0.011,-0.125007,0.465179,0.01
20:46:41:12939,-0.016,-0.029,-0.125007,0.465179,0.01
20:46:41:17939,-0.016,-0.029,-0.125007,0.465179,0.01
20:46:41:23048,-0.02,-0.026,-0.125007,0.465179,0.01
20:46:41:27944,-0.022,-0.036,-0.125007,0.465184,0.01
20:46:41:33175,-0.015,-0.058,-0.125007,0.465184,0.01
20:46:41:38199,-0.001,-0.057,-0.125007,0.465184,0.01
20:46:41:43310,0.021,-0.029,-0.125007,0.465184,0.01
20:46:41:48300,0.025,-0.01,-0.125007,0.465184,0.01
20:46:41:53422,0.014,-0.01,-0.125007,0.465184,0.01
20:46:41:58427,0.009,-0.022,-0.125007,0.465184,0.01
20:46:41:63563,0.026,-0.026,-0.125007,0.465184,0.01
20:46:41:68548,0.042,-0.014,-0.125007,0.465184,0.01
20:46:41:73553,0.03,0.018,-0.125007,0.465184,0.01
20:46:41:78688,-0.016,0.038,-0.125007,0.465184,0.01
20:46:41:83673,-0.111,0.054,-0.125007,0.465184,0.01
20:46:41:88816,-0.157,0.049,-0.125007,0.465184,0.01
20:46:41:93815,-0.174,0.026,-0.125007,0.465184,0.01
20:46:41:98947,-0.134,0.007,-0.125007,0.465184,0.01
20:46:41:103940,-0.092,0.01,-0.125007,0.465184,0.01
20:46:41:109063,-0.036,0.036,-0.125007,0.465184,0.01
20:46:41:114052,-0.019,0.052,-0.125007,0.465184,0.01
20:46:41:119173,-0.022,0.05,-0.125007,0.465184,0.01
20:46:41:124183,-0.025,0.032,-0.125007,0.465184,0.01
20:46:41:129350,-0.001,0.004,-0.125007,0.465184,0.01
20:46:41:134314,0.026,0,-0.125007,0.465184,0.01
20:46:41:139305,0.051,0.009,-0.125007,0.465184,0.01
20:46:41:144428,0.041,0.016,-0.125007,0.465184,0.01
20:46:41:149430,0.005,0.01,-0.125007,0.465189,0.01
20:46:41:154553,-0.007,-0.005,-0.125007,0.465189,0.01
20:46:41:159550,0.009,-0.032,-0.125007,0.465189,0.01
20:46:41:164675,0.027,-0.036,-0.125007,0.465189,0.01
20:46:41:169673,0.022,-0.011,-0.125007,0.465189,0.01
20:46:41:174797,-0.001,0.017,-0.125007,0.46519,0.01
20:46:41:179797,-0.03,0.05,-0.125007,0.465191,0.01
20:46:41:184804,-0.022,0.056,-0.125007,0.465193,0.01
20:46:41:189925,0.03,0.039,-0.125007,0.465194,0.01
20:46:41:194925,0.065,0.004,-0.125007,0.465194,0.01
20:46:41:200053,0.044,-0.014,-0.125007,0.465194,0.01
20:46:41:205071,-0.029,-0.018,-0.125007,0.465194,0.01
20:46:41:210173,-0.066,-0.01,-0.125007,0.465195,0.01
