Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
20:46:39:939673,4906,-564,-2983,15334,92,-789,2005,-55,-12,-8
20:46:39:947804,4907,-559,-2982,15334,114,-804,2013,27,-14,-5
20:46:39:948612,4907,-559,-2982,15334,114,-804,2013,27,-14,-5
20:46:39:954591,4907,-559,-2982,15334,114,-804,2013,27,-14,-5
20:46:39:970303,4907,-556,-2972,15336,101,-745,2001,42,2,5
20:46:39:971084,4907,-556,-2972,15336,101,-745,2001,42,2,5
20:46:39:977139,4907,-556,-2972,15336,101,-745,2001,42,2,5
20:46:39:985320,4907,-556,-2971,15336,81,-739,2010,-8,5,6
20:46:39:986148,4907,-556,-2971,15336,81,-739,2010,-8,5,6
20:46:39:999646,4907,-556,-2971,15336,81,-739,2010,-8,5,6
20:46:40:7804,4905,-561,-2978,15336,89,-774,2013,-49,9,11
20:46:40:8582,4905,-561,-2978,15336,89,-774,2013,-49,9,11
20:46:40:14640,4905,-561,-2978,15336,89,-774,2013,-49,9,11
20:46:40:30329,4905,-561,-2978,15336,90,-765,2005,-14,-1,2
20:46:40:31099,4905,-561,-2978,15336,90,-765,2005,-14,-1,2
20:46:40:37137,4905,-561,-2978,15336,90,-765,2005,-14,-1,2
20:46:40:45291,4905,-561,-2977,15336,97,-771,2002,15,-5,2
20:46:40:46143,4905,-561,-2977,15336,97,-771,2002,15,-5,2
20:46:40:59648,4905,-561,-2977,15336,97,-771,2002,15,-5,2
20:46:40:67802,4905,-561,-2977,15336,90,-769,2009,13,-8,-3
20:46:40:68584,4905,-561,-2977,15336,90,-769,2009,13,-8,-3
20:46:40:74634,4905,-561,-2977,15336,90,-769,2009,13,-8,-3
20:46:40:90382,4905,-561,-2977,15336,108,-768,2023,10,-2,0
20:46:40:91128,4905,-561,-2977,15336,108,-768,2023,10,-2,0
20:46:40:97142,4905,-561,-2977,15336,108,-768,2023,10,-2,0
20:46:40:105311,4904,-564,-2977,15336,79,-762,2013,-17,7,7
20:46:40:106084,4904,-564,-2977,15336,79,-762,2013,-17,7,7
20:46:40:119593,4904,-564,-2977,15336,79,-762,2013,-17,7,7
20:46:40:127906,4903,-567,-2980,15335,80,-764,2013,-29,0,0
20:46:40:128642,4903,-567,-2980,15335,80,-764,2013,-29,0,0
20:46:40:134640,4903,-567,-2980,15335,80,-764,2013,-29,0,0
20:46:40:150387,4903,-568,-2983,15335,89,-766,1996,-26,-4,1
20:46:40:151149,4903,-568,-2983,15335,89,-766,1996,-26,-4,1
20:46:40:157127,4903,-568,-2983,15335,89,-766,1996,-26,-4,1
20:46:40:165343,4903,-568,-2983,15335,93,-757,2004,8,-11,-5
20:46:40:166078,4903,-568,-2983,15335,93,-757,2004,8,-11,-5
20:46:40:179593,4903,-568,-2983,15335,93,-757,2004,8,-11,-5
20:46:40:187843,4902,-565,-2979,15336,100,-776,2012,21,-9,2
20:46:40:188650,4902,-565,-2979,15336,100,-776,2012,21,-9,2
20:46:40:194606,4902,-565,-2979,15336,100,-776,2012,21,-9,2
20:46:40:210324,4903,-565,-2979,15336,91,-762,2025,3,-10,2
20:46:40:211133,4903,-565,-2979,15336,91,-762,2025,3,-10,2
20:46:40:217115,4903,-565,-2979,15336,91,-762,2025,3,-10,2
20:46:40:225354,4896,-558,-2984,15337,37,-744,2053,-43,-84,14
20:46:40:226134,4896,-558,-2984,15337,37,-744,2053,-43,-84,14
20:46:40:239605,4896,-558,-2984,15337,37,-744,2053,-43,-84,14
20:46:40:247851,4880,-532,-3030,15334,1,-672,2067,-275,-285,26
20:46:40:248646,4880,-532,-3030,15334,1,-672,2067,-275,-285,26
20:46:40:254586,4880,-532,-3030,15334,1,-672,2067,-275,-285,26
20:46:40:270323,4854,-494,-3135,15323,60,-661,2108,-607,-432,51
20:46:40:271109,4854,-494,-3135,15323,60,-661,2108,-607,-432,51
20:46:40:277097,4854,-494,-3135,15323,60,-661,2108,-607,-432,51
20:46:40:285311,4818,-469,-3299,15301,95,-650,2151,-985,-469,96
20:46:40:286130,4818,-469,-3299,15301,95,-650,2151,-985,-469,96
20:46:40:299600,4818,-469,-3299,15301,95,-650,2151,-985,-469,96
20:46:40:307900,4790,-490,-3498,15264,183,-730,2196,-1256,-237,87
20:46:40:308632,4790,-490,-3498,15264,183,-730,2196,-1256,-237,87
20:46:40:314587,4790,-490,-3498,15264,183,-730,2196,-1256,-237,87
20:46:40:330348,4777,-568,-3672,15225,158,-1115,2233,-1076,111,68
20:46:40:331105,4777,-568,-3672,15225,158,-1115,2233,-1076,111,68
20:46:40:337104,4777,-568,-3672,15225,158,-1115,2233,-1076,111,68
20:46:40:345331,4790,-665,-3756,15196,172,-1094,2112,-610,405,-4
20:46:40:346134,4790,-665,-3756,15196,172,-1094,2112,-610,405,-4
20:46:40:359575,4790,-665,-3756,15196,172,-1094,2112,-610,405,-4
20:46:40:367822,4819,-799,-3767,15178,66,-833,2027,-399,698,-17
20:46:40:368619,4819,-799,-3767,15178,66,-833,2027,-399,698,-17
20:46:40:374601,4819,-799,-3767,15178,66,-833,2027,-399,698,-17
20:46:40:390337,4858,-978,-3803,15146,-63,-793,1977,-631,869,-60
20:46:40:391137,4858,-978,-3803,15146,-63,-793,1977,-631,869,-60
20:46:40:397067,4858,-978,-3803,15146,-63,-793,1977,-631,869,-60
20:46:40:405334,4874,-1200,-3902,15099,-157,-1063,1880,-925,937,49
20:46:40:406114,4874,-1200,-3902,15099,-157,-1063,1880,-925,937,49
20:46:40:419670,4874,-1200,-3902,15099,-157,-1063,1880,-925,937,49
20:46:40:427823,4859,-1444,-4023,15051,-307,-1354,1837,-964,922,203
20:46:40:428616,4859,-1444,-4023,15051,-307,-1354,1837,-964,922,203
20:46:40:442121,4859,-1444,-4023,15051,-307,-1354,1837,-964,922,203
20:46:40:450342,4829,-1682,-4099,15016,-295,-1496,1842,-676,977,329
20:46:40:451093,4829,-1682,-4099,15016,-295,-1496,1842,-676,977,329
20:46:40:457157,4829,-1682,-4099,15016,-295,-1496,1842,-676,977,329
20:46:40:465302,4794,-1910,-4107,14998,-228,-1518,1867,-291,1081,452
20:46:40:466108,4794,-1910,-4107,14998,-228,-1518,1867,-291,1081,452
20:46:40:479687,4794,-1910,-4107,14998,-228,-1518,1867,-291,1081,452
20:46:40:487820,4733,-2134,-4050,15002,-335,-1333,1898,-44,1100,644
20:46:40:488599,4733,-2134,-4050,15002,-335,-1333,1898,-44,1100,644
20:46:40:494560,4733,-2134,-4050,15002,-335,-1333,1898,-44,1100,644
20:46:40:510313,4649,-2375,-3988,15009,-449,-1190,1830,-109,1132,774
20:46:40:511083,4649,-2375,-3988,15009,-449,-1190,1830,-109,1132,774
20:46:40:517784,4649,-2375,-3988,15009,-449,-1190,1830,-109,1132,774
20:46:40:524655,4543,-2615,-3946,15012,-500,-1188,1771,-219,1076,864
20:46:40:532146,4543,-2615,-3946,15012,-500,-1188,1771,-219,1076,864
20:46:40:539626,4543,-2615,-3946,15012,-500,-1188,1771,-219,1076,864
20:46:40:547846,4423,-2835,-3924,15014,-442,-1209,1745,-296,980,928
20:46:40:548612,4423,-2835,-3924,15014,-442,-1209,1745,-296,980,928
20:46:40:562171,4423,-2835,-3924,15014,-442,-1209,1745,-296,980,928
20:46:40:570312,4286,-3036,-3891,15023,-440,-1214,1696,-207,890,1033
20:46:40:571116,4286,-3036,-3891,15023,-440,-1214,1696,-207,890,1033
20:46:40:577056,4286,-3036,-3891,15023,-440,-1214,1696,-207,890,1033
20:46:40:584641,4143,-3210,-3838,15041,-472,-1173,1648,-59,770,1062
20:46:40:592102,4143,-3210,-3838,15041,-472,-1173,1648,-59,770,1062
20:46:40:599591,4143,-3210,-3838,15041,-472,-1173,1648,-59,770,1062
20:46:40:607844,4004,-3348,-3788,15061,-489,-1119,1632,-41,590,1002
20:46:40:608616,4004,-3348,-3788,15061,-489,-1119,1632,-41,590,1002
20:46:40:622094,4004,-3348,-3788,15061,-489,-1119,1632,-41,590,1002
20:46:40:630365,3874,-3459,-3742,15081,-467,-1097,1666,-30,494,923
20:46:40:631118,3874,-3459,-3742,15081,-467,-1097,1666,-30,494,923
20:46:40:637138,3874,-3459,-3742,15081,-467,-1097,1666,-30,494,923
