Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
20:47:05:198986,2,0,-1,0,-4,0,3,2
20:47:05:207162,2,0,-1,0,-4,0,3,2
20:47:05:207943,3,0,-3,-1,-1,-2,-3,0
20:47:05:221475,-9,-3,-1,0,0,-1,-7,-6
20:47:05:229664,-9,-3,-1,0,0,-1,-7,-6
20:47:05:230433,-2,-1,-3,0,-2,-1,-4,-2
20:47:05:243988,2,0,0,-1,0,-2,-1,3
20:47:05:252199,2,0,0,-1,0,-2,-1,3
20:47:05:252974,-6,-5,0,0,-2,-1,-1,-1
20:47:05:258961,-4,0,1,1,-1,-2,0,0
20:47:05:266491,-4,0,1,1,-1,-2,0,0
20:47:05:274011,-9,-5,-1,-1,-2,-1,2,-3
20:47:05:281478,3,-2,-2,-1,-2,0,-1,0
20:47:05:289757,3,-2,-2,-1,-2,0,-1,0
20:47:05:290388,3,-2,-2,0,-1,-1,-2,-1
20:47:05:303960,1,-1,-2,-1,-1,-3,1,-1
20:47:05:312146,1,-1,-2,-1,-1,-3,1,-1
20:47:05:312949,1,2,0,-2,-2,-2,-1,-2
20:47:05:319060,0,-2,0,-1,-1,-1,-3,0
20:47:05:326503,0,-2,0,-1,-1,-1,-3,0
20:47:05:333954,1,0,-2,0,0,-1,4,2
20:47:05:341465,2,-2,-1,-2,-1,-1,0,-1
20:47:05:349714,2,-2,-1,-2,-1,-1,0,-1
20:47:05:350456,2,1,0,0,0,0,0,-3
20:47:05:363988,-5,-3,-2,-2,0,-1,-1,-6
20:47:05:372194,-5,-3,-2,-2,0,-1,-1,-6
20:47:05:372965,4,1,-1,-1,-2,-2,-4,-2
20:47:05:378963,-5,-2,-1,0,-1,-2,1,1
20:47:05:386556,-5,-2,-1,0,-1,-2,1,1
20:47:05:393953,3,0,-2,-1,1,-2,-3,-1
20:47:05:401434,6,0,-1,0,0,0,0,-1
20:47:05:409717,6,0,-1,0,0,0,0,-1
20:47:05:410462,-1,0,0,0,-1,1,-2,-1
20:47:05:423939,0,1,1,-2,-3,-1,5,-1
20:47:05:432171,0,1,1,-2,-3,-1,5,-1
20:47:05:432965,-3,-4,-3,-3,0,-2,2,0
20:47:05:438996,-1,-2,-2,-2,-1,1,-2,-2
20:47:05:446540,-1,-2,-2,-2,-1,1,-2,-2
20:47:05:453965,-6,-3,0,-3,-3,0,-1,-1
20:47:05:461477,-1,-1,-2,0,0,-3,-4,-4
20:47:05:469718,-1,-1,-2,0,0,-3,-4,-4
20:47:05:470493,-9,-5,-2,-1,0,1,-2,0
20:47:05:483952,-6,0,0,0,-1,-1,-1,-1
20:47:05:492182,-6,0,0,0,-1,-1,-1,-1
20:47:05:492976,3,-3,0,0,-1,0,3,1
20:47:05:498964,-7,-4,-3,-1,-3,-1,-4,-1
20:47:05:514715,-7,-4,-3,-1,-3,-1,-4,-1
20:47:05:515466,-4,2,0,-1,-2,-3,-13,-1
20:47:05:521442,3,-2,0,-1,-1,1,-1,1
20:47:05:529715,3,-2,0,-1,-1,1,-1,1
20:47:05:530486,6,1,0,-2,-3,-3,-2,0
20:47:05:543953,-1,-1,-1,-1,1,-2,-1,-1
20:47:05:552868,-1,-1,-1,-1,1,-2,-1,-1
20:47:05:553718,0,-1,-1,-2,-1,0,0,-2
20:47:05:559014,0,-2,-2,-1,-1,-2,2,-1
20:47:05:566579,0,-2,-2,-1,-1,-2,2,-1
20:47:05:573987,0,1,-4,-2,-1,-1,2,-1
20:47:05:581478,-2,0,-1,-1,0,-1,3,-2
20:47:05:589676,-2,0,-1,-1,0,-1,3,-2
20:47:05:590436,-3,-1,-2,0,-1,0,0,1
20:47:05:612846,0,1,1,-1,-3,0,-3,-3
20:47:05:613722,0,1,1,-1,-3,0,-3,-3
20:47:05:614406,-1,-1,1,-1,-1,-1,2,-4
20:47:05:618954,0,0,-3,-1,-1,-1,-5,2
20:47:05:626528,0,0,-3,-1,-1,-1,-5,2
20:47:05:633976,-2,-2,4,3,-1,1,0,-1
20:47:05:641468,1,0,6,12,2,0,-2,-5
20:47:05:649711,1,0,6,12,2,0,-2,-5
20:47:05:650400,3,0,-9,-6,-2,-3,-1,-3
20:47:05:663959,2,-3,-9,-5,0,0,1,4
20:47:05:672196,2,-3,-9,-5,0,0,1,4
20:47:05:672996,-4,1,9,6,-3,1,-1,-5
20:47:05:678989,-2,-3,-8,-5,-5,-4,0,1
20:47:05:686475,-2,-3,-8,-5,-5,-4,0,1
20:47:05:694013,0,4,-4,1,4,1,1,2
20:47:05:701459,-5,-1,-11,-9,-6,-2,-3,-1
20:47:05:709701,-5,-1,-11,-9,-6,-2,-3,-1
20:47:05:710449,-5,-2,-15,-21,1,-1,6,0
20:47:05:723960,-1,-1,29,13,-4,-3,0,11
20:47:05:732144,-1,-1,29,13,-4,-3,0,11
20:47:05:732928,-1,-3,-18,-12,1,1,-5,1
20:47:05:738955,2,-1,48,22,-9,-2,0,0
20:47:05:746483,2,-1,48,22,-9,-2,0,0
20:47:05:753921,-3,-5,9,-9,-1,-3,-6,3
20:47:05:761412,0,-1,-33,-13,-1,0,-3,-4
20:47:05:769718,0,-1,-33,-13,-1,0,-3,-4
20:47:05:770461,13,1,5,25,3,-4,-12,15
20:47:05:783972,-7,5,-11,-15,-2,8,16,-3
20:47:05:792156,-7,5,-11,-15,-2,8,16,-3
20:47:05:792957,1,2,-15,2,1,2,7,-1
20:47:05:798940,0,0,-5,11,-1,-4,-7,-4
20:47:05:806499,0,0,-5,11,-1,-4,-7,-4
20:47:05:813966,-4,0,44,12,-6,-5,-4,5
20:47:05:821467,-2,0,-18,-15,5,1,1,-6
20:47:05:829711,-2,0,-18,-15,5,1,1,-6
20:47:05:830463,-2,-6,4,2,-2,-1,-1,-8
20:47:05:843911,3,1,-3,-2,5,1,-9,32
20:47:05:852191,3,1,-3,-2,5,1,-9,32
20:47:05:852964,-6,-5,-31,-8,-2,3,9,-4
20:47:05:858936,-4,0,-9,2,1,-5,9,4
20:47:05:866520,-4,0,-9,2,1,-5,9,4
20:47:05:873932,-6,2,24,12,-2,0,7,-16
20:47:05:881461,0,-3,18,10,-1,-7,-18,-11
20:47:05:889758,0,-3,18,10,-1,-7,-18,-11
20:47:05:890497,-2,0,-15,-7,2,-1,0,-43
20:47:05:903941,5,2,-1,-8,-1,0,4,-7
20:47:05:912160,5,2,-1,-8,-1,0,4,-7
20:47:05:912987,6,3,46,15,-2,0,1,27
20:47:05:918979,2,0,6,3,2,-1,8,21
20:47:05:926552,2,0,6,3,2,-1,8,21
20:47:05:933977,3,2,-13,-2,0,1,0,4
20:47:05:941471,-7,-11,-59,-21,2,2,-9,-12
20:47:05:949638,-7,-11,-59,-21,2,2,-9,-12
20:47:05:950437,-5,-3,-6,-7,-2,-2,-3,4
20:47:05:963956,1,-4,8,7,-3,-2,0,-3
20:47:05:972205,1,-4,8,7,-3,-2,0,-3
20:47:05:972995,-1,-9,-21,-11,-2,-2,0,-5
20:47:05:978971,2,5,10,2,2,1,1,-3
20:47:05:986461,2,5,10,2,2,1,1,-3
20:47:05:993978,-2,-1,-1,-3,-2,-1,-6,22
20:47:06:1486,-2,-7,17,-2,-1,0,-2,-7
20:47:06:9651,-2,-7,17,-2,-1,0,-2,-7
20:47:06:10471,-1,0,-9,-5,-2,0,-1,1
20:47:06:23969,-2,-1,0,-5,-4,0,3,-8
20:47:06:32149,-2,-1,0,-5,-4,0,3,-8
20:47:06:32940,-2,4,2,4,3,3,4,-7
20:47:06:38972,-2,0,-3,-5,-5,-2,1,-7
20:47:06:46487,-2,0,-3,-5,-5,-2,1,-7
20:47:06:53959,-1,-4,-11,-5,2,-4,-4,-2
20:47:06:61425,2,1,-1,-3,1,-5,-25,1
20:47:06:69756,2,1,-1,-3,1,-5,-25,1
20:47:06:70465,-1,1,1,-7,2,2,7,-4
20:47:06:83973,-2,2,6,1,-4,-3,0,-3
20:47:06:92179,-2,2,6,1,-4,-3,0,-3
20:47:06:92953,-2,-1,-7,-32,5,-2,-11,-5
20:47:06:98908,-1,-3,3,-12,-6,0,10,-3
20:47:06:106494,-1,-3,3,-12,-6,0,10,-3
20:47:06:113953,-3,-10,-1,15,2,1,5,-2
20:47:06:121430,0,-1,-4,0,-1,-1,7,-3
20:47:06:129733,0,-1,-4,0,-1,-1,7,-3
20:47:06:130520,0,1,2,1,-9,-5,-8,-3
20:47:06:143981,-1,-1,-5,2,6,0,2,-3
20:47:06:152179,-1,-1,-5,2,6,0,2,-3
20:47:06:152956,-2,-1,-2,1,-3,-4,-9,-3
20:47:06:167146,-2,2,-4,-1,-2,1,3,-1
20:47:06:167959,-2,2,-4,-1,-2,1,3,-1
20:47:06:173936,0,1,2,8,-3,-4,4,1
20:47:06:181436,0,-6,-1,-8,-2,4,3,-1
20:47:06:188993,0,-6,-1,-8,-2,4,3,-1
20:47:06:196479,-3,0,-3,4,2,0,-2,-1
20:47:06:203942,-1,-5,3,1,1,0,0,-2
20:47:06:212168,-1,-5,3,1,1,0,0,-2
20:47:06:212984,1,-1,-1,-2,-5,-5,-9,-1
20:47:06:227170,-3,-1,0,1,-3,-1,-10,-1
20:47:06:227988,-3,-1,0,1,-3,-1,-10,-1
20:47:06:233948,-3,-5,-5,-3,-4,0,10,-3
20:47:06:241457,4,-2,-1,4,4,3,16,-1
20:47:06:249031,4,-2,-1,4,4,3,16,-1
20:47:06:256531,-2,-2,2,-5,3,4,5,1
20:47:06:263943,-1,6,-3,5,-1,-6,-14,-1
20:47:06:272121,-1,6,-3,5,-1,-6,-14,-1
20:47:06:272938,2,2,0,-1,-5,-4,-5,0
20:47:06:287219,0,0,0,-7,-6,-3,-2,-2
20:47:06:287999,0,0,0,-7,-6,-3,-2,-2
20:47:06:293983,-2,0,2,0,4,0,-8,-1
20:47:06:301445,-2,-1,-2,2,-3,-2,-3,-3
20:47:06:308972,-2,-1,-2,2,-3,-2,-3,-3
20:47:06:317119,-3,-3,-2,-5,-3,-1,-3,-3
20:47:06:323965,-1,-1,1,-1,4,2,-2,0
20:47:06:332164,-1,-1,1,-1,4,2,-2,0
20:47:06:332936,-3,0,-2,3,-3,-3,6,-8
20:47:06:347175,1,1,-2,-8,-10,-3,27,-1
20:47:06:347941,1,1,-2,-8,-10,-3,27,-1
20:47:06:353988,-4,-1,1,9,17,0,-13,1
20:47:06:361512,-1,3,13,5,-2,-1,-4,-3
20:47:06:368988,-1,3,13,5,-2,-1,-4,-3
20:47:06:376430,0,-2,-1,6,-8,4,17,-2
20:47:06:383935,-4,-2,16,-4,-5,-8,-9,-1
20:47:06:399653,-4,-2,16,-4,-5,-8,-9,-1
20:47:06:400433,2,-5,-8,-2,3,-2,-16,1
20:47:06:407151,-2,-1,-1,-2,4,-1,-3,-3
20:47:06:407966,-2,-1,-1,-2,4,-1,-3,-3
20:47:06:413928,1,8,18,3,-6,-3,-1,0
20:47:06:421454,-1,-3,-7,11,5,-1,-7,1
20:47:06:437158,-1,-3,-7,11,5,-1,-7,1
20:47:06:437929,-2,3,3,-4,4,4,22,-2
20:47:06:443974,-4,-6,-12,-2,-3,-2,8,1
20:47:06:452350,-4,-6,-12,-2,-3,-2,8,1
20:47:06:452957,0,-3,2,-5,-6,-11,-26,-2
