Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
18:30:47:973409,-4,-1,0,2,-3,9,1,-2
18:30:47:981785,-4,-1,0,2,-3,9,1,-2
18:30:47:982486,3,-2,1,-1,-5,8,-2,-4
18:30:47:996673,-3,-3,-9,-6,-2,-7,-4,3
18:30:47:997453,-3,-3,-9,-6,-2,-7,-4,3
18:30:48:11604,-1,-5,-9,-2,-5,2,5,-2
18:30:48:12392,-2,2,-1,-5,-2,12,2,-2
18:30:48:18513,-2,2,-1,-5,-2,12,2,-2
18:30:48:33970,-1,0,-2,-1,6,-12,0,-2
18:30:48:43266,0,-2,-3,-1,-8,-8,-2,3
18:30:48:44094,0,-2,-3,-1,-8,-8,-2,3
18:30:48:57235,-1,1,8,2,5,14,4,0
18:30:48:58009,-2,-2,-4,1,-3,-5,-3,-3
18:30:48:58841,-2,-2,-4,1,-3,-5,-3,-3
18:30:48:63458,-7,-4,1,-3,0,2,-5,-1
18:30:48:70851,4,2,3,2,1,2,-2,5
18:30:48:78428,4,2,3,2,1,2,-2,5
18:30:48:86036,-1,0,-2,-5,0,-11,1,-5
18:30:48:93396,5,-1,-3,0,-5,-7,0,-3
18:30:48:101792,5,-1,-3,0,-5,-7,0,-3
18:30:48:102466,1,0,-1,-3,-6,-3,-5,4
18:30:48:116686,-4,-4,-4,-4,5,-3,1,-6
18:30:48:117435,-4,-4,-4,-4,5,-3,1,-6
18:30:48:123345,-2,-3,-4,-2,0,4,-1,-4
18:30:48:130950,0,-1,-4,2,-3,-5,0,-1
18:30:48:138448,0,-1,-4,2,-3,-5,0,-1
18:30:48:145969,-5,-2,-2,0,-1,-5,-3,-1
18:30:48:153381,-2,4,0,-3,-4,4,-2,-4
18:30:48:161717,-2,4,0,-3,-4,4,-2,-4
18:30:48:162452,-1,-2,-2,2,1,0,0,-1
18:30:48:176656,1,1,-5,-2,3,1,-1,3
18:30:48:177377,1,1,-5,-2,3,1,-1,3
18:30:48:183475,0,-2,-3,-1,-3,-3,1,-4
18:30:48:190865,-3,-7,-2,0,-1,-3,-2,-3
18:30:48:206688,-3,-7,-2,0,-1,-3,-2,-3
18:30:48:207411,4,-2,-3,-6,-5,0,-3,4
18:30:48:213482,-1,1,-1,-1,1,-6,-4,1
18:30:48:221699,-1,1,-1,-1,1,-6,-4,1
18:30:48:222410,-3,-5,-1,1,-1,0,1,-8
18:30:48:236622,-2,-4,-2,2,4,2,-3,-1
18:30:48:237378,-2,-4,-2,2,4,2,-3,-1
18:30:48:243383,-6,4,2,-1,3,-2,3,-3
18:30:48:250966,0,-2,0,-5,1,-5,-4,-4
18:30:48:266750,0,-2,0,-5,1,-5,-4,-4
18:30:48:267446,2,3,-4,-4,-2,-1,-1,1
18:30:48:273310,-1,0,-3,0,-1,-1,3,7
18:30:48:281755,-1,0,-3,0,-1,-1,3,7
18:30:48:282473,2,-3,3,2,0,-3,-4,-4
18:30:48:296663,-2,-5,-4,-3,-1,3,2,-8
18:30:48:297390,-2,-5,-4,-3,-1,3,2,-8
18:30:48:303367,-4,-4,-4,1,0,1,-2,7
18:30:48:310885,0,0,2,-1,3,-5,0,-9
18:30:48:318465,0,0,2,-1,3,-5,0,-9
18:30:48:325955,4,-2,0,1,-2,-2,2,1
18:30:48:333525,-4,0,0,-3,2,0,1,2
18:30:48:341687,-4,0,0,-3,2,0,1,2
18:30:48:342387,1,-1,-2,-7,-7,1,-4,-8
18:30:48:364845,-1,0,0,-1,-5,3,-2,1
18:30:48:365557,-1,0,0,-1,-5,3,-2,1
18:30:48:366378,-2,-3,-6,2,-4,-3,-2,-2
18:30:48:370937,1,-4,-3,-1,-1,-1,3,5
18:30:48:378428,1,-4,-3,-1,-1,-1,3,5
18:30:48:385928,0,1,5,-2,-2,0,-1,-4
18:30:48:393379,-7,-3,-3,-3,2,-1,-2,-4
18:30:48:401796,-7,-3,-3,-3,2,-1,-2,-4
18:30:48:402402,-2,-4,0,0,4,1,0,-1
18:30:48:416602,7,-2,0,0,-3,-3,-4,1
18:30:48:417368,7,-2,0,0,-3,-3,-4,1
18:30:48:423353,-2,1,-2,2,2,-3,-2,4
18:30:48:439078,-7,2,0,1,-2,-4,3,1
18:30:48:439884,-7,2,0,1,-2,-4,3,1
18:30:48:445939,0,1,-4,-5,-2,0,0,-2
18:30:48:453392,5,-2,-2,-4,-4,-4,-3,-2
18:30:48:461660,5,-2,-2,-4,-4,-4,-3,-2
18:30:48:462397,0,1,3,1,-2,3,-1,-3
18:30:48:476599,-7,-5,-1,-1,-11,-1,-2,-1
18:30:48:477395,-7,-5,-1,-1,-11,-1,-2,-1
18:30:48:491560,-1,2,-1,1,9,-2,-2,0
18:30:48:492340,-1,6,2,2,2,1,-4,0
18:30:48:498456,-1,6,2,2,2,1,-4,0
18:30:48:514219,0,0,-4,-3,-7,2,0,1
18:30:48:514899,3,-4,-3,-3,7,0,2,-2
18:30:48:521615,3,-4,-3,-3,7,0,2,-2
18:30:48:522393,-6,0,-1,2,4,-2,0,1
18:30:48:536590,0,0,3,0,-6,0,-2,4
18:30:48:537358,0,0,3,0,-6,0,-2,4
18:30:48:543449,2,-5,0,-2,0,0,0,-3
18:30:48:551006,-6,-4,-2,-1,0,0,0,-2
18:30:48:558424,-6,-4,-2,-1,0,0,0,-2
18:30:48:565901,-2,1,-2,-1,2,-6,-1,-4
