Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
18:30:47:973409,3832,10301,-1881,12004,1961,332,400,-249,9,110
18:30:47:981785,3857,10285,-1906,12005,1978,379,394,-226,39,65
18:30:47:982486,3857,10285,-1906,12005,1978,379,394,-226,39,65
18:30:47:996673,3857,10285,-1906,12005,1978,379,394,-226,39,65
18:30:47:997453,3890,10268,-1925,12005,2010,445,383,-234,71,41
18:30:48:11604,3890,10268,-1925,12005,2010,445,383,-234,71,41
18:30:48:12392,3890,10268,-1925,12005,2010,445,383,-234,71,41
18:30:48:18513,3933,10248,-1947,12006,1999,472,363,-292,97,31
18:30:48:33970,3933,10248,-1947,12006,1999,472,363,-292,97,31
18:30:48:43266,3933,10248,-1947,12006,1999,472,363,-292,97,31
18:30:48:44094,3990,10222,-1976,12004,1961,474,361,-378,114,-1
18:30:48:57235,3990,10222,-1976,12004,1961,474,361,-378,114,-1
18:30:48:58009,3990,10222,-1976,12004,1961,474,361,-378,114,-1
18:30:48:58841,4058,10196,-2011,11997,1921,439,327,-447,111,-49
18:30:48:63458,4058,10196,-2011,11997,1921,439,327,-447,111,-49
18:30:48:70851,4058,10196,-2011,11997,1921,439,327,-447,111,-49
18:30:48:78428,4136,10170,-2045,11987,1888,428,320,-479,112,-105
18:30:48:86036,4136,10170,-2045,11987,1888,428,320,-479,112,-105
18:30:48:93396,4136,10170,-2045,11987,1888,428,320,-479,112,-105
18:30:48:101792,4221,10146,-2076,11973,1900,447,313,-492,111,-147
18:30:48:102466,4221,10146,-2076,11973,1900,447,313,-492,111,-147
18:30:48:116686,4221,10146,-2076,11973,1900,447,313,-492,111,-147
18:30:48:117435,4312,10121,-2107,11956,1943,468,261,-523,138,-169
18:30:48:123345,4312,10121,-2107,11956,1943,468,261,-523,138,-169
18:30:48:130950,4312,10121,-2107,11956,1943,468,261,-523,138,-169
18:30:48:138448,4411,10090,-2142,11940,1928,442,262,-570,172,-200
18:30:48:145969,4411,10090,-2142,11940,1928,442,262,-570,172,-200
18:30:48:153381,4411,10090,-2142,11940,1928,442,262,-570,172,-200
18:30:48:161717,4514,10056,-2175,11924,1921,405,272,-582,190,-245
18:30:48:162452,4514,10056,-2175,11924,1921,405,272,-582,190,-245
18:30:48:176656,4514,10056,-2175,11924,1921,405,272,-582,190,-245
18:30:48:177377,4617,10023,-2201,11907,1902,366,258,-543,199,-294
18:30:48:183475,4617,10023,-2201,11907,1902,366,258,-543,199,-294
18:30:48:190865,4617,10023,-2201,11907,1902,366,258,-543,199,-294
18:30:48:206688,4711,9995,-2211,11892,1925,335,254,-439,212,-339
18:30:48:207411,4711,9995,-2211,11892,1925,335,254,-439,212,-339
18:30:48:213482,4711,9995,-2211,11892,1925,335,254,-439,212,-339
18:30:48:221699,4794,9973,-2200,11880,1929,348,266,-298,230,-364
18:30:48:222410,4794,9973,-2200,11880,1929,348,266,-298,230,-364
18:30:48:236622,4794,9973,-2200,11880,1929,348,266,-298,230,-364
18:30:48:237378,4866,9956,-2169,11870,1938,382,262,-178,241,-379
18:30:48:243383,4866,9956,-2169,11870,1938,382,262,-178,241,-379
18:30:48:250966,4866,9956,-2169,11870,1938,382,262,-178,241,-379
18:30:48:266750,4934,9945,-2126,11859,1961,434,253,-116,245,-398
18:30:48:267446,4934,9945,-2126,11859,1961,434,253,-116,245,-398
18:30:48:273310,4934,9945,-2126,11859,1961,434,253,-116,245,-398
18:30:48:281755,5004,9934,-2081,11848,1953,449,241,-115,253,-410
