Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
18:19:19:554849,19,-2,1,-2,-4,-6,-8,-3
18:19:19:555680,-19,-4,-4,0,3,-3,-5,-13
18:19:19:568715,-24,-3,3,-2,-13,5,-1,-1
18:19:19:585092,-24,-3,3,-2,-13,5,-1,-1
18:19:19:585842,-14,-9,9,6,3,7,-4,-6
18:19:19:586653,5,2,1,2,7,3,-3,7
18:19:19:591949,5,2,1,2,7,3,-3,7
18:19:19:592645,-17,3,-1,0,-1,-1,3,2
18:19:19:615059,-14,-3,-4,-8,-5,2,-3,-10
18:19:19:615810,-14,-3,-4,-8,-5,2,-3,-10
18:19:19:616646,0,19,16,7,3,-3,6,9
18:19:19:621294,3,-15,-9,-4,-2,-2,1,-4
18:19:19:636932,3,-15,-9,-4,-2,-2,1,-4
18:19:19:637694,-5,-7,-5,0,-7,2,-2,-8
18:19:19:643777,7,11,4,3,1,-8,1,0
18:19:19:651980,7,11,4,3,1,-8,1,0
18:19:19:652700,7,1,-2,-3,-3,4,-5,-3
18:19:19:675129,3,5,0,8,0,3,-2,-4
18:19:19:675835,3,5,0,8,0,3,-2,-4
18:19:19:676645,9,-9,-4,-2,-6,1,5,1
18:19:19:681236,1,3,0,-2,1,1,0,6
18:19:19:696921,1,3,0,-2,1,1,0,6
18:19:19:697692,9,4,-5,0,6,10,0,-9
18:19:19:703724,-2,-1,2,4,4,2,5,1
18:19:19:711775,-2,-1,2,4,4,2,5,1
18:19:19:718711,-3,-8,-9,-2,-3,-4,-5,-1
18:19:19:726256,2,-3,-5,-4,-1,-4,-4,2
18:19:19:734441,2,-3,-5,-4,-1,-4,-4,2
18:19:19:735178,-1,-3,-2,4,-4,0,1,5
18:19:19:741355,2,2,-6,-5,0,-7,0,7
18:19:19:748721,2,2,-6,-5,0,-7,0,7
18:19:19:764281,6,0,1,-3,-2,-7,-1,0
18:19:19:765070,-13,0,0,2,8,3,-5,-12
18:19:19:772031,-13,0,0,2,8,3,-5,-12
18:19:19:772687,-1,2,3,-5,-5,-1,0,-2
18:19:19:786259,13,-2,-4,-2,-9,-6,-1,6
18:19:19:802574,13,-2,-4,-2,-9,-6,-1,6
18:19:19:803343,-3,-4,-1,-3,-8,9,-4,17
18:19:19:804142,1,-5,-4,-3,-5,-4,-2,0
18:19:19:816882,1,-5,-4,-3,-5,-4,-2,0
18:19:19:817658,2,-7,-4,-2,-4,-3,-2,0
18:19:19:823772,-2,0,2,5,2,-11,1,0
18:19:19:831891,-2,0,2,5,2,-11,1,0
18:19:19:832684,-2,-1,1,-4,-2,-8,-4,-8
18:19:19:863162,1,3,0,-2,1,1,3,-3
18:19:19:864039,1,3,0,-2,1,1,3,-3
18:19:19:864715,1,3,-2,1,-2,-2,-4,-4
18:19:19:865587,4,0,2,-1,-3,7,-3,-5
18:19:19:877106,4,0,2,-1,-3,7,-3,-5
18:19:19:877751,-9,2,3,-3,-3,-6,3,-6
18:19:19:892658,-4,-1,3,2,-3,0,0,2
18:19:19:893427,-4,-1,3,2,-3,0,0,2
18:19:19:894226,-1,-1,-5,-5,-1,-1,-5,-4
18:19:19:906733,-3,0,-1,2,-2,1,2,1
18:19:19:914397,-3,0,-1,2,-2,1,2,1
18:19:19:915163,0,-1,-5,-1,7,-3,-4,-2
18:19:19:921207,1,0,-2,0,1,-4,-4,-2
18:19:19:936907,1,0,-2,0,1,-4,-4,-2
18:19:19:937706,-8,-1,0,6,8,1,-1,-5
18:19:19:960129,22,17,24,5,0,13,-8,25
18:19:19:960834,22,17,24,5,0,13,-8,25
18:19:19:961664,-17,0,3,1,3,2,-2,-20
18:19:19:966203,1,2,4,7,5,-5,-2,-10
18:19:19:975207,1,2,4,7,5,-5,-2,-10
18:19:19:975911,0,0,0,-2,1,3,-2,-4
18:19:19:981131,-12,-5,-9,-8,6,-4,-2,-5
18:19:20:5260,-12,-5,-9,-8,6,-4,-2,-5
18:19:20:5866,-12,13,-8,-7,3,-7,1,3
18:19:20:6695,-11,-20,-8,-6,-6,-6,3,-1
18:19:20:11931,-11,-20,-8,-6,-6,-6,3,-1
18:19:20:12698,11,1,5,-1,2,1,0,1
18:19:20:26261,-10,-3,-5,-4,-3,3,2,-2
18:19:20:49997,-10,-3,-5,-4,-3,3,2,-2
18:19:20:50771,6,1,2,0,-2,-1,1,5
18:19:20:51585,-20,-7,-7,-5,-6,-5,-3,-19
18:19:20:56968,-20,-7,-7,-5,-6,-5,-3,-19
18:19:20:57741,-14,-7,-5,-4,-5,-4,-2,-5
18:19:20:63672,11,4,1,1,1,0,0,2
18:19:20:71993,11,4,1,1,1,0,0,2
18:19:20:72647,11,-5,-2,0,-8,0,1,4
18:19:20:95155,4,1,-2,1,-1,-1,3,-1
18:19:20:95877,4,1,-2,1,-1,-1,3,-1
18:19:20:96639,4,-7,-3,2,-6,2,0,3
18:19:20:108774,1,3,2,9,6,4,2,3
18:19:20:125192,1,3,2,9,6,4,2,3
18:19:20:125834,-1,-5,-6,7,2,-2,-4,-1
18:19:20:126654,0,-3,-1,-5,-2,-3,1,-2
18:19:20:131868,0,-3,-1,-5,-2,-3,1,-2
18:19:20:132661,0,-5,-2,-2,-6,1,-1,7
18:19:20:146191,-1,-4,-3,-3,-4,-2,-4,-4
18:19:20:154371,-1,-4,-3,-3,-4,-2,-4,-4
18:19:20:155165,8,10,4,-2,5,-2,2,4
18:19:20:161188,-3,-3,7,1,-1,1,-2,-6
18:19:20:185136,-3,-3,7,1,-1,1,-2,-6
18:19:20:185910,-7,-2,-2,-2,-5,1,1,0
18:19:20:186643,1,-4,-7,-3,-3,3,-3,-6
18:19:20:191885,1,-4,-7,-3,-3,3,-3,-6
18:19:20:192652,-4,-6,2,2,-5,0,-3,-7
18:19:20:206247,-5,-4,-6,-4,-5,-2,-2,-1
18:19:20:214408,-5,-4,-6,-4,-5,-2,-2,-1
18:19:20:215184,4,0,-3,-3,4,-4,1,-1
18:19:20:228714,2,4,0,3,1,0,4,4
18:19:20:236915,2,4,0,3,1,0,4,4
18:19:20:237665,7,-8,-2,-1,-3,-4,0,-1
18:19:20:243839,0,1,-2,1,0,-2,-5,-3
18:19:20:251956,0,1,-2,1,0,-2,-5,-3
18:19:20:252724,0,3,0,1,-3,2,-5,-4
18:19:20:283139,-16,7,-6,-4,-1,-6,-3,-17
18:19:20:284007,-16,7,-6,-4,-1,-6,-3,-17
18:19:20:284787,2,2,2,1,-1,-2,-2,-1
18:19:20:285586,2,-5,1,-2,-3,-2,-4,1
18:19:20:288765,2,-5,1,-2,-3,-2,-4,1
18:19:20:296146,-3,-11,-4,-3,-1,-2,-2,-2
18:19:20:303667,-7,3,2,2,-1,-4,2,7
18:19:20:319806,-7,3,2,2,-1,-4,2,7
18:19:20:326911,0,-2,-3,-5,-1,3,1,2
18:19:20:327625,2,-3,-2,-1,-2,2,1,1
18:19:20:334408,2,-3,-2,-1,-2,2,1,1
18:19:20:335172,-2,2,2,-1,1,-3,1,-3
18:19:20:341253,2,-2,-1,1,2,0,2,-3
18:19:20:365070,2,-2,-1,1,2,0,2,-3
18:19:20:365848,-1,1,-1,2,5,3,3,-2
18:19:20:366637,1,6,8,0,-5,-1,1,4
18:19:20:372002,1,6,8,0,-5,-1,1,4
18:19:20:372705,-2,4,3,0,-5,-1,0,0
18:19:20:386210,-1,-6,-4,-5,2,-3,-1,-1
18:19:20:394454,-1,-6,-4,-5,2,-3,-1,-1
18:19:20:395246,-2,0,-2,1,0,1,-3,-2
18:19:20:401219,2,-1,1,-2,-2,-3,0,-1
18:19:20:416898,2,-1,1,-2,-2,-3,0,-1
18:19:20:417708,-4,-3,-3,-1,-3,-1,-3,-4
18:19:20:423749,-2,0,-1,0,-2,1,-2,-1
18:19:20:431898,-2,0,-1,0,-2,1,-2,-1
18:19:20:432693,-2,1,1,-3,1,-3,-1,0
18:19:20:446153,-3,-3,-1,-1,0,-1,-2,2
18:19:20:454440,-3,-3,-1,-1,0,-1,-2,2
