Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
18:19:19:554849,-6403,-7111,-639,-13285,1383,894,1266,134,197,37
18:19:19:555680,-6403,-7111,-639,-13285,1383,894,1266,134,197,37
18:19:19:568715,-6403,-7111,-639,-13285,1383,894,1266,134,197,37
18:19:19:585092,-6390,-7072,-658,-13311,1384,857,1354,30,259,72
18:19:19:585842,-6390,-7072,-658,-13311,1384,857,1354,30,259,72
18:19:19:586653,-6390,-7072,-658,-13311,1384,857,1354,30,259,72
18:19:19:591949,-6371,-7042,-678,-13335,1361,837,1304,66,234,92
18:19:19:592645,-6371,-7042,-678,-13335,1361,837,1304,66,234,92
18:19:19:615059,-6371,-7042,-678,-13335,1361,837,1304,66,234,92
18:19:19:615810,-6374,-7006,-683,-13353,1394,833,1315,-65,219,1
18:19:19:616646,-6374,-7006,-683,-13353,1394,833,1315,-65,219,1
18:19:19:621294,-6374,-7006,-683,-13353,1394,833,1315,-65,219,1
18:19:19:636932,-6397,-6961,-683,-13365,1270,870,1327,-170,187,-53
18:19:19:637694,-6397,-6961,-683,-13365,1270,870,1327,-170,187,-53
18:19:19:643777,-6397,-6961,-683,-13365,1270,870,1327,-170,187,-53
18:19:19:651980,-6440,-6927,-643,-13364,1244,834,1175,-400,71,-82
18:19:19:652700,-6440,-6927,-643,-13364,1244,834,1175,-400,71,-82
18:19:19:675129,-6440,-6927,-643,-13364,1244,834,1175,-400,71,-82
18:19:19:675835,-6449,-6891,-581,-13381,1357,538,1270,-301,85,37
18:19:19:676645,-6449,-6891,-581,-13381,1357,538,1270,-301,85,37
18:19:19:681236,-6449,-6891,-581,-13381,1357,538,1270,-301,85,37
18:19:19:696921,-6440,-6907,-593,-13376,1493,827,1198,73,33,-13
18:19:19:697692,-6440,-6907,-593,-13376,1493,827,1198,73,33,-13
18:19:19:703724,-6440,-6907,-593,-13376,1493,827,1198,73,33,-13
18:19:19:711775,-6433,-6903,-613,-13381,1392,851,1232,65,122,0
18:19:19:718711,-6433,-6903,-613,-13381,1392,851,1232,65,122,0
18:19:19:726256,-6433,-6903,-613,-13381,1392,851,1232,65,122,0
18:19:19:734441,-6422,-6890,-622,-13393,1331,718,1301,59,111,27
18:19:19:735178,-6422,-6890,-622,-13393,1331,718,1301,59,111,27
18:19:19:741355,-6422,-6890,-622,-13393,1331,718,1301,59,111,27
18:19:19:748721,-6400,-6912,-659,-13390,1353,765,1269,273,-5,-5
18:19:19:764281,-6400,-6912,-659,-13390,1353,765,1269,273,-5,-5
18:19:19:765070,-6400,-6912,-659,-13390,1353,765,1269,273,-5,-5
