Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
18:04:33:646336,10,-6,-24,-2,-3,-16,-2,-3
18:04:33:653847,-10,-11,-26,-14,-6,0,-2,0
18:04:33:662088,-10,-11,-26,-14,-6,0,-2,0
18:04:33:662878,0,1,-27,-38,3,-15,6,5
18:04:33:676427,-7,-19,3,-40,-15,-12,-6,-3
18:04:33:684564,-7,-19,3,-40,-15,-12,-6,-3
18:04:33:685354,7,21,21,25,9,-11,1,6
18:04:33:691331,9,15,-22,16,9,6,1,1
18:04:33:698924,9,15,-22,16,9,6,1,1
18:04:33:706376,-1,20,20,41,14,3,-1,-3
18:04:33:713866,-21,-57,-22,-56,-20,-12,-9,-15
18:04:33:722104,-21,-57,-22,-56,-20,-12,-9,-15
18:04:33:722871,-10,2,-80,35,10,8,0,-4
18:04:33:737087,15,24,-9,42,14,0,7,9
18:04:33:737887,15,24,-9,42,14,0,7,9
18:04:33:743855,-5,-3,-11,-24,-10,-5,-8,-9
18:04:33:751373,10,11,-20,-2,1,5,-1,1
18:04:33:758955,10,11,-20,-2,1,5,-1,1
18:04:33:766375,2,-9,23,5,-7,4,2,5
18:04:33:773873,-14,-6,86,-8,-14,-7,-6,-5
18:04:33:782086,-14,-6,86,-8,-14,-7,-6,-5
18:04:33:782896,-1,-8,7,-5,-3,7,1,-1
18:04:33:796368,-6,15,-11,3,1,0,1,-1
18:04:33:804591,-6,15,-11,3,1,0,1,-1
18:04:33:805364,-8,-16,-26,-24,-7,-26,-4,0
18:04:33:811354,-13,20,21,16,6,14,6,0
18:04:33:818934,-13,20,21,16,6,14,6,0
18:04:33:826412,6,-1,16,-1,3,3,0,-1
18:04:33:833977,-10,-34,25,-48,-25,-16,-9,-11
18:04:33:842071,-10,-34,25,-48,-25,-16,-9,-11
18:04:33:842857,-3,-6,-4,-18,-10,-1,1,-1
18:04:33:856402,4,0,-44,17,4,-4,-3,0
18:04:33:864549,4,0,-44,17,4,-4,-3,0
18:04:33:865330,-12,-8,13,13,-2,-11,-2,-1
18:04:33:871393,6,13,-7,20,8,3,5,2
18:04:33:878915,6,13,-7,20,8,3,5,2
18:04:33:886323,-9,22,-28,4,2,7,-3,0
18:04:33:893879,-3,5,-12,20,2,-4,0,2
18:04:33:902055,-3,5,-12,20,2,-4,0,2
18:04:33:902845,6,-21,-16,-18,-2,2,0,-4
18:04:33:916387,13,33,43,3,-1,7,0,2
18:04:33:924560,13,33,43,3,-1,7,0,2
18:04:33:925348,-8,-3,2,13,3,9,-4,-2
18:04:33:931401,11,-6,24,14,4,15,1,3
18:04:33:938937,11,-6,24,14,4,15,1,3
18:04:33:946335,-12,5,55,13,3,14,0,0
18:04:33:953817,6,8,40,12,7,1,0,1
18:04:33:962092,6,8,40,12,7,1,0,1
18:04:33:962891,10,3,6,-23,-12,-2,0,-2
18:04:33:976402,-6,-16,-17,-96,-14,-11,-3,-9
18:04:33:984550,-6,-16,-17,-96,-14,-11,-3,-9
18:04:33:985329,-5,0,8,2,0,-2,-3,-5
18:04:33:991337,-3,-10,-43,17,3,5,-3,-1
18:04:33:998917,-3,-10,-43,17,3,5,-3,-1
18:04:34:6368,-1,-14,-48,-8,-3,12,-4,-3
18:04:34:13837,-8,-9,-60,4,-3,-2,-4,-3
18:04:34:22102,-8,-9,-60,4,-3,-2,-4,-3
18:04:34:22895,4,10,14,13,1,-3,-1,2
18:04:34:36346,-6,-9,-8,35,9,-1,-4,-1
18:04:34:44572,-6,-9,-8,35,9,-1,-4,-1
18:04:34:45388,6,1,-84,-36,7,19,1,4
18:04:34:51373,4,14,46,29,1,0,-1,1
18:04:34:58936,4,14,46,29,1,0,-1,1
18:04:34:66362,-2,-13,40,-7,-2,-11,0,-1
18:04:34:73849,4,-6,35,33,7,10,5,2
18:04:34:82076,4,-6,35,33,7,10,5,2
18:04:34:82827,7,-9,15,14,1,-5,-5,0
18:04:34:97067,-6,5,-37,-18,-6,-22,-3,-1
18:04:34:97901,-6,5,-37,-18,-6,-22,-3,-1
18:04:34:103846,-5,2,-3,0,-9,-46,5,2
18:04:34:111366,9,-11,-59,-8,-4,-2,0,0
18:04:34:119013,9,-11,-59,-8,-4,-2,0,0
18:04:34:126396,-6,-10,-37,-21,-6,-9,0,-4
18:04:34:133859,-10,-40,5,-39,-7,2,-4,-1
18:04:34:142081,-10,-40,5,-39,-7,2,-4,-1
18:04:34:142896,3,11,30,9,-2,3,-4,-5
18:04:34:156383,3,8,8,-6,2,6,0,-2
18:04:34:164637,3,8,8,-6,2,6,0,-2
18:04:34:165341,-10,-3,31,9,2,19,-3,-5
18:04:34:171385,-4,7,67,12,-6,5,-2,-3
18:04:34:178894,-4,7,67,12,-6,5,-2,-3
18:04:34:186337,4,18,-3,14,11,8,0,3
18:04:34:193887,1,2,47,1,-2,-20,-2,2
18:04:34:202135,1,2,47,1,-2,-20,-2,2
18:04:34:202856,4,16,6,4,-1,0,0,1
18:04:34:216391,2,-8,-39,-32,-10,-1,1,-4
18:04:34:224559,2,-8,-39,-32,-10,-1,1,-4
