Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
18:04:33:646336,-8326,6627,3582,11931,1929,-285,1277,272,-41,61
18:04:33:653847,-8326,6627,3582,11931,1929,-285,1277,272,-41,61
18:04:33:662088,-8360,6590,3600,11922,1863,-218,1389,267,96,76
18:04:33:662878,-8360,6590,3600,11922,1863,-218,1389,267,96,76
18:04:33:676427,-8360,6590,3600,11922,1863,-218,1389,267,96,76
18:04:33:684564,-8400,6537,3595,11924,1670,-151,1495,191,155,116
18:04:33:685354,-8400,6537,3595,11924,1670,-151,1495,191,155,116
18:04:33:691331,-8400,6537,3595,11924,1670,-151,1495,191,155,116
18:04:33:698924,-8429,6520,3561,11924,1583,-322,1446,7,77,113
18:04:33:706376,-8429,6520,3561,11924,1583,-322,1446,7,77,113
18:04:33:713866,-8429,6520,3561,11924,1583,-322,1446,7,77,113
18:04:33:722104,-8458,6497,3546,11920,1602,-315,1541,93,6,82
18:04:33:722871,-8458,6497,3546,11920,1602,-315,1541,93,6,82
18:04:33:737087,-8458,6497,3546,11920,1602,-315,1541,93,6,82
18:04:33:737887,-8487,6476,3551,11910,1606,-270,1435,173,-22,72
18:04:33:743855,-8487,6476,3551,11910,1606,-270,1435,173,-22,72
18:04:33:751373,-8487,6476,3551,11910,1606,-270,1435,173,-22,72
18:04:33:758955,-8527,6453,3562,11890,1683,-284,1360,247,20,128
18:04:33:766375,-8527,6453,3562,11890,1683,-284,1360,247,20,128
18:04:33:773873,-8527,6453,3562,11890,1683,-284,1360,247,20,128
18:04:33:782086,-8589,6415,3567,11865,1653,-334,1295,335,134,207
18:04:33:782896,-8589,6415,3567,11865,1653,-334,1295,335,134,207
18:04:33:796368,-8589,6415,3567,11865,1653,-334,1295,335,134,207
18:04:33:804591,-8666,6364,3560,11839,1566,-326,1303,364,220,282
18:04:33:805364,-8666,6364,3560,11839,1566,-326,1303,364,220,282
18:04:33:811354,-8666,6364,3560,11839,1566,-326,1303,364,220,282
18:04:33:818934,-8737,6298,3540,11828,1490,-246,1332,289,313,256
18:04:33:826412,-8737,6298,3540,11828,1490,-246,1332,289,313,256
18:04:33:833977,-8737,6298,3540,11828,1490,-246,1332,289,313,256
18:04:33:842071,-8795,6241,3489,11830,1370,-280,1397,107,324,225
18:04:33:842857,-8795,6241,3489,11830,1370,-280,1397,107,324,225
18:04:33:856402,-8795,6241,3489,11830,1370,-280,1397,107,324,225
18:04:33:864549,-8842,6203,3441,11829,1337,-339,1368,58,226,186
18:04:33:865330,-8842,6203,3441,11829,1337,-339,1368,58,226,186
18:04:33:871393,-8842,6203,3441,11829,1337,-339,1368,58,226,186
18:04:33:878915,-8878,6176,3424,11821,1397,-317,1255,135,142,120
18:04:33:886323,-8878,6176,3424,11821,1397,-317,1255,135,142,120
18:04:33:893879,-8878,6176,3424,11821,1397,-317,1255,135,142,120
18:04:33:902055,-8908,6154,3437,11806,1581,-243,1156,214,107,104
18:04:33:902845,-8908,6154,3437,11806,1581,-243,1156,214,107,104
18:04:33:916387,-8908,6154,3437,11806,1581,-243,1156,214,107,104
18:04:33:924560,-8935,6131,3461,11791,1649,-164,1152,236,106,102
18:04:33:925348,-8935,6131,3461,11791,1649,-164,1152,236,106,102
18:04:33:931401,-8935,6131,3461,11791,1649,-164,1152,236,106,102
18:04:33:938937,-8960,6116,3481,11773,1621,-164,1099,188,87,115
18:04:33:946335,-8960,6116,3481,11773,1621,-164,1099,188,87,115
18:04:33:953817,-8960,6116,3481,11773,1621,-164,1099,188,87,115
18:04:33:962092,-8991,6109,3508,11746,1550,-228,1073,246,12,133
18:04:33:962891,-8991,6109,3508,11746,1550,-228,1073,246,12,133
18:04:33:976402,-8991,6109,3508,11746,1550,-228,1073,246,12,133
18:04:33:984550,-9023,6094,3558,11714,1610,-173,1109,352,-37,123
18:04:33:985329,-9023,6094,3558,11714,1610,-173,1109,352,-37,123
18:04:33:991337,-9023,6094,3558,11714,1610,-173,1109,352,-37,123
18:04:33:998917,-9038,6085,3635,11683,1602,8,1002,348,-124,69
18:04:34:6368,-9038,6085,3635,11683,1602,8,1002,348,-124,69
18:04:34:13837,-9038,6085,3635,11683,1602,8,1002,348,-124,69
18:04:34:22102,-9033,6107,3696,11657,1704,-10,1034,150,-199,38
18:04:34:22895,-9033,6107,3696,11657,1704,-10,1034,150,-199,38
18:04:34:36346,-9033,6107,3696,11657,1704,-10,1034,150,-199,38
