Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
17:58:00:828021,2,0,1,0,-3,0,-2,-1
17:58:00:828742,-1,0,-1,-1,-2,0,0,2
17:58:00:842991,0,1,-2,-3,1,-3,1,0
17:58:00:843853,0,1,-2,-3,1,-3,1,0
17:58:00:849735,-1,0,-1,0,-1,0,-2,-1
17:58:00:857217,-1,1,-1,-1,-2,-1,-3,-1
17:58:00:872980,-1,1,-1,-1,-2,-1,-3,-1
17:58:00:873795,1,1,-4,0,0,1,1,-1
17:58:00:879708,-2,-1,-2,-2,0,0,0,-1
17:58:00:887950,-2,-1,-2,-2,0,0,0,-1
17:58:00:888777,1,-1,0,-1,0,-1,1,-1
17:58:00:894737,0,-2,-3,0,0,-2,1,-1
17:58:00:902314,0,-2,-3,0,0,-2,1,-1
17:58:00:909784,-2,-1,-2,0,0,0,0,-1
17:58:00:917211,0,2,-2,-1,-3,-3,-2,-1
17:58:00:925496,0,2,-2,-1,-3,-3,-2,-1
17:58:00:926283,-2,1,-2,-3,-2,-2,0,-3
17:58:00:939748,-2,-1,1,-1,-1,-3,-3,0
17:58:00:947964,-2,-1,1,-1,-1,-3,-3,0
17:58:00:948781,-1,-4,1,-1,-1,-1,-2,-1
17:58:00:954774,-1,0,-2,-2,2,2,0,-1
17:58:00:962320,-1,0,-2,-2,2,2,0,-1
17:58:00:969794,-1,-2,1,-2,1,-1,-6,-2
17:58:00:977248,0,-2,1,-2,-3,-1,-3,1
17:58:00:985433,0,-2,1,-2,-3,-1,-3,1
17:58:00:986262,3,-2,-1,-2,-2,0,-1,-1
17:58:01:8595,-1,-4,-2,-1,1,-2,-1,-3
17:58:01:9410,-1,-4,-2,-1,1,-2,-1,-3
17:58:01:10206,-2,-1,0,-2,-33,0,0,-1
17:58:01:14735,1,-2,-3,0,-30,-1,-2,-3
17:58:01:22304,1,-2,-3,0,-30,-1,-2,-3
17:58:01:29752,0,-1,-3,0,13,-1,-1,-2
17:58:01:37264,-2,-2,-1,-1,19,-2,-2,0
17:58:01:52960,-2,-2,-1,-1,19,-2,-2,0
17:58:01:53774,1,-1,0,-3,17,-1,-3,-2
17:58:01:59731,-2,-2,-1,-1,10,1,-2,-2
17:58:01:67969,-2,-2,-1,-1,10,1,-2,-2
17:58:01:68826,-3,2,-3,1,2,-2,-2,-1
17:58:01:74762,0,0,-2,-1,3,-3,-2,-2
17:58:01:82304,0,0,-2,-1,3,-3,-2,-2
17:58:01:89763,-1,0,1,-3,2,-3,-1,0
17:58:01:97259,0,-1,-1,0,-3,2,-1,-1
17:58:01:105431,0,-1,-1,0,-3,2,-1,-1
17:58:01:106236,0,2,-1,-1,0,1,-3,-1
17:58:01:119758,-1,-4,0,0,-1,-2,1,2
17:58:01:127927,-1,-4,0,0,-1,-2,1,2
17:58:01:128747,-1,-1,-2,-1,-4,2,1,1
17:58:01:134753,-2,2,-1,1,-2,-2,0,-4
17:58:01:142267,-2,2,-1,1,-2,-2,0,-4
17:58:01:149781,-3,-1,1,-2,-2,-3,0,1
17:58:01:157269,-1,-2,0,-1,-1,-3,0,-1
17:58:01:165448,-1,-2,0,-1,-1,-3,0,-1
17:58:01:166250,-3,0,-3,-2,-2,-1,-1,-4
17:58:01:180401,0,2,2,-1,-1,-1,-2,-2
17:58:01:181244,0,2,2,-1,-1,-1,-2,-2
17:58:01:187277,0,0,0,-1,0,0,-2,-1
17:58:01:194766,1,1,-2,-2,-3,-1,-1,0
17:58:01:202282,1,1,-2,-2,-3,-1,-1,0
17:58:01:209820,2,-4,1,-2,-2,-1,0,-1
17:58:01:217227,-2,-3,0,-2,1,-1,1,2
17:58:01:225468,-2,-3,0,-2,1,-1,1,2
17:58:01:226232,-2,0,-1,1,-2,-2,-2,1
17:58:01:240455,-1,-1,-2,-1,-1,-2,-1,1
17:58:01:241245,-1,-1,-2,-1,-1,-2,-1,1
17:58:01:247217,-1,0,-1,2,-2,0,-1,-3
17:58:01:254724,0,2,-2,-4,-2,1,3,-2
17:58:01:262310,0,2,-2,-4,-2,1,3,-2
17:58:01:269734,-1,-2,0,0,1,-2,1,-2
17:58:01:286095,-1,1,-1,0,-5,-3,1,-4
17:58:01:286906,-1,1,-1,0,-5,-3,1,-4
17:58:01:287709,-1,-3,-1,-4,-4,1,-2,0
17:58:01:300447,0,0,-2,-2,0,0,0,0
17:58:01:301234,0,0,-2,-2,0,0,0,0
17:58:01:307204,-1,0,-4,-3,-1,-4,0,0
17:58:01:314690,-3,-1,0,0,-2,1,-2,1
17:58:01:322280,-3,-1,0,0,-2,1,-2,1
17:58:01:329712,-3,-1,-1,1,-2,2,-1,-1
17:58:01:337235,-2,-3,-3,-1,1,-2,-4,-1
17:58:01:345465,-2,-3,-3,-1,1,-2,-4,-1
17:58:01:346264,-1,-3,0,-1,0,-1,-1,0
17:58:01:360674,-1,-1,-4,-1,0,0,-4,-2
17:58:01:361260,-1,-1,-4,-1,0,0,-4,-2
17:58:01:367216,1,-3,0,-1,-3,-2,-1,-1
17:58:01:374738,-1,1,-1,0,-3,-2,1,-1
17:58:01:382310,-1,1,-1,0,-3,-2,1,-1
17:58:01:397897,-2,-2,-2,-1,-1,-2,-1,-2
17:58:01:398672,-2,1,1,-2,0,1,-3,-1
17:58:01:405452,-2,1,1,-2,0,1,-3,-1
17:58:01:406260,-2,-1,-2,0,-1,-1,-2,-1
17:58:01:420444,0,2,-4,-2,-3,-1,-1,1
17:58:01:421259,0,2,-4,-2,-3,-1,-1,1
17:58:01:427198,0,2,1,0,2,0,-3,0
17:58:01:434725,1,-5,1,-1,0,0,-1,0
17:58:01:442314,1,-5,1,-1,0,0,-1,0
17:58:01:449732,0,-1,-1,-1,1,-3,-2,-3
17:58:01:457248,-2,-2,-2,-1,3,-3,2,0
17:58:01:465561,-2,-2,-2,-1,3,-3,2,0
17:58:01:466271,-3,-1,-4,-1,-1,0,0,-1
17:58:01:480422,0,2,-3,-2,9,-1,0,0
17:58:01:481260,0,2,-3,-2,9,-1,0,0
17:58:01:487219,-1,1,0,-2,13,-1,-1,1
17:58:01:494717,-1,-1,1,-1,-2,0,-2,0
17:58:01:502319,-1,-1,1,-1,-2,0,-2,0
17:58:01:517906,0,-3,0,-2,-7,0,3,-1
17:58:01:518675,-2,-3,-1,-2,-11,2,-2,-2
17:58:01:525487,-2,-3,-1,-2,-11,2,-2,-2
17:58:01:526233,1,0,0,1,-6,-2,-3,-2
17:58:01:547653,0,-1,0,-1,0,0,0,0
17:58:01:556154,0,-1,0,-1,0,0,0,0
17:58:01:556894,-3,1,-2,-3,-1,1,-1,1
17:58:01:557689,0,-2,-1,-2,4,-2,-1,2
17:58:01:562255,0,-2,-1,-2,4,-2,-1,2
17:58:01:569833,-1,0,-1,0,-5,0,-1,-1
17:58:01:577300,-1,1,-2,-2,-2,0,0,-1
17:58:01:585490,-1,1,-2,-2,-2,0,0,-1
17:58:01:586239,1,1,-2,0,-6,-2,-1,-1
17:58:01:600460,-4,-1,0,2,-1,-2,-2,-3
17:58:01:601222,-4,-1,0,2,-1,-2,-2,-3
17:58:01:607224,-3,2,0,-2,2,0,1,-2
17:58:01:614748,1,0,0,-3,1,-1,-3,1
17:58:01:622291,1,0,0,-3,1,-1,-3,1
17:58:01:629831,-1,-3,-2,-2,0,0,2,1
17:58:01:646084,-1,-1,-2,0,-1,2,-1,-3
17:58:01:646894,-1,-1,-2,0,-1,2,-1,-3
17:58:01:647702,0,-2,0,-3,-3,-3,-1,0
17:58:01:660408,0,-2,-1,-3,-3,-2,-1,-3
17:58:01:661243,0,-2,-1,-3,-3,-2,-1,-3
17:58:01:667224,0,1,-1,-1,0,-1,0,-1
17:58:01:682930,-2,-2,-1,0,-4,-4,-1,-2
17:58:01:683707,-2,-2,-1,0,-4,-4,-1,-2
17:58:01:689746,-3,0,-1,-2,-4,-1,-1,-2
17:58:01:697262,-1,-1,0,-3,-2,-3,-1,1
17:58:01:705450,-1,-1,0,-3,-2,-3,-1,1
17:58:01:706217,0,-1,-2,-1,-2,-1,0,-2
17:58:01:719780,-2,0,1,-2,-1,0,2,-2
17:58:01:727951,-2,0,1,-2,-1,0,2,-2
17:58:01:728752,-1,-1,-2,0,0,0,-2,-1
17:58:01:734759,1,-2,-1,1,-2,-4,-1,1
17:58:01:742325,1,-2,-1,1,-2,-4,-1,1
17:58:01:749698,0,-2,-4,1,-1,0,-1,-3
17:58:01:766091,-1,-2,-2,-1,-2,-1,0,-1
17:58:01:766902,-1,-2,-2,-1,-2,-1,0,-1
17:58:01:767703,-1,-1,-1,-2,1,-1,-2,-1
17:58:01:779756,-3,0,-3,2,0,1,-1,-2
17:58:01:787979,-3,0,-3,2,0,1,-1,-2
17:58:01:788746,-1,-5,0,-5,1,-3,-1,3
17:58:01:802955,-2,-2,0,4,3,-3,2,-1
17:58:01:803767,-2,-2,0,4,3,-3,2,-1
17:58:01:809733,0,0,-1,5,-5,1,-4,-1
17:58:01:817229,-2,-1,-3,-4,-11,1,1,-1
17:58:01:824808,-2,-1,-3,-4,-11,1,1,-1
17:58:01:832261,-1,0,-2,-2,2,-4,-2,-2
17:58:01:839761,2,-1,2,0,9,1,-3,-2
17:58:01:847946,2,-1,2,0,9,1,-3,-2
17:58:01:848719,-2,2,-1,-3,4,-3,-1,-3
17:58:01:862963,0,-2,0,-5,2,2,-1,-1
17:58:01:863704,0,-2,0,-5,2,2,-1,-1
17:58:01:869782,-1,0,2,1,1,-1,0,0
17:58:01:877271,1,-1,2,1,0,-2,-3,-2
17:58:01:884773,1,-1,2,1,0,-2,-3,-2
17:58:01:892265,-1,1,-1,-7,-1,-2,0,-1
17:58:01:899766,-1,-2,-4,-4,1,-3,-1,0
17:58:01:907946,-1,-2,-4,-4,1,-3,-1,0
17:58:01:908745,-1,1,2,3,-2,0,0,0
17:58:01:922925,-2,1,-3,-6,-4,-1,-5,-1
17:58:01:923760,-2,1,-3,-6,-4,-1,-5,-1
17:58:01:929693,-1,-2,-2,-4,-5,-1,-1,3
17:58:01:937258,-1,2,-1,2,-3,-2,0,-1
17:58:01:952949,-1,2,-1,2,-3,-2,0,-1
17:58:01:953761,-1,-1,-2,-4,-2,-2,0,-4
17:58:01:959746,0,0,0,0,-1,-2,0,-2
17:58:01:967939,0,0,0,0,-1,-2,0,-2
17:58:01:968718,-1,-2,-3,-1,-5,-2,0,-1
17:58:01:982911,0,-1,-5,-3,-3,3,-1,-1
17:58:01:983731,0,-1,-5,-3,-3,3,-1,-1
17:58:01:989759,-2,-1,1,-1,0,-3,-1,-2
17:58:01:997259,-2,-2,-2,-1,-1,0,-1,2
17:58:02:4759,-2,-2,-2,-1,-1,0,-1,2
17:58:02:12271,-2,-1,-1,1,0,0,-3,0
17:58:02:19762,-1,-1,-1,-3,-2,0,0,-2
17:58:02:28191,-1,-1,-1,-3,-2,0,0,-2
17:58:02:28748,-1,-1,0,0,0,0,-2,0
17:58:02:42954,-1,-1,0,-4,-1,-1,-2,-2
17:58:02:43733,-1,-1,0,-4,-1,-1,-2,-2
17:58:02:49755,-1,-1,-1,0,-3,-1,-2,-2
17:58:02:57275,-1,3,1,3,-3,-5,-1,-1
17:58:02:64794,-1,3,1,3,-3,-5,-1,-1
17:58:02:72207,0,-2,-5,-3,-2,0,-1,-2
17:58:02:79700,-2,-1,0,-4,0,-1,-2,-1
17:58:02:87980,-2,-1,0,-4,0,-1,-2,-1
17:58:02:88798,-1,-6,-1,-1,0,-1,-2,-1
17:58:02:102995,0,-1,-1,3,2,0,2,-1
17:58:02:103741,0,-1,-1,3,2,0,2,-1
17:58:02:109722,-3,-1,0,-1,-2,-3,0,1
17:58:02:117225,1,-1,-1,-6,-2,-3,-1,-2
17:58:02:124780,1,-1,-1,-6,-2,-3,-1,-2
17:58:02:132257,-1,-1,-2,1,1,-1,1,0
17:58:02:139733,-3,2,-3,1,0,0,-2,-2
17:58:02:147982,-3,2,-3,1,0,0,-2,-2
17:58:02:148789,0,1,-2,-2,-1,0,0,-2
17:58:02:162944,-1,-3,-1,-1,0,1,1,-2
17:58:02:163733,-1,-3,-1,-1,0,1,1,-2
17:58:02:169726,0,0,-2,0,1,-2,-1,-2
17:58:02:177247,0,-2,1,6,-1,-2,-2,0
17:58:02:184804,0,-2,1,6,-1,-2,-2,0
17:58:02:192234,0,-2,0,3,-3,1,1,-3
17:58:02:199735,-5,-2,-1,-6,-4,-1,0,0
17:58:02:207914,-5,-2,-1,-6,-4,-1,0,0
17:58:02:208701,-2,2,-2,0,1,0,-4,-4
17:58:02:222665,-1,0,-1,-2,-1,0,0,-2
17:58:02:230451,-1,0,-1,-2,-1,0,0,-2
17:58:02:231270,-1,2,0,-3,-1,-1,2,1
17:58:02:237248,1,-1,-3,0,0,0,-2,-2
17:58:02:244750,1,-1,-3,0,0,0,-2,-2
17:58:02:252269,-2,-1,-1,-5,-3,-1,1,1
17:58:02:259811,1,-1,2,0,0,-1,1,2
17:58:02:267947,1,-1,2,0,0,-1,1,2
17:58:02:268720,0,-3,-2,-3,-2,1,-2,-1
17:58:02:282925,-2,1,-1,-2,-3,0,-1,-2
17:58:02:283744,-2,1,-1,-2,-3,0,-1,-2
17:58:02:289773,-1,-2,5,1,3,1,1,0
17:58:02:297275,2,3,2,3,-3,-2,-2,1
17:58:02:304782,2,3,2,3,-3,-2,-2,1
17:58:02:312228,0,6,-3,-1,-4,-2,-2,0
17:58:02:319764,-2,3,5,4,0,-2,0,-2
17:58:02:327923,-2,3,5,4,0,-2,0,-2
17:58:02:328754,-2,-11,-32,-8,-2,-2,-1,-3
17:58:02:342948,0,-3,0,1,-1,1,-3,-2
17:58:02:343735,0,-3,0,1,-1,1,-3,-2
17:58:02:349767,0,2,8,7,0,-4,1,-2
17:58:02:357217,-2,-2,-2,-6,-3,-3,-1,1
17:58:02:364801,-2,-2,-2,-6,-3,-3,-1,1
17:58:02:372204,3,3,-17,-10,-2,2,1,1
17:58:02:379707,2,2,6,-3,-5,-1,1,-1
17:58:02:387979,2,2,6,-3,-5,-1,1,-1
17:58:02:388779,0,6,6,-1,0,0,2,-2
17:58:02:402954,-3,-6,-9,-4,1,-2,-2,-1
17:58:02:403735,-3,-6,-9,-4,1,-2,-2,-1
17:58:02:409769,-2,-3,3,1,3,-1,-3,-2
17:58:02:417214,-3,-2,-3,2,0,-2,0,0
17:58:02:424805,-3,-2,-3,2,0,-2,0,0
17:58:02:432222,0,4,-1,-1,-1,-1,-2,1
17:58:02:439794,1,3,2,1,-1,-1,-3,0
17:58:02:447964,1,3,2,1,-1,-1,-3,0
17:58:02:448760,-4,-5,3,3,-4,-3,-3,-1
17:58:02:462939,-2,1,-8,-9,-2,0,-1,-3
17:58:02:463775,-2,1,-8,-9,-2,0,-1,-3
17:58:02:477939,0,-4,7,-5,-2,-2,0,0
17:58:02:478723,1,2,7,-3,0,-2,0,-1
17:58:02:484783,1,2,7,-3,0,-2,0,-1
17:58:02:492225,-1,0,3,2,-2,-3,0,-4
17:58:02:508574,-2,-5,-6,1,3,-2,-1,-1
17:58:02:509388,-2,-5,-6,1,3,-2,-1,-1
17:58:02:510182,-3,2,-26,-5,-2,1,-1,1
17:58:02:522936,-2,1,8,-1,-2,-1,-3,-1
17:58:02:523726,-2,1,8,-1,-2,-1,-3,-1
17:58:02:529766,-3,2,7,3,1,0,-2,0
17:58:02:537250,-1,-4,-2,-2,-1,-1,0,-1
17:58:02:544762,-1,-4,-2,-2,-1,-1,0,-1
17:58:02:560396,-1,0,22,1,1,0,-1,-1
17:58:02:561178,1,0,6,2,-1,2,-1,-1
17:58:02:567942,1,0,6,2,-1,2,-1,-1
17:58:02:568702,-1,-3,3,-4,-4,-2,0,1
17:58:02:582918,-1,1,-5,-1,-3,-2,-1,0
17:58:02:583720,-1,1,-5,-1,-3,-2,-1,0
17:58:02:589752,-1,1,-10,-2,-1,-2,0,0
17:58:02:597266,-2,-3,-2,-3,0,-3,1,-1
17:58:02:604771,-2,-3,-2,-3,0,-3,1,-1
17:58:02:612259,-1,-7,-2,-2,3,2,0,-2
17:58:02:620408,-1,2,-9,-3,2,0,-1,1
17:58:02:621258,-1,2,-9,-3,2,0,-1,1
17:58:02:634775,0,-2,-9,4,0,-3,-3,-4
17:58:02:642922,0,1,-10,-5,0,-2,-2,-3
