Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
17:58:00:828021,-13073,405,9850,596,1911,67,680,364,-134,-57
17:58:00:828742,-13073,405,9850,596,1911,67,680,364,-134,-57
17:58:00:842991,-13073,405,9850,596,1911,67,680,364,-134,-57
17:58:00:843853,-13072,343,9854,568,1901,73,672,365,-79,-53
17:58:00:849735,-13072,343,9854,568,1901,73,672,365,-79,-53
17:58:00:857217,-13072,343,9854,568,1901,73,672,365,-79,-53
17:58:00:872980,-13075,285,9854,544,1919,103,633,325,-24,-45
17:58:00:873795,-13075,285,9854,544,1919,103,633,325,-24,-45
17:58:00:879708,-13075,285,9854,544,1919,103,633,325,-24,-45
17:58:00:887950,-13081,240,9848,533,1955,151,588,217,38,-38
17:58:00:888777,-13081,240,9848,533,1955,151,588,217,38,-38
17:58:00:894737,-13081,240,9848,533,1955,151,588,217,38,-38
17:58:00:902314,-13092,219,9834,543,1945,208,563,32,108,-22
17:58:00:909784,-13092,219,9834,543,1945,208,563,32,108,-22
17:58:00:917211,-13092,219,9834,543,1945,208,563,32,108,-22
17:58:00:925496,-13107,229,9811,568,1943,190,555,-152,159,3
17:58:00:926283,-13107,229,9811,568,1943,190,555,-152,159,3
17:58:00:939748,-13107,229,9811,568,1943,190,555,-152,159,3
17:58:00:947964,-13127,258,9783,599,1986,143,574,-255,201,22
17:58:00:948781,-13127,258,9783,599,1986,143,574,-255,201,22
17:58:00:954774,-13127,258,9783,599,1986,143,574,-255,201,22
17:58:00:962320,-13151,292,9747,624,1980,86,600,-252,239,38
17:58:00:969794,-13151,292,9747,624,1980,86,600,-252,239,38
17:58:00:977248,-13151,292,9747,624,1980,86,600,-252,239,38
17:58:00:985433,-13181,320,9705,638,1971,51,619,-184,277,50
17:58:00:986262,-13181,320,9705,638,1971,51,619,-184,277,50
17:58:01:8595,-13181,320,9705,638,1971,51,619,-184,277,50
17:58:01:9410,-13215,336,9659,641,1928,51,640,-89,306,64
17:58:01:10206,-13215,336,9659,641,1928,51,640,-89,306,64
17:58:01:14735,-13215,336,9659,641,1928,51,640,-89,306,64
17:58:01:22304,-13250,343,9611,637,1904,79,636,-33,322,84
17:58:01:29752,-13250,343,9611,637,1904,79,636,-33,322,84
17:58:01:37264,-13250,343,9611,637,1904,79,636,-33,322,84
17:58:01:52960,-13285,350,9561,630,1891,89,655,-31,326,102
17:58:01:53774,-13285,350,9561,630,1891,89,655,-31,326,102
17:58:01:59731,-13285,350,9561,630,1891,89,655,-31,326,102
17:58:01:67969,-13321,360,9512,620,1883,66,675,-29,320,118
17:58:01:68826,-13321,360,9512,620,1883,66,675,-29,320,118
17:58:01:74762,-13321,360,9512,620,1883,66,675,-29,320,118
17:58:01:82304,-13355,371,9465,605,1871,12,691,-5,306,118
17:58:01:89763,-13355,371,9465,605,1871,12,691,-5,306,118
17:58:01:97259,-13355,371,9465,605,1871,12,691,-5,306,118
17:58:01:105431,-13387,374,9421,585,1863,-15,696,46,283,103
17:58:01:106236,-13387,374,9421,585,1863,-15,696,46,283,103
17:58:01:119758,-13387,374,9421,585,1863,-15,696,46,283,103
17:58:01:127927,-13415,369,9382,562,1863,-14,698,98,255,87
17:58:01:128747,-13415,369,9382,562,1863,-14,698,98,255,87
17:58:01:134753,-13415,369,9382,562,1863,-14,698,98,255,87
17:58:01:142267,-13439,356,9350,541,1858,8,708,120,217,66
17:58:01:149781,-13439,356,9350,541,1858,8,708,120,217,66
17:58:01:157269,-13439,356,9350,541,1858,8,708,120,217,66
17:58:01:165448,-13458,342,9324,523,1861,12,704,119,175,50
17:58:01:166250,-13458,342,9324,523,1861,12,704,119,175,50
17:58:01:180401,-13458,342,9324,523,1861,12,704,119,175,50
17:58:01:181244,-13471,327,9306,505,1862,4,692,122,132,38
17:58:01:187277,-13471,327,9306,505,1862,4,692,122,132,38
17:58:01:194766,-13471,327,9306,505,1862,4,692,122,132,38
17:58:01:202282,-13480,308,9295,487,1878,7,687,140,96,24
17:58:01:209820,-13480,308,9295,487,1878,7,687,140,96,24
17:58:01:217227,-13480,308,9295,487,1878,7,687,140,96,24
17:58:01:225468,-13485,284,9289,472,1872,38,662,154,68,12
17:58:01:226232,-13485,284,9289,472,1872,38,662,154,68,12
17:58:01:240455,-13485,284,9289,472,1872,38,662,154,68,12
17:58:01:241245,-13487,259,9288,458,1868,59,648,152,51,7
17:58:01:247217,-13487,259,9288,458,1868,59,648,152,51,7
17:58:01:254724,-13487,259,9288,458,1868,59,648,152,51,7
17:58:01:262310,-13487,236,9289,447,1863,80,636,128,35,10
17:58:01:269734,-13487,236,9289,447,1863,80,636,128,35,10
17:58:01:286095,-13487,236,9289,447,1863,80,636,128,35,10
17:58:01:286906,-13485,218,9293,438,1864,76,614,98,25,15
17:58:01:287709,-13485,218,9293,438,1864,76,614,98,25,15
17:58:01:300447,-13485,218,9293,438,1864,76,614,98,25,15
17:58:01:301234,-13482,203,9298,429,1882,71,620,86,17,20
17:58:01:307204,-13482,203,9298,429,1882,71,620,86,17,20
