Time,FT1,FT2,X,Y,Z
14:26:46:393467,0,0,-0.125,0.465,0.01
14:26:46:398480,0,0,-0.125,0.465038,0.01
14:26:46:403634,0,0,-0.125007,0.465043,0.01
14:26:46:408716,0,0,-0.125007,0.465048,0.01
14:26:46:413702,0,0,-0.125007,0.465054,0.01
14:26:46:418696,0,0,-0.125007,0.465054,0.01
14:26:46:423690,0,0,-0.125007,0.465055,0.01
14:26:46:428944,0,0,-0.125007,0.46506,0.01
14:26:46:433978,0,0,-0.125007,0.46506,0.01
14:26:46:438967,0,0,-0.125007,0.46506,0.01
14:26:46:444130,0,0,-0.125007,0.46506,0.01
14:26:46:449251,0,0,-0.125007,0.46506,0.01
14:26:46:454203,0,0,-0.125007,0.465061,0.01
14:26:46:459355,0,0,-0.125007,0.465066,0.01
14:26:46:464349,0,0,-0.125007,0.465066,0.01
14:26:46:469457,0,0,-0.125007,0.465066,0.01
14:26:46:474606,0,0,-0.125007,0.465066,0.01
14:26:46:479605,0,0,-0.125007,0.465066,0.01
14:26:46:484574,0,0,-0.125007,0.465066,0.01
14:26:46:489569,0,0,-0.125007,0.465066,0.01
14:26:46:494700,0,0,-0.125007,0.465066,0.01
14:26:46:499709,0,0,-0.125007,0.465066,0.01
14:26:46:504827,0,0,-0.125007,0.465066,0.01
14:26:46:509956,0,0,-0.125007,0.465066,0.01
14:26:46:515072,0,0,-0.125007,0.465071,0.01
14:26:46:519949,0,0,-0.125007,0.465072,0.01
14:26:46:525330,0,0,-0.125007,0.465072,0.01
14:26:46:530230,0,0,-0.125007,0.465072,0.01
14:26:46:535191,0,0,-0.125007,0.465072,0.01
14:26:46:540345,0,0,-0.125007,0.465073,0.01
14:26:46:545472,0,0,-0.125007,0.465073,0.01
14:26:46:550449,0,0,-0.125007,0.465073,0.01
14:26:46:555455,0,0,-0.125007,0.465073,0.01
14:26:46:560574,0,0,-0.125007,0.465073,0.01
14:26:46:565595,0,0,-0.125007,0.465073,0.01
14:26:46:570692,0,0,-0.125007,0.465073,0.01
14:26:46:575825,0,0,-0.125007,0.465073,0.01
14:26:46:580876,0,0,-0.125007,0.465073,0.01
14:26:46:585817,0,0,-0.125007,0.465073,0.01
14:26:46:590951,0,0,-0.125007,0.465073,0.01
14:26:46:596101,0,0,-0.125007,0.465073,0.01
14:26:46:601084,0,0,-0.125007,0.465073,0.01
14:26:46:606070,0,0,-0.125007,0.465073,0.01
14:26:46:611192,0,0,-0.125007,0.465077,0.01
14:26:46:616194,0,0,-0.125007,0.465077,0.01
14:26:46:621339,0,0,-0.125007,0.465077,0.01
14:26:46:626454,0,0,-0.125007,0.465077,0.01
14:26:46:631484,0,0,-0.125007,0.465077,0.01
14:26:46:636486,-0.003,0.013,-0.125007,0.465077,0.01
14:26:46:641579,0.032,0.027,-0.125007,0.465077,0.01
14:26:46:646697,0.048,0.037,-0.125007,0.465077,0.01
14:26:46:651692,0.046,0.048,-0.125007,0.465078,0.01
14:26:46:656819,0.031,0.048,-0.125007,0.465078,0.01
14:26:46:661728,-0.004,0.04,-0.125007,0.465078,0.01
14:26:46:666945,-0.032,0.03,-0.125003,0.465078,0.01
14:26:46:671972,-0.06,0.018,-0.125003,0.465078,0.01
14:26:46:677199,-0.052,0.016,-0.125003,0.465078,0.01
14:26:46:682072,0.004,0.019,-0.125003,0.465078,0.01
