Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
14:26:46:401212,-3,-1,-3,-2,0,-2,2,0
14:26:46:402264,-2,2,2,2,0,0,-2,0
14:26:46:408061,-1,0,0,1,0,1,-2,-1
14:26:46:415617,-1,0,0,1,0,1,-2,-1
14:26:46:423088,-1,-3,-1,-2,1,1,-5,-3
14:26:46:430562,3,-1,0,-2,-2,-3,0,1
14:26:46:438804,3,-1,0,-2,-2,-3,0,1
14:26:46:439432,2,-4,-3,-1,-2,-2,0,-2
14:26:46:453036,0,0,-2,-3,-4,-5,1,-3
14:26:46:461158,0,0,-2,-3,-4,-5,1,-3
14:26:46:461939,-2,-3,1,-1,-3,-1,-2,1
14:26:46:468057,1,-1,1,0,1,1,-1,1
14:26:46:475531,1,-1,1,0,1,1,-1,1
14:26:46:482978,-1,1,-1,0,1,0,-1,-2
14:26:46:490503,-4,1,2,-1,-2,-2,-2,-1
14:26:46:498713,-4,1,2,-1,-2,-2,-2,-1
14:26:46:499485,-3,-4,-4,0,0,0,-1,-1
14:26:46:513041,-1,-3,-3,0,0,-2,-2,-1
14:26:46:521379,-1,-3,-3,0,0,-2,-2,-1
14:26:46:521974,2,-1,-3,-3,0,-1,-2,-1
14:26:46:528071,-1,-3,0,-1,0,-1,-2,-2
14:26:46:535500,-1,-3,0,-1,0,-1,-2,-2
14:26:46:543071,-1,-1,0,0,0,-2,1,-1
14:26:46:550460,1,-2,-2,-1,-3,0,1,-4
14:26:46:558836,1,-2,-2,-1,-3,0,1,-4
14:26:46:559562,-1,-2,0,-2,-1,-3,0,0
14:26:46:573024,-2,-1,-2,0,1,-2,0,-1
14:26:46:581265,-2,-1,-2,0,1,-2,0,-1
14:26:46:582011,1,-2,0,-1,-1,-2,-1,-3
14:26:46:588101,-4,2,-2,-2,1,0,-3,-3
14:26:46:595596,-4,2,-2,-2,1,0,-3,-3
14:26:46:602942,-3,0,-1,-2,-2,1,1,-3
14:26:46:610544,0,0,-1,-3,-2,-4,-6,-1
14:26:46:618691,0,0,-1,-3,-2,-4,-6,-1
14:26:46:619525,-1,3,1,1,-1,-1,-1,0
14:26:46:632944,-3,-2,-2,0,-2,3,-3,2
14:26:46:641232,-3,-2,-2,0,-2,3,-3,2
14:26:46:641956,0,-3,-3,-3,-2,1,-2,-1
