Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
14:27:14:99634,12913,-1548,-5402,8372,845,-991,1574,30,-51,49
14:27:14:100394,12906,-1543,-5405,8383,840,-985,1561,26,-57,56
14:27:14:106444,12906,-1543,-5405,8383,840,-985,1561,26,-57,56
14:27:14:113935,12906,-1543,-5405,8383,840,-985,1561,26,-57,56
14:27:14:121449,12899,-1539,-5407,8393,845,-984,1588,18,-54,51
14:27:14:128921,12899,-1539,-5407,8393,845,-984,1588,18,-54,51
14:27:14:136413,12899,-1539,-5407,8393,845,-984,1588,18,-54,51
14:27:14:144647,12890,-1534,-5411,8404,843,-983,1566,17,-64,58
14:27:14:145362,12890,-1534,-5411,8404,843,-983,1566,17,-64,58
14:27:14:160079,12890,-1534,-5411,8404,843,-983,1566,17,-64,58
14:27:14:160871,12883,-1531,-5413,8415,831,-998,1579,19,-56,52
14:27:14:166384,12883,-1531,-5413,8415,831,-998,1579,19,-56,52
14:27:14:182551,12883,-1531,-5413,8415,831,-998,1579,19,-56,52
14:27:14:183312,12876,-1526,-5416,8425,846,-995,1589,20,-59,47
14:27:14:188973,12876,-1526,-5416,8425,846,-995,1589,20,-59,47
14:27:14:196396,12876,-1526,-5416,8425,846,-995,1589,20,-59,47
14:27:14:203944,12868,-1522,-5421,8434,864,-1001,1570,18,-61,50
14:27:14:211498,12868,-1522,-5421,8434,864,-1001,1570,18,-61,50
14:27:14:227774,12868,-1522,-5421,8434,864,-1001,1570,18,-61,50
14:27:14:228603,12861,-1516,-5424,8444,853,-1002,1595,28,-60,42
14:27:14:229285,12861,-1516,-5424,8444,853,-1002,1595,28,-60,42
14:27:14:242103,12861,-1516,-5424,8444,853,-1002,1595,28,-60,42
14:27:14:242896,12855,-1509,-5427,8452,855,-997,1580,27,-59,34
14:27:14:248853,12855,-1509,-5427,8452,855,-997,1580,27,-59,34
14:27:14:256419,12855,-1509,-5427,8452,855,-997,1580,27,-59,34
14:27:14:263976,12850,-1500,-5429,8460,857,-991,1576,41,-59,32
14:27:14:271401,12850,-1500,-5429,8460,857,-991,1576,41,-59,32
14:27:14:279528,12850,-1500,-5429,8460,857,-991,1576,41,-59,32
14:27:14:280360,12845,-1491,-5432,8467,860,-979,1580,30,-59,26
14:27:14:286460,12845,-1491,-5432,8467,860,-979,1580,30,-59,26
14:27:14:302057,12845,-1491,-5432,8467,860,-979,1580,30,-59,26
14:27:14:302825,12839,-1485,-5438,8473,863,-985,1566,12,-64,26
14:27:14:308998,12839,-1485,-5438,8473,863,-985,1566,12,-64,26
14:27:14:316384,12839,-1485,-5438,8473,863,-985,1566,12,-64,26
14:27:14:323912,12835,-1479,-5443,8478,870,-981,1566,13,-54,24
14:27:14:331440,12835,-1479,-5443,8478,870,-981,1566,13,-54,24
14:27:14:339607,12835,-1479,-5443,8478,870,-981,1566,13,-54,24
14:27:14:340362,12831,-1474,-5446,8482,867,-980,1567,13,-42,19
14:27:14:346384,12831,-1474,-5446,8482,867,-980,1567,13,-42,19
14:27:14:362107,12831,-1474,-5446,8482,867,-980,1567,13,-42,19
14:27:14:362876,12828,-1469,-5449,8486,860,-987,1564,11,-43,14
14:27:14:368871,12828,-1469,-5449,8486,860,-987,1564,11,-43,14
14:27:14:376465,12828,-1469,-5449,8486,860,-987,1564,11,-43,14
14:27:14:383878,12825,-1467,-5453,8489,866,-996,1562,5,-36,12
14:27:14:391426,12825,-1467,-5453,8489,866,-996,1562,5,-36,12
14:27:14:399611,12825,-1467,-5453,8489,866,-996,1562,5,-36,12
14:27:14:400380,12822,-1463,-5455,8492,871,-994,1570,13,-33,5
14:27:14:406436,12822,-1463,-5455,8492,871,-994,1570,13,-33,5
