Time,FT1,FT2,X,Y,Z
14:04:03:855854,0,0,-0.125,0.465,0.01
14:04:03:861107,0,0,-0.125007,0.465037,0.01
14:04:03:866217,0,0,-0.125007,0.465048,0.01
14:04:03:871082,0,0,-0.125007,0.465053,0.01
14:04:03:876203,0,0,-0.125007,0.465059,0.01
14:04:03:881321,0,0,-0.125007,0.465059,0.01
14:04:03:886324,0,0,-0.125007,0.465064,0.01
14:04:03:891364,0,0,-0.125007,0.465064,0.01
14:04:03:896380,0,0,-0.125007,0.46507,0.01
14:04:03:901603,0,0,-0.125007,0.46507,0.01
14:04:03:906610,0,0,-0.125007,0.46507,0.01
14:04:03:911718,0,0,-0.125007,0.46507,0.01
14:04:03:916821,0,0,-0.125007,0.46507,0.01
14:04:03:921823,0,0,-0.125007,0.46507,0.01
14:04:03:926832,0,0,-0.125007,0.465075,0.01
14:04:03:931947,0,0,-0.125007,0.465075,0.01
14:04:03:936946,0,0,-0.125007,0.465075,0.01
14:04:03:942076,0,0,-0.125007,0.465075,0.01
14:04:03:947201,0,0,-0.125007,0.465075,0.01
14:04:03:952206,0,0,-0.125007,0.465075,0.01
14:04:03:957198,0,0,-0.125007,0.465075,0.01
14:04:03:962329,0,0,-0.125007,0.465075,0.01
14:04:03:967329,0,0,-0.125007,0.465075,0.01
14:04:03:972452,0,0,-0.125007,0.465075,0.01
14:04:03:977449,0,0,-0.125007,0.465075,0.01
14:04:03:982596,0,0,-0.125007,0.465076,0.01
14:04:03:987576,0,0,-0.125007,0.465076,0.01
14:04:03:992701,0,0,-0.125007,0.465076,0.01
14:04:03:997703,0,0,-0.125007,0.465076,0.01
14:04:04:2851,0,0,-0.125007,0.465076,0.01
14:04:04:7746,0,0,-0.125007,0.465076,0.01
14:04:04:12950,0,0,-0.125007,0.465076,0.01
14:04:04:18088,0,0,-0.125007,0.465076,0.01
14:04:04:23093,0,0,-0.125007,0.465081,0.01
14:04:04:28215,0,0,-0.125007,0.465081,0.01
14:04:04:33220,0,0,-0.125007,0.465081,0.01
14:04:04:38192,0,0,-0.125007,0.465081,0.01
14:04:04:43328,0,0,-0.125007,0.465081,0.01
14:04:04:48471,0,0,-0.125007,0.465081,0.01
14:04:04:53441,0,0,-0.125007,0.465081,0.01
14:04:04:58452,0,0,-0.125007,0.465081,0.01
