Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
14:04:36:339529,11206,-5936,1119,-10315,713,-1181,1520,37,-131,125
14:04:36:340310,11206,-5936,1119,-10315,713,-1181,1520,37,-131,125
14:04:36:354468,11206,-5936,1119,-10315,713,-1181,1520,37,-131,125
14:04:36:355285,11228,-5936,1112,-10291,707,-1207,1542,52,-109,137
14:04:36:361312,11228,-5936,1112,-10291,707,-1207,1542,52,-109,137
14:04:36:368807,11228,-5936,1112,-10291,707,-1207,1542,52,-109,137
14:04:36:376385,11250,-5934,1101,-10269,703,-1185,1526,68,-108,131
14:04:36:383810,11250,-5934,1101,-10269,703,-1185,1526,68,-108,131
14:04:36:391381,11250,-5934,1101,-10269,703,-1185,1526,68,-108,131
14:04:36:399511,11270,-5938,1089,-10245,734,-1178,1492,52,-123,135
14:04:36:400334,11270,-5938,1089,-10245,734,-1178,1492,52,-123,135
14:04:36:414534,11270,-5938,1089,-10245,734,-1178,1492,52,-123,135
14:04:36:415358,11289,-5948,1076,-10221,771,-1185,1475,36,-121,138
14:04:36:421277,11289,-5948,1076,-10221,771,-1185,1475,36,-121,138
14:04:36:428844,11289,-5948,1076,-10221,771,-1185,1475,36,-121,138
14:04:36:436338,11306,-5958,1066,-10197,791,-1203,1458,33,-105,141
14:04:36:451894,11306,-5958,1066,-10197,791,-1203,1458,33,-105,141
14:04:36:452707,11306,-5958,1066,-10197,791,-1203,1458,33,-105,141
14:04:36:459616,11323,-5966,1058,-10174,804,-1211,1453,44,-84,144
14:04:36:460327,11323,-5966,1058,-10174,804,-1211,1453,44,-84,144
14:04:36:474596,11323,-5966,1058,-10174,804,-1211,1453,44,-84,144
14:04:36:475301,11341,-5969,1049,-10153,809,-1201,1469,54,-65,145
14:04:36:481335,11341,-5969,1049,-10153,809,-1201,1469,54,-65,145
14:04:36:488854,11341,-5969,1049,-10153,809,-1201,1469,54,-65,145
14:04:36:496437,11359,-5972,1047,-10132,775,-1199,1456,33,-48,149
14:04:36:503818,11359,-5972,1047,-10132,775,-1199,1456,33,-48,149
14:04:36:511386,11359,-5972,1047,-10132,775,-1199,1456,33,-48,149
14:04:36:519434,11376,-5972,1049,-10112,754,-1198,1473,26,-32,149
14:04:36:520260,11376,-5972,1049,-10112,754,-1198,1473,26,-32,149
14:04:36:534525,11376,-5972,1049,-10112,754,-1198,1473,26,-32,149
14:04:36:535370,11394,-5969,1053,-10094,762,-1199,1473,31,0,147
14:04:36:541360,11394,-5969,1053,-10094,762,-1199,1473,31,0,147
14:04:36:548790,11394,-5969,1053,-10094,762,-1199,1473,31,0,147
14:04:36:556462,11409,-5965,1063,-10077,733,-1203,1485,8,8,140
14:04:36:563812,11409,-5965,1063,-10077,733,-1203,1485,8,8,140
14:04:36:571314,11409,-5965,1063,-10077,733,-1203,1485,8,8,140
14:04:36:579576,11425,-5959,1073,-10062,722,-1214,1488,16,23,132
14:04:36:580270,11425,-5959,1073,-10062,722,-1214,1488,16,23,132
14:04:36:594616,11425,-5959,1073,-10062,722,-1214,1488,16,23,132
