Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
14:05:00:242098,1,7,15,17,7,1,-1,0
14:05:00:249642,1,7,15,17,7,1,-1,0
14:05:00:257009,-3,2,8,6,1,-1,-6,-1
14:05:00:265280,-3,2,8,6,1,-1,-6,-1
14:05:00:266060,-2,-3,-2,-4,2,-2,-2,-1
14:05:00:272061,-1,6,7,-2,-4,1,-2,0
14:05:00:287736,-1,6,7,-2,-4,1,-2,0
14:05:00:288578,-2,-1,5,6,-4,2,2,-1
14:05:00:294603,2,-3,-8,-5,-3,-3,14,1
14:05:00:310245,2,-3,-8,-5,-3,-3,14,1
14:05:00:311030,-6,3,-1,-2,-3,-3,-2,-3
14:05:00:317087,5,4,5,6,-3,-1,-6,1
14:05:00:325353,5,4,5,6,-3,-1,-6,1
14:05:00:326072,1,-3,-17,-12,-2,2,3,1
14:05:00:332076,-3,-2,-7,-14,-5,-4,-6,-1
14:05:00:347875,-3,-2,-7,-14,-5,-4,-6,-1
14:05:00:348563,-4,-7,0,1,-6,-1,-5,0
14:05:00:354528,0,-7,0,6,13,4,0,-2
14:05:00:370242,0,-7,0,6,13,4,0,-2
14:05:00:371050,-3,-4,3,-8,-3,-9,-6,-2
14:05:00:377145,0,-5,-6,4,20,8,0,-3
14:05:00:385308,0,-5,-6,4,20,8,0,-3
14:05:00:386030,0,6,-3,-2,-6,-11,-6,0
14:05:00:399634,-3,-1,-4,-6,-2,1,-13,1
14:05:00:407867,-3,-1,-4,-6,-2,1,-13,1
14:05:00:408596,1,0,1,-5,-4,-3,-12,3
14:05:00:414602,-3,-2,-7,-6,-6,-4,-4,-2
14:05:00:430342,-3,-2,-7,-6,-6,-4,-4,-2
14:05:00:431054,-5,3,3,3,0,2,-2,-2
14:05:00:437023,-1,-3,-4,0,-9,-5,10,-3
14:05:00:445309,-1,-3,-4,0,-9,-5,10,-3
14:05:00:446032,6,6,7,-2,8,9,7,0
14:05:00:459538,-3,-3,0,-3,-9,-5,-1,-2
14:05:00:467741,-3,-3,0,-3,-9,-5,-1,-2
14:05:00:468638,-2,-4,0,-3,1,-2,2,-4
14:05:00:474736,-1,3,-2,-9,-7,-3,-16,1
14:05:00:490379,-1,3,-2,-9,-7,-3,-16,1
14:05:00:491135,2,1,-4,-2,1,-1,-1,-1
14:05:00:497105,2,-1,-8,4,-6,-1,-1,-1
14:05:00:505219,2,-1,-8,4,-6,-1,-1,-1
14:05:00:506048,-3,-6,-8,-2,0,2,3,0
14:05:00:519509,-6,-9,13,-6,-5,-4,3,-1
