Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
17:44:37:851694,2,2,4,-6,0,-1,2,2
17:44:37:859865,2,2,4,-6,0,-1,2,2
17:44:37:860672,0,-2,-3,-4,-4,0,-1,-5
17:44:37:866611,-1,-4,-2,2,-2,0,-2,-3
17:44:37:874205,-1,-4,-2,2,-2,0,-2,-3
17:44:37:881666,-2,-4,-3,-6,-4,-2,0,4
17:44:37:889163,-1,2,-2,2,1,-1,-2,-1
17:44:37:897387,-1,2,-2,2,1,-1,-2,-1
17:44:37:898204,-3,0,-8,4,-1,-5,-2,-3
17:44:37:911645,2,-2,2,-1,-5,-1,-2,-3
17:44:37:919885,2,-2,2,-1,-5,-1,-2,-3
17:44:37:920657,-3,-4,4,-1,-2,0,1,-4
17:44:37:926659,-1,0,3,-1,-1,1,-2,4
17:44:37:934218,-1,0,3,-1,-1,1,-2,4
17:44:37:941641,-3,-2,-16,-4,1,3,-2,-7
17:44:37:949179,-2,-1,-7,-3,0,-3,0,2
17:44:37:957400,-2,-1,-7,-3,0,-3,0,2
17:44:37:958188,2,0,1,-2,-1,-5,0,2
17:44:37:971637,1,-2,-1,2,-3,1,0,-2
17:44:37:979966,1,-2,-1,2,-3,1,0,-2
17:44:37:980699,-1,-6,5,1,-1,1,2,-1
17:44:37:986640,5,4,0,-2,0,-4,-1,-3
17:44:37:994240,5,4,0,-2,0,-4,-1,-3
17:44:38:1695,-2,-3,0,-6,0,8,22,11
17:44:38:9183,1,-4,-9,0,2,-1,7,2
17:44:38:17341,1,-4,-9,0,2,-1,7,2
17:44:38:18167,-7,5,0,-2,-2,0,-12,-4
17:44:38:32143,-2,-1,-1,-4,-3,1,0,-1
17:44:38:39837,-2,-1,-1,-4,-3,1,0,-1
17:44:38:40638,1,-1,4,1,1,-3,-6,-8
17:44:38:46654,0,-1,0,-3,-1,-3,-8,-3
17:44:38:54184,0,-1,0,-3,-1,-3,-8,-3
17:44:38:61675,-1,-1,-4,-4,-3,-4,-3,0
17:44:38:69163,-3,-1,-7,-3,-2,-2,-2,0
17:44:38:77372,-3,-1,-7,-3,-2,-2,-2,0
17:44:38:78153,-1,-1,-3,-1,-2,1,0,-8
17:44:38:92200,-1,0,-1,6,0,-1,3,3
17:44:38:99851,-1,0,-1,6,0,-1,3,3
17:44:38:100646,3,5,5,2,-2,-2,2,5
17:44:38:106682,-1,-4,-1,-3,-1,0,2,-3
17:44:38:122336,-1,-4,-1,-3,-1,0,2,-3
17:44:38:123158,-3,-6,-4,-5,0,-1,-14,1
17:44:38:129189,-1,1,1,-1,-1,-2,-4,0
17:44:38:137362,-1,1,1,-1,-1,-2,-4,0
17:44:38:138197,0,0,-1,-1,-2,-2,1,-4
17:44:38:151664,0,-4,-1,4,3,1,-3,-7
17:44:38:159841,0,-4,-1,4,3,1,-3,-7
17:44:38:160623,1,3,-3,0,-3,-2,-2,3
17:44:38:166664,1,0,1,0,0,-2,1,7
17:44:38:182471,1,0,1,0,0,-2,1,7
17:44:38:183198,-2,-8,1,-2,-3,1,2,-1
17:44:38:189165,0,1,-2,-1,6,1,-2,-1
17:44:38:197869,0,1,-2,-1,6,1,-2,-1
17:44:38:204233,-2,0,-2,2,-1,-2,-2,-4
17:44:38:211705,-2,-4,0,-3,-4,-6,1,0
17:44:38:219843,-2,-4,0,-3,-4,-6,1,0
17:44:38:220622,2,1,-4,-1,0,-1,1,-1
17:44:38:226639,-2,-3,-1,0,-1,2,-2,2
17:44:38:234191,-2,-3,-1,0,-1,2,-2,2
17:44:38:241679,-1,1,-1,-2,-1,-4,-3,1
17:44:38:249145,-1,1,-4,-8,-2,-1,-1,-3
17:44:38:257386,-1,1,-4,-8,-2,-1,-1,-3
17:44:38:258173,-1,-5,1,0,1,-3,0,-3
17:44:38:271644,-6,1,-2,-2,-1,-2,-5,2
