Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
17:44:37:851694,2161,8306,-5001,13029,1801,-644,740,6,-26,42
17:44:37:859865,2169,8289,-4984,13045,1780,-601,788,11,60,6
17:44:37:860672,2169,8289,-4984,13045,1780,-601,788,11,60,6
17:44:37:866611,2169,8289,-4984,13045,1780,-601,788,11,60,6
17:44:37:874205,2190,8270,-4973,13057,1759,-571,786,-55,75,-21
17:44:37:881666,2190,8270,-4973,13057,1759,-571,786,-55,75,-21
17:44:37:889163,2190,8270,-4973,13057,1759,-571,786,-55,75,-21
17:44:37:897387,2215,8252,-4980,13062,1762,-630,770,-149,52,-28
17:44:37:898204,2215,8252,-4980,13062,1762,-630,770,-149,52,-28
17:44:37:911645,2215,8252,-4980,13062,1762,-630,770,-149,52,-28
17:44:37:919885,2230,8236,-4990,13066,1757,-721,753,-115,34,-22
17:44:37:920657,2230,8236,-4990,13066,1757,-721,753,-115,34,-22
17:44:37:926659,2230,8236,-4990,13066,1757,-721,753,-115,34,-22
17:44:37:934218,2236,8222,-4990,13073,1746,-764,736,-27,30,-34
17:44:37:941641,2236,8222,-4990,13073,1746,-764,736,-27,30,-34
17:44:37:949179,2236,8222,-4990,13073,1746,-764,736,-27,30,-34
17:44:37:957400,2234,8217,-4978,13081,1741,-772,690,67,17,-54
17:44:37:958188,2234,8217,-4978,13081,1741,-772,690,67,17,-54
17:44:37:971637,2234,8217,-4978,13081,1741,-772,690,67,17,-54
17:44:37:979966,2230,8219,-4956,13089,1734,-748,655,131,6,-74
17:44:37:980699,2230,8219,-4956,13089,1734,-748,655,131,6,-74
17:44:37:986640,2230,8219,-4956,13089,1734,-748,655,131,6,-74
17:44:37:994240,2231,8225,-4929,13096,1753,-703,641,133,4,-95
17:44:38:1695,2231,8225,-4929,13096,1753,-703,641,133,4,-95
17:44:38:9183,2231,8225,-4929,13096,1753,-703,641,133,4,-95
17:44:38:17341,2244,8226,-4899,13104,1786,-643,669,100,44,-117
17:44:38:18167,2244,8226,-4899,13104,1786,-643,669,100,44,-117
17:44:38:32143,2244,8226,-4899,13104,1786,-643,669,100,44,-117
17:44:38:39837,2275,8215,-4880,13113,1739,-625,696,-18,112,-149
17:44:38:40638,2275,8215,-4880,13113,1739,-625,696,-18,112,-149
17:44:38:46654,2275,8215,-4880,13113,1739,-625,696,-18,112,-149
17:44:38:54184,2323,8206,-4882,13109,1709,-644,736,-177,51,-193
17:44:38:61675,2323,8206,-4882,13109,1709,-644,736,-177,51,-193
17:44:38:69163,2323,8206,-4882,13109,1709,-644,736,-177,51,-193
17:44:38:77372,2378,8212,-4896,13090,1713,-663,698,-257,-45,-247
17:44:38:78153,2378,8212,-4896,13090,1713,-663,698,-257,-45,-247
17:44:38:92200,2378,8212,-4896,13090,1713,-663,698,-257,-45,-247
17:44:38:99851,2426,8235,-4903,13064,1802,-695,654,-190,-103,-269
17:44:38:100646,2426,8235,-4903,13064,1802,-695,654,-190,-103,-269
17:44:38:106682,2426,8235,-4903,13064,1802,-695,654,-190,-103,-269
17:44:38:122336,2460,8254,-4899,13047,1866,-661,669,-97,-85,-201
17:44:38:123158,2460,8254,-4899,13047,1866,-661,669,-97,-85,-201
17:44:38:129189,2460,8254,-4899,13047,1866,-661,669,-97,-85,-201
17:44:38:137362,2476,8268,-4883,13042,1880,-635,686,18,-49,-120
17:44:38:138197,2476,8268,-4883,13042,1880,-635,686,18,-49,-120
17:44:38:151664,2476,8268,-4883,13042,1880,-635,686,18,-49,-120
17:44:38:159841,2469,8278,-4853,13048,1882,-624,677,163,-24,-44
17:44:38:160623,2469,8278,-4853,13048,1882,-624,677,163,-24,-44
17:44:38:166664,2469,8278,-4853,13048,1882,-624,677,163,-24,-44
17:44:38:182471,2447,8282,-4821,13061,1821,-623,665,219,-3,24
17:44:38:183198,2447,8282,-4821,13061,1821,-623,665,219,-3,24
17:44:38:189165,2447,8282,-4821,13061,1821,-623,665,219,-3,24
17:44:38:197869,2425,8285,-4805,13069,1817,-619,657,144,-20,68
17:44:38:204233,2425,8285,-4805,13069,1817,-619,657,144,-20,68
17:44:38:211705,2425,8285,-4805,13069,1817,-619,657,144,-20,68
17:44:38:219843,2404,8286,-4795,13076,1772,-621,648,110,-19,74
17:44:38:220622,2404,8286,-4795,13076,1772,-621,648,110,-19,74
17:44:38:226639,2404,8286,-4795,13076,1772,-621,648,110,-19,74
17:44:38:234191,2393,8281,-4790,13084,1761,-619,669,52,11,57
17:44:38:241679,2393,8281,-4790,13084,1761,-619,669,52,11,57
17:44:38:249145,2393,8281,-4790,13084,1761,-619,669,52,11,57
17:44:38:257386,2390,8274,-4798,13085,1748,-646,659,-36,7,38
17:44:38:258173,2390,8274,-4798,13085,1748,-646,659,-36,7,38
17:44:38:271644,2390,8274,-4798,13085,1748,-646,659,-36,7,38
17:44:38:279856,2387,8268,-4809,13085,1752,-673,654,-44,-3,33
17:44:38:280685,2387,8268,-4809,13085,1752,-673,654,-44,-3,33
17:44:38:286616,2387,8268,-4809,13085,1752,-673,654,-44,-3,33
17:44:38:294237,2378,8269,-4812,13086,1753,-671,629,20,-20,27
17:44:38:309839,2378,8269,-4812,13086,1753,-671,629,20,-20,27
17:44:38:310607,2378,8269,-4812,13086,1753,-671,629,20,-20,27
17:44:38:317370,2370,8275,-4804,13086,1767,-617,634,60,-38,18
17:44:38:318178,2370,8275,-4804,13086,1767,-617,634,60,-38,18
17:44:38:331701,2370,8275,-4804,13086,1767,-617,634,60,-38,18
17:44:38:339868,2367,8284,-4799,13083,1778,-594,635,21,-54,5
17:44:38:340657,2367,8284,-4799,13083,1778,-594,635,21,-54,5
17:44:38:346628,2367,8284,-4799,13083,1778,-594,635,21,-54,5
17:44:38:354202,2368,8295,-4800,13075,1806,-600,642,-23,-70,-2
17:44:38:361662,2368,8295,-4800,13075,1806,-600,642,-23,-70,-2
17:44:38:369119,2368,8295,-4800,13075,1806,-600,642,-23,-70,-2
17:44:38:377573,2367,8303,-4805,13069,1814,-623,655,-30,-65,10
17:44:38:378186,2367,8303,-4805,13069,1814,-623,655,-30,-65,10
17:44:38:391620,2367,8303,-4805,13069,1814,-623,655,-30,-65,10
17:44:38:399901,2364,8308,-4808,13065,1804,-625,652,-14,-56,24
17:44:38:400662,2364,8308,-4808,13065,1804,-625,652,-14,-56,24
17:44:38:406676,2364,8308,-4808,13065,1804,-625,652,-14,-56,24
17:44:38:414231,2362,8310,-4811,13062,1795,-622,667,-24,-40,23
17:44:38:421652,2362,8310,-4811,13062,1795,-622,667,-24,-40,23
17:44:38:429156,2362,8310,-4811,13062,1795,-622,667,-24,-40,23
17:44:38:436748,2365,8308,-4815,13062,1796,-630,689,-43,-16,12
17:44:38:444174,2365,8308,-4815,13062,1796,-630,689,-43,-16,12
17:44:38:451670,2365,8308,-4815,13062,1796,-630,689,-43,-16,12
17:44:38:459868,2372,8303,-4825,13060,1794,-661,679,-77,-5,-4
17:44:38:460640,2372,8303,-4825,13060,1794,-661,679,-77,-5,-4
17:44:38:474889,2372,8303,-4825,13060,1794,-661,679,-77,-5,-4
17:44:38:475706,2381,8296,-4834,13060,1788,-665,677,-79,8,-11
17:44:38:481672,2381,8296,-4834,13060,1788,-665,677,-79,8,-11
17:44:38:489153,2381,8296,-4834,13060,1788,-665,677,-79,8,-11
17:44:38:496664,2388,8291,-4842,13059,1787,-654,664,-64,8,-6
17:44:38:504197,2388,8291,-4842,13059,1787,-654,664,-64,8,-6
17:44:38:511716,2388,8291,-4842,13059,1787,-654,664,-64,8,-6
17:44:38:519863,2395,8285,-4853,13057,1774,-654,654,-85,6,6
17:44:38:520648,2395,8285,-4853,13057,1774,-654,654,-85,6,6
17:44:38:534845,2395,8285,-4853,13057,1774,-654,654,-85,6,6
17:44:38:535643,2400,8278,-4865,13056,1778,-657,665,-83,6,13
17:44:38:541682,2400,8278,-4865,13056,1778,-657,665,-83,6,13
17:44:38:549205,2400,8278,-4865,13056,1778,-657,665,-83,6,13
17:44:38:556715,2403,8271,-4876,13056,1791,-669,664,-64,10,21
17:44:38:564152,2403,8271,-4876,13056,1791,-669,664,-64,10,21
17:44:38:571643,2403,8271,-4876,13056,1791,-669,664,-64,10,21
17:44:38:579843,2405,8265,-4881,13057,1785,-651,681,-43,2,22
17:44:38:580682,2405,8265,-4881,13057,1785,-651,681,-43,2,22
17:44:38:594850,2405,8265,-4881,13057,1785,-651,681,-43,2,22
17:44:38:595761,2405,8259,-4884,13060,1782,-651,683,-26,5,23
17:44:38:601642,2405,8259,-4884,13060,1782,-651,683,-26,5,23
17:44:38:609188,2405,8259,-4884,13060,1782,-651,683,-26,5,23
17:44:38:616695,2406,8254,-4888,13062,1785,-654,693,-31,-2,16
17:44:38:624164,2406,8254,-4888,13062,1785,-654,693,-31,-2,16
17:44:38:631622,2406,8254,-4888,13062,1785,-654,693,-31,-2,16
17:44:38:639636,2407,8250,-4891,13063,1779,-664,694,-28,-16,5
17:44:38:646672,2407,8250,-4891,13063,1779,-664,694,-28,-16,5
17:44:38:654879,2407,8250,-4891,13063,1779,-664,694,-28,-16,5
17:44:38:655686,2410,8248,-4891,13064,1783,-657,700,-23,-18,-6
17:44:38:669792,2410,8248,-4891,13064,1783,-657,700,-23,-18,-6
17:44:38:670594,2410,8248,-4891,13064,1783,-657,700,-23,-18,-6
17:44:38:676698,2414,8247,-4893,13063,1776,-638,696,-36,-28,-6
17:44:38:684155,2414,8247,-4893,13063,1776,-638,696,-36,-28,-6
17:44:38:691684,2414,8247,-4893,13063,1776,-638,696,-36,-28,-6
17:44:38:699882,2417,8245,-4900,13061,1766,-662,691,-55,-25,1
17:44:38:700684,2417,8245,-4900,13061,1766,-662,691,-55,-25,1
17:44:38:714866,2417,8245,-4900,13061,1766,-662,691,-55,-25,1
17:44:38:715662,2416,8241,-4905,13062,1782,-682,682,-30,-14,13
17:44:38:721664,2416,8241,-4905,13062,1782,-682,682,-30,-14,13
17:44:38:729161,2416,8241,-4905,13062,1782,-682,682,-30,-14,13
17:44:38:736728,2411,8237,-4904,13065,1768,-678,670,15,0,19
17:44:38:744170,2411,8237,-4904,13065,1768,-678,670,15,0,19
17:44:38:751628,2411,8237,-4904,13065,1768,-678,670,15,0,19
17:44:38:759836,2404,8234,-4901,13070,1767,-675,670,38,-7,22
17:44:38:760645,2404,8234,-4901,13070,1767,-675,670,38,-7,22
17:44:38:774901,2404,8234,-4901,13070,1767,-675,670,38,-7,22
17:44:38:775762,2396,8233,-4899,13072,1772,-656,646,30,-10,30
17:44:38:781630,2396,8233,-4899,13072,1772,-656,646,30,-10,30
17:44:38:789157,2396,8233,-4899,13072,1772,-656,646,30,-10,30
17:44:38:796756,2389,8230,-4900,13076,1771,-677,671,15,-9,36
17:44:38:804183,2389,8230,-4900,13076,1771,-677,671,15,-9,36
17:44:38:811677,2389,8230,-4900,13076,1771,-677,671,15,-9,36
17:44:38:819856,2380,8226,-4900,13079,1776,-686,678,21,-12,38
17:44:38:820634,2380,8226,-4900,13079,1776,-686,678,21,-12,38
17:44:38:843077,2380,8226,-4900,13079,1776,-686,678,21,-12,38
17:44:38:843850,2370,8226,-4897,13082,1761,-659,673,37,-27,36
17:44:38:844649,2370,8226,-4897,13082,1761,-659,673,37,-27,36
17:44:38:849132,2370,8226,-4897,13082,1761,-659,673,37,-27,36
17:44:38:856725,2364,8228,-4897,13083,1763,-644,672,9,-37,34
17:44:38:864194,2364,8228,-4897,13083,1763,-644,672,9,-37,34
17:44:38:871649,2364,8228,-4897,13083,1763,-644,672,9,-37,34
17:44:38:879823,2357,8227,-4901,13083,1761,-666,675,-8,-33,39
17:44:38:880640,2357,8227,-4901,13083,1761,-666,675,-8,-33,39
17:44:38:894813,2357,8227,-4901,13083,1761,-666,675,-8,-33,39
17:44:38:895629,2349,8226,-4904,13084,1754,-683,688,6,-41,36
17:44:38:901656,2349,8226,-4904,13084,1754,-683,688,6,-41,36
17:44:38:909170,2349,8226,-4904,13084,1754,-683,688,6,-41,36
17:44:38:916675,2338,8230,-4902,13084,1771,-671,680,33,-56,33
17:44:38:924192,2338,8230,-4902,13084,1771,-671,680,33,-56,33
17:44:38:931654,2338,8230,-4902,13084,1771,-671,680,33,-56,33
17:44:38:939863,2328,8236,-4900,13082,1782,-656,663,27,-65,32
17:44:38:940670,2328,8236,-4900,13082,1782,-656,663,27,-65,32
17:44:38:954835,2328,8236,-4900,13082,1782,-656,663,27,-65,32
17:44:38:955635,2321,8245,-4901,13078,1772,-642,662,6,-81,28
17:44:38:961694,2321,8245,-4901,13078,1772,-642,662,6,-81,28
17:44:38:969182,2321,8245,-4901,13078,1772,-642,662,6,-81,28
17:44:38:976713,2319,8256,-4906,13069,1783,-606,644,-40,-87,33
17:44:38:984145,2319,8256,-4906,13069,1783,-606,644,-40,-87,33
17:44:38:991624,2319,8256,-4906,13069,1783,-606,644,-40,-87,33
17:44:38:999863,2321,8259,-4922,13061,1781,-667,644,-89,-61,27
17:44:39:651,2321,8259,-4922,13061,1781,-667,644,-89,-61,27
17:44:39:14858,2321,8259,-4922,13061,1781,-667,644,-89,-61,27
17:44:39:15699,2323,8254,-4941,13057,1786,-736,684,-106,-28,22
17:44:39:29864,2323,8254,-4941,13057,1786,-736,684,-106,-28,22
17:44:39:30640,2323,8254,-4941,13057,1786,-736,684,-106,-28,22
17:44:39:36678,2318,8241,-4950,13062,1779,-749,712,-34,13,37
17:44:39:44151,2318,8241,-4950,13062,1779,-749,712,-34,13,37
17:44:39:51651,2318,8241,-4950,13062,1779,-749,712,-34,13,37
17:44:39:59854,2306,8232,-4947,13071,1752,-685,749,33,-17,60
17:44:39:60670,2306,8232,-4947,13071,1752,-685,749,33,-17,60
17:44:39:74850,2306,8232,-4947,13071,1752,-685,749,33,-17,60
17:44:39:75646,2298,8227,-4950,13075,1744,-638,714,-16,-28,74
17:44:39:81623,2298,8227,-4950,13075,1744,-638,714,-16,-28,74
17:44:39:89131,2298,8227,-4950,13075,1744,-638,714,-16,-28,74
