Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
17:40:16:894706,-4,2,-8,-11,-5,-2,-3,-2
17:40:16:902791,-4,2,-8,-11,-5,-2,-3,-2
17:40:16:903596,7,-3,-4,-6,5,6,2,1
17:40:16:909620,-1,-1,-2,-1,1,-2,-2,-2
17:40:16:917163,-1,-1,-2,-1,1,-2,-2,-2
17:40:16:924638,-3,-2,1,3,1,0,-1,0
17:40:16:932167,-14,-10,-12,-2,-2,-3,-2,-3
17:40:16:947844,-14,-10,-12,-2,-2,-3,-2,-3
17:40:16:948620,7,-3,-14,-1,0,-2,-1,-8
17:40:16:954635,54,-1,1,-2,-7,-8,-4,-7
17:40:16:962831,54,-1,1,-2,-7,-8,-4,-7
17:40:16:963623,9,8,30,6,-3,2,3,2
17:40:16:969573,20,0,9,0,3,0,0,-2
17:40:16:993512,20,0,9,0,3,0,0,-2
17:40:16:994336,-18,-5,-7,6,3,1,-2,-6
17:40:16:995094,3,-5,1,-3,-4,-2,-2,0
17:40:17:312,3,-5,1,-3,-4,-2,-2,0
17:40:17:1137,-16,-4,-5,-5,-5,-3,1,-5
17:40:17:23946,-30,-10,0,-2,1,2,4,10
17:40:17:24775,-30,-10,0,-2,1,2,4,10
17:40:17:25563,8,-14,-10,-11,-5,-3,-5,0
17:40:17:37782,-28,25,-5,9,0,-2,0,-5
17:40:17:38616,-28,25,-5,9,0,-2,0,-5
17:40:17:52805,7,35,15,2,5,4,1,2
17:40:17:53588,-26,18,11,2,4,0,-1,-2
17:40:17:59662,-26,18,11,2,4,0,-1,-2
17:40:17:67128,-3,13,-24,-13,1,5,2,-1
17:40:17:74628,-3,-18,12,-4,2,2,3,0
17:40:17:82830,-3,-18,12,-4,2,2,3,0
17:40:17:83619,6,-58,10,-1,-1,-7,-5,-2
17:40:17:97821,7,-26,-23,6,-2,2,-3,-1
17:40:17:98616,7,-26,-23,6,-2,2,-3,-1
17:40:17:104593,3,-17,-8,-12,-1,-2,-4,1
17:40:17:112115,5,0,42,43,3,0,2,2
17:40:17:119657,5,0,42,43,3,0,2,2
17:40:17:127136,-5,39,-2,-32,1,0,1,-2
17:40:17:134590,4,32,-14,-8,0,4,-1,-3
17:40:17:142849,4,32,-14,-8,0,4,-1,-3
17:40:17:143640,-3,-11,1,42,1,-2,-2,-5
17:40:17:157834,-10,-16,19,85,-9,-10,-5,-5
17:40:17:158623,-10,-16,19,85,-9,-10,-5,-5
17:40:17:164647,-2,14,17,9,0,-3,-1,2
17:40:17:172119,6,-1,27,2,9,5,0,4
17:40:17:179695,6,-1,27,2,9,5,0,4
17:40:17:187127,-9,-39,-29,-4,-12,-10,-5,-8
17:40:17:194594,3,-34,-15,-34,4,8,5,3
17:40:17:202808,3,-34,-15,-34,4,8,5,3
17:40:17:203650,-3,-28,17,-10,-2,3,2,2
17:40:17:217789,-2,-9,-15,2,-5,-10,-7,-4
17:40:17:218645,-2,-9,-15,2,-5,-10,-7,-4
17:40:17:224594,5,38,43,-2,10,5,3,2
17:40:17:232160,1,14,37,-59,1,0,0,-1
17:40:17:239678,1,14,37,-59,1,0,0,-1
17:40:17:247130,2,1,37,-8,-6,-2,-4,1
17:40:17:254628,-7,16,-65,-42,-15,-8,-6,-8
17:40:17:262822,-7,16,-65,-42,-15,-8,-6,-8
17:40:17:263595,0,23,-64,-2,-3,-1,-1,-2
17:40:17:277832,1,11,-26,6,-2,-6,-4,0
17:40:17:278637,1,11,-26,6,-2,-6,-4,0
17:40:17:284638,-3,37,-56,-12,0,3,3,1
17:40:17:292124,0,3,-21,-26,-7,-7,-5,-2
17:40:17:299618,0,3,-21,-26,-7,-7,-5,-2
17:40:17:307173,-4,-30,-56,-19,-4,-3,-3,-3
17:40:17:314648,4,-12,2,-2,-1,0,-31,-15
17:40:17:322793,4,-12,2,-2,-1,0,-31,-15
17:40:17:323628,7,-4,18,2,3,9,34,28
17:40:17:337802,-5,3,5,2,3,2,3,-3
17:40:17:338611,-5,3,5,2,3,2,3,-3
17:40:17:344631,-4,-4,17,12,-5,-9,-12,-11
17:40:17:352128,-3,5,7,-8,1,-1,-7,1
17:40:17:359652,-3,5,7,-8,1,-1,-7,1
17:40:17:367144,2,6,26,-28,-1,-1,0,1
17:40:17:374626,-1,4,-12,-15,-2,3,5,-2
17:40:17:382809,-1,4,-12,-15,-2,3,5,-2
17:40:17:383625,-1,-2,14,-6,-1,-3,-6,-5
17:40:17:397870,0,-4,-5,-5,-1,1,9,4
17:40:17:398637,0,-4,-5,-5,-1,1,9,4
17:40:17:404569,-2,-3,13,21,0,-3,-10,-4
17:40:17:412133,-1,-4,2,24,5,4,12,4
17:40:17:419645,-1,-4,2,24,5,4,12,4
17:40:17:427141,0,-4,2,17,0,-2,-5,-4
17:40:17:434638,-1,-5,-20,-38,-7,-2,1,0
17:40:17:442901,-1,-5,-20,-38,-7,-2,1,0
17:40:17:443603,1,-6,0,12,-4,-3,24,7
17:40:17:465946,5,0,22,39,1,-2,0,8
17:40:17:466789,5,0,22,39,1,-2,0,8
17:40:17:467591,-6,-6,3,13,-2,-2,-6,-10
17:40:17:472130,-3,-2,-16,-15,0,1,12,3
17:40:17:479702,-3,-2,-16,-15,0,1,12,3
17:40:17:495285,-4,-1,3,8,-3,-2,-7,-1
17:40:17:496107,-3,-14,-7,3,7,11,-3,-3
17:40:17:502817,-3,-14,-7,3,7,11,-3,-3
