Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
17:40:16:894706,11250,1919,-11260,3379,2391,-203,605,1122,-686,208
17:40:16:902791,11167,2054,-11266,3547,2288,-187,514,1178,-640,280
17:40:16:903596,11167,2054,-11266,3547,2288,-187,514,1178,-640,280
17:40:16:909620,11167,2054,-11266,3547,2288,-187,514,1178,-640,280
17:40:16:917163,11085,2174,-11267,3727,2209,-249,527,1170,-603,348
17:40:16:924638,11085,2174,-11267,3727,2209,-249,527,1170,-603,348
17:40:16:932167,11085,2174,-11267,3727,2209,-249,527,1170,-603,348
17:40:16:947844,10995,2264,-11281,3895,2173,-353,475,1003,-634,385
17:40:16:948620,10995,2264,-11281,3895,2173,-353,475,1003,-634,385
17:40:16:954635,10995,2264,-11281,3895,2173,-353,475,1003,-634,385
17:40:16:962831,10894,2341,-11306,4056,2224,-436,366,927,-652,409
17:40:16:963623,10894,2341,-11306,4056,2224,-436,366,927,-652,409
17:40:16:969573,10894,2341,-11306,4056,2224,-436,366,927,-652,409
17:40:16:993512,10788,2408,-11327,4234,2265,-463,265,970,-582,520
17:40:16:994336,10788,2408,-11327,4234,2265,-463,265,970,-582,520
17:40:16:995094,10788,2408,-11327,4234,2265,-463,265,970,-582,520
17:40:17:312,10692,2463,-11340,4409,2111,-399,188,923,-465,568
17:40:17:1137,10692,2463,-11340,4409,2111,-399,188,923,-465,568
17:40:17:23946,10692,2463,-11340,4409,2111,-399,188,923,-465,568
17:40:17:24775,10604,2472,-11382,4508,1925,-393,108,413,-492,482
17:40:17:25563,10604,2472,-11382,4508,1925,-393,108,413,-492,482
17:40:17:37782,10604,2472,-11382,4508,1925,-393,108,413,-492,482
17:40:17:38616,10500,2426,-11461,4575,1707,-634,-98,60,-533,490
17:40:17:52805,10500,2426,-11461,4575,1707,-634,-98,60,-533,490
17:40:17:53588,10500,2426,-11461,4575,1707,-634,-98,60,-533,490
17:40:17:59662,10370,2354,-11561,4656,1550,-692,-217,25,-601,678
17:40:17:67128,10370,2354,-11561,4656,1550,-692,-217,25,-601,678
17:40:17:74628,10370,2354,-11561,4656,1550,-692,-217,25,-601,678
17:40:17:82830,10240,2229,-11666,4745,1196,-796,-144,-156,-575,835
17:40:17:83619,10240,2229,-11666,4745,1196,-796,-144,-156,-575,835
17:40:17:97821,10240,2229,-11666,4745,1196,-796,-144,-156,-575,835
17:40:17:98616,10090,2056,-11788,4843,850,-910,-211,-301,-590,1019
17:40:17:104593,10090,2056,-11788,4843,850,-910,-211,-301,-590,1019
17:40:17:112115,10090,2056,-11788,4843,850,-910,-211,-301,-590,1019
17:40:17:119657,9912,1844,-11908,4998,560,-1022,-240,-185,-570,1333
17:40:17:127136,9912,1844,-11908,4998,560,-1022,-240,-185,-570,1333
17:40:17:134590,9912,1844,-11908,4998,560,-1022,-240,-185,-570,1333
17:40:17:142849,9743,1614,-12006,5172,434,-1077,-280,-133,-403,1408
17:40:17:143640,9743,1614,-12006,5172,434,-1077,-280,-133,-403,1408
17:40:17:157834,9743,1614,-12006,5172,434,-1077,-280,-133,-403,1408
17:40:17:158623,9593,1397,-12087,5325,579,-924,-438,-122,-230,1366
17:40:17:164647,9593,1397,-12087,5325,579,-924,-438,-122,-230,1366
17:40:17:172119,9593,1397,-12087,5325,579,-924,-438,-122,-230,1366
17:40:17:179695,9461,1178,-12138,5496,664,-908,-323,-36,-202,1654
17:40:17:187127,9461,1178,-12138,5496,664,-908,-323,-36,-202,1654
17:40:17:194594,9461,1178,-12138,5496,664,-908,-323,-36,-202,1654
17:40:17:202808,9284,956,-12201,5698,686,-784,-231,76,-423,1881
17:40:17:203650,9284,956,-12201,5698,686,-784,-231,76,-423,1881
17:40:17:217789,9284,956,-12201,5698,686,-784,-231,76,-423,1881
17:40:17:218645,9061,813,-12318,5827,1108,-452,-485,18,-833,1553
17:40:17:224594,9061,813,-12318,5827,1108,-452,-485,18,-833,1553
17:40:17:232160,9061,813,-12318,5827,1108,-452,-485,18,-833,1553
17:40:17:239678,8850,790,-12500,5766,1803,-279,-826,-442,-1197,731
17:40:17:247130,8850,790,-12500,5766,1803,-279,-826,-442,-1197,731
17:40:17:254628,8850,790,-12500,5766,1803,-279,-826,-442,-1197,731
17:40:17:262822,8623,753,-12716,5640,2171,-515,-992,-817,-1362,624
17:40:17:263595,8623,753,-12716,5640,2171,-515,-992,-817,-1362,624
17:40:17:277832,8623,753,-12716,5640,2171,-515,-992,-817,-1362,624
17:40:17:278637,8455,641,-12835,5639,2380,-942,-614,-475,-887,1059
17:40:17:284638,8455,641,-12835,5639,2380,-942,-614,-475,-887,1059
17:40:17:292124,8455,641,-12835,5639,2380,-942,-614,-475,-887,1059
17:40:17:299618,8412,584,-12848,5679,2205,-846,-418,5,-198,682
17:40:17:307173,8412,584,-12848,5679,2205,-846,-418,5,-198,682
17:40:17:314648,8412,584,-12848,5679,2205,-846,-418,5,-198,682
17:40:17:322793,8407,564,-12845,5696,2187,-720,-504,72,-24,428
17:40:17:323628,8407,564,-12845,5696,2187,-720,-504,72,-24,428
17:40:17:337802,8407,564,-12845,5696,2187,-720,-504,72,-24,428
17:40:17:338611,8402,501,-12854,5689,1942,-923,-473,-212,45,395
17:40:17:344631,8402,501,-12854,5689,1942,-923,-473,-212,45,395
17:40:17:352128,8402,501,-12854,5689,1942,-923,-473,-212,45,395
17:40:17:359652,8398,440,-12872,5659,1624,-1204,-532,-345,75,113
17:40:17:367144,8398,440,-12872,5659,1624,-1204,-532,-345,75,113
17:40:17:374626,8398,440,-12872,5659,1624,-1204,-532,-345,75,113
17:40:17:382809,8379,408,-12874,5683,1400,-1273,-586,13,57,71
17:40:17:383625,8379,408,-12874,5683,1400,-1273,-586,13,57,71
17:40:17:397870,8379,408,-12874,5683,1400,-1273,-586,13,57,71
17:40:17:398637,8338,378,-12881,5731,1134,-1230,-579,123,-25,120
17:40:17:404569,8338,378,-12881,5731,1134,-1230,-579,123,-25,120
17:40:17:412133,8338,378,-12881,5731,1134,-1230,-579,123,-25,120
17:40:17:419645,8283,355,-12901,5768,1134,-1238,-577,74,-141,100
17:40:17:427141,8283,355,-12901,5768,1134,-1238,-577,74,-141,100
17:40:17:434638,8283,355,-12901,5768,1134,-1238,-577,74,-141,100
17:40:17:442901,8232,361,-12914,5811,1331,-1286,-619,193,-174,23
17:40:17:443603,8232,361,-12914,5811,1331,-1286,-619,193,-174,23
17:40:17:465946,8232,361,-12914,5811,1331,-1286,-619,193,-174,23
17:40:17:466789,8186,390,-12916,5870,1517,-1193,-683,388,-158,47
17:40:17:467591,8186,390,-12916,5870,1517,-1193,-683,388,-158,47
17:40:17:472130,8186,390,-12916,5870,1517,-1193,-683,388,-158,47
17:40:17:479702,8143,420,-12926,5904,1626,-1052,-755,302,-159,75
17:40:17:495285,8143,420,-12926,5904,1626,-1052,-755,302,-159,75
17:40:17:496107,8143,420,-12926,5904,1626,-1052,-755,302,-159,75
17:40:17:502817,8111,434,-12944,5908,1667,-1127,-760,101,-115,16
17:40:17:503606,8111,434,-12944,5908,1667,-1127,-760,101,-115,16
17:40:17:517787,8111,434,-12944,5908,1667,-1127,-760,101,-115,16
17:40:17:518632,8086,440,-12952,5923,1562,-1256,-723,112,-42,-17
17:40:17:524627,8086,440,-12952,5923,1562,-1256,-723,112,-42,-17
17:40:17:532137,8086,440,-12952,5923,1562,-1256,-723,112,-42,-17
17:40:17:539658,8066,440,-12952,5951,1522,-1235,-703,164,14,36
17:40:17:547133,8066,440,-12952,5951,1522,-1235,-703,164,14,36
17:40:17:554577,8066,440,-12952,5951,1522,-1235,-703,164,14,36
17:40:17:562829,8049,438,-12951,5977,1455,-1178,-670,156,28,39
17:40:17:563614,8049,438,-12951,5977,1455,-1178,-670,156,28,39
17:40:17:577870,8049,438,-12951,5977,1455,-1178,-670,156,28,39
17:40:17:578618,8029,437,-12953,5999,1422,-1207,-673,130,6,13
17:40:17:584572,8029,437,-12953,5999,1422,-1207,-673,130,6,13
17:40:17:600282,8029,437,-12953,5999,1422,-1207,-673,130,6,13
17:40:17:601145,8005,433,-12962,6012,1401,-1217,-653,62,-27,-3
17:40:17:607114,8005,433,-12962,6012,1401,-1217,-653,62,-27,-3
17:40:17:614663,8005,433,-12962,6012,1401,-1217,-653,62,-27,-3
17:40:17:622820,7978,438,-12969,6034,1361,-1284,-633,111,-64,-45
17:40:17:623628,7978,438,-12969,6034,1361,-1284,-633,111,-64,-45
17:40:17:637792,7978,438,-12969,6034,1361,-1284,-633,111,-64,-45
17:40:17:638597,7940,460,-12977,6064,1292,-1302,-651,201,-129,-105
17:40:17:644636,7940,460,-12977,6064,1292,-1302,-651,201,-129,-105
17:40:17:652161,7940,460,-12977,6064,1292,-1302,-651,201,-129,-105
17:40:17:659705,7912,498,-12982,6088,1304,-1254,-711,243,-88,-188
17:40:17:667123,7912,498,-12982,6088,1304,-1254,-711,243,-88,-188
17:40:17:674638,7912,498,-12982,6088,1304,-1254,-711,243,-88,-188
17:40:17:682810,7896,538,-12966,6138,1327,-1353,-630,370,-20,-188
17:40:17:683597,7896,538,-12966,6138,1327,-1353,-630,370,-20,-188
17:40:17:697801,7896,538,-12966,6138,1327,-1353,-630,370,-20,-188
17:40:17:698595,7886,609,-12927,6227,1447,-1387,-529,643,-33,-212
17:40:17:704574,7886,609,-12927,6227,1447,-1387,-529,643,-33,-212
17:40:17:712127,7886,609,-12927,6227,1447,-1387,-529,643,-33,-212
17:40:17:719675,7897,701,-12867,6328,1647,-1239,-493,810,31,-195
17:40:17:727164,7897,701,-12867,6328,1647,-1239,-493,810,31,-195
17:40:17:734574,7897,701,-12867,6328,1647,-1239,-493,810,31,-195
17:40:17:742871,7942,771,-12800,6397,1751,-1174,-424,611,209,-206
17:40:17:743627,7942,771,-12800,6397,1751,-1174,-424,611,209,-206
17:40:17:757793,7942,771,-12800,6397,1751,-1174,-424,611,209,-206
17:40:17:758643,8010,812,-12722,6463,1510,-1121,-410,550,443,-192
17:40:17:764600,8010,812,-12722,6463,1510,-1121,-410,550,443,-192
17:40:17:772141,8010,812,-12722,6463,1510,-1121,-410,550,443,-192
17:40:17:779687,8093,821,-12635,6528,1292,-1298,-380,453,626,-239
17:40:17:787130,8093,821,-12635,6528,1292,-1298,-380,453,626,-239
17:40:17:794637,8093,821,-12635,6528,1292,-1298,-380,453,626,-239
17:40:17:802849,8194,822,-12515,6631,1081,-1392,-409,684,876,-258
17:40:17:803653,8194,822,-12515,6631,1081,-1392,-409,684,876,-258
17:40:17:817824,8194,822,-12515,6631,1081,-1392,-409,684,876,-258
17:40:17:818641,8327,859,-12334,6800,961,-1383,-335,1193,1116,-345
17:40:17:833421,8327,859,-12334,6800,961,-1383,-335,1193,1116,-345
17:40:17:834214,8327,859,-12334,6800,961,-1383,-335,1193,1116,-345
17:40:17:847819,8470,908,-12128,6984,965,-1290,-242,1353,1189,-348
17:40:17:848644,8470,908,-12128,6984,965,-1290,-242,1353,1189,-348
17:40:17:854652,8470,908,-12128,6984,965,-1290,-242,1353,1189,-348
17:40:17:862845,8608,948,-11911,7181,1147,-1077,26,1355,1114,-112
17:40:17:863650,8608,948,-11911,7181,1147,-1077,26,1355,1114,-112
17:40:17:877788,8608,948,-11911,7181,1147,-1077,26,1355,1114,-112
17:40:17:878598,8727,918,-11733,7331,1331,-1269,98,867,1061,73
17:40:17:884570,8727,918,-11733,7331,1331,-1269,98,867,1061,73
17:40:17:892132,8727,918,-11733,7331,1331,-1269,98,867,1061,73
