Time,FT1,FT2,X,Y,Z
13:59:13:863899,0,0,-0.125,0.465,0.01
13:59:13:868937,0,0,-0.125,0.465031,0.01
13:59:13:874038,0,0,-0.125,0.465042,0.01
13:59:13:879157,0,0,-0.125,0.465042,0.01
13:59:13:884168,0,0,-0.125,0.465048,0.01
13:59:13:889286,0,0,-0.125,0.465048,0.01
13:59:13:894267,0,0,-0.125,0.465048,0.01
13:59:13:899394,0,0,-0.125,0.465053,0.01
13:59:13:904410,0,0,-0.125,0.465053,0.01
13:59:13:909518,0,0,-0.125,0.465053,0.01
13:59:13:914668,0,0,-0.125,0.465053,0.01
13:59:13:919661,0,0,-0.125,0.465059,0.01
13:59:13:924809,0,0,-0.125,0.465059,0.01
13:59:13:929898,0,0,-0.125,0.465059,0.01
13:59:13:934929,0,0,-0.125,0.465059,0.01
13:59:13:940028,0,0,-0.125,0.465059,0.01
13:59:13:945067,0,0,-0.125,0.465059,0.01
13:59:13:950158,0,0,-0.125,0.465059,0.01
13:59:13:955181,0,0,-0.125,0.465059,0.01
13:59:13:960285,0,0,-0.125,0.465059,0.01
13:59:13:965275,0,0,-0.125,0.465064,0.01
13:59:13:970402,0,0,-0.125,0.465064,0.01
13:59:13:975539,0,0,-0.125,0.465064,0.01
13:59:13:980510,0,0,-0.125,0.465064,0.01
13:59:13:985519,0,0,-0.125,0.465064,0.01
13:59:13:990659,0,0,-0.125,0.465064,0.01
13:59:13:995664,0,0,-0.125,0.465064,0.01
13:59:14:790,0,0,-0.125,0.465064,0.01
13:59:14:5788,0,0,-0.125,0.465064,0.01
13:59:14:10932,0,0,-0.125,0.465064,0.01
13:59:14:15905,0,0,-0.125,0.465064,0.01
13:59:14:21037,0,0,-0.125,0.465064,0.01
13:59:14:26158,0,0,-0.125,0.465064,0.01
13:59:14:31159,0,0,-0.125,0.465065,0.01
13:59:14:36158,0,0,-0.125,0.465065,0.01
13:59:14:41416,0,0,-0.125,0.465065,0.01
13:59:14:46343,0,0,-0.125,0.465065,0.01
13:59:14:51270,0,0,-0.125,0.465065,0.01
13:59:14:56408,0,0,-0.125,0.465065,0.01
13:59:14:61534,0,0,-0.125,0.465065,0.01
13:59:14:66541,0,0,-0.125,0.465065,0.01
13:59:14:71696,0,0,-0.125,0.465065,0.01
13:59:14:76767,0,0,-0.125,0.465065,0.01
13:59:14:81693,0,0,-0.125,0.465065,0.01
13:59:14:86779,0,0,-0.125,0.465065,0.01
13:59:14:91907,0,0,-0.125,0.465065,0.01
13:59:14:97017,0,0,-0.125,0.465065,0.01
13:59:14:102037,0,0,-0.125,0.465065,0.01
13:59:14:107149,-0.013,-0.003,-0.125,0.465065,0.01
13:59:14:112210,0,-0.028,-0.125,0.465065,0.01
13:59:14:117184,0.035,0.004,-0.125,0.465065,0.01
13:59:14:122290,0.066,0.06,-0.125,0.465065,0.01
13:59:14:127395,0.091,0.108,-0.125,0.465065,0.01
13:59:14:132321,0.056,0.057,-0.125,0.465065,0.01
13:59:14:137389,0.021,0.003,-0.125,0.465065,0.01
13:59:14:142515,0.014,-0.026,-0.125,0.465065,0.01
13:59:14:147698,0.044,-0.004,-0.125,0.465065,0.01
13:59:14:152649,0.077,0.039,-0.125,0.465065,0.01
13:59:14:157683,0.068,0.052,-0.125,0.465065,0.01
13:59:14:162787,0.035,0.056,-0.125,0.465065,0.01
13:59:14:167785,0.022,0.055,-0.125,0.465065,0.01
13:59:14:172904,0.013,0.037,-0.125,0.465065,0.01
13:59:14:178067,0,0.012,-0.125,0.46507,0.01
13:59:14:183015,-0.024,-0.022,-0.125,0.46507,0.01
13:59:14:188029,-0.031,-0.024,-0.125,0.46507,0.01
13:59:14:193142,-0.029,0,-0.125,0.46507,0.01
13:59:14:198305,-0.022,0.026,-0.125,0.46507,0.01
13:59:14:203287,-0.014,0.031,-0.125,0.46507,0.01
13:59:14:208409,-0.002,0.022,-0.125,0.46507,0.01
13:59:14:213444,-0.002,0.013,-0.125,0.46507,0.01
13:59:14:218410,-0.013,0.01,-0.125,0.46507,0.01
13:59:14:223525,-0.012,0.019,-0.125,0.46507,0.01
13:59:14:228653,0.01,0.044,-0.125,0.46507,0.01
13:59:14:233659,0.022,0.054,-0.125,0.46507,0.01
13:59:14:238780,0.015,0.04,-0.125,0.46507,0.01
13:59:14:243785,0.007,0.014,-0.125,0.46507,0.01
13:59:14:248823,0.024,-0.016,-0.125,0.46507,0.01
13:59:14:253904,0.055,-0.018,-0.125007,0.46507,0.01
13:59:14:258926,0.085,0.005,-0.125007,0.46507,0.01
13:59:14:264103,0.077,0.024,-0.125007,0.46507,0.01
13:59:14:269162,0.035,0.025,-0.125007,0.46507,0.01
13:59:14:274303,0.003,0,-0.125007,0.46507,0.01
13:59:14:279304,-0.026,-0.056,-0.125007,0.46507,0.01
13:59:14:284294,-0.033,-0.076,-0.125007,0.46507,0.01
13:59:14:289405,-0.041,-0.047,-0.125007,0.46507,0.01
13:59:14:294410,-0.065,0.01,-0.125007,0.46507,0.01
13:59:14:299531,-0.084,0.023,-0.125007,0.46507,0.01
13:59:14:304536,-0.077,0.001,-0.125007,0.46507,0.01
13:59:14:309666,-0.036,-0.013,-0.125007,0.46507,0.01
13:59:14:314659,0.044,-0.006,-0.125007,0.46507,0.01
13:59:14:319641,0.075,0.001,-0.125007,0.46507,0.01
13:59:14:324916,0.059,-0.009,-0.125007,0.46507,0.01
13:59:14:329914,0.021,-0.02,-0.125007,0.46507,0.01
13:59:14:334948,-0.034,-0.015,-0.125007,0.46507,0.01
13:59:14:340014,-0.059,-0.002,-0.125007,0.46507,0.01
13:59:14:345018,-0.072,-0.005,-0.125007,0.46507,0.01
13:59:14:350159,-0.065,-0.024,-0.125007,0.46507,0.01
13:59:14:355167,-0.026,-0.039,-0.125007,0.46507,0.01
13:59:14:360268,0.009,-0.028,-0.125007,0.46507,0.01
13:59:14:365323,0.049,0.001,-0.125007,0.46507,0.01
13:59:14:370293,0.053,0.01,-0.125007,0.46507,0.01
13:59:14:375543,0.028,0.004,-0.125007,0.46507,0.01
13:59:14:380574,-0.01,-0.002,-0.125007,0.46507,0.01
13:59:14:385522,-0.033,0.001,-0.125007,0.46507,0.01
13:59:14:390670,-0.057,0.012,-0.125007,0.46507,0.01
13:59:14:395706,-0.059,0.014,-0.125007,0.46507,0.01
13:59:14:400784,-0.035,0.01,-0.125007,0.46507,0.01
13:59:14:405784,-0.01,0.007,-0.125007,0.46507,0.01
13:59:14:410960,0.012,0.016,-0.125007,0.46507,0.01
13:59:14:415902,0.012,0.028,-0.125007,0.46507,0.01
13:59:14:421029,0.003,0.038,-0.125007,0.46507,0.01
13:59:14:426164,-0.002,0.035,-0.125007,0.46507,0.01
13:59:14:431146,-0.01,0.024,-0.125007,0.46507,0.01
13:59:14:436191,-0.012,0.014,-0.125007,0.46507,0.01
13:59:14:441416,0.009,-0.007,-0.125007,0.46507,0.01
13:59:14:446443,0.048,-0.03,-0.125007,0.46507,0.01
13:59:14:451429,0.057,-0.03,-0.125007,0.46507,0.01
13:59:14:456429,0.031,0.002,-0.125007,0.46507,0.01
13:59:14:461594,0.006,0.034,-0.125007,0.46507,0.01
13:59:14:466653,-0.004,0.057,-0.125007,0.46507,0.01
13:59:14:471675,0,0.052,-0.125007,0.46507,0.01
13:59:14:476788,-0.003,0.035,-0.125007,0.46507,0.01
13:59:14:481781,-0.015,0.024,-0.125007,0.46507,0.01
13:59:14:486770,-0.016,0,-0.125007,0.46507,0.01
13:59:14:492035,0.002,-0.019,-0.125007,0.46507,0.01
13:59:14:496963,0.033,-0.024,-0.125007,0.46507,0.01
13:59:14:502039,0.031,-0.006,-0.125007,0.46507,0.01
13:59:14:507044,-0.007,0.021,-0.125007,0.46507,0.01
13:59:14:512162,-0.042,0.021,-0.125007,0.46507,0.01
13:59:14:517169,-0.083,0.004,-0.125007,0.46507,0.01
13:59:14:522294,-0.094,0.004,-0.125007,0.46507,0.01
13:59:14:527443,-0.087,0.026,-0.125007,0.46507,0.01
13:59:14:532419,-0.065,0.033,-0.125007,0.46507,0.01
13:59:14:537414,-0.056,0.018,-0.125007,0.46507,0.01
13:59:14:542551,-0.067,-0.008,-0.125007,0.46507,0.01
13:59:14:547668,-0.082,-0.004,-0.125007,0.46507,0.01
13:59:14:552643,-0.087,0.035,-0.125007,0.46507,0.01
13:59:14:557774,-0.069,0.06,-0.125007,0.46507,0.01
13:59:14:562918,-0.022,0.058,-0.125007,0.46507,0.01
13:59:14:567776,0.001,0.038,-0.125007,0.46507,0.01
13:59:14:572897,-0.001,0.022,-0.125007,0.46507,0.01
13:59:14:578048,-0.026,0.029,-0.125007,0.46507,0.01
13:59:14:583034,-0.074,0.034,-0.125007,0.46507,0.01
13:59:14:588041,-0.1,0.019,-0.125007,0.46507,0.01
13:59:14:593147,-0.116,-0.002,-0.125007,0.46507,0.01
