Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
13:59:13:865917,3,9,2,-14,-5,-1,-15,-6
13:59:13:866724,4,5,-9,13,1,2,5,5
13:59:13:880972,2,-2,-2,-2,0,-6,8,-4
13:59:13:881768,2,-2,-2,-2,0,-6,8,-4
13:59:13:887861,-3,-2,1,-1,-1,-4,-6,-1
13:59:13:895261,-4,-2,1,-19,-6,1,3,5
13:59:13:910989,-4,-2,1,-19,-6,1,3,5
13:59:13:911764,0,1,3,9,5,6,-14,-3
13:59:13:917674,-2,-9,-1,-5,2,-3,-9,-7
13:59:13:926045,-2,-9,-1,-5,2,-3,-9,-7
13:59:13:926739,-3,-3,-8,0,-3,-10,10,1
13:59:13:940222,-7,-7,-5,-3,-2,-4,-9,-3
13:59:13:948436,-7,-7,-5,-3,-2,-4,-9,-3
13:59:13:949229,-3,-9,-9,9,-4,-4,1,-2
13:59:13:955299,2,5,8,7,-3,-1,16,5
13:59:13:962782,2,5,8,7,-3,-1,16,5
13:59:13:970326,2,3,5,0,3,2,0,-1
13:59:13:977783,2,10,0,15,5,9,9,1
13:59:13:993613,2,10,0,15,5,9,9,1
13:59:13:994298,-4,-7,-8,-19,-5,-6,1,0
13:59:14:885,-1,-5,-3,-5,1,-4,-9,-4
13:59:14:1668,-1,-5,-3,-5,1,-4,-9,-4
13:59:14:7827,1,5,9,5,1,2,-4,-5
13:59:14:15261,0,4,17,-4,-2,5,-3,2
13:59:14:22819,0,4,17,-4,-2,5,-3,2
13:59:14:30283,-3,4,1,-7,0,2,9,4
13:59:14:37868,0,-1,-7,5,6,-5,0,2
13:59:14:45973,0,-1,-7,5,6,-5,0,2
13:59:14:46747,-1,6,14,11,-2,-6,-13,-3
13:59:14:60944,2,-6,-13,6,6,1,2,-1
13:59:14:61757,2,-6,-13,6,6,1,2,-1
13:59:14:75954,3,-3,7,-9,-8,-2,1,-7
13:59:14:76685,-8,-7,-15,-12,-11,1,-5,1
