Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
14:01:10:479611,14879,-175,-3902,-5639,1079,-413,1856,-2969,1153,466
14:01:10:504221,14956,-626,-3535,-5645,1179,-486,1900,-2921,1139,702
14:01:10:504979,14956,-626,-3535,-5645,1179,-486,1900,-2921,1139,702
14:01:10:505854,14956,-626,-3535,-5645,1179,-486,1900,-2921,1139,702
14:01:10:506626,15032,-1017,-3147,-5616,1026,-524,2023,-2627,1330,813
14:01:10:509646,15032,-1017,-3147,-5616,1026,-524,2023,-2627,1330,813
14:01:10:525379,15032,-1017,-3147,-5616,1026,-524,2023,-2627,1330,813
14:01:10:526100,15066,-1412,-2765,-5639,1096,-456,2173,-2730,1279,491
14:01:10:532116,15066,-1412,-2765,-5639,1096,-456,2173,-2730,1279,491
14:01:10:539737,15066,-1412,-2765,-5639,1096,-456,2173,-2730,1279,491
14:01:10:547194,15069,-1872,-2438,-5648,1422,-221,2389,-3017,867,554
14:01:10:554625,15069,-1872,-2438,-5648,1422,-221,2389,-3017,867,554
14:01:10:562920,15069,-1872,-2438,-5648,1422,-221,2389,-3017,867,554
14:01:10:563670,15079,-2321,-2113,-5585,1336,-750,2358,-2841,836,920
14:01:10:569636,15079,-2321,-2113,-5585,1336,-750,2358,-2841,836,920
14:01:10:585374,15079,-2321,-2113,-5585,1336,-750,2358,-2841,836,920
14:01:10:586124,15072,-2739,-1808,-5521,1329,-821,2231,-2665,789,866
14:01:10:592162,15072,-2739,-1808,-5521,1329,-821,2231,-2665,789,866
14:01:10:599592,15072,-2739,-1808,-5521,1329,-821,2231,-2665,789,866
14:01:10:607202,15027,-3171,-1475,-5511,1424,-410,2480,-2937,939,581
14:01:10:614715,15027,-3171,-1475,-5511,1424,-410,2480,-2937,939,581
14:01:10:622982,15027,-3171,-1475,-5511,1424,-410,2480,-2937,939,581
14:01:10:623683,14978,-3598,-1164,-5459,1250,-797,2728,-2841,763,757
14:01:10:629652,14978,-3598,-1164,-5459,1250,-797,2728,-2841,763,757
14:01:10:645499,14978,-3598,-1164,-5459,1250,-797,2728,-2841,763,757
14:01:10:646129,14937,-3998,-915,-5338,1176,-1034,2664,-2540,407,1037
14:01:10:652115,14937,-3998,-915,-5338,1176,-1034,2664,-2540,407,1037
14:01:10:659704,14937,-3998,-915,-5338,1176,-1034,2664,-2540,407,1037
14:01:10:667193,14901,-4321,-698,-5220,1138,-1164,2538,-2076,393,960
14:01:10:674701,14901,-4321,-698,-5220,1138,-1164,2538,-2076,393,960
14:01:10:682818,14901,-4321,-698,-5220,1138,-1164,2538,-2076,393,960
14:01:10:683591,14874,-4520,-519,-5147,840,-972,2543,-1580,509,734
14:01:10:689734,14874,-4520,-519,-5147,840,-972,2543,-1580,509,734
14:01:10:705376,14874,-4520,-519,-5147,840,-972,2543,-1580,509,734
14:01:10:706219,14850,-4686,-335,-5083,560,-921,2547,-1480,495,648
14:01:10:712227,14850,-4686,-335,-5083,560,-921,2547,-1480,495,648
14:01:10:719610,14850,-4686,-335,-5083,560,-921,2547,-1480,495,648
14:01:10:727261,14800,-4918,-157,-5019,426,-1045,2522,-1627,367,552
14:01:10:734648,14800,-4918,-157,-5019,426,-1045,2522,-1627,367,552
14:01:10:743166,14800,-4918,-157,-5019,426,-1045,2522,-1627,367,552
14:01:10:743640,14764,-5075,19,-4969,261,-1145,2478,-1406,397,460
14:01:10:749611,14764,-5075,19,-4969,261,-1145,2478,-1406,397,460
14:01:10:765347,14764,-5075,19,-4969,261,-1145,2478,-1406,397,460
14:01:10:766150,14755,-5156,174,-4910,158,-1256,2572,-949,368,486
14:01:10:772265,14755,-5156,174,-4910,158,-1256,2572,-949,368,486
14:01:10:779659,14755,-5156,174,-4910,158,-1256,2572,-949,368,486
