Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
13:44:44:980363,12307,1547,-98,10703,274,281,2045,-1,-15,10
13:44:44:981088,12307,1547,-98,10703,297,286,2053,10,-7,-6
13:44:44:987089,12307,1547,-98,10703,297,286,2053,10,-7,-6
13:44:44:994577,12307,1547,-98,10703,297,286,2053,10,-7,-6
13:44:45:2201,12307,1548,-98,10703,282,289,2046,5,-5,4
13:44:45:9583,12307,1548,-98,10703,282,289,2046,5,-5,4
13:44:45:17882,12307,1548,-98,10703,282,289,2046,5,-5,4
13:44:45:18483,12307,1548,-98,10703,271,279,2050,12,0,5
13:44:45:24581,12307,1548,-98,10703,271,279,2050,12,0,5
13:44:45:40172,12307,1548,-98,10703,271,279,2050,12,0,5
13:44:45:40985,12307,1548,-98,10703,265,293,2056,-1,-6,1
13:44:45:47089,12307,1548,-98,10703,265,293,2056,-1,-6,1
13:44:45:54572,12307,1548,-98,10703,265,293,2056,-1,-6,1
13:44:45:62087,12307,1548,-98,10703,286,271,2044,-7,-9,-4
13:44:45:69573,12307,1548,-98,10703,286,271,2044,-7,-9,-4
13:44:45:77701,12307,1548,-98,10703,286,271,2044,-7,-9,-4
13:44:45:78518,12307,1548,-98,10703,295,289,2041,6,-9,2
13:44:45:84550,12307,1548,-98,10703,295,289,2041,6,-9,2
13:44:45:100274,12307,1548,-98,10703,295,289,2041,6,-9,2
13:44:45:100997,12307,1548,-98,10703,284,288,2035,-3,-6,0
13:44:45:106972,12307,1548,-98,10703,284,288,2035,-3,-6,0
13:44:45:114639,12307,1548,-98,10703,284,288,2035,-3,-6,0
13:44:45:122115,12307,1548,-98,10702,258,283,2036,-6,-13,11
13:44:45:129565,12307,1548,-98,10702,258,283,2036,-6,-13,11
13:44:45:137712,12307,1548,-98,10702,258,283,2036,-6,-13,11
13:44:45:138525,12307,1548,-98,10702,287,285,2055,6,-13,-4
13:44:45:144536,12307,1548,-98,10702,287,285,2055,6,-13,-4
13:44:45:160201,12307,1548,-98,10702,287,285,2055,6,-13,-4
13:44:45:161033,12307,1549,-98,10702,282,293,2035,9,-12,5
13:44:45:167104,12307,1549,-98,10702,282,293,2035,9,-12,5
13:44:45:174516,12307,1549,-98,10702,282,293,2035,9,-12,5
13:44:45:182141,12307,1549,-98,10702,278,298,2047,-8,-11,2
13:44:45:189548,12307,1549,-98,10702,278,298,2047,-8,-11,2
13:44:45:197730,12307,1549,-98,10702,278,298,2047,-8,-11,2
13:44:45:198541,12307,1550,-98,10702,286,293,2053,-4,-10,-3
13:44:45:204534,12307,1550,-98,10702,286,293,2053,-4,-10,-3
13:44:45:220270,12307,1550,-98,10702,286,293,2053,-4,-10,-3
13:44:45:221018,12307,1550,-98,10702,296,281,2052,7,-15,5
13:44:45:227008,12307,1550,-98,10702,296,281,2052,7,-15,5
13:44:45:234622,12307,1550,-98,10702,296,281,2052,7,-15,5
13:44:45:242117,12307,1550,-98,10702,292,277,2043,-8,-14,-6
13:44:45:249651,12307,1550,-98,10702,292,277,2043,-8,-14,-6
13:44:45:257687,12307,1550,-98,10702,292,277,2043,-8,-14,-6
13:44:45:258477,12307,1550,-98,10702,287,287,2042,3,1,-7
13:44:45:264545,12307,1550,-98,10702,287,287,2042,3,1,-7
13:44:45:280229,12307,1550,-98,10702,287,287,2042,3,1,-7
13:44:45:281030,12307,1551,-98,10702,283,302,2051,14,5,-7
13:44:45:287073,12307,1551,-98,10702,283,302,2051,14,5,-7
13:44:45:294550,12307,1551,-98,10702,283,302,2051,14,5,-7
13:44:45:302183,12307,1551,-98,10702,284,296,2036,-10,-2,1
13:44:45:309514,12307,1551,-98,10702,284,296,2036,-10,-2,1
13:44:45:317744,12307,1551,-98,10702,284,296,2036,-10,-2,1
13:44:45:318485,12307,1551,-98,10702,288,277,2043,-13,4,-9
13:44:45:324453,12307,1551,-98,10702,288,277,2043,-13,4,-9
13:44:45:340189,12307,1551,-98,10702,288,277,2043,-13,4,-9
13:44:45:340994,12307,1552,-98,10702,266,292,2042,11,8,-8
13:44:45:347102,12307,1552,-98,10702,266,292,2042,11,8,-8
13:44:45:354600,12307,1552,-98,10702,266,292,2042,11,8,-8
13:44:45:362067,12307,1552,-97,10702,278,309,2047,-12,-2,-8
13:44:45:369532,12307,1552,-97,10702,278,309,2047,-12,-2,-8
13:44:45:377709,12307,1552,-97,10702,278,309,2047,-12,-2,-8
13:44:45:378507,12306,1550,-100,10703,275,282,2040,-21,-6,5
13:44:45:384618,12306,1550,-100,10703,275,282,2040,-21,-6,5
13:44:45:400251,12306,1550,-100,10703,275,282,2040,-21,-6,5
13:44:45:401009,12307,1547,-103,10703,279,275,2047,-22,-3,-2
13:44:45:406970,12307,1547,-103,10703,279,275,2047,-22,-3,-2
13:44:45:414570,12307,1547,-103,10703,279,275,2047,-22,-3,-2
13:44:45:422122,12307,1547,-103,10703,269,285,2039,-2,0,4
13:44:45:429566,12307,1547,-103,10703,269,285,2039,-2,0,4
13:44:45:438160,12307,1547,-103,10703,269,285,2039,-2,0,4
13:44:45:445223,12307,1548,-103,10702,273,304,2039,-2,-3,2
13:44:45:446060,12307,1548,-103,10702,273,304,2039,-2,-3,2
13:44:45:460190,12307,1548,-103,10702,273,304,2039,-2,-3,2
13:44:45:461021,12306,1549,-105,10703,287,301,2032,-17,-7,8
13:44:45:467062,12306,1549,-105,10703,287,301,2032,-17,-7,8
13:44:45:474494,12306,1549,-105,10703,287,301,2032,-17,-7,8
13:44:45:482148,12306,1549,-109,10703,297,286,2045,-20,-11,1
13:44:45:489539,12306,1549,-109,10703,297,286,2045,-20,-11,1
13:44:45:497693,12306,1549,-109,10703,297,286,2045,-20,-11,1
13:44:45:498526,12306,1549,-109,10703,279,277,2053,-15,-15,13
13:44:45:504544,12306,1549,-109,10703,279,277,2053,-15,-15,13
13:44:45:520227,12306,1549,-109,10703,279,277,2053,-15,-15,13
13:44:45:521037,12306,1548,-116,10703,288,274,2041,-25,-18,3
13:44:45:526999,12306,1548,-116,10703,288,274,2041,-25,-18,3
13:44:45:534568,12306,1548,-116,10703,288,274,2041,-25,-18,3
13:44:45:542104,12308,1545,-124,10702,288,282,2040,-53,-19,-8
13:44:45:549578,12308,1545,-124,10702,288,282,2040,-53,-19,-8
13:44:45:557678,12308,1545,-124,10702,288,282,2040,-53,-19,-8
13:44:45:558502,12314,1533,-137,10697,282,280,2046,-101,-14,-37
13:44:45:564569,12314,1533,-137,10697,282,280,2046,-101,-14,-37
13:44:45:580300,12314,1533,-137,10697,282,280,2046,-101,-14,-37
13:44:45:581024,12319,1527,-144,10691,284,271,2054,-59,-9,-38
13:44:45:587076,12319,1527,-144,10691,284,271,2054,-59,-9,-38
13:44:45:602716,12319,1527,-144,10691,284,271,2054,-59,-9,-38
13:44:45:603524,12321,1525,-147,10689,278,275,2045,-25,-7,-17
13:44:45:609583,12321,1525,-147,10689,278,275,2045,-25,-7,-17
13:44:45:617860,12321,1525,-147,10689,278,275,2045,-25,-7,-17
13:44:45:618579,12323,1521,-152,10688,295,250,2041,-26,0,-12
13:44:45:632074,12323,1521,-152,10688,295,250,2041,-26,0,-12
13:44:45:640253,12323,1521,-152,10688,295,250,2041,-26,0,-12
13:44:45:641010,12323,1521,-152,10688,292,264,2029,0,1,10
13:44:45:647054,12323,1521,-152,10688,292,264,2029,0,1,10
13:44:45:662836,12323,1521,-152,10688,292,264,2029,0,1,10
13:44:45:663550,12322,1520,-155,10689,287,270,2035,-20,-7,12
13:44:45:669479,12322,1520,-155,10689,287,270,2035,-20,-7,12
13:44:45:677751,12322,1520,-155,10689,287,270,2035,-20,-7,12
13:44:45:678524,12321,1521,-156,10689,315,260,2050,-8,-2,-11
13:44:45:692044,12321,1521,-156,10689,315,260,2050,-8,-2,-11
13:44:45:700314,12321,1521,-156,10689,315,260,2050,-8,-2,-11
13:44:45:701053,12321,1521,-156,10689,306,260,2055,7,-16,-7
13:44:45:707013,12321,1521,-156,10689,306,260,2055,7,-16,-7
13:44:45:723198,12321,1521,-156,10689,306,260,2055,7,-16,-7
13:44:45:723972,12322,1524,-153,10688,282,270,2040,24,0,-10
13:44:45:729600,12322,1524,-153,10688,282,270,2040,24,0,-10
13:44:45:737766,12322,1524,-153,10688,282,270,2040,24,0,-10
13:44:45:738537,12322,1528,-146,10688,264,284,2052,33,3,-1
13:44:45:752052,12322,1528,-146,10688,264,284,2052,33,3,-1
13:44:45:760192,12322,1528,-146,10688,264,284,2052,33,3,-1
13:44:45:761025,12320,1533,-141,10689,271,290,2055,28,-2,11
13:44:45:767054,12320,1533,-141,10689,271,290,2055,28,-2,11
13:44:45:782734,12320,1533,-141,10689,271,290,2055,28,-2,11
13:44:45:783581,12320,1535,-139,10689,283,260,2048,23,0,-2
