Time,FT1,FT2,X,Y,Z
13:45:49:620970,0,0,-0.125,0.465,0.01
13:45:49:626130,0,0,-0.125,0.465032,0.01
13:45:49:631108,0,0,-0.125,0.465037,0.01
13:45:49:636242,0,0,-0.125,0.465042,0.01
13:45:49:641122,0,0,-0.125,0.465048,0.01
13:45:49:646370,0,0,-0.125,0.465048,0.01
13:45:49:651503,0,0,-0.125,0.465053,0.01
13:45:49:656487,0,0,-0.125,0.465053,0.01
13:45:49:661473,0,0,-0.125007,0.465059,0.01
13:45:49:666611,0,0,-0.125007,0.465059,0.01
13:45:49:671748,0,0,-0.125007,0.465059,0.01
13:45:49:676733,0,0,-0.125007,0.465059,0.01
13:45:49:681734,0,0,-0.125007,0.465064,0.01
13:45:49:686861,0,0,-0.125007,0.465064,0.01
13:45:49:691740,0,0,-0.125007,0.465064,0.01
13:45:49:696997,0,0,-0.125007,0.465064,0.01
13:45:49:702103,0,0,-0.125007,0.465064,0.01
13:45:49:707254,0,0,-0.125007,0.465064,0.01
13:45:49:712132,0,0,-0.125007,0.465064,0.01
13:45:49:717381,0,0,-0.125007,0.46507,0.01
13:45:49:722371,0,0,-0.125007,0.46507,0.01
13:45:49:727347,0,0,-0.125007,0.46507,0.01
13:45:49:732472,0,0,-0.125007,0.46507,0.01
13:45:49:737491,0,0,-0.125007,0.46507,0.01
13:45:49:742618,0,0,-0.125007,0.46507,0.01
13:45:49:747607,0,0,-0.125007,0.465075,0.01
13:45:49:752724,0,0,-0.125007,0.465075,0.01
13:45:49:757727,0,0,-0.125007,0.465075,0.01
13:45:49:762876,0,0,-0.125007,0.465075,0.01
13:45:49:767996,0,0,-0.125007,0.465075,0.01
13:45:49:773002,0,0,-0.125007,0.465075,0.01
13:45:49:777985,0,0,-0.125007,0.465075,0.01
13:45:49:783095,0,0,-0.125007,0.465075,0.01
13:45:49:788239,0,0,-0.125007,0.46508,0.01
13:45:49:793242,0,0,-0.125007,0.46508,0.01
13:45:49:798347,0,0,-0.125007,0.46508,0.01
13:45:49:803344,0,0,-0.125007,0.46508,0.01
13:45:49:808396,0,0,-0.125007,0.46508,0.01
13:45:49:813516,0,0,-0.125007,0.46508,0.01
13:45:49:818628,0,0,-0.125007,0.46508,0.01
13:45:49:823860,0,0,-0.125007,0.46508,0.01
13:45:49:828862,0,0,-0.125007,0.46508,0.01
13:45:49:833994,0,0,-0.125007,0.46508,0.01
13:45:49:838985,0,0,-0.125007,0.46508,0.01
13:45:49:843982,0,0,-0.125007,0.46508,0.01
13:45:49:849109,0,0,-0.125007,0.46508,0.01
13:45:49:854236,0,0,-0.125007,0.465086,0.01
13:45:49:859231,0,0,-0.125007,0.465086,0.01
13:45:49:864228,-0.025,-0.048,-0.125007,0.465086,0.01
13:45:49:869254,0.001,-0.067,-0.125007,0.465086,0.01
13:45:49:874479,0.072,-0.04,-0.125007,0.465086,0.01
13:45:49:879354,0.103,0.029,-0.125007,0.465086,0.01
13:45:49:884489,0.08,0.056,-0.125007,0.465086,0.01
13:45:49:889521,0.01,0.038,-0.125007,0.465086,0.01
13:45:49:894595,-0.024,0.013,-0.125007,0.465086,0.01
13:45:49:899768,-0.027,-0.002,-0.125007,0.465086,0.01
13:45:49:904869,-0.012,-0.003,-0.125007,0.465086,0.01
13:45:49:909758,-0.004,-0.019,-0.125007,0.465086,0.01
13:45:49:914859,-0.016,-0.034,-0.125007,0.465086,0.01
13:45:49:919993,-0.029,-0.026,-0.125007,0.465086,0.01
