Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
13:45:49:628178,-4,-4,-23,-22,-26,-13,-1,-4
13:45:49:636454,-4,-4,-23,-22,-26,-13,-1,-4
13:45:49:637173,-3,-1,14,17,-8,8,-3,-2
13:45:49:643133,0,1,9,8,13,-9,-17,-3
13:45:49:658897,0,1,9,8,13,-9,-17,-3
13:45:49:659709,-3,-8,-21,0,9,-16,13,-4
13:45:49:665738,5,0,-1,8,11,8,-1,6
13:45:49:673906,5,0,-1,8,11,8,-1,6
13:45:49:674688,0,2,-5,-14,5,-4,-14,2
13:45:49:688178,-5,-4,7,10,-31,-9,-2,-3
13:45:49:696432,-5,-4,7,10,-31,-9,-2,-3
13:45:49:697180,-2,-2,6,-15,2,-2,-27,-4
13:45:49:703249,4,-6,-8,-5,24,6,-17,-2
13:45:49:718967,4,-6,-8,-5,24,6,-17,-2
13:45:49:719648,-7,4,5,9,-21,10,24,-6
13:45:49:725658,4,1,7,17,14,20,8,4
13:45:49:741336,4,1,7,17,14,20,8,4
13:45:49:742158,-10,-2,-11,-7,-14,-10,14,4
13:45:49:748255,-5,-1,-1,-7,6,-2,-9,-4
13:45:49:756398,-5,-1,-1,-7,6,-2,-9,-4
13:45:49:757155,-2,1,4,-2,9,-14,-9,-1
13:45:49:763153,-3,-3,-8,-11,-16,-7,15,-4
13:45:49:778949,-3,-3,-8,-11,-16,-7,15,-4
13:45:49:779629,-1,-8,-4,-4,-17,-25,-31,-7
13:45:49:785689,3,2,-26,-9,-19,-34,-21,3
13:45:49:793891,3,2,-26,-9,-19,-34,-21,3
13:45:49:794648,16,4,1,6,29,7,-15,15
13:45:49:808173,0,6,4,-3,-3,34,25,7
13:45:49:816423,0,6,4,-3,-3,34,25,7
13:45:49:817188,-2,-4,3,-6,-15,-18,-9,-3
13:45:49:823139,-5,-2,9,5,-13,-10,1,2
13:45:49:838905,-5,-2,9,5,-13,-10,1,2
13:45:49:839642,-4,-6,-19,15,1,-6,4,-10
13:45:49:845759,-7,-4,-5,-7,-24,-31,-2,-5
13:45:49:853906,-7,-4,-5,-7,-24,-31,-2,-5
13:45:49:854672,7,7,17,24,43,50,4,10
13:45:49:868735,1,-2,1,-13,-10,-20,-24,-9
13:45:49:876392,1,-2,1,-13,-10,-20,-24,-9
13:45:49:877137,0,-2,0,-14,-17,-20,14,-1
13:45:49:883295,2,-4,3,10,6,7,11,2
13:45:49:898886,2,-4,3,10,6,7,11,2
13:45:49:899627,-3,-4,-4,3,0,-1,-23,-1
13:45:49:905702,4,-2,-6,-3,18,13,5,0
13:45:49:913876,4,-2,-6,-3,18,13,5,0
13:45:49:914632,-2,-2,-3,-18,2,-3,-1,-6
13:45:49:928209,-4,-1,-1,10,24,14,-3,-1
13:45:49:936416,-4,-1,-1,10,24,14,-3,-1
13:45:49:937148,-2,0,-3,-10,5,6,30,-2
13:45:49:950754,0,2,-5,-6,-22,-17,-14,-3
13:45:49:958985,0,2,-5,-6,-22,-17,-14,-3
13:45:49:959698,2,2,-3,11,5,14,-4,3
13:45:49:965747,-2,3,-2,-3,-5,-13,-2,-4
13:45:49:973906,-2,3,-2,-3,-5,-13,-2,-4
13:45:49:974630,-1,-4,-17,-28,-2,-3,10,0
13:45:49:988183,-3,-3,7,28,41,19,12,-2
13:45:49:996418,-3,-3,7,28,41,19,12,-2
13:45:49:997148,2,4,-1,-4,-13,20,44,7
13:45:50:3230,-3,-1,-1,-20,-10,1,11,-4
13:45:50:35990,-3,-1,-1,-20,-10,1,11,-4
13:45:50:36665,-7,-9,1,-8,-20,10,-1,-6
13:45:50:37484,-6,-2,-4,15,1,4,4,-3
13:45:50:38298,-6,-2,-4,15,1,4,4,-3
13:45:50:40659,-2,1,21,11,-7,-9,-20,-1
13:45:50:48232,-1,0,-7,-14,-12,-12,-9,1
13:45:50:56401,-1,0,-7,-14,-12,-12,-9,1
13:45:50:57165,-4,-2,-8,-16,-24,-31,-8,-6
13:45:50:63234,2,0,11,16,-8,41,30,4
13:45:50:87119,2,0,11,16,-8,41,30,4
13:45:50:87894,3,0,-1,1,-10,-14,-6,0
13:45:50:88711,5,3,8,3,5,-17,-2,-1
13:45:50:93153,5,3,8,3,5,-17,-2,-1
13:45:50:100880,6,2,12,2,0,-17,-6,-1
13:45:50:108175,0,6,19,11,15,26,4,-4
13:45:50:116421,0,6,19,11,15,26,4,-4
13:45:50:117149,-2,-5,2,9,-2,-11,-4,-8
13:45:50:130787,-1,-5,2,0,-30,-28,-25,0
13:45:50:147117,-1,-5,2,0,-30,-28,-25,0
13:45:50:147852,2,2,-14,4,26,40,-3,3
13:45:50:148628,-3,-2,-5,-15,-2,-17,-26,-3
13:45:50:161426,-3,-2,-5,-15,-2,-17,-26,-3
13:45:50:162205,1,-2,-3,9,9,3,-22,-3
13:45:50:168237,1,-2,-7,-7,-16,30,15,3
13:45:50:176417,1,-2,-7,-7,-16,30,15,3
13:45:50:177177,7,0,-1,-3,6,-8,-7,-2
13:45:50:190659,-1,-4,-4,-28,-3,-12,-6,1
13:45:50:198984,-1,-4,-4,-28,-3,-12,-6,1
13:45:50:199735,-8,-3,4,3,-12,-13,12,-4
13:45:50:205681,-5,-8,-18,0,-16,-26,-10,-6
13:45:50:221880,-5,-8,-18,0,-16,-26,-10,-6
13:45:50:237732,-7,-1,-2,6,1,9,2,-1
13:45:50:238508,-5,-5,-8,-16,-27,-25,-14,-4
13:45:50:239326,-5,-5,-8,-16,-27,-25,-14,-4
13:45:50:240177,0,0,-4,4,18,5,-3,0
13:45:50:250767,3,2,-4,-3,3,5,17,0
13:45:50:258897,3,2,-4,-3,3,5,17,0
13:45:50:259653,-8,-2,-1,-31,-21,-8,3,-1
