Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
15:40:30:47764,0,-1,-2,-3,1,-1,-1,0
15:40:30:48552,0,-1,-2,-3,1,-1,-1,0
15:40:30:54552,-1,-1,-3,0,-1,-2,0,0
15:40:30:70296,0,-1,-1,0,-3,-1,-2,0
15:40:30:71068,0,-1,-1,0,-3,-1,-2,0
15:40:30:77044,-2,-1,3,-2,0,-1,-3,-4
15:40:30:84561,0,-1,1,-1,-1,1,-1,-2
15:40:30:92147,0,-1,1,-1,-1,1,-1,-2
15:40:30:99563,-2,0,-1,1,-3,-3,-2,-1
15:40:30:107722,0,0,-1,0,1,-1,-2,-1
15:40:30:108528,0,0,-1,0,1,-1,-2,-1
15:40:30:114573,0,2,0,-2,-2,-1,-2,1
15:40:30:130247,-3,-3,-2,-1,-1,-1,-4,1
15:40:30:131083,-3,-3,-2,-1,-1,-1,-4,1
15:40:30:137067,2,-3,-2,0,1,-2,0,-2
15:40:30:144538,-2,1,-1,0,-2,-1,1,-3
15:40:30:152091,-2,1,-1,0,-2,-1,1,-3
15:40:30:159563,-2,-1,-1,-1,-1,2,1,-3
15:40:30:167825,1,-1,-3,-1,1,-1,-2,-3
15:40:30:168547,1,-1,-3,-1,1,-1,-2,-3
15:40:30:174541,-2,0,-3,-2,-1,-2,-2,-1
15:40:30:190280,-1,-2,-1,-2,0,-2,0,-2
15:40:30:191041,-1,-2,-1,-2,0,-2,0,-2
15:40:30:197074,-1,-1,-1,0,-2,-2,-5,0
15:40:30:204654,-3,-3,0,-1,0,0,-2,-2
15:40:30:212046,-3,-3,0,-1,0,0,-2,-2
15:40:30:228385,-4,-3,0,-1,-2,2,2,-2
15:40:30:229136,-2,-2,-3,-1,0,-1,0,0
15:40:30:230010,-2,-2,-3,-1,0,-1,0,0
15:40:30:234627,0,-2,-3,-2,1,1,-1,1
15:40:30:250347,-1,0,-2,-1,-3,-1,0,-2
15:40:30:251130,-1,0,-2,-1,-3,-1,0,-2
15:40:30:257055,1,-1,1,1,-2,-4,-2,-1
15:40:30:264556,-1,0,3,-3,1,-1,0,-2
15:40:30:280260,-1,0,3,-3,1,-1,0,-2
15:40:30:281076,-1,-2,-3,0,-1,0,-1,-1
15:40:30:287801,1,-1,-2,-1,0,-1,-2,-3
15:40:30:288564,1,-1,-2,-1,0,-1,-2,-3
