Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
15:41:16:703127,-14710,3179,6457,-493,1670,-577,1267,111,31,604
15:41:16:703831,-14710,3179,6457,-493,1670,-577,1267,111,31,604
15:41:16:709798,-14710,3179,6457,-493,1670,-577,1267,111,31,604
15:41:16:718161,-14714,3220,6419,-597,1677,-739,1318,2,161,722
15:41:16:718810,-14714,3220,6419,-597,1677,-739,1318,2,161,722
15:41:16:733097,-14714,3220,6419,-597,1677,-739,1318,2,161,722
15:41:16:733851,-14727,3262,6357,-715,1570,-843,1250,95,286,773
15:41:16:748002,-14727,3262,6357,-715,1570,-843,1250,95,286,773
15:41:16:748832,-14727,3262,6357,-715,1570,-843,1250,95,286,773
15:41:16:754886,-14753,3288,6267,-837,1579,-828,1293,187,452,811
15:41:16:762310,-14753,3288,6267,-837,1579,-828,1293,187,452,811
15:41:16:769845,-14753,3288,6267,-837,1579,-828,1293,187,452,811
15:41:16:778054,-14786,3327,6149,-965,1538,-947,1340,177,588,857
15:41:16:778808,-14786,3327,6149,-965,1538,-947,1340,177,588,857
15:41:16:792988,-14786,3327,6149,-965,1538,-947,1340,177,588,857
15:41:16:793789,-14826,3382,6000,-1095,1463,-1108,1300,175,772,879
15:41:16:799801,-14826,3382,6000,-1095,1463,-1108,1300,175,772,879
15:41:16:807303,-14826,3382,6000,-1095,1463,-1108,1300,175,772,879
15:41:16:814830,-14874,3417,5829,-1243,1315,-1149,1327,348,835,924
15:41:16:822308,-14874,3417,5829,-1243,1315,-1149,1327,348,835,924
15:41:16:829776,-14874,3417,5829,-1243,1315,-1149,1327,348,835,924
15:41:16:838085,-14923,3429,5660,-1398,1295,-975,1358,408,816,979
15:41:16:838852,-14923,3429,5660,-1398,1295,-975,1358,408,816,979
15:41:16:853100,-14923,3429,5660,-1398,1295,-975,1358,408,816,979
15:41:16:853922,-14958,3494,5484,-1552,1257,-962,1356,113,864,1113
15:41:16:859857,-14958,3494,5484,-1552,1257,-962,1356,113,864,1113
15:41:16:867361,-14958,3494,5484,-1552,1257,-962,1356,113,864,1113
15:41:16:874906,-14987,3591,5292,-1718,1139,-1063,1406,-5,904,1217
15:41:16:882331,-14987,3591,5292,-1718,1139,-1063,1406,-5,904,1217
15:41:16:889827,-14987,3591,5292,-1718,1139,-1063,1406,-5,904,1217
15:41:16:898029,-15012,3700,5085,-1885,990,-1085,1409,-58,945,1246
15:41:16:898797,-15012,3700,5085,-1885,990,-1085,1409,-58,945,1246
15:41:16:913057,-15012,3700,5085,-1885,990,-1085,1409,-58,945,1246
15:41:16:913803,-15028,3829,4875,-2042,906,-1130,1422,-183,966,1233
15:41:16:919831,-15028,3829,4875,-2042,906,-1130,1422,-183,966,1233
15:41:16:927323,-15028,3829,4875,-2042,906,-1130,1422,-183,966,1233
15:41:16:934967,-15043,3966,4654,-2186,822,-1045,1408,-280,1035,1216
15:41:16:942326,-15043,3966,4654,-2186,822,-1045,1408,-280,1035,1216
15:41:16:949862,-15043,3966,4654,-2186,822,-1045,1408,-280,1035,1216
15:41:16:958099,-15050,4117,4427,-2320,681,-1016,1412,-397,1052,1195
15:41:16:958805,-15050,4117,4427,-2320,681,-1016,1412,-397,1052,1195
15:41:16:973116,-15050,4117,4427,-2320,681,-1016,1412,-397,1052,1195
15:41:16:973882,-15050,4282,4200,-2441,541,-1009,1445,-519,1029,1135
15:41:16:979798,-15050,4282,4200,-2441,541,-1009,1445,-519,1029,1135
15:41:16:987359,-15050,4282,4200,-2441,541,-1009,1445,-519,1029,1135
15:41:16:994892,-15038,4463,3995,-2535,466,-1054,1429,-674,954,993
15:41:17:2356,-15038,4463,3995,-2535,466,-1054,1429,-674,954,993
15:41:17:9798,-15038,4463,3995,-2535,466,-1054,1429,-674,954,993
15:41:17:18147,-15024,4640,3801,-2597,397,-1089,1415,-701,933,797
15:41:17:18831,-15024,4640,3801,-2597,397,-1089,1415,-701,933,797
15:41:17:33069,-15024,4640,3801,-2597,397,-1089,1415,-701,933,797
15:41:17:33798,-15004,4811,3628,-2647,316,-1194,1446,-694,813,675
15:41:17:39883,-15004,4811,3628,-2647,316,-1194,1446,-694,813,675
15:41:17:47310,-15004,4811,3628,-2647,316,-1194,1446,-694,813,675
15:41:17:54859,-14974,4979,3493,-2689,325,-1259,1396,-716,641,581
15:41:17:62264,-14974,4979,3493,-2689,325,-1259,1396,-716,641,581
15:41:17:69831,-14974,4979,3493,-2689,325,-1259,1396,-716,641,581
15:41:17:77353,-14949,5118,3370,-2723,380,-1290,1382,-575,614,515
