Time,FT1,FT2,X,Y,Z
15:41:53:173242,0,0,-0.125,0.465,0.01
15:41:53:178223,0,0,-0.125,0.465027,0.01
15:41:53:183357,0,0,-0.125,0.465032,0.01
15:41:53:188470,0,0,-0.125,0.465037,0.01
15:41:53:193479,0,0,-0.125,0.465037,0.01
15:41:53:198485,0,0,-0.125,0.465038,0.01
15:41:53:203625,0,0,-0.125,0.465038,0.01
15:41:53:208738,0,0,-0.125,0.465044,0.01
15:41:53:213742,0,0,-0.125,0.465044,0.01
15:41:53:218747,0,0,-0.125,0.465045,0.01
15:41:53:223862,0,0,-0.125,0.465045,0.01
15:41:53:229021,0,0,-0.125,0.465045,0.01
15:41:53:233993,0,0,-0.125,0.465045,0.01
15:41:53:239124,0,0,-0.125,0.465046,0.01
15:41:53:244026,0,0,-0.125007,0.465046,0.01
15:41:53:249239,0,0,-0.125007,0.465046,0.01
15:41:53:254285,0,0,-0.125007,0.465051,0.01
15:41:53:259406,0,0,-0.125007,0.465051,0.01
15:41:53:264266,0,0,-0.125007,0.465051,0.01
15:41:53:269474,0,0,-0.125007,0.465051,0.01
15:41:53:274473,0,0,-0.125007,0.465051,0.01
15:41:53:279616,0,0,-0.125007,0.465051,0.01
15:41:53:284622,0,0,-0.125007,0.465051,0.01
15:41:53:289724,0,0,-0.125007,0.465051,0.01
15:41:53:294754,0,0,-0.125007,0.465051,0.01
15:41:53:299881,0,0,-0.125007,0.465052,0.01
15:41:53:304971,0,0,-0.125007,0.465052,0.01
15:41:53:309966,0,0,-0.125007,0.465052,0.01
15:41:53:314987,0,0,-0.125007,0.465052,0.01
15:41:53:320139,0,0,-0.125007,0.465052,0.01
15:41:53:325220,0,0,-0.125007,0.465052,0.01
15:41:53:330245,0,0,-0.125007,0.465052,0.01
15:41:53:335234,0,0,-0.125007,0.465057,0.01
15:41:53:340361,0,0,-0.125007,0.465057,0.01
15:41:53:345505,0,0,-0.125007,0.465057,0.01
15:41:53:350497,0,0,-0.125007,0.465057,0.01
15:41:53:355623,0,0,-0.125007,0.465057,0.01
15:41:53:360648,0,0,-0.125007,0.465057,0.01
15:41:53:365775,0,0,-0.125007,0.465057,0.01
15:41:53:370724,0,0,-0.125007,0.465057,0.01
15:41:53:375780,0,0,-0.125007,0.465057,0.01
15:41:53:380862,0,0,-0.125007,0.465057,0.01
15:41:53:385861,0,0,-0.125007,0.465057,0.01
15:41:53:391026,0,0,-0.125007,0.465057,0.01
15:41:53:395985,0,0,-0.125007,0.465057,0.01
15:41:53:401120,0,0,-0.125007,0.465057,0.01
15:41:53:406255,0,0,-0.125007,0.465057,0.01
15:41:53:411273,0,0,-0.125007,0.465057,0.01
15:41:53:416236,-0.023,0.05,-0.125007,0.465057,0.01
15:41:53:421296,-0.036,0.034,-0.125007,0.465057,0.01
15:41:53:426370,-0.031,0.025,-0.125007,0.465057,0.01
15:41:53:431499,-0.001,0.016,-0.125007,0.465057,0.01
15:41:53:436487,0.022,0.01,-0.125007,0.465057,0.01
15:41:53:441640,0.029,0.001,-0.125007,0.465057,0.01
15:41:53:446624,0.013,-0.005,-0.125007,0.465057,0.01
15:41:53:451770,-0.008,-0.024,-0.125007,0.465057,0.01
15:41:53:456861,-0.002,-0.037,-0.125007,0.465057,0.01
15:41:53:461847,0.024,-0.039,-0.125007,0.465057,0.01
15:41:53:466978,0.034,-0.024,-0.125007,0.465057,0.01
15:41:53:471966,0.021,0.002,-0.125007,0.465057,0.01
15:41:53:477148,0.003,0.006,-0.125007,0.465057,0.01
15:41:53:482105,-0.007,-0.011,-0.125007,0.465063,0.01
15:41:53:487263,0.007,-0.026,-0.125007,0.465063,0.01
15:41:53:492147,0.019,-0.022,-0.125007,0.465063,0.01
15:41:53:497343,0.026,-0.007,-0.125007,0.465063,0.01
15:41:53:502366,0.03,-0.005,-0.125007,0.465063,0.01
15:41:53:507497,0.037,-0.023,-0.125007,0.465063,0.01
15:41:53:512503,0.039,-0.037,-0.125007,0.465063,0.01
15:41:53:517600,0.035,-0.032,-0.125007,0.465063,0.01
15:41:53:522729,0.036,-0.01,-0.125007,0.465063,0.01
15:41:53:527747,0.05,0.01,-0.125007,0.465063,0.01
15:41:53:532720,0.056,-0.006,-0.125007,0.465063,0.01
15:41:53:537848,0.032,-0.069,-0.125007,0.465063,0.01
15:41:53:542997,-0.006,-0.112,-0.125007,0.465063,0.01
15:41:53:547971,-0.063,-0.142,-0.125007,0.465063,0.01
15:41:53:553093,-0.075,-0.137,-0.125007,0.465063,0.01
15:41:53:558121,-0.044,-0.106,-0.125007,0.465063,0.01
15:41:53:563237,-0.017,-0.085,-0.125007,0.465063,0.01
15:41:53:568263,-0.017,-0.072,-0.125007,0.465063,0.01
15:41:53:573363,-0.042,-0.068,-0.125007,0.465063,0.01
15:41:53:578384,-0.034,-0.051,-0.125007,0.465063,0.01
15:41:53:583368,0.01,-0.004,-0.125007,0.465063,0.01
15:41:53:588412,0.023,0.019,-0.125007,0.465063,0.01
15:41:53:593613,-0.01,0.023,-0.125007,0.465063,0.01
15:41:53:598614,-0.037,0.018,-0.125007,0.465063,0.01
15:41:53:603626,-0.022,0.029,-0.125007,0.465063,0.01
15:41:53:608627,0.01,0.043,-0.125007,0.465063,0.01
15:41:53:613885,0.037,0.047,-0.125007,0.465063,0.01
15:41:53:618875,0.031,0.037,-0.125007,0.465063,0.01
15:41:53:624001,0.015,0.014,-0.125007,0.465063,0.01
15:41:53:629000,0.011,-0.004,-0.125007,0.465063,0.01
15:41:53:633995,0.009,-0.042,-0.125007,0.465063,0.01
15:41:53:639103,0.011,-0.063,-0.125007,0.465063,0.01
15:41:53:644260,0.033,-0.059,-0.125007,0.465063,0.01
15:41:53:649220,0.053,-0.033,-0.125007,0.465063,0.01
15:41:53:654228,0.05,-0.005,-0.125007,0.465063,0.01
15:41:53:659377,-0.006,-0.031,-0.125007,0.465063,0.01
15:41:53:664364,-0.05,-0.062,-0.125007,0.465063,0.01
15:41:53:669495,-0.077,-0.072,-0.125007,0.465063,0.01
15:41:53:674384,-0.064,-0.044,-0.125007,0.465063,0.01
15:41:53:679603,-0.023,0.01,-0.125007,0.465063,0.01
15:41:53:684649,0,0.025,-0.125007,0.465063,0.01
15:41:53:689600,0.009,0.005,-0.125007,0.465063,0.01
15:41:53:694660,0.003,-0.018,-0.125007,0.465063,0.01
15:41:53:699741,-0.007,-0.044,-0.125007,0.465063,0.01
15:41:53:704867,-0.013,-0.054,-0.125007,0.465063,0.01
15:41:53:710001,-0.028,-0.063,-0.125007,0.465063,0.01
15:41:53:714988,-0.04,-0.067,-0.125007,0.465063,0.01
15:41:53:720152,-0.039,-0.072,-0.125007,0.465063,0.01
15:41:53:725261,-0.021,-0.068,-0.125007,0.465063,0.01
15:41:53:730284,-0.021,-0.052,-0.125007,0.465063,0.01
15:41:53:735257,-0.053,-0.027,-0.125007,0.465063,0.01
15:41:53:740301,-0.073,0.008,-0.125007,0.465063,0.01
15:41:53:745486,-0.056,0.01,-0.125007,0.465063,0.01
15:41:53:750493,-0.02,-0.005,-0.125007,0.465063,0.01
15:41:53:755638,0.025,-0.029,-0.125007,0.465063,0.01
15:41:53:760637,0.029,-0.031,-0.125007,0.465063,0.01
15:41:53:765738,0.001,-0.008,-0.125007,0.465068,0.01
15:41:53:770726,-0.021,0.013,-0.125007,0.465068,0.01
15:41:53:775870,-0.04,0.03,-0.125007,0.465068,0.01
15:41:53:780867,-0.039,0.018,-0.125007,0.465068,0.01
