Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
15:02:33:312218,-1,-1,6,0,3,-4,4,0
15:02:33:320461,-1,-1,6,0,3,-4,4,0
15:02:33:321227,0,-2,-3,1,2,-11,-2,-8
15:02:33:334761,5,3,0,2,4,5,7,4
15:02:33:342938,5,3,0,2,4,5,7,4
15:02:33:343682,1,-3,7,-2,-9,-3,-10,1
15:02:33:349672,1,-3,-4,3,-1,-4,1,-4
15:02:33:365431,1,-3,-4,3,-1,-4,1,-4
15:02:33:366241,-5,4,-2,-3,-9,-2,7,-4
15:02:33:372264,-3,3,0,-2,-6,7,-7,2
15:02:33:380400,-3,3,0,-2,-6,7,-7,2
15:02:33:381204,1,-9,1,3,-4,-2,-20,-2
15:02:33:394764,0,-1,2,-3,0,-4,-1,-2
15:02:33:402973,0,-1,2,-3,0,-4,-1,-2
15:02:33:403741,3,1,1,-2,6,21,14,-1
15:02:33:409768,3,3,5,3,-3,2,-1,-3
15:02:33:425456,3,3,5,3,-3,2,-1,-3
15:02:33:426226,1,-2,-1,-2,-9,-13,-15,1
15:02:33:432284,-7,-1,1,1,6,2,4,2
15:02:33:440408,-7,-1,1,1,6,2,4,2
15:02:33:441208,-5,-2,0,2,-1,-7,-2,-6
15:02:33:454776,-3,-1,-9,-6,-3,-6,0,-2
15:02:33:462870,-3,-1,-9,-6,-3,-6,0,-2
15:02:33:463707,2,0,0,-1,-1,2,-5,2
15:02:33:469782,-2,-5,-5,-3,-11,-4,-16,-4
15:02:33:493632,-2,-5,-5,-3,-11,-4,-16,-4
15:02:33:494380,-2,3,4,1,9,4,9,1
15:02:33:495212,2,-2,-7,0,-5,3,10,2
15:02:33:507947,2,-2,-7,0,-5,3,10,2
15:02:33:508728,-4,-2,-3,-4,-5,-7,16,-2
15:02:33:514704,-5,-3,0,-4,-2,-2,-10,-7
15:02:33:522975,-5,-3,0,-4,-2,-2,-10,-7
15:02:33:523764,2,1,3,-3,-7,-11,-17,-1
15:02:33:529741,-1,0,3,3,10,2,-1,-2
15:02:33:545457,-1,0,3,3,10,2,-1,-2
15:02:33:546233,-2,0,-5,1,5,-4,-10,0
15:02:33:552181,-5,5,-4,-5,-1,0,-2,1
15:02:33:567938,-5,5,-4,-5,-1,0,-2,1
15:02:33:568680,-1,-3,-7,-5,-3,7,4,-4
15:02:33:574734,2,-6,-3,-3,-5,-3,-17,-3
15:02:33:582918,2,-6,-3,-3,-5,-3,-17,-3
15:02:33:583761,-2,2,8,8,8,3,2,3
15:02:33:589709,2,4,2,1,8,11,11,-4
15:02:33:605408,2,4,2,1,8,11,11,-4
15:02:33:606181,-3,-8,-5,-8,-14,-10,3,-1
15:02:33:612213,-3,-1,3,3,1,-2,7,2
15:02:33:627935,-3,-1,3,3,1,-2,7,2
15:02:33:628690,1,2,-1,-1,-2,-3,2,-4
15:02:33:634747,0,-5,0,-4,-13,-4,6,-2
15:02:33:642934,0,-5,0,-4,-13,-4,6,-2
15:02:33:643739,1,0,3,7,21,7,-7,4
15:02:33:649678,0,2,-1,3,3,1,-4,0
15:02:33:665479,0,2,-1,3,3,1,-4,0
15:02:33:666226,-3,0,-4,0,-8,-6,13,-5
15:02:33:672249,-1,2,-4,-4,-1,-1,-1,1
15:02:33:687946,-1,2,-4,-4,-1,-1,-1,1
15:02:33:688736,-1,-1,0,-5,-5,-2,-13,-4
15:02:33:694706,-1,0,-1,-3,-4,-3,-8,-1
15:02:33:702978,-1,0,-1,-3,-4,-3,-8,-1
15:02:33:703734,-5,-3,-4,-6,2,0,-6,5
15:02:33:709751,7,-3,-6,2,13,-5,-11,-4
15:02:33:725515,7,-3,-6,2,13,-5,-11,-4
15:02:33:726249,1,-1,-1,-2,-4,-3,-8,-3
15:02:33:732245,0,1,-1,-5,-1,0,-6,0
