Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
15:04:14:384659,4316,-1203,-7902,13635,240,-1716,1098,-24,22,-8
15:04:14:385495,4316,-1203,-7902,13635,240,-1716,1098,-24,22,-8
15:04:14:391436,4316,-1203,-7902,13635,240,-1716,1098,-24,22,-8
15:04:14:407191,4317,-1210,-7907,13631,230,-1697,1104,-67,14,-8
15:04:14:407947,4317,-1210,-7907,13631,230,-1697,1104,-67,14,-8
15:04:14:413944,4317,-1210,-7907,13631,230,-1697,1104,-67,14,-8
15:04:14:422201,4316,-1217,-7916,13626,254,-1729,1119,-90,11,6
15:04:14:423014,4316,-1217,-7916,13626,254,-1729,1119,-90,11,6
15:04:14:436510,4316,-1217,-7916,13626,254,-1729,1119,-90,11,6
15:04:14:444711,4312,-1227,-7932,13617,235,-1794,1106,-117,6,4
15:04:14:445446,4312,-1227,-7932,13617,235,-1794,1106,-117,6,4
15:04:14:451437,4312,-1227,-7932,13617,235,-1794,1106,-117,6,4
15:04:14:467175,4311,-1239,-7939,13612,211,-1797,1108,-67,20,-5
15:04:14:467951,4311,-1239,-7939,13612,211,-1797,1108,-67,20,-5
15:04:14:473919,4311,-1239,-7939,13612,211,-1797,1108,-67,20,-5
15:04:14:482993,4311,-1252,-7936,13612,207,-1751,1115,-23,46,7
15:04:14:483146,4311,-1252,-7936,13612,207,-1751,1115,-23,46,7
15:04:14:496406,4311,-1252,-7936,13612,207,-1751,1115,-23,46,7
15:04:14:504715,4309,-1268,-7936,13612,206,-1729,1099,-42,56,30
15:04:14:505486,4309,-1268,-7936,13612,206,-1729,1099,-42,56,30
15:04:14:511401,4309,-1268,-7936,13612,206,-1729,1099,-42,56,30
15:04:14:527166,4302,-1286,-7938,13610,215,-1770,1101,-54,47,56
15:04:14:527977,4302,-1286,-7938,13610,215,-1770,1101,-54,47,56
15:04:14:534008,4302,-1286,-7938,13610,215,-1770,1101,-54,47,56
15:04:14:542211,4298,-1301,-7935,13612,233,-1774,1105,-12,51,50
15:04:14:543013,4298,-1301,-7935,13612,233,-1774,1105,-12,51,50
15:04:14:556455,4298,-1301,-7935,13612,233,-1774,1105,-12,51,50
15:04:14:564649,4295,-1314,-7931,13615,222,-1748,1087,-1,47,43
15:04:14:565475,4295,-1314,-7931,13615,222,-1748,1087,-1,47,43
15:04:14:571479,4295,-1314,-7931,13615,222,-1748,1087,-1,47,43
15:04:14:587157,4287,-1324,-7927,13618,216,-1738,1074,2,23,57
15:04:14:587960,4287,-1324,-7927,13618,216,-1738,1074,2,23,57
15:04:14:593989,4287,-1324,-7927,13618,216,-1738,1074,2,23,57
15:04:14:602172,4279,-1330,-7928,13620,235,-1739,1058,-8,0,55
15:04:14:602975,4279,-1330,-7928,13620,235,-1739,1058,-8,0,55
15:04:14:616501,4279,-1330,-7928,13620,235,-1739,1058,-8,0,55
15:04:14:624614,4271,-1334,-7925,13624,245,-1721,1067,10,1,56
15:04:14:625433,4271,-1334,-7925,13624,245,-1721,1067,10,1,56
15:04:14:631445,4271,-1334,-7925,13624,245,-1721,1067,10,1,56
15:04:14:647125,4258,-1339,-7925,13627,212,-1727,1057,-5,-16,68
15:04:14:647934,4258,-1339,-7925,13627,212,-1727,1057,-5,-16,68
15:04:14:653968,4258,-1339,-7925,13627,212,-1727,1057,-5,-16,68
15:04:14:662177,4245,-1343,-7930,13628,216,-1755,1036,-18,-31,59
15:04:14:662935,4245,-1343,-7930,13628,216,-1755,1036,-18,-31,59
15:04:14:676458,4245,-1343,-7930,13628,216,-1755,1036,-18,-31,59
15:04:14:684638,4234,-1345,-7934,13629,198,-1766,1036,-7,-39,38
15:04:14:685436,4234,-1345,-7934,13629,198,-1766,1036,-7,-39,38
15:04:14:691440,4234,-1345,-7934,13629,198,-1766,1036,-7,-39,38
15:04:14:707224,4224,-1345,-7940,13629,208,-1750,1034,-15,-41,34
15:04:14:707998,4224,-1345,-7940,13629,208,-1750,1034,-15,-41,34
15:04:14:713951,4224,-1345,-7940,13629,208,-1750,1034,-15,-41,34
15:04:14:722170,4213,-1345,-7940,13632,222,-1743,1043,7,-32,51
15:04:14:722919,4213,-1345,-7940,13632,222,-1743,1043,7,-32,51
15:04:14:736545,4213,-1345,-7940,13632,222,-1743,1043,7,-32,51
15:04:14:744647,4203,-1349,-7943,13633,216,-1742,1057,-18,-14,47
15:04:14:745466,4203,-1349,-7943,13633,216,-1742,1057,-18,-14,47
15:04:14:751517,4203,-1349,-7943,13633,216,-1742,1057,-18,-14,47
15:04:14:767208,4194,-1356,-7950,13631,203,-1749,1069,-58,-12,47
15:04:14:767981,4194,-1356,-7950,13631,203,-1749,1069,-58,-12,47
15:04:14:773949,4194,-1356,-7950,13631,203,-1749,1069,-58,-12,47
15:04:14:782136,4178,-1364,-7969,13624,220,-1803,1056,-111,-31,70
15:04:14:782899,4178,-1364,-7969,13624,220,-1803,1056,-111,-31,70
15:04:14:796445,4178,-1364,-7969,13624,220,-1803,1056,-111,-31,70
15:04:14:804703,4165,-1371,-7976,13623,257,-1808,1056,-39,-4,85
15:04:14:805499,4165,-1371,-7976,13623,257,-1808,1056,-39,-4,85
15:04:14:819006,4165,-1371,-7976,13623,257,-1808,1056,-39,-4,85
15:04:14:827206,4154,-1383,-7967,13630,219,-1755,1090,25,33,100
15:04:14:827966,4154,-1383,-7967,13630,219,-1755,1090,25,33,100
15:04:14:833961,4154,-1383,-7967,13630,219,-1755,1090,25,33,100
15:04:14:841510,4141,-1398,-7955,13640,189,-1716,1117,16,33,113
15:04:14:848974,4141,-1398,-7955,13640,189,-1716,1117,16,33,113
15:04:14:856429,4141,-1398,-7955,13640,189,-1716,1117,16,33,113
15:04:14:864640,4122,-1413,-7955,13644,161,-1755,1107,-44,3,110
15:04:14:865419,4122,-1413,-7955,13644,161,-1755,1107,-44,3,110
15:04:14:878927,4122,-1413,-7955,13644,161,-1755,1107,-44,3,110
15:04:14:887234,4106,-1423,-7952,13649,183,-1776,1115,-13,-6,100
15:04:14:888000,4106,-1423,-7952,13649,183,-1776,1115,-13,-6,100
15:04:14:893963,4106,-1423,-7952,13649,183,-1776,1115,-13,-6,100
15:04:14:901493,4087,-1430,-7941,13661,158,-1751,1124,32,-27,112
15:04:14:908964,4087,-1430,-7941,13661,158,-1751,1124,32,-27,112
15:04:14:916493,4087,-1430,-7941,13661,158,-1751,1124,32,-27,112
15:04:14:924641,4064,-1433,-7929,13674,141,-1771,1123,52,-55,112
15:04:14:925418,4064,-1433,-7929,13674,141,-1771,1123,52,-55,112
15:04:14:938964,4064,-1433,-7929,13674,141,-1771,1123,52,-55,112
15:04:14:947138,4042,-1433,-7922,13685,147,-1789,1091,47,-70,97
15:04:14:947919,4042,-1433,-7922,13685,147,-1789,1091,47,-70,97
15:04:14:953995,4042,-1433,-7922,13685,147,-1789,1091,47,-70,97
15:04:14:961502,4026,-1432,-7909,13698,173,-1767,1109,79,-43,89
15:04:14:968941,4026,-1432,-7909,13698,173,-1767,1109,79,-43,89
15:04:14:976449,4026,-1432,-7909,13698,173,-1767,1109,79,-43,89
15:04:14:984396,4008,-1434,-7889,13713,176,-1765,1108,108,-23,114
15:04:14:991417,4008,-1434,-7889,13713,176,-1765,1108,108,-23,114
15:04:14:998986,4008,-1434,-7889,13713,176,-1765,1108,108,-23,114
15:04:15:7185,3988,-1443,-7868,13731,149,-1753,1119,106,-1,139
15:04:15:7939,3988,-1443,-7868,13731,149,-1753,1119,106,-1,139
15:04:15:13914,3988,-1443,-7868,13731,149,-1753,1119,106,-1,139
15:04:15:21530,3964,-1457,-7861,13740,140,-1783,1085,38,-6,149
15:04:15:28920,3964,-1457,-7861,13740,140,-1783,1085,38,-6,149
15:04:15:36465,3964,-1457,-7861,13740,140,-1783,1085,38,-6,149
15:04:15:44610,3936,-1473,-7851,13752,133,-1791,1093,48,0,183
15:04:15:45429,3936,-1473,-7851,13752,133,-1791,1093,48,0,183
15:04:15:58935,3936,-1473,-7851,13752,133,-1791,1093,48,0,183
15:04:15:67200,3903,-1495,-7833,13770,110,-1787,1108,85,15,226
15:04:15:68006,3903,-1495,-7833,13770,110,-1787,1108,85,15,226
15:04:15:73940,3903,-1495,-7833,13770,110,-1787,1108,85,15,226
15:04:15:81502,3867,-1521,-7817,13786,75,-1779,1089,73,17,231
15:04:15:88978,3867,-1521,-7817,13786,75,-1779,1089,73,17,231
15:04:15:96487,3867,-1521,-7817,13786,75,-1779,1089,73,17,231
15:04:15:104671,3836,-1542,-7803,13800,105,-1786,1093,70,21,218
15:04:15:105451,3836,-1542,-7803,13800,105,-1786,1093,70,21,218
15:04:15:118986,3836,-1542,-7803,13800,105,-1786,1093,70,21,218
15:04:15:127171,3812,-1565,-7781,13817,99,-1740,1095,102,55,191
15:04:15:127972,3812,-1565,-7781,13817,99,-1740,1095,102,55,191
15:04:15:133977,3812,-1565,-7781,13817,99,-1740,1095,102,55,191
15:04:15:141462,3794,-1588,-7759,13831,104,-1697,1106,86,75,175
15:04:15:148946,3794,-1588,-7759,13831,104,-1697,1106,86,75,175
15:04:15:165361,3794,-1588,-7759,13831,104,-1697,1106,86,75,175
15:04:15:166168,3771,-1613,-7749,13841,87,-1744,1113,25,63,183
15:04:15:166901,3771,-1613,-7749,13841,87,-1744,1113,25,63,183
15:04:15:178935,3771,-1613,-7749,13841,87,-1744,1113,25,63,183
15:04:15:187258,3748,-1638,-7747,13845,85,-1764,1095,-19,53,175
15:04:15:188012,3748,-1638,-7747,13845,85,-1764,1095,-19,53,175
15:04:15:193991,3748,-1638,-7747,13845,85,-1764,1095,-19,53,175
15:04:15:201536,3729,-1658,-7739,13852,108,-1762,1107,26,53,162
15:04:15:208968,3729,-1658,-7739,13852,108,-1762,1107,26,53,162
15:04:15:216517,3729,-1658,-7739,13852,108,-1762,1107,26,53,162
15:04:15:224640,3712,-1676,-7727,13861,116,-1760,1117,39,60,163
15:04:15:225444,3712,-1676,-7727,13861,116,-1760,1117,39,60,163
15:04:15:238973,3712,-1676,-7727,13861,116,-1760,1117,39,60,163
15:04:15:247179,3692,-1696,-7729,13863,119,-1797,1128,-35,52,164
15:04:15:247932,3692,-1696,-7729,13863,119,-1797,1128,-35,52,164
15:04:15:254005,3692,-1696,-7729,13863,119,-1797,1128,-35,52,164
15:04:15:261478,3673,-1715,-7712,13875,127,-1759,1115,78,71,191
15:04:15:268930,3673,-1715,-7712,13875,127,-1759,1115,78,71,191
15:04:15:285334,3673,-1715,-7712,13875,127,-1759,1115,78,71,191
15:04:15:286181,3646,-1744,-7685,13894,57,-1713,1146,99,85,241
15:04:15:286943,3646,-1744,-7685,13894,57,-1713,1146,99,85,241
15:04:15:298988,3646,-1744,-7685,13894,57,-1713,1146,99,85,241
15:04:15:307133,3612,-1775,-7671,13906,4,-1713,1154,8,56,248
15:04:15:307997,3612,-1775,-7671,13906,4,-1713,1154,8,56,248
15:04:15:322196,3612,-1775,-7671,13906,4,-1713,1154,8,56,248
15:04:15:322993,3586,-1806,-7671,13909,-1,-1766,1100,-32,63,186
15:04:15:328981,3586,-1806,-7671,13909,-1,-1766,1100,-32,63,186
15:04:15:336507,3586,-1806,-7671,13909,-1,-1766,1100,-32,63,186
15:04:15:344722,3569,-1828,-7662,13916,31,-1805,1139,29,70,158
15:04:15:345501,3569,-1828,-7662,13916,31,-1805,1139,29,70,158
15:04:15:359448,3569,-1828,-7662,13916,31,-1805,1139,29,70,158
15:04:15:367195,3540,-1856,-7632,13936,-31,-1812,1135,154,65,227
15:04:15:368019,3540,-1856,-7632,13936,-31,-1812,1135,154,65,227
15:04:15:373945,3540,-1856,-7632,13936,-31,-1812,1135,154,65,227
15:04:15:381496,3509,-1883,-7579,13969,-68,-1756,1154,279,67,260
15:04:15:388994,3509,-1883,-7579,13969,-68,-1756,1154,279,67,260
15:04:15:396435,3509,-1883,-7579,13969,-68,-1756,1154,279,67,260
15:04:15:404482,3485,-1920,-7539,13992,-89,-1690,1173,164,126,228
15:04:15:411498,3485,-1920,-7539,13992,-89,-1690,1173,164,126,228
15:04:15:418986,3485,-1920,-7539,13992,-89,-1690,1173,164,126,228
15:04:15:427177,3469,-1971,-7532,13992,-108,-1720,1142,-44,184,172
15:04:15:427966,3469,-1971,-7532,13992,-108,-1720,1142,-44,184,172
15:04:15:442158,3469,-1971,-7532,13992,-108,-1720,1142,-44,184,172
15:04:15:442969,3448,-2016,-7516,14000,-109,-1754,1177,18,151,196
15:04:15:448982,3448,-2016,-7516,14000,-109,-1754,1177,18,151,196
15:04:15:456446,3448,-2016,-7516,14000,-109,-1754,1177,18,151,196
15:04:15:464659,3425,-2043,-7491,14014,-69,-1698,1057,134,84,204
15:04:15:465520,3425,-2043,-7491,14014,-69,-1698,1057,134,84,204
15:04:15:478990,3425,-2043,-7491,14014,-69,-1698,1057,134,84,204
15:04:15:487225,3405,-2065,-7467,14029,-20,-1697,1083,133,76,201
15:04:15:487964,3405,-2065,-7467,14029,-20,-1697,1083,133,76,201
15:04:15:493973,3405,-2065,-7467,14029,-20,-1697,1083,133,76,201
15:04:15:501558,3385,-2092,-7448,14040,-74,-1697,1096,92,87,187
15:04:15:508938,3385,-2092,-7448,14040,-74,-1697,1096,92,87,187
15:04:15:516426,3385,-2092,-7448,14040,-74,-1697,1096,92,87,187
15:04:15:524699,3367,-2112,-7436,14048,-61,-1699,1116,51,62,158
15:04:15:525486,3367,-2112,-7436,14048,-61,-1699,1116,51,62,158
15:04:15:538933,3367,-2112,-7436,14048,-61,-1699,1116,51,62,158
15:04:15:547157,3355,-2120,-7415,14061,19,-1626,1113,102,53,151
15:04:15:547937,3355,-2120,-7415,14061,19,-1626,1113,102,53,151
15:04:15:553923,3355,-2120,-7415,14061,19,-1626,1113,102,53,151
15:04:15:561494,3341,-2130,-7403,14068,24,-1646,1124,48,53,153
15:04:15:568960,3341,-2130,-7403,14068,24,-1646,1124,48,53,153
15:04:15:576470,3341,-2130,-7403,14068,24,-1646,1124,48,53,153
15:04:15:584681,3328,-2143,-7399,14072,-22,-1610,1111,-9,49,132
15:04:15:585500,3328,-2143,-7399,14072,-22,-1610,1111,-9,49,132
15:04:15:598957,3328,-2143,-7399,14072,-22,-1610,1111,-9,49,132
15:04:15:607172,3314,-2151,-7399,14074,2,-1620,1131,-36,29,126
