Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
18:14:38:117060,-1,0,3,-3,-3,0,-1,3
18:14:38:117860,3,-1,-3,0,1,2,3,-1
18:14:38:131320,1,0,2,-2,0,-1,1,-2
18:14:38:140212,1,0,2,-2,0,-1,1,-2
18:14:38:140983,-2,1,-2,1,0,-3,2,0
18:14:38:146313,-3,-4,-3,4,-1,0,-1,-1
18:14:38:153912,-3,-4,-3,4,-1,0,-1,-1
18:14:38:161319,-5,-3,1,-3,-2,-3,-5,-3
18:14:38:168811,0,0,2,-2,-3,-2,-1,4
18:14:38:177074,0,0,2,-2,-3,-2,-1,4
18:14:38:177843,0,-3,0,-1,-2,0,-1,0
18:14:38:191335,-1,-6,-1,2,1,2,2,-5
18:14:38:199530,-1,-6,-1,2,1,2,2,-5
18:14:38:200382,-3,3,0,-4,-2,-4,-3,-3
18:14:38:206319,-1,1,1,-4,-1,1,-3,2
18:14:38:213906,-1,1,1,-4,-1,1,-3,2
18:14:38:221345,-4,-4,0,1,-2,2,-1,-4
18:14:38:228858,-2,-3,-7,1,-1,-1,2,-2
18:14:38:237034,-2,-3,-7,1,-1,-1,2,-2
18:14:38:237798,3,0,1,1,2,-3,-2,1
18:14:38:251411,1,2,2,-5,0,-3,-2,1
18:14:38:259532,1,2,2,-5,0,-3,-2,1
18:14:38:260285,-1,-6,-2,-3,0,-2,-1,-1
18:14:38:266324,0,-1,-5,5,-4,2,-4,-1
18:14:38:282076,0,-1,-5,5,-4,2,-4,-1
18:14:38:282841,-2,-1,-2,4,-5,0,0,2
18:14:38:288831,-1,-1,3,-4,-1,-6,3,-4
18:14:38:297020,-1,-1,3,-4,-1,-6,3,-4
18:14:38:297874,1,2,-4,-3,-5,-2,-2,-3
18:14:38:311323,-3,-4,-2,0,0,5,1,0
18:14:38:319611,-3,-4,-2,0,0,5,1,0
18:14:38:320352,2,-2,0,-5,3,-2,-1,2
18:14:38:326330,-1,2,3,-2,-2,-1,-5,-3
18:14:38:333873,-1,2,3,-2,-2,-1,-5,-3
18:14:38:341353,0,1,2,1,1,-4,0,-3
18:14:38:348955,3,-3,-4,-1,0,-5,-2,1
18:14:38:357065,3,-3,-4,-1,0,-5,-2,1
18:14:38:357845,-2,-1,-1,0,-1,2,-1,-1
18:14:38:371338,-4,-4,-2,-6,-3,-2,-2,-3
18:14:38:379538,-4,-4,-2,-6,-3,-2,-2,-3
18:14:38:380281,-2,1,1,-1,-4,1,0,-1
18:14:38:386385,0,2,-6,3,2,-2,-1,3
18:14:38:393875,0,2,-6,3,2,-2,-1,3
18:14:38:401359,2,-2,-2,0,2,-2,-1,-1
18:14:38:408838,2,-1,0,-3,-4,2,2,-5
18:14:38:417067,2,-1,0,-3,-4,2,2,-5
18:14:38:417853,-3,0,-1,-3,2,0,0,-2
18:14:38:431354,-3,0,2,0,-3,-2,-6,2
18:14:38:439538,-3,0,2,0,-3,-2,-6,2
18:14:38:440327,-1,0,2,-1,-4,2,1,-3
18:14:38:446292,-5,0,-2,-1,-1,1,1,-1
18:14:38:453958,-5,0,-2,-1,-1,1,1,-1
18:14:38:461291,-3,-3,-2,1,1,-2,-1,-1
18:14:38:468777,4,-3,-4,-1,0,-4,0,-1
18:14:38:477062,4,-3,-4,-1,0,-4,0,-1
18:14:38:477826,2,-3,-6,0,-1,-4,-5,3
18:14:38:491317,-5,1,2,0,0,-1,-4,-8
18:14:38:499400,-5,1,2,0,0,-1,-4,-8
18:14:38:506968,-3,-3,-1,-2,1,0,1,0
18:14:38:507789,2,3,6,-5,-1,2,2,5
18:14:38:513861,2,3,6,-5,-1,2,2,5
18:14:38:521423,-2,0,-1,-2,-2,1,-3,-4
18:14:38:528829,-1,-1,-3,1,-3,-5,-2,-2
18:14:38:537063,-1,-1,-3,1,-3,-5,-2,-2
18:14:38:537856,0,4,0,0,-4,-2,0,-3
18:14:38:551349,-2,-3,3,2,0,0,2,0
18:14:38:559547,-2,-3,3,2,0,0,2,0
18:14:38:560323,-1,-5,-6,-5,-1,-5,-2,0
18:14:38:574606,-1,1,-8,-2,-4,0,-3,-2
18:14:38:575331,-1,1,-8,-2,-4,0,-3,-2
18:14:38:581324,1,3,-2,-1,3,0,-2,-1
18:14:38:588792,0,-3,-2,-3,1,0,-1,-2
18:14:38:596382,0,-3,-2,-3,1,0,-1,-2
18:14:38:603854,-2,1,4,3,-3,-5,-2,-2
18:14:38:611325,-5,3,-4,-1,1,-1,2,1
18:14:38:619687,-5,3,-4,-1,1,-1,2,1
18:14:38:620373,1,-5,-2,-2,-2,4,-1,1
18:14:38:634565,-1,-1,6,-1,0,2,-2,1
18:14:38:635328,-1,-1,6,-1,0,2,-2,1
18:14:38:641328,-4,-2,-3,-4,-8,-2,0,-6
18:14:38:648967,2,-3,-2,-1,-3,-4,-4,-1
18:14:38:656472,2,-3,-2,-1,-3,-4,-4,-1
18:14:38:663873,-1,-4,2,-2,5,-5,-1,-3
18:14:38:671319,-2,-2,-3,0,-1,-1,2,-2
18:14:38:679500,-2,-2,-3,0,-1,-1,2,-2
18:14:38:680338,-5,4,-4,1,0,3,-2,1
18:14:38:702765,-1,-1,0,-1,-3,-1,1,-2
18:14:38:703559,-1,-1,0,-1,-3,-1,1,-2
18:14:38:704368,1,-1,1,3,-1,0,-2,2
18:14:38:708765,-1,-2,-5,-2,0,-1,-6,2
18:14:38:724672,-1,-2,-5,-2,0,-1,-6,2
18:14:38:725351,-2,1,5,-1,1,-2,1,0
18:14:38:731294,-2,-1,3,-1,-1,-4,0,-3
18:14:38:739507,-2,-1,3,-1,-1,-4,0,-3
18:14:38:740319,-2,-3,-8,1,0,0,1,-1
18:14:38:754537,-2,1,0,-2,-2,-2,-4,2
18:14:38:755331,-2,1,0,-2,-2,-2,-4,2
18:14:38:761316,2,-5,2,-2,-2,-1,-3,-1
18:14:38:768796,0,-5,2,0,0,4,-2,-7
18:14:38:776385,0,-5,2,0,0,4,-2,-7
18:14:38:783850,-2,-1,3,4,1,1,3,-3
18:14:38:791312,-1,-2,11,0,1,-2,-1,1
18:14:38:799642,-1,-2,11,0,1,-2,-1,1
18:14:38:800351,-1,-2,-1,-5,-5,-1,-1,-3
18:14:38:814521,-1,2,-11,0,2,-2,-3,-3
18:14:38:815343,-1,2,-11,0,2,-2,-3,-3
18:14:38:821390,-2,9,-8,-1,-1,0,-1,3
18:14:38:828862,-2,-2,-5,-9,-1,2,0,1
18:14:38:836425,-2,-2,-5,-9,-1,2,0,1
18:14:38:843814,2,-6,-2,2,-5,-6,0,-1
18:14:38:851424,1,2,-1,2,1,-3,-2,-3
18:14:38:859529,1,2,-1,2,1,-3,-2,-3
18:14:38:860331,-4,0,1,1,5,4,-2,-3
18:14:38:874323,1,4,3,0,1,-1,3,-2
18:14:38:882103,1,4,3,0,1,-1,3,-2
18:14:38:882861,-2,-4,-2,-5,-4,-1,-3,2
18:14:38:888833,-1,-7,-1,3,-2,-3,0,-2
18:14:38:896340,-1,-7,-1,3,-2,-3,0,-2
18:14:38:903895,-2,-3,-2,-5,-6,-5,1,1
18:14:38:911322,0,-1,-4,1,-4,-2,-2,1
18:14:38:919479,0,-1,-4,1,-4,-2,-2,1
18:14:38:935181,0,-3,6,-1,1,5,-1,-3
18:14:38:935973,-3,-2,-3,-1,-1,-2,-1,-2
18:14:38:936810,-3,-2,-3,-1,-1,-2,-1,-2
18:14:38:941339,-2,2,-2,0,1,1,-3,-3
18:14:38:948978,0,-2,1,3,-1,0,-1,-3
18:14:38:956428,0,-2,1,3,-1,0,-1,-3
18:14:38:963850,1,2,-2,1,-3,-2,-3,-2
18:14:38:971399,-3,-2,-4,-7,-6,1,-1,1
18:14:38:979546,-3,-2,-4,-7,-6,1,-1,1
18:14:38:980338,-3,-4,0,-4,5,-1,3,2
18:14:39:2743,-2,0,-5,6,2,-3,1,-2
18:14:39:3497,-2,0,-5,6,2,-3,1,-2
18:14:39:4284,2,1,2,-3,-1,-5,-2,0
18:14:39:8800,-1,0,-1,-3,-6,-1,0,-3
18:14:39:16365,-1,0,-1,-3,-6,-1,0,-3
18:14:39:23951,-3,-1,-2,3,0,-2,-2,-2
18:14:39:31391,3,-3,7,-4,-1,0,-6,3
18:14:39:39538,3,-3,7,-4,-1,0,-6,3
18:14:39:40341,2,-2,0,0,2,1,-1,-3
18:14:39:54547,-4,1,-9,2,2,0,0,-4
18:14:39:55308,-4,1,-9,2,2,0,0,-4
18:14:39:61260,-3,-2,-4,-4,-1,-5,-3,1
18:14:39:68864,1,-4,5,-4,-1,0,1,4
18:14:39:76437,1,-4,5,-4,-1,0,1,4
18:14:39:83821,0,3,2,1,-5,-1,1,-6
18:14:39:91305,-3,-1,-6,4,1,1,-2,-2
18:14:39:99570,-3,-1,-6,4,1,1,-2,-2
18:14:39:100351,0,-4,-5,-10,-4,2,0,1
18:14:39:114506,0,1,-2,-3,-2,-3,6,0
18:14:39:115311,0,1,-2,-3,-2,-3,6,0
18:14:39:121311,-1,-1,-1,3,3,-2,-2,-3
18:14:39:128818,2,-3,-4,-3,-3,-3,-5,3
18:14:39:136410,2,-3,-4,-3,-3,-3,-5,3
18:14:39:143791,-2,-1,1,1,-3,-3,-4,-1
18:14:39:151382,-3,0,9,-6,-13,-5,-4,-6
18:14:39:159554,-3,0,9,-6,-13,-5,-4,-6
18:14:39:160299,1,2,9,-3,-13,2,0,-3
18:14:39:174638,-4,-4,-18,-12,-18,-5,-2,1
18:14:39:175392,-4,-4,-18,-12,-18,-5,-2,1
18:14:39:181341,2,-1,0,12,8,-1,0,1
18:14:39:188839,2,2,6,-7,31,9,3,2
18:14:39:196418,2,2,6,-7,31,9,3,2
18:14:39:203936,-5,-3,-4,-7,-6,-6,1,2
18:14:39:211346,4,-2,1,2,-5,3,-1,-3
18:14:39:219714,4,-2,1,2,-5,3,-1,-3
18:14:39:220351,2,1,-10,6,8,8,3,1
18:14:39:234563,-4,-1,-11,25,-3,-4,-2,-1
18:14:39:235365,-4,-1,-11,25,-3,-4,-2,-1
18:14:39:241336,-1,1,1,-12,-22,-10,-4,-5
18:14:39:248878,1,2,8,-9,11,-4,-4,1
18:14:39:256460,1,2,8,-9,11,-4,-4,1
18:14:39:263851,-1,-2,3,-26,0,1,1,-2
18:14:39:280248,3,16,11,-17,-4,1,2,-1
18:14:39:281057,3,16,11,-17,-4,1,2,-1
18:14:39:281863,1,1,-4,-25,-2,-1,4,1
18:14:39:302772,-10,-22,-16,-1,-2,-3,-5,-6
18:14:39:303472,-10,-22,-16,-1,-2,-3,-5,-6
