Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
18:14:38:117060,11177,-7341,-6743,-6646,1830,-558,550,10,-25,15
18:14:38:117860,11177,-7341,-6743,-6646,1830,-558,550,10,-25,15
18:14:38:131320,11177,-7341,-6743,-6646,1830,-558,550,10,-25,15
18:14:38:140212,11178,-7341,-6744,-6641,1847,-554,556,10,-34,19
18:14:38:140983,11178,-7341,-6744,-6641,1847,-554,556,10,-34,19
18:14:38:146313,11178,-7341,-6744,-6641,1847,-554,556,10,-34,19
18:14:38:153912,11180,-7342,-6748,-6635,1867,-566,558,20,-48,15
18:14:38:161319,11180,-7342,-6748,-6635,1867,-566,558,20,-48,15
18:14:38:168811,11180,-7342,-6748,-6635,1867,-566,558,20,-48,15
18:14:38:177074,11183,-7339,-6753,-6627,1869,-567,575,41,-51,15
18:14:38:177843,11183,-7339,-6753,-6627,1869,-567,575,41,-51,15
18:14:38:191335,11183,-7339,-6753,-6627,1869,-567,575,41,-51,15
18:14:38:199530,11187,-7334,-6761,-6617,1858,-549,557,60,-54,23
18:14:38:200382,11187,-7334,-6761,-6617,1858,-549,557,60,-54,23
18:14:38:206319,11187,-7334,-6761,-6617,1858,-549,557,60,-54,23
18:14:38:213906,11191,-7329,-6771,-6608,1879,-526,563,61,-60,28
18:14:38:221345,11191,-7329,-6771,-6608,1879,-526,563,61,-60,28
18:14:38:228858,11191,-7329,-6771,-6608,1879,-526,563,61,-60,28
18:14:38:237034,11194,-7324,-6779,-6598,1882,-531,560,59,-55,28
18:14:38:237798,11194,-7324,-6779,-6598,1882,-531,560,59,-55,28
18:14:38:251411,11194,-7324,-6779,-6598,1882,-531,560,59,-55,28
18:14:38:259532,11199,-7318,-6786,-6590,1879,-524,562,53,-42,30
18:14:38:260285,11199,-7318,-6786,-6590,1879,-524,562,53,-42,30
18:14:38:266324,11199,-7318,-6786,-6590,1879,-524,562,53,-42,30
18:14:38:282076,11203,-7313,-6790,-6583,1868,-517,551,45,-27,37
18:14:38:282841,11203,-7313,-6790,-6583,1868,-517,551,45,-27,37
18:14:38:288831,11203,-7313,-6790,-6583,1868,-517,551,45,-27,37
18:14:38:297020,11208,-7309,-6791,-6579,1860,-506,551,30,-11,41
18:14:38:297874,11208,-7309,-6791,-6579,1860,-506,551,30,-11,41
18:14:38:311323,11208,-7309,-6791,-6579,1860,-506,551,30,-11,41
18:14:38:319611,11213,-7306,-6788,-6578,1865,-507,564,4,6,41
18:14:38:320352,11213,-7306,-6788,-6578,1865,-507,564,4,6,41
18:14:38:326330,11213,-7306,-6788,-6578,1865,-507,564,4,6,41
18:14:38:333873,11216,-7305,-6782,-6580,1863,-514,556,-18,16,33
18:14:38:341353,11216,-7305,-6782,-6580,1863,-514,556,-18,16,33
18:14:38:348955,11216,-7305,-6782,-6580,1863,-514,556,-18,16,33
18:14:38:357065,11218,-7303,-6775,-6585,1860,-516,577,-30,24,19
18:14:38:357845,11218,-7303,-6775,-6585,1860,-516,577,-30,24,19
18:14:38:371338,11218,-7303,-6775,-6585,1860,-516,577,-30,24,19
18:14:38:379538,11219,-7302,-6768,-6593,1853,-528,575,-39,29,5
18:14:38:380281,11219,-7302,-6768,-6593,1853,-528,575,-39,29,5
18:14:38:386385,11219,-7302,-6768,-6593,1853,-528,575,-39,29,5
18:14:38:393875,11218,-7300,-6761,-6602,1848,-524,570,-44,28,-12
18:14:38:401359,11218,-7300,-6761,-6602,1848,-524,570,-44,28,-12
18:14:38:408838,11218,-7300,-6761,-6602,1848,-524,570,-44,28,-12
18:14:38:417067,11217,-7297,-6756,-6613,1836,-520,574,-44,26,-22
18:14:38:417853,11217,-7297,-6756,-6613,1836,-520,574,-44,26,-22
18:14:38:431354,11217,-7297,-6756,-6613,1836,-520,574,-44,26,-22
18:14:38:439538,11215,-7294,-6752,-6624,1853,-528,559,-33,27,-34
18:14:38:440327,11215,-7294,-6752,-6624,1853,-528,559,-33,27,-34
18:14:38:446292,11215,-7294,-6752,-6624,1853,-528,559,-33,27,-34
18:14:38:453958,11212,-7289,-6751,-6635,1848,-527,547,-23,27,-48
18:14:38:461291,11212,-7289,-6751,-6635,1848,-527,547,-23,27,-48
18:14:38:468777,11212,-7289,-6751,-6635,1848,-527,547,-23,27,-48
18:14:38:477062,11208,-7283,-6751,-6648,1846,-527,551,-24,25,-56
18:14:38:477826,11208,-7283,-6751,-6648,1846,-527,551,-24,25,-56
18:14:38:491317,11208,-7283,-6751,-6648,1846,-527,551,-24,25,-56
18:14:38:499400,11203,-7279,-6750,-6663,1846,-520,559,-39,23,-66
18:14:38:506968,11203,-7279,-6750,-6663,1846,-520,559,-39,23,-66
18:14:38:507789,11203,-7279,-6750,-6663,1846,-520,559,-39,23,-66
18:14:38:513861,11196,-7277,-6749,-6679,1838,-531,552,-58,21,-76
18:14:38:521423,11196,-7277,-6749,-6679,1838,-531,552,-58,21,-76
18:14:38:528829,11196,-7277,-6749,-6679,1838,-531,552,-58,21,-76
18:14:38:537063,11187,-7276,-6748,-6696,1836,-537,553,-65,16,-85
18:14:38:537856,11187,-7276,-6748,-6696,1836,-537,553,-65,16,-85
18:14:38:551349,11187,-7276,-6748,-6696,1836,-537,553,-65,16,-85
18:14:38:559547,11177,-7275,-6747,-6713,1841,-530,557,-65,11,-87
