Time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
18:07:16:365340,-2,0,-1,-2,-2,0,0,0
18:07:16:373710,-1,-1,-1,-1,-1,0,0,-2
18:07:16:374413,-1,-1,-1,-1,-1,0,0,-2
18:07:16:380332,-1,-1,-2,-1,0,-2,0,2
18:07:16:396057,-1,-2,-5,0,-1,-1,0,0
18:07:16:396842,-1,-2,-5,0,-1,-1,0,0
18:07:16:402826,-2,-1,-3,-1,0,-1,-3,-1
18:07:16:410423,0,-3,-2,0,-1,-2,-1,-2
18:07:16:417897,0,-3,-2,0,-1,-2,-1,-2
18:07:16:425450,-1,-1,-1,0,-1,-1,-2,0
18:07:16:433562,-2,-1,0,-1,-2,1,0,-1
18:07:16:434395,-2,-1,0,-1,-2,1,0,-1
18:07:16:440470,-1,-1,-2,0,-1,-1,0,-2
18:07:16:456233,1,-1,-1,-1,1,0,0,0
18:07:16:456878,1,-1,-1,-1,1,0,0,0
18:07:16:462838,-2,0,1,0,-1,-1,-2,-1
18:07:16:470351,-3,-1,0,-1,-1,0,-3,-1
18:07:16:478031,-3,-1,0,-1,-1,0,-3,-1
18:07:16:485442,0,0,-1,-1,-2,1,1,0
18:07:16:493767,0,0,-1,-2,-2,-2,0,-1
18:07:16:494450,0,0,-1,-2,-2,-2,0,-1
18:07:16:500357,-1,-2,0,-1,0,-2,-1,-2
18:07:16:516087,-1,-1,0,-1,-2,0,-1,1
18:07:16:516893,-1,-1,0,-1,-2,0,-1,1
18:07:16:531000,-1,-1,-1,-2,-1,-2,2,-1
18:07:16:531802,1,-1,-1,-1,-2,-2,-1,-1
18:07:16:537924,1,-1,-1,-1,-2,-2,-1,-1
18:07:16:545369,-1,-2,-1,-1,-3,-3,-4,-2
18:07:16:553614,2,1,-1,-2,-1,-1,0,2
18:07:16:554379,2,1,-1,-2,-1,-1,0,2
18:07:16:560503,0,-3,-3,-1,-4,1,-1,0
18:07:16:576203,-2,0,-1,0,1,0,-1,-2
18:07:16:576922,-2,0,-1,0,1,0,-1,-2
18:07:16:591104,-1,-2,-2,-2,-1,-4,-1,-1
18:07:16:591852,-2,-2,0,-1,-1,-2,0,-1
18:07:16:597927,-2,-2,0,-1,-1,-2,0,-1
18:07:16:605466,-1,1,-3,-1,-1,-2,-1,-1
18:07:16:613598,-2,-2,-2,-2,-5,-1,-2,-1
18:07:16:614410,-2,-2,-2,-2,-5,-1,-2,-1
18:07:16:620358,-1,-2,-2,-1,1,-1,-1,0
18:07:16:644366,-1,-1,-1,-2,-1,-1,-2,-3
18:07:16:645027,-1,-1,-1,-2,-1,-1,-2,-3
18:07:16:645806,0,-1,-1,-1,-1,-1,0,-1
18:07:16:650353,-1,-1,0,-1,3,0,-1,-1
18:07:16:658001,-1,-1,0,-1,3,0,-1,-1
18:07:16:665336,-1,0,1,-2,0,-2,-1,1
18:07:16:673696,0,-1,0,-1,-2,-3,0,-2
18:07:16:674413,0,-1,0,-1,-2,-3,0,-2
18:07:16:680333,-1,-3,0,1,-2,0,-1,-2
18:07:16:704244,0,-1,-1,0,0,0,-1,0
18:07:16:704979,0,-1,-1,0,0,0,-1,0
18:07:16:705824,-1,0,0,-2,-1,0,-1,-2
18:07:16:710433,-3,-2,-3,1,0,-1,0,0
18:07:16:717863,-3,-2,-3,1,0,-1,0,0
18:07:16:725466,-2,-2,1,-2,0,1,-1,-2
18:07:16:733616,-2,-1,-2,-1,0,1,-3,-3
18:07:16:734328,-2,-1,-2,-1,0,1,-3,-3
18:07:16:740400,0,-1,0,0,1,-2,0,-1
18:07:16:756691,0,1,0,-2,-2,-2,0,-1
18:07:16:757401,0,1,0,-2,-2,-2,0,-1
18:07:16:762816,-1,-1,-1,0,0,1,-2,-2
18:07:16:770289,-1,-1,-1,-2,-3,-2,-2,0
18:07:16:777905,-1,-1,-1,-2,-3,-2,-2,0
18:07:16:785344,-2,-2,-1,0,-1,-1,-1,-1
18:07:16:801763,-1,0,-1,-2,0,-2,-2,0
18:07:16:808619,-1,0,-1,-2,0,-2,-2,0
18:07:16:809385,-1,0,-2,0,-1,-2,-1,-2
18:07:16:816020,0,-1,0,0,-2,-1,1,-2
18:07:16:816851,0,-1,0,0,-2,-1,1,-2
18:07:16:822960,-2,-1,-1,-2,-2,-1,0,-2
18:07:16:830335,0,-1,0,-1,-1,-1,-1,-1
18:07:16:837949,0,-1,0,-1,-1,-1,-1,-1
18:07:16:845336,0,-2,0,-1,0,0,-1,-1
18:07:16:860901,-1,-2,-1,0,0,-1,-1,-2
18:07:16:868547,-1,-2,-1,0,0,-1,-1,-2
18:07:16:869348,-1,-1,0,-2,-3,-1,-2,-1
18:07:16:876127,-1,-2,-2,-2,-1,0,-1,0
18:07:16:876948,-1,-2,-2,-2,-1,0,-1,0
18:07:16:882817,-2,0,-3,1,-1,0,-2,0
18:07:16:890477,-1,-2,-2,0,-2,-2,-2,-2
18:07:16:897917,-1,-2,-2,0,-2,-2,-2,-2
18:07:16:905582,0,0,0,-1,0,-2,1,-3
18:07:16:921705,-2,0,-1,0,-1,-1,0,-1
18:07:16:922550,-2,0,-1,0,-1,-1,0,-1
18:07:16:923346,-1,-1,-1,-2,-2,-1,-1,-1
18:07:16:936080,-3,0,-1,-2,-3,-1,-1,-1
18:07:16:936833,-3,0,-1,-2,-3,-1,-1,-1
18:07:16:943039,-1,-2,-1,-2,-2,-2,0,0
18:07:16:950324,-1,-2,0,0,-2,-2,-3,-1
18:07:16:958003,-1,-2,0,0,-2,-2,-3,-1
18:07:16:965367,-1,0,-3,-1,-1,-1,-1,0
18:07:16:974085,0,0,-2,-2,1,0,1,-2
18:07:16:981093,0,0,-2,-2,1,0,1,-2
18:07:16:981913,0,-1,0,-2,-1,0,0,-1
18:07:16:996075,-1,-1,-1,-1,-1,1,0,-2
18:07:16:996866,-1,-1,-1,-1,-1,1,0,-2
18:07:17:2844,-1,-2,-1,0,-1,-2,-1,1
18:07:17:10406,0,-1,0,-2,-2,-2,-1,0
18:07:17:34909,0,-1,0,-2,-2,-2,-1,0
18:07:17:35705,-1,1,0,0,0,-1,-1,-2
18:07:17:36522,-1,0,-1,0,-1,0,0,0
18:07:17:37356,-1,0,-1,0,-1,0,0,0
18:07:17:40433,0,-1,-1,-1,-1,0,-1,-2
18:07:17:56191,-1,-3,-2,-1,-1,-1,-2,-1
18:07:17:56845,-1,-3,-2,-1,-1,-1,-2,-1
18:07:17:62812,-1,-1,-2,-3,-2,0,-2,-2
18:07:17:70403,-1,0,-1,-1,1,-1,-2,1
18:07:17:86129,-1,0,-1,-1,1,-1,-2,1
18:07:17:86832,-2,0,0,1,-2,-2,0,0
18:07:17:93620,0,0,0,-1,-2,-3,-1,-2
18:07:17:94345,0,0,0,-1,-2,-3,-1,-2
18:07:17:100296,-1,-2,-1,0,0,-2,-1,1
18:07:17:116021,-2,-1,1,-1,0,0,1,-1
18:07:17:116827,-2,-1,1,-1,0,0,1,-1
18:07:17:122973,-1,-2,-1,-1,-1,0,0,-1
