TimeStamp , Q1, Q2, Q3, Q4, Q5, Q6, dQ1, dQ2, dQ3, dQ4, dQ5, dQ6, Fx, Fy, Fz, Mx, My, Mz, Joint1_torque, Joint2_torque, Joint3_torque, Joint4_torque, Joint5_torque, Joint6_torque 
18:10:56:325359,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,-0.00232129,0,0,0,0,0,0,0,2.611,28.637,-4.193,-3.535,-0.190215,0.534011
18:10:56:330353,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.611,28.777,-4.137,-4.501,-0.226849,0.459334
18:10:56:335300,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.128,28.161,-3.969,-4.109,-0.208532,0.315616
18:10:56:340479,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.947,28.672,-4.025,-4.242,-0.16908,0.431154
18:10:56:345497,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.954,28.644,-4.095,-3.787,-0.228258,0.526966
18:10:56:350622,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.828,28.343,-3.822,-4.557,-0.224031,0.411428
18:10:56:355606,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.751,29.302,-4.095,-3.913,-0.226849,0.467788
18:10:56:360753,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,3.038,28.616,-4.494,-3.899,-0.232485,0.565009
18:10:56:365738,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.919,28.875,-3.906,-4.046,-0.164853,0.546692
18:10:56:370743,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.45,28.938,-4.13,-4.249,-0.266301,0.425518
18:10:56:375871,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.639,28.588,-3.836,-4.249,-0.243757,0.398747
18:10:56:380805,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.807,28.532,-4.487,-4.221,-0.207123,0.518512
18:10:56:385977,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.513,28.14,-3.549,-4.277,-0.326888,0.426927
18:10:56:390978,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.401,27.664,-3.731,-4.536,-0.209941,0.505831
18:10:56:396124,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,3.458,28.812,-3.409,-4.648,-0.16908,0.38043
18:10:56:401102,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.751,28.784,-4.354,-4.466,-0.329706,0.583326
18:10:56:406230,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.576,27.797,-3.983,-4.431,-0.287436,0.390293
18:10:56:411233,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.527,27.93,-4.305,-4.473,-0.333933,0.371976
18:10:56:416387,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.863,29.211,-4.424,-4.557,-0.291663,0.455107
18:10:56:421380,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.366,28.875,-4.228,-4.088,-0.160626,0.355068
18:10:56:426481,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.919,28.469,-4.2,-4.536,-0.209941,0.443835
18:10:56:431472,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.926,28.637,-3.787,-3.815,-0.249393,0.442426
18:10:56:436504,-5.23599e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,3.073,28.483,-3.843,-4.081,-0.263483,0.469197
18:10:56:441616,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.429,28.273,-3.976,-2.646,-0.247984,0.349432
18:10:56:446591,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.142,28.371,-3.787,-3.913,-0.184579,0.511467
18:10:56:451547,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,3.43,28.637,-4.2,-3.563,-0.249393,0.390293
18:10:56:456687,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.926,28.336,-4.081,-4.221,-0.246575,0.349432
18:10:56:461769,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.926,27.734,-3.444,-2.996,-0.205714,0.555146
18:10:56:466810,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.324,28.63,-3.948,-6.734,-0.228258,0.431154
18:10:56:471862,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.513,28.518,-3.682,-3.878,-0.287436,0.425518
18:10:56:476994,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.807,28.735,-4.067,-3.955,-0.139491,0.387475
18:10:56:481990,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.681,28.805,-3.843,-3.941,-0.249393,0.429745
18:10:56:487099,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.912,28.336,-3.654,-3.85,-0.307162,0.442426
18:10:56:492101,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.03,28.595,-3.969,-4.193,-0.263483,0.514285
18:10:56:497242,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.415,28.665,-3.78,-3.983,-0.284618,0.462152
18:10:56:502226,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.751,28.21,-4.137,-3.801,-0.308571,0.433972
18:10:56:507221,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.639,29.162,-3.969,-4.242,-0.22544,0.49315
18:10:56:512294,-3.49066e-05,-0.523808,1.57038,-3.49066e-05,1.04741,-0.000314159,0,0,0,0,0,0,0,0,0,0,0,0,2.8,28.448,-4.018,-4.585,-0.188806,0.421291
