TimeStamp , Q1, Q2, Q3, Q4, Q5, Q6, dQ1, dQ2, dQ3, dQ4, dQ5, dQ6, Fx, Fy, Fz, Mx, My, Mz, Joint1_torque, Joint2_torque, Joint3_torque, Joint4_torque, Joint5_torque, Joint6_torque 
18:56:21:449969,-0.000139626,-0.581928,1.1875,0,1.35183,-0.000418879,0,-0.00561996,0,0,0,0.00333358,0,0,0,0,0,0,1.904,15.267,-14.791,-3.906,0.139491,0.538238
18:56:21:454969,-0.000139626,-0.581945,1.1875,0,1.35183,-0.000418879,0,-0.0039619,0,0,0,0,0,0,0,0,0,0,1.589,15.19,-14.504,-4.529,0.097221,0.381839
18:56:21:459972,-0.000139626,-0.581963,1.1875,0,1.35183,-0.000418879,0,-0.00218166,0,0,0,0,0,0,0,0,0,0,2.072,15.036,-14.091,-3.78,0.118356,0.294481
18:56:21:465086,-0.000139626,-0.581963,1.1875,0,1.35183,-0.000418879,0,-0.0018326,0,0,0,0,0,0,0,0,0,0,1.953,14.882,-14.693,-4.41,0.101448,0.546692
18:56:21:470036,-0.000139626,-0.581963,1.1875,0,1.35183,-0.000418879,0,0,0,0,0,0,0,0,0,0,0,0,2.023,15.575,-13.783,-4.326,0.185988,0.390293
18:56:21:475212,-0.000122173,-0.581963,1.1875,0,1.35183,-0.000418879,0,0,0,0,0,0,0,0,0,0,0,0,2.205,15.036,-15.008,-4.606,0.21135,0.349432
18:56:21:480230,-0.000122173,-0.581963,1.1875,0,1.35184,-0.000418879,0,0,0,0,0,0,0,0,0,0,0,0,1.855,14.616,-14.231,-4.725,0.07045,0.457925
18:56:21:485231,-0.000122173,-0.581963,1.1875,0,1.35184,-0.000418879,0,0,0,0,0,0,0,0,0,0,0,0,1.505,14.343,-14.819,-4.2,0.188806,0.442426
18:56:21:490353,-0.000122173,-0.581963,1.1875,0,1.35184,-0.000418879,0,0,0,0,0,0,0,0,0,0,0,0,1.659,15.071,-14.994,-4.41,0.202896,0.363522
18:56:21:495337,-0.000122173,-0.581963,1.1875,0,1.35184,-0.000418879,0,0,0,0,0,0,0,0,0,0,0,0,1.827,15.694,-14.189,-4.102,0.114129,0.45088
18:56:21:500476,-0.000122173,-0.581963,1.1875,0,1.35184,-0.000418879,0,0,0,0,0,0,0,0,0,0,0,0,2.114,15.197,-14.364,-3.892,0.121174,0.376203
18:56:21:505413,-0.000122173,-0.581963,1.1875,0,1.35184,-0.000418879,0,0,0,0,0,0,0,0,0,0,0,0,1.68,14.385,-14.791,-4.501,0.080313,0.410019
18:56:21:510588,-0.000122173,-0.581963,1.1875,0,1.35184,-0.000418879,0,0,0,0,0,0,0,0,0,0,0,0,2.632,15.071,-14.826,-4.823,0.125401,0.460743
18:56:21:515587,-0.000122173,-0.581963,1.1875,0,1.35184,-0.000418879,0,0,0,0,0,0,0,0,0,0,0,0,1.547,15.26,-14.546,-4.095,0.150763,0.448062
18:56:21:520722,-0.000122173,-0.581963,1.1875,0,1.35184,-0.000418879,0,0,0,0,0,0,0,0,0,0,0,0,1.932,14.735,-14.441,-3.99,0.077495,0.45088
18:56:21:525714,-0.000122173,-0.581963,1.1875,0,1.35184,-0.000418879,0,0,0,0,0,0,0,0,0,0,0,0,2.093,14.791,-14.861,-4.403,0.118356,0.373385
18:56:21:530836,-0.000122173,-0.581963,1.1875,0,1.35184,-0.000418879,0,0,0,0,0,0,0,0,0,0,0,0,2.275,15.918,-14.287,-4.088,0.200078,0.469197
18:56:21:535838,-0.000122173,-0.581963,1.1875,0,1.35184,-0.000418879,0,0,0,0,0,0,0,0,0,0,0,0,2.114,15.344,-14.602,-4.515,0.021135,0.431154
18:56:21:540977,-0.000122173,-0.581963,1.1875,0,1.35184,-0.000418879,0,0,0,0,0,0,0,0,0,0,0,0,2.282,15.12,-15.848,-4.116,0.095812,0.518512
18:56:21:545960,-0.000122173,-0.581963,1.1875,0,1.35184,-0.000418879,0,0,0,0,0,0,0,0,0,0,0,0,1.519,15.043,-14.602,-4.704,0.121174,0.477651
18:56:21:550908,-0.000122173,-0.581963,1.1875,0,1.35184,-0.000418879,0,0,0,0,0,0,0,0,0,0,0,0,1.428,14.728,-14.637,-4.298,0.07045,0.500195
18:56:21:556104,-0.000122173,-0.581963,1.1875,0,1.35184,-0.000418879,0,0,0,0,0,0,0,0,0,0,0,0,1.855,15.113,-14.938,-4.816,0.114129,0.486105
18:56:21:561047,-0.000122173,-0.581963,1.1875,0,1.35184,-0.000418879,0,0,0,0,0,0,0,0,0,0,0,0,2.422,15.19,-14.952,-4.508,0.029589,0.395929
18:56:21:566207,-0.000122173,-0.581963,1.1875,0,1.35184,-0.000418879,0,0,0,0,0,0,0,0,0,0,0,0,2.254,15.085,-14.301,-3.787,0.073268,0.494559
