TimeStamp , Q1, Q2, Q3, Q4, Q5, Q6, dQ1, dQ2, dQ3, dQ4, dQ5, dQ6, Fx, Fy, Fz, Mx, My, Mz, Joint1_torque, Joint2_torque, Joint3_torque, Joint4_torque, Joint5_torque, Joint6_torque 
18:51:51:68428,0,-0.581928,1.18749,0,1.35184,-3.49066e-05,0,-0.00237365,0,0,0,0,0,0,0,0,0,0,3.367,14.546,-15.288,-4.515,0.218395,0.448062
18:51:51:73441,0,-0.581945,1.18749,0,1.35184,-1.74533e-05,0,-0.00162316,0,0,0,0,0,0,0,0,0,0,3.682,15.708,-14.896,-4.291,0.100039,0.418473
18:51:51:78421,0,-0.581945,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.549,13.979,-15.372,-4.095,0.121174,0.504422
18:51:51:83566,0,-0.581945,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.626,14.07,-15.512,-4.095,0.088767,0.441017
18:51:51:88513,0,-0.581945,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.955,13.846,-15.526,-4.109,0.147945,0.418473
18:51:51:93685,0,-0.581945,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.717,14.896,-14.987,-4.83,0.162035,0.494559
18:51:51:98619,0,-0.581945,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.15,13.713,-15.148,-4.641,0.121174,0.476242
18:51:51:103810,0,-0.581945,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.717,14.56,-14.917,-3.997,0.136673,0.517103
18:51:51:108820,0,-0.581945,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.934,15.624,-15.218,-3.773,0.149354,0.359295
18:51:51:113757,0,-0.581945,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.038,14.665,-15.218,-4.186,0.046497,0.459334
18:51:51:118945,0,-0.581945,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.262,14.028,-15.68,-4.676,0.16908,0.412837
18:51:51:123936,0,-0.581945,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.906,14.959,-15.33,-3.997,0.039452,0.449471
18:51:51:129060,0,-0.581945,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.332,14.721,-14.609,-4.291,0.191624,0.426927
18:51:51:133992,0,-0.581945,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,4.326,14.721,-15.393,-4.627,0.045088,0.467788
18:51:51:139185,0,-0.581945,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,4.151,14.574,-15.232,-4.088,0.059178,0.395929
18:51:51:144186,0,-0.581945,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.73,14.721,-15.372,-4.515,0.128219,0.364931
18:51:51:149309,0,-0.581945,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.619,14.497,-15.071,-4.2,-0.052133,0.457925
18:51:51:154307,0,-0.581945,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,4.683,14.525,-14.98,-4.515,0.08454,0.476242
18:51:51:159418,0,-0.581945,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.332,14.098,-15.015,-4.41,-0.073268,0.494559
18:51:51:164366,0,-0.581945,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.57,13.874,-15.106,-3.892,0.228258,0.370567
18:51:51:169576,0,-0.581945,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.843,15.12,-15.099,-4.403,0.195851,0.364931
18:51:51:174543,0,-0.581963,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.038,15.694,-15.547,-4.403,0.143718,0.449471
18:51:51:179685,0,-0.581963,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.297,13.874,-15.505,-4.137,0.133855,0.395929
18:51:51:184692,0,-0.581963,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.276,14.763,-15.148,-4.074,0.173307,0.40861
18:51:51:189809,0,-0.581963,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.64,15.575,-15.218,-4.004,0.109902,0.498786
18:51:51:194794,0,-0.581963,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.899,15.267,-15.26,-4.102,0.166262,0.494559
18:51:51:199805,0,-0.581963,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.787,14.567,-16.086,-4.515,0.050724,0.449471
18:51:51:204916,0,-0.581963,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.661,14.224,-15.106,-4.193,0.109902,0.445244
18:51:51:209913,0,-0.581963,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.626,13.986,-14.427,-4.2,0.07045,0.441017
18:51:51:215046,0,-0.581963,1.18749,0,1.35184,-1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,4.004,14.336,-15.071,-4.004,0.166262,0.400156
18:51:51:220041,0,-0.581963,1.18749,0,1.35184,0,0,0,0,0,0,0,0,0,0,0,0,0,3.843,13.636,-14.672,-4.62,0.036634,0.400156
18:51:51:225162,0,-0.581963,1.18749,0,1.35184,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87,14.301,-15.568,-3.906,0.166262,0.40861
18:51:51:230164,0,-0.581963,1.18749,0,1.35184,0,0,0,0,0,0,0,0,0,0,0,0,0,3.682,14.14,-15.197,-4.718,0.198669,0.432563
18:51:51:235285,0,-0.581963,1.18749,0,1.35184,0,0,0,0,0,0,0,0,0,0,0,0,0,2.933,14.959,-15.344,-4.529,0.080313,0.397338
18:51:51:240284,0,-0.581963,1.18749,0,1.35184,0,0,0,0,0,0,0,0,0,0,0,0,0,2.359,15.071,-15.435,-4.207,0.011272,0.346614
18:51:51:245234,0,-0.581963,1.18749,0,1.35184,0,0,0,0,0,0,0,0,0,0,0,0,0,4.228,14.532,-15.89,-4.312,0.077495,0.524148
18:51:51:250411,0,-0.581963,1.18749,0,1.35184,0,0,0,0,0,0,0,0,0,0,0,0,0,5.012,14.917,-15.127,-4.214,0.115538,0.480469
18:51:51:255548,0,-0.581963,1.18749,0,1.35184,0,0,0,0,0,0,0,0,0,0,0,0,0,2.786,14.994,-15.071,-4.298,0.184579,0.443835
18:51:51:260506,0,-0.581963,1.18749,0,1.35184,0,0,0,0,0,0,0,0,0,0,0,0,0,2.779,14.14,-15.148,-4.718,0.074677,0.453698
18:51:51:265554,0,-0.581963,1.18749,-1.74533e-05,1.35184,0,0,0,0,0,0,0,0,0,0,0,0,0,3.388,14.763,-15.33,-4.711,0.143718,0.457925
18:51:51:270624,0,-0.581963,1.18749,-1.74533e-05,1.35184,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,15.225,-15.638,-3.997,0.128219,0.445244
18:51:51:275628,0,-0.581963,1.18749,-1.74533e-05,1.35184,0,0,0,0,0,0,0,0,0,0,0,0,0,3.808,14.952,-15.393,-3.682,0.076086,0.40861
18:51:51:280744,0,-0.581963,1.18749,-1.74533e-05,1.35184,0,0,0,0,0,0,0,0,0,0,0,0,0,3.829,14.028,-15.505,-3.479,0.131037,0.428336
18:51:51:285803,0,-0.581963,1.18749,-1.74533e-05,1.35184,0,0,0,0,0,0,0,0,0,0,0,0,0,4.046,14.14,-14.987,-4.2,0.109902,0.384657
18:51:51:290939,0,-0.581963,1.18749,-1.74533e-05,1.35184,0,0,0,0,0,0,0,0,0,0,0,0,0,4.508,14.567,-14.896,-4.2,0.053542,0.364931
18:51:51:295888,0,-0.581963,1.18749,-1.74533e-05,1.35184,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,14.49,-15.029,-4.095,0.162035,0.35225
18:51:51:301039,0,-0.581963,1.18749,-1.74533e-05,1.35184,0,0,0,0,0,0,0,0,0,0,0,0,0,3.472,15.379,-14.693,-4.102,0.136673,0.453698
