TimeStamp , Q1, Q2, Q3, Q4, Q5, Q6, dQ1, dQ2, dQ3, dQ4, dQ5, dQ6, Fx, Fy, Fz, Mx, My, Mz, Joint1_torque, Joint2_torque, Joint3_torque, Joint4_torque, Joint5_torque, Joint6_torque 
23:23:31:643803,8.72665e-05,-0.58212,1.18668,0,1.35198,-0.00595157,0,0.00174533,0,0,0,0,0,0,0,0,0,0,-5.754,31.619,-2.072,1.134,-0.414246,-0.321252
23:23:31:648833,8.72665e-05,-0.58212,1.1867,0,1.35198,-0.00595157,0,0,0,0,0,0,0,0,0,0,0,0,-4.823,32.165,-3.143,1.036,-0.353659,-0.350841
23:23:31:653769,8.72665e-05,-0.58212,1.1867,0,1.35198,-0.00595157,0,0,0,0,0,0,0,0,0,0,0,0,-5.334,31.661,-2.618,0.714,-0.2818,-0.381839
23:23:31:658953,8.72665e-05,-0.582102,1.1867,0,1.35198,-0.00595157,0,0,0,0,0,0,0,0,0,0,0,0,-5.943,32.298,-2.534,1.036,-0.395929,-0.2818
23:23:31:663941,8.72665e-05,-0.582102,1.1867,0,1.35198,-0.00595157,0,0,0,0,0,0,0,0,0,0,0,0,-5.838,32.592,-2.912,0.602,-0.312798,-0.221213
23:23:31:668893,8.72665e-05,-0.582102,1.1867,0,1.35198,-0.00595157,0,0,0,0,0,0,0,0,0,0,0,0,-5.642,32.613,-2.66,0.833,-0.259256,-0.266301
23:23:31:673997,8.72665e-05,-0.582102,1.1867,0,1.35198,-0.00595157,0,0,0,0,0,0,0,0,0,0,0,0,-5.53,32.669,-2.807,1.456,-0.401565,-0.32407
23:23:31:679194,8.72665e-05,-0.582102,1.1867,0,1.35198,-0.00563741,0,0,0,0,0,0.0444361,0,0,0,0,0,0,-5.131,31.717,-2.961,0.924,-0.308571,0.711545
23:23:31:684201,8.72665e-05,-0.582102,1.1867,0,1.35198,-0.00472984,0,0,0,0,0,0.122121,0,0,0,0,0,0,-5.537,31.885,-2.66,0.693,-0.335342,-0.939803
23:23:31:689177,8.72665e-05,-0.582102,1.1867,0,1.35198,-0.0047822,0,0,0,0,0,0.0366345,0,0,0,0,0,0,-5.537,31.948,-2.674,0.924,-0.369158,-0.362113
23:23:31:694305,8.72665e-05,-0.582102,1.1867,0,1.35198,-0.00488692,0,0,0,0,0,0.00322886,0,0,0,0,0,0,-5.635,32.214,-1.876,1.029,-0.256438,-0.204305
23:23:31:699318,8.72665e-05,-0.582102,1.1867,0,1.35198,-0.00486947,0,0,0,0,0,0.00352557,0,0,0,0,0,0,-5.432,31.927,-2.597,1.239,-0.321252,-0.355068
23:23:31:704441,8.72665e-05,-0.582102,1.1867,0,1.35198,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.432,32.606,-2.807,0.924,-0.280391,-0.198669
23:23:31:709390,8.72665e-05,-0.582102,1.1867,0,1.35198,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-6.251,32.27,-2.611,1.001,-0.304344,-0.174716
23:23:31:714567,8.72665e-05,-0.582102,1.1867,0,1.35198,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.229,32.046,-2.583,1.554,-0.284618,-0.091585
23:23:31:719534,8.72665e-05,-0.582102,1.1867,0,1.35198,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.635,32.179,-2.058,0.903,-0.271937,-0.208532
23:23:31:724514,8.72665e-05,-0.582102,1.1867,0,1.35198,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.635,31.878,-3.178,0.679,-0.412837,-0.119765
23:23:31:729684,8.72665e-05,-0.582102,1.1867,0,1.35198,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.432,32.2,-2.121,1.771,-0.288845,-0.287436
