TimeStamp , Q1, Q2, Q3, Q4, Q5, Q6, dQ1, dQ2, dQ3, dQ4, dQ5, dQ6, Fx, Fy, Fz, Mx, My, Mz, Joint1_torque, Joint2_torque, Joint3_torque, Joint4_torque, Joint5_torque, Joint6_torque 
23:26:50:301614,0.000244346,-0.581788,1.1875,3.49066e-05,1.35184,-0.00596903,0,-0.00190241,0,0,0,0,0,0,0,0,0,0,-1.932,14.483,-14.049,3.08,-0.049315,-0.317025
23:26:50:306563,0.000244346,-0.581788,1.1875,3.49066e-05,1.35184,-0.00596903,0,0,0,0,0,0,0,0,0,0,0,0,-2.352,13.93,-14.364,2.331,0.04227,-0.287436
23:26:50:311763,0.000244346,-0.581788,1.1875,3.49066e-05,1.35184,-0.00596903,0,0,0,0,0,0,0,0,0,0,0,0,-2.205,13.517,-14.42,2.779,-0.001409,-0.287436
23:26:50:316736,0.000244346,-0.581788,1.1875,3.49066e-05,1.35184,-0.00596903,0,0,0,0,0,0,0,0,0,0,0,0,-1.883,13.475,-14.455,2.149,0.077495,-0.348023
23:26:50:321701,0.000244346,-0.581788,1.1875,3.49066e-05,1.35184,-0.00596903,0,0,0,0,0,0,0,0,0,0,0,0,-1.673,13.797,-14.616,2.842,0.005636,-0.315616
23:26:50:326824,0.000244346,-0.581788,1.1875,3.49066e-05,1.35184,-0.00596903,0,0,0,0,0,0,0,0,0,0,0,0,-2.107,13.958,-14.105,2.485,0.077495,-0.336751
23:26:50:331824,0.000244346,-0.581788,1.1875,3.49066e-05,1.35184,-0.00596903,0,0,0,0,0,0,0,0,0,0,0,0,-2.184,14.175,-13.496,2.534,-0.018317,-0.312798
23:26:50:336999,0.000244346,-0.581788,1.1875,3.49066e-05,1.35184,-0.0058294,0,0,0,0,0,0.0193382,0,0,0,0,0,0,-2.352,14.245,-14.084,2.597,0.016908,1.38505
23:26:50:341983,0.000244346,-0.581788,1.1875,5.23599e-05,1.35184,-0.00486947,0,0,0,0,0,0.122208,0,0,0,0,0,0,-2.492,14.336,-14.819,3.08,0.04227,-0.931349
23:26:50:347121,0.000244346,-0.581788,1.1875,5.23599e-05,1.35184,-0.0047473,0,0,0,0,0,0.0536689,0,0,0,0,0,0,-2.191,13.874,-13.993,2.058,0.133855,-0.38043
23:26:50:352126,0.000244346,-0.581788,1.1875,5.23599e-05,1.35184,-0.00490437,0,0,0,0,0,0.00481711,0,0,0,0,0,0,-1.925,13.853,-14.364,1.652,0,-0.157808
23:26:50:357235,0.000244346,-0.581788,1.1875,5.23599e-05,1.35184,-0.00488692,0,0,0,0,0,0.00509636,0,0,0,0,0,0,-1.785,14.189,-13.496,2.45,0.008454,-0.087358
23:26:50:362195,0.000244346,-0.581788,1.1875,5.23599e-05,1.35184,-0.00488692,0,0,0,0,0,0,0,0,0,0,0,0,-2.044,13.986,-13.881,2.94,-0.035225,-0.115538
23:26:50:367374,0.000244346,-0.581788,1.1875,5.23599e-05,1.35184,-0.00488692,0,0,0,0,0,0,0,0,0,0,0,0,-2.163,14.189,-14.14,2.891,0.032407,-0.09863
23:26:50:372371,0.000244346,-0.581788,1.1875,5.23599e-05,1.35184,-0.00488692,0,0,0,0,0,0,0,0,0,0,0,0,-2.408,13.811,-13.937,3.395,0.035225,-0.149354
23:26:50:377426,0.000244346,-0.581788,1.1875,5.23599e-05,1.35184,-0.00488692,0,0,0,0,0,0,0,0,0,0,0,0,-2.044,13.622,-14.511,2.793,0.021135,-0.162035
23:26:50:382478,0.000244346,-0.581788,1.1875,5.23599e-05,1.35184,-0.00488692,0,0,0,0,0,0,0,0,0,0,0,0,-2.24,14.07,-14.399,2.324,0.102857,-0.288845
23:26:50:387567,0.000244346,-0.581788,1.1875,5.23599e-05,1.35184,-0.00488692,0,0,0,0,0,0,0,0,0,0,0,0,-1.841,14.308,-13.867,3.108,0.005636,-0.193033
23:26:50:392624,0.000244346,-0.581788,1.1875,5.23599e-05,1.35184,-0.00488692,0,0,0,0,0,0,0,0,0,0,0,0,-2.044,13.636,-14.084,2.555,0.012681,-0.260665
23:26:50:397733,0.000244346,-0.581788,1.1875,5.23599e-05,1.35184,-0.00488692,0,0,0,0,0,0,0,0,0,0,0,0,-2.611,13.517,-14.287,2.674,0.046497,-0.173307
23:26:50:402695,0.000244346,-0.581788,1.1875,5.23599e-05,1.35184,-0.00488692,0,0,0,0,0,0,0,0,0,0,0,0,-1.925,13.783,-14.714,2.52,-0.097221,-0.138082
23:26:50:407866,0.000244346,-0.581788,1.1875,5.23599e-05,1.35184,-0.00488692,0,0,0,0,0,0,0,0,0,0,0,0,-2.093,14.644,-14.049,2.681,-0.046497,-0.178943
23:26:50:412802,0.000244346,-0.581788,1.1875,5.23599e-05,1.35184,-0.00488692,0,0,0,0,0,0,0,0,0,0,0,0,-2.268,13.664,-13.881,2.814,0.021135,-0.094403
23:26:50:417996,0.000244346,-0.581788,1.1875,5.23599e-05,1.35184,-0.00488692,0,0,0,0,0,0,0,0,0,0,0,0,-1.925,13.755,-14.378,2.338,-0.005636,-0.264892
23:26:50:422996,0.000244346,-0.581788,1.1875,5.23599e-05,1.35184,-0.00488692,0,0,0,0,0,0,0,0,0,0,0,0,-2.212,14.028,-14.637,3.164,0.088767,-0.243757
23:26:50:428120,0.000244346,-0.581788,1.1875,5.23599e-05,1.35184,-0.00488692,0,0,0,0,0,0,0,0,0,0,0,0,-1.82,13.986,-13.846,2.52,-0.018317,-0.328297
