TimeStamp , Q1, Q2, Q3, Q4, Q5, Q6, dQ1, dQ2, dQ3, dQ4, dQ5, dQ6, Fx, Fy, Fz, Mx, My, Mz, Joint1_torque, Joint2_torque, Joint3_torque, Joint4_torque, Joint5_torque, Joint6_torque 
23:21:57:150379,8.72665e-05,-0.582067,1.18656,0,1.3519,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.432,31.878,-12.957,-4.312,0.097221,0.029589
23:21:57:155360,8.72665e-05,-0.582067,1.18656,0,1.3519,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.334,32.697,-12.558,-4.109,0.11272,0.066223
23:21:57:160326,8.72665e-05,-0.582067,1.18654,0,1.3519,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.327,32.27,-12.544,-4.004,0.107084,-0.05636
23:21:57:165487,8.72665e-05,-0.582067,1.18654,0,1.3519,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.537,31.423,-12.712,-4.34,0.122583,0.023953
23:21:57:170484,8.72665e-05,-0.582067,1.18654,0,1.3519,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.124,31.948,-12.775,-4.088,0.174716,-0.033816
23:21:57:175627,8.72665e-05,-0.582067,1.18654,0,1.3519,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.327,31.941,-12.754,-3.479,0.176125,0.135264
23:21:57:180609,8.72665e-05,-0.58205,1.18654,0,1.3519,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.124,32.34,-12.243,-3.906,0.215577,0.052133
23:21:57:185608,8.72665e-05,-0.58205,1.18654,0,1.3519,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.635,31.682,-13.097,-4.207,0.166262,0.078904
23:21:57:190709,8.72665e-05,-0.58205,1.18654,0,1.3519,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.32,31.85,-12.663,-3.073,0.181761,-0.009863
23:21:57:195752,6.98132e-05,-0.58205,1.18653,0,1.3519,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.537,31.871,-13.02,-3.668,0.19726,0.064814
23:21:57:200858,6.98132e-05,-0.58205,1.18653,0,1.3519,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.74,31.85,-13.335,-3.605,0.092994,0.023953
23:21:57:205862,6.98132e-05,-0.58205,1.18653,0,1.3519,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.229,32.319,-12.712,-4.228,0.131037,-0.002818
23:21:57:211019,6.98132e-05,-0.58205,1.18653,0,1.3519,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.74,31.969,-12.838,-3.591,0.191624,-0.026771
