TimeStamp , Q1, Q2, Q3, Q4, Q5, Q6, dQ1, dQ2, dQ3, dQ4, dQ5, dQ6, Fx, Fy, Fz, Mx, My, Mz, Joint1_torque, Joint2_torque, Joint3_torque, Joint4_torque, Joint5_torque, Joint6_torque 
23:25:11:155779,0.000139626,-0.581928,1.1874,0,1.35186,-0.00596903,0,0,0,0,0,0,0,0,0,0,0,0,-5.635,13.363,-15.694,0.945,0.125401,-0.184579
23:25:11:160762,0.000139626,-0.581945,1.1874,0,1.35186,-0.00596903,0,0,0,0,0,0,0,0,0,0,0,0,-5.621,13.839,-15.925,1.008,0.074677,-0.264892
23:25:11:165758,0.000139626,-0.581945,1.1874,0,1.35186,-0.00596903,0,0,0,0,0,0,0,0,0,0,0,0,-5.684,13.475,-15.344,0.672,0.046497,-0.300117
23:25:11:170896,0.000139626,-0.581945,1.1874,0,1.35186,-0.00596903,0,0,0,0,0,0,0,0,0,0,0,0,-5.817,14.35,-14.994,1.211,0.026771,-0.194442
23:25:11:175885,0.000139626,-0.581945,1.1874,0,1.35186,-0.00596903,0,0,0,0,0,0,0,0,0,0,0,0,-5.446,13.293,-15.617,1.652,-0.005636,-0.288845
23:25:11:181027,0.000139626,-0.581945,1.1874,0,1.35186,-0.00596903,0,0,0,0,0,0,0,0,0,0,0,0,-5.642,14.385,-15.036,1.33,0.026771,-0.252211
23:25:11:185962,0.000139626,-0.581945,1.1874,0,1.35186,-0.00596903,0,0,0,0,0,0,0,0,0,0,0,0,-5.537,14.56,-16.394,1.015,0.139491,-0.376203
23:25:11:191028,0.000139626,-0.581945,1.1874,0,1.35186,-0.00593412,0,0,0,0,0,0.00359538,0,0,0,0,0,0,-5.859,13.762,-16.079,1.421,0.162035,1.64853
23:25:11:196152,0.000139626,-0.581945,1.1874,0,1.35186,-0.0050091,0,0,0,0,0,0.117932,0,0,0,0,0,0,-5.656,14,-15.89,0.826,0.094403,-0.736907
23:25:11:201140,0.000139626,-0.581945,1.1874,0,1.35186,-0.00469494,0,0,0,0,0,0.0729722,0,0,0,0,0,0,-5.341,14.448,-15.771,1.029,0.069041,-0.373385
23:25:11:206226,0.000139626,-0.581945,1.1874,0,1.35186,-0.00488692,0,0,0,0,0,0.00773181,0,0,0,0,0,0,-5.936,14.084,-15.771,1.253,0.116947,0.002818
23:25:11:211301,0.000139626,-0.581945,1.1874,0,1.35186,-0.00488692,0,0,0,0,0,0.00378736,0,0,0,0,0,0,-5.348,14.084,-15.498,0.882,0.114129,-0.207123
23:25:11:216399,0.000139626,-0.581963,1.1874,0,1.35186,-0.00486947,0,0,0,0,0,0.00235619,0,0,0,0,0,0,-5.152,13.377,-15.386,0.7,0.009863,-0.119765
23:25:11:221384,0.000139626,-0.581963,1.1874,0,1.35186,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.635,14.819,-15.694,1.316,0.063405,-0.256438
23:25:11:226505,0.000139626,-0.581963,1.1874,0,1.35186,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.432,14.056,-15.148,0.609,-0.002818,-0.153581
23:25:11:231499,0.000139626,-0.581963,1.1874,0,1.35186,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-4.725,13.93,-16.156,1.337,0.107084,-0.208532
23:25:11:236633,0.000139626,-0.581963,1.1874,0,1.35186,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.033,14.392,-15.113,1.225,0.052133,-0.133855
23:25:11:241635,0.000139626,-0.581963,1.1874,0,1.35186,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.264,13.937,-15.848,1.687,0.109902,-0.025362
23:25:11:246597,0.000139626,-0.581963,1.1874,0,1.35186,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.607,13.643,-15.386,0.959,0.171898,-0.224031
23:25:11:251733,0.000139626,-0.581963,1.1874,0,1.35186,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.642,12.691,-15.694,1.12,0.133855,-0.081722
23:25:11:256749,0.000139626,-0.581963,1.1874,0,1.35186,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.131,14.154,-16.156,1.19,0.021135,-0.045088
23:25:11:261847,0.000139626,-0.581963,1.1874,0,1.35186,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-6.041,13.356,-15.89,1.113,0.205714,-0.222622
23:25:11:266898,0.000139626,-0.581963,1.1874,0,1.35186,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-6.356,14.882,-15.498,0.84,0.157808,-0.119765
23:25:11:272022,0.000139626,-0.581963,1.1874,0,1.35186,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.537,13.846,-15.694,0.784,0.059178,-0.164853
23:25:11:276969,0.000139626,-0.581963,1.1874,0,1.35186,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.145,13.797,-16.121,0.476,-0.039452,0.015499
23:25:11:281984,0.000139626,-0.581963,1.1874,0,1.35186,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.537,14.147,-16.156,0.889,0.167671,-0.187397
23:25:11:287114,0.000139626,-0.581963,1.1874,0,1.35186,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.544,14.336,-15.386,1.036,0.100039,-0.163444
23:25:11:292255,0.000139626,-0.581963,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.642,13.902,-15.54,0.518,0.11272,-0.157808
23:25:11:297199,0.000139626,-0.581963,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.936,13.874,-16.002,0.854,0.078904,-0.204305
23:25:11:302406,0.000139626,-0.581963,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.334,13.209,-15.771,1.267,0.040861,-0.139491
23:25:11:307324,0.000139626,-0.581963,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.026,13.993,-15.302,1.155,0.131037,-0.115538
23:25:11:312323,0.000139626,-0.581963,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.852,13.825,-15.652,1.008,-0.012681,-0.133855
23:25:11:317508,0.000139626,-0.581963,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.362,13.867,-15.071,0.728,0.015499,-0.204305
23:25:11:322466,0.000139626,-0.581963,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.439,13.72,-15.302,1.575,0.100039,-0.111311
23:25:11:327606,0.000139626,-0.581963,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.719,13.083,-15.498,1.435,0.021135,-0.100039
23:25:11:332647,0.000139626,-0.58198,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-6.251,15.197,-15.806,1.162,0.005636,-0.129628
23:25:11:337762,0.000139626,-0.58198,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.453,13.951,-14.959,1.533,0.166262,-0.139491
23:25:11:342705,0.000139626,-0.58198,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.95,14.336,-16.079,1.456,0.033816,-0.246575
23:25:11:347873,0.000122173,-0.58198,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.467,14.07,-15.729,0.574,-0.02818,-0.218395
23:25:11:352846,0.000122173,-0.58198,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.537,13.517,-15.267,1.757,0.147945,-0.270528
23:25:11:358010,0.000122173,-0.58198,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.334,14.028,-16.044,0.791,0.02818,-0.218395
23:25:11:362969,0.000122173,-0.58198,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-4.935,13.832,-16.121,1.673,0.074677,-0.035225
23:25:11:368129,0.000122173,-0.58198,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.348,14.497,-15.848,1.225,-0.030998,-0.242348
23:25:11:373071,0.000122173,-0.58198,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.131,14.028,-15.344,0.721,0.015499,-0.167671
23:25:11:378257,0.000122173,-0.58198,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.327,13.328,-15.463,0.798,-0.046497,-0.129628
23:25:11:383209,0.000122173,-0.58198,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.53,14.182,-15.967,1.309,0.036634,-0.138082
23:25:11:388393,0.000122173,-0.58198,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.138,14.497,-15.729,1.4,0.069041,-0.095812
23:25:11:393377,0.000122173,-0.58198,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.733,12.859,-15.463,1.456,0.036634,-0.095812
23:25:11:398320,0.000122173,-0.58198,1.1874,0,1.35188,-0.00486947,0,0,0,0,0,0,0,0,0,0,0,0,-5.614,14.182,-15.848,1.344,0.077495,-0.167671
