TimeStamp , Q1, Q2, Q3, Q4, Q5, Q6, dQ1, dQ2, dQ3, dQ4, dQ5, dQ6, Fx, Fy, Fz, Mx, My, Mz, Joint1_torque, Joint2_torque, Joint3_torque, Joint4_torque, Joint5_torque, Joint6_torque 
23:31:10:42999,0.000174533,-0.581963,1.18736,0,1.35186,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.802,13.671,-16.009,-4.081,0.091585,-0.060587
23:31:10:47981,0.000174533,-0.581963,1.18736,0,1.35186,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.187,13.496,-15.785,-4.508,0.105675,-0.063405
23:31:10:52981,0.000174533,-0.581963,1.18736,0,1.35186,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.005,14.105,-15.491,-3.892,0.107084,-0.078904
23:31:10:58123,0.000174533,-0.581963,1.18736,0,1.35186,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.746,13.748,-16.177,-4.319,0.114129,-0.009863
23:31:10:63071,0.000174533,-0.581963,1.18736,0,1.35186,-0.00010472,0,0,0,0,0,0,0,0,0,0,0,0,-4.438,13.804,-15.617,-4.095,0.139491,-0.015499
23:31:10:68228,0.000174533,-0.581963,1.18736,0,1.35186,-0.00010472,0,0,0,0,0,0,0,0,0,0,0,0,-5.502,13.923,-15.918,-4.2,0.238121,-0.032407
23:31:10:73228,0.000174533,-0.581963,1.18736,0,1.35186,-0.00010472,0,0,0,0,0,0,0,0,0,0,0,0,-4.676,13.251,-15.379,-4.823,0.271937,0.012681
23:31:10:78247,0.000174533,-0.581963,1.18736,0,1.35186,-0.00010472,0,0,0,0,0,0,0,0,0,0,0,0,-4.487,13.958,-15.96,-4.305,0.232485,-0.01409
23:31:10:83321,0.000174533,-0.581963,1.18736,0,1.35186,-0.00010472,0,0,0,0,0,0,0,0,0,0,0,0,-4.97,13.076,-15.743,-4.41,0.170489,-0.01409
23:31:10:88352,0.000174533,-0.581963,1.18736,0,1.35188,-0.00010472,0,0,0,0,0,0,0,0,0,0,0,0,-5.082,13.923,-16.002,-4.116,0.1409,0.016908
23:31:10:93494,0.000174533,-0.581963,1.18736,0,1.35188,-0.00010472,0,0,0,0,0,0,0,0,0,0,0,0,-4.837,13.993,-15.736,-4.305,0.18317,-0.043679
23:31:10:98476,0.000174533,-0.581963,1.18736,0,1.35188,-0.00010472,0,0,0,0,0,0,0,0,0,0,0,0,-5.208,13.993,-16.751,-4.312,0.21135,0
23:31:10:103621,0.000174533,-0.581963,1.18736,0,1.35188,-0.00010472,0,0,0,0,0,0,0,0,0,0,0,0,-4.564,14.189,-15.547,-4.109,0.077495,-0.021135
23:31:10:108622,0.000174533,-0.581963,1.18736,0,1.35188,-0.00010472,0,0,0,0,0,0,0,0,0,0,0,0,-4.599,14.231,-16.128,-4.319,0.208532,0.09863
23:31:10:113727,0.000174533,-0.581963,1.18736,0,1.35188,-0.00010472,0,0,0,0,0,0,0,0,0,0,0,0,-4.949,13.72,-16.352,-4.522,0.236712,0.018317
23:31:10:118746,0.000174533,-0.581963,1.18736,0,1.35188,-0.00010472,0,0,0,0,0,0,0,0,0,0,0,0,-5.096,14.252,-16.086,-4.095,0.171898,-0.018317
23:31:10:123863,0.000174533,-0.581963,1.18736,0,1.35188,-0.00010472,0,0,0,0,0,0,0,0,0,0,0,0,-4.935,13.44,-15.813,-3.885,0.21135,0.012681
23:31:10:128801,0.000174533,-0.581963,1.18736,0,1.35188,-0.00010472,0,0,0,0,0,0,0,0,0,0,0,0,-4.984,13.951,-15.974,-4.102,0.107084,0.002818
23:31:10:133992,0.000174533,-0.581963,1.18736,0,1.35188,-0.00010472,0,0,0,0,0,0,0,0,0,0,0,0,-4.438,13.293,-15.617,-3.899,0.116947,0.018317
23:31:10:138994,0.000174533,-0.581963,1.18736,0,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-4.893,14.224,-16.352,-4.207,0.077495,0.102857
23:31:10:144105,0.000174533,-0.581963,1.18736,0,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-4.802,14.035,-15.813,-4.396,0.156399,-0.01409
23:31:10:149103,0.000174533,-0.581963,1.18736,0,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-5.355,13.671,-15.421,-4.2,0.092994,0.032407
23:31:10:154056,0.000174533,-0.581963,1.18736,0,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-4.655,13.755,-15.848,-4.193,0.187397,0.038043
23:31:10:159243,0.000174533,-0.581963,1.18736,0,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-4.746,14.07,-16.632,-4.298,0.097221,0.061996
23:31:10:164228,0.000174533,-0.581963,1.18736,0,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-5.005,14.224,-16.436,-4.095,0.198669,0.043679
23:31:10:169352,0.000174533,-0.581963,1.18736,0,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-4.585,13.874,-16.282,-3.787,0.2818,0.043679
23:31:10:174353,0.000174533,-0.581963,1.18736,0,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-4.879,13.748,-15.274,-4.298,0.159217,-0.016908
23:31:10:179352,0.000174533,-0.581963,1.18736,0,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-5.061,13.72,-16.016,-4.417,0.02818,-0.046497
23:31:10:184473,0.000174533,-0.581963,1.18736,0,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-4.676,13.552,-16.051,-3.773,0.231076,-0.061996
23:31:10:189469,0.000174533,-0.581963,1.18736,0,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-4.858,14.427,-15.883,-4.41,0.283209,-0.064814
23:31:10:194612,0.000174533,-0.581963,1.18736,0,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-4.529,13.993,-16.282,-4.004,0.266301,0
23:31:10:199738,0.000174533,-0.581963,1.18736,0,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-4.585,13.685,-16.009,-3.591,0.191624,0
23:31:10:204730,0.000174533,-0.58198,1.18736,0,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-5.208,13.209,-15.848,-3.801,0.101448,-0.043679
23:31:10:209722,0.000174533,-0.58198,1.18736,0,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-4.781,14.028,-16.275,-4.2,0.085949,-0.01409
23:31:10:214860,0.000174533,-0.58198,1.18736,0,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-4.396,13.909,-15.533,-4.704,0.121174,0.121174
23:31:10:219807,0.000174533,-0.58198,1.18736,0,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-4.676,13.601,-15.925,-4.725,0.218395,0.019726
23:31:10:224989,0.000174533,-0.58198,1.18736,-1.74533e-05,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-4.69,14.343,-16.051,-4.921,0.159217,0.040861
23:31:10:229919,0.000174533,-0.58198,1.18736,-1.74533e-05,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-4.382,14.105,-15.659,-3.682,0.198669,0.080313
23:31:10:235095,0.000174533,-0.58198,1.18736,-1.74533e-05,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-4.655,13.944,-16.016,-4.102,0.226849,-0.002818
23:31:10:240098,0.000174533,-0.58198,1.18736,-1.74533e-05,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-5.18,13.832,-15.848,-4.305,0.173307,0.036634
23:31:10:245053,0.000174533,-0.58198,1.18736,-1.74533e-05,1.35188,-0.000122173,0,0,0,0,0,0,0,0,0,0,0,0,-4.697,13.447,-15.897,-3.997,0.342387,0.036634
