TimeStamp , Q1, Q2, Q3, Q4, Q5, Q6, dQ1, dQ2, dQ3, dQ4, dQ5, dQ6, Fx, Fy, Fz, Mx, My, Mz, Joint1_torque, Joint2_torque, Joint3_torque, Joint4_torque, Joint5_torque, Joint6_torque 
23:29:42:721570,0.000139626,-0.58191,1.1874,1.74533e-05,1.35184,1.74533e-05,0,-0.0018675,-0.00174533,0,0,0,0,0,0,0,0,0,-5.033,13.09,-14.462,2.751,0.07045,0.435381
23:29:42:726571,0.000139626,-0.58191,1.1874,1.74533e-05,1.35184,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.537,13.818,-15.183,2.646,0.133855,0.359295
23:29:42:731527,0.000139626,-0.58191,1.1874,1.74533e-05,1.35184,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.138,13.188,-15.694,2.583,-0.030998,0.311389
23:29:42:736706,0.000139626,-0.58191,1.1874,1.74533e-05,1.35184,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.439,13.566,-14.539,3.122,0.123992,0.33816
23:29:42:741634,0.000139626,-0.58191,1.1874,1.74533e-05,1.35184,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.432,13.132,-14.994,2.674,-0.02818,0.387475
23:29:42:746854,0.000139626,-0.58191,1.1874,1.74533e-05,1.35184,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.208,14.329,-14.847,2.779,0,0.428336
23:29:42:751760,0.000139626,-0.581928,1.1874,1.74533e-05,1.35184,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.229,13.363,-14.427,2.975,0.060587,0.332524
23:29:42:756761,0.000139626,-0.581928,1.1874,1.74533e-05,1.35184,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.124,14.217,-15.323,2.471,0.032407,0.369158
23:29:42:761901,0.000139626,-0.581928,1.1874,1.74533e-05,1.35184,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.327,13.874,-15.89,3.143,0.121174,0.336751
23:29:42:766937,0.000139626,-0.581928,1.1874,1.74533e-05,1.35184,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.6,13.419,-15.274,2.737,0.162035,0.349432
23:29:42:772062,0.000139626,-0.581928,1.1874,1.74533e-05,1.35184,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.627,14.441,-15.148,2.905,0.081722,0.457925
23:29:42:777186,0.000139626,-0.581928,1.1874,3.49066e-05,1.35184,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.935,12.621,-14.56,2.611,0.146536,0.428336
23:29:42:782201,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.816,13.391,-15.043,2.135,0.04227,0.398747
23:29:42:787213,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.229,14.161,-14.616,2.212,-0.029589,0.384657
23:29:42:792324,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.033,13.874,-15.036,2.891,0.109902,0.418473
23:29:42:797331,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.627,13.93,-14.581,2.926,-0.02818,0.402974
23:29:42:802451,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.718,13.3,-14.532,2.317,0.146536,0.314207
23:29:42:807452,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.222,13.111,-15.302,2.198,0.008454,0.428336
23:29:42:812433,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.026,13.531,-14.854,2.863,0.180352,0.342387
23:29:42:817560,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.026,13.076,-15.498,2.471,0.040861,0.333933
23:29:42:822705,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.816,13.531,-15.806,2.898,0.052133,0.371976
23:29:42:827702,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.432,13.51,-15.421,2.919,0.128219,0.360704
23:29:42:832629,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.921,14.567,-14.84,3.395,0.12681,0.359295
23:29:42:837825,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.229,14.329,-14.805,2.779,0.080313,0.443835
23:29:42:842773,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.334,14.014,-15.183,2.177,0,0.4227
23:29:42:847948,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.515,13.559,-14.651,3.556,0.097221,0.364931
23:29:42:852883,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.222,13.419,-15.141,2.471,0.049315,0.410019
23:29:42:858062,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.914,13.93,-14.931,2.534,0.122583,0.38043
23:29:42:863085,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.229,14.077,-14.567,3.43,0.139491,0.304344
23:29:42:868006,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.816,14.014,-15.351,2.135,0.04227,0.339569
23:29:42:873187,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.222,13.356,-14.665,2.828,0.147945,0.377612
23:29:42:878145,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.522,14.581,-15.218,2.527,0.08454,0.398747
23:29:42:883324,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.711,13.398,-14.616,2.429,0.162035,0.524148
23:29:42:888269,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.124,14.532,-14.805,2.226,-0.018317,0.402974
23:29:42:893448,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.012,13.79,-15.61,2.744,0.069041,0.336751
23:29:42:898379,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.523,14.532,-15.113,2.534,0.15499,0.278982
23:29:42:903390,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.417,13.531,-14.77,3.031,-0.071859,0.284618
23:29:42:908554,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.53,12.663,-14.504,2.534,0.080313,0.359295
23:29:42:913697,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.327,14.441,-14.658,2.877,0.121174,0.322661
23:29:42:918691,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.935,14.448,-14.917,2.996,0.033816,0.348023
23:29:42:923819,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.026,13.426,-15.351,2.562,0.102857,0.342387
23:29:42:928826,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.327,12.831,-15.113,2.226,0.142309,0.376203
23:29:42:933929,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.823,13.965,-14.959,3.031,0.123992,0.45088
23:29:42:938940,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.418,13.482,-15.232,2.562,0.061996,0.405792
23:29:42:943894,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.019,13.825,-15.309,2.345,0.18317,0.271937
23:29:42:948997,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.816,13.146,-14.721,2.513,0.022544,0.405792
23:29:42:954188,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.823,13.93,-15.183,2.541,0.088767,0.398747
23:29:42:959195,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0,0,0,0,0,-5.138,13.678,-14.616,2.66,0.035225,0.498786
23:29:42:964178,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,-0.006,-0.024,-0.129,0,0,0,-5.124,13.139,-15.232,2.821,0.150763,0.391702
23:29:42:969301,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0.031,0.035,-0.159,0,0,0.001,-5.124,13.328,-15.316,2.912,0.15499,0.342387
23:29:42:974311,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0.044,0.049,-0.247,0,0,0.002,-5.425,13.426,-14.427,2.779,0.167671,0.377612
23:29:42:979433,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0.035,0.052,-0.313,0,0,0.002,-5.334,13.23,-14.679,2.695,-0.04227,0.274755
23:29:42:984432,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0.011,0.058,-0.379,-0.001,0.001,0.003,-4.928,13.307,-14.882,2.66,0.069041,0.39452
23:29:42:989577,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,0.051,-0.353,-0.001,0.001,0.002,-5.327,13.37,-15.036,3.031,0.146536,0.401565
23:29:42:994568,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,-0.003,0.014,-0.202,0,0,0.001,-5.222,13.272,-15.071,2.667,0.125401,0.363522
23:29:42:999694,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,-0.019,-0.07,0,0,0,-5.404,13.223,-15.358,2.611,0.231076,0.376203
23:29:43:4693,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0,-0.054,0.096,0,0,-0.001,-4.326,13.146,-14.889,2.947,-0.046497,0.400156
23:29:43:9619,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,-0.005,-0.059,0.153,0,0,-0.001,-4.606,13.503,-15.386,2.975,0.021135,0.312798
23:29:43:14814,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,-0.019,-0.047,0.119,0,0,-0.001,-4.914,12.936,-15.183,3.108,0.16908,0.371976
23:29:43:19766,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,-0.021,-0.035,0.028,0,0,0,-4.816,13.615,-14.693,2.604,0.207123,0.301526
23:29:43:24887,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,-0.001,-0.02,-0.101,0,0,0,-5.446,13.195,-14.581,2.142,0.061996,0.311389
23:29:43:29896,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0.022,-0.017,-0.118,0,0,0,-4.823,12.999,-15.106,2.828,0.102857,0.22544
23:29:43:35071,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0.053,-0.024,-0.063,0,0,0,-5.53,13.874,-14.917,2.506,0.033816,0.364931
23:29:43:40011,0.000122173,-0.581928,1.1874,3.49066e-05,1.35186,1.74533e-05,0,0,0,0,0,0,0.066,-0.028,-0.045,0,0,0,-4.627,13.51,-14.994,3.164,0.08454,0.412837
