TimeStamp , Q1, Q2, Q3, Q4, Q5, Q6, dQ1, dQ2, dQ3, dQ4, dQ5, dQ6, Fx, Fy, Fz, Mx, My, Mz, Joint1_torque, Joint2_torque, Joint3_torque, Joint4_torque, Joint5_torque, Joint6_torque 
23:33:24:25542,0,-0.581893,1.18749,0,1.35186,-6.98132e-05,0,-0.00275762,0,0,0,0,0,0,0,0,0,0,3.353,14.315,-15.134,-4.634,0.166262,0.397338
23:33:24:30585,0,-0.581893,1.18749,0,1.35186,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.199,13.622,-15.155,-6.111,0.194442,0.517103
23:33:24:35718,0,-0.581893,1.18749,0,1.35186,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.507,14.126,-15.169,-4.83,0.102857,0.459334
23:33:24:40645,0,-0.581893,1.18749,0,1.35186,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.619,13.965,-14.931,-4.186,0.077495,0.414246
23:33:24:45692,0,-0.581893,1.18749,-1.74533e-05,1.35186,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.996,13.503,-15.743,-3.381,0.131037,0.529784
23:33:24:50829,0,-0.581893,1.18749,-1.74533e-05,1.35186,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.535,13.188,-15.043,-7.049,0.05636,0.400156
23:33:24:55778,0,-0.581893,1.18749,-1.74533e-05,1.35186,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.702,13.538,-15.008,-5.033,0.131037,0.391702
23:33:24:60953,0,-0.581893,1.18749,-1.74533e-05,1.35186,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.444,13.566,-14.784,-4.417,0.159217,0.490332
23:33:24:65954,0,-0.58191,1.18749,-1.74533e-05,1.35186,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.905,14.273,-15.022,-3.689,0.122583,0.386066
23:33:24:71073,0,-0.58191,1.18749,-1.74533e-05,1.35186,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.15,13.503,-14.966,-4.102,0.128219,0.511467
23:33:24:76082,0,-0.58191,1.18749,-1.74533e-05,1.35186,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.731,14.021,-15.246,-4.312,0.178943,0.467788
23:33:24:81230,0,-0.58191,1.18749,-1.74533e-05,1.35186,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.556,13.986,-15.505,-4.2,0.11272,0.426927
23:33:24:86152,0,-0.58191,1.18749,-1.74533e-05,1.35186,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.926,14.161,-15.064,-4.515,0.087358,0.455107
23:33:24:91327,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.731,13.797,-15.414,-3.99,0.238121,0.490332
23:33:24:96327,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.087,14.42,-14.917,-3.486,0.069041,0.395929
23:33:24:101445,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.535,14.161,-14.987,-3.997,0.059178,0.52133
23:33:24:106442,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.059,14.105,-14.749,-3.899,0.143718,0.453698
23:33:24:111605,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.129,14.42,-14.987,-3.794,0.081722,0.467788
23:33:24:116575,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.926,13.391,-14.546,-4.305,0.170489,0.457925
23:33:24:121725,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.689,13.902,-15.099,-3.99,0.092994,0.449471
23:33:24:126714,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.038,13.65,-15.246,-3.682,0.176125,0.345205
23:33:24:131819,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.395,13.713,-15.484,-3.787,0.178943,0.486105
23:33:24:136834,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.598,13.3,-14.917,-3.997,0.083131,0.617142
23:33:24:141835,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.863,13.93,-14.784,-4.095,0.266301,0.463561
23:33:24:146960,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.241,13.734,-14.84,-3.997,0.128219,0.539647
23:33:24:151960,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.353,13.195,-15.281,-4.403,0.11272,0.4227
23:33:24:157084,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.864,13.846,-15.19,-3.892,0.178943,0.328297
23:33:24:162088,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.954,14.672,-15.358,-4.095,0.122583,0.390293
23:33:24:167194,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.129,13.363,-14.861,-4.2,0.074677,0.488923
23:33:24:172194,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.863,13.734,-15.519,-4.2,0.046497,0.364931
23:33:24:177336,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.66,13.874,-15.022,-3.997,0.16908,0.467788
23:33:24:182269,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.108,13.986,-15.064,-3.584,0.128219,0.404383
23:33:24:187445,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.129,13.475,-14.875,-4.305,0.059178,0.498786
23:33:24:192441,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.598,14.784,-15.099,-3.997,0.131037,0.498786
23:33:24:197567,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.374,13.706,-14.231,-4.305,0.146536,0.40861
23:33:24:202573,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.842,13.307,-15.393,-4.2,0.16908,0.488923
23:33:24:207690,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.374,13.993,-15.519,-4.2,0.171898,0.395929
23:33:24:212692,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.017,14.588,-15.155,-4.305,0.273346,0.449471
23:33:24:217692,0,-0.58191,1.18749,-1.74533e-05,1.35186,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.975,13.559,-15.302,-3.997,0.146536,0.503013
