Time,Q1, Q2, Q3, Q4, Q5, Q6, T1, T2, T3, T4, T5, T6
14:41:12:325210,-0.603133,-0.0565661,1.79116,0,1.27479,1.75144,-6.034,7.196,-5.873,-0.196,0.586144,0.398747,
14:41:12:330229,-0.603151,-0.0565661,1.79127,0,1.27484,1.75147,-6.153,7.553,-5.698,0.532,0.552328,0.4227,
14:41:12:335340,-0.603238,-0.0566185,1.79132,0,1.27493,1.75135,-20.678,-1.12,-14.777,0.112,0.562191,-0.388884,
14:41:12:340369,-0.60357,-0.0568105,1.79127,0,1.27502,1.75093,-18.529,-0.735,-17.332,0.301,0.484696,-0.417064,
14:41:12:345497,-0.604093,-0.0571072,1.79114,0,1.27507,1.75051,-14.574,1.162,-16.002,0.028,0.477651,-0.584735,
14:41:12:350481,-0.604722,-0.0574562,1.79097,0,1.27514,1.75004,-10.549,2.835,-18.942,0.224,0.491741,-0.655185,
14:41:12:355437,-0.605367,-0.0577879,1.79078,0,1.27524,1.74938,-9.464,2.59,-17.717,-0.28,0.194442,-0.233894,
14:41:12:360595,-0.605943,-0.058102,1.79053,0,1.27531,1.74866,-9.128,2.1,-18.795,-0.028,0.228258,-0.115538,
14:41:12:365731,-0.606484,-0.0584336,1.79022,0,1.27538,1.74816,-9.751,1.421,-18.809,0.812,0.246575,-0.164853,
14:41:12:370726,-0.607043,-0.0587827,1.78989,0,1.27549,1.74786,-10.416,1.827,-19.061,0.469,0.32407,-0.553737,
14:41:12:375866,-0.607601,-0.0591841,1.78954,0,1.27556,1.74753,-11.361,2.317,-19.579,0.161,0.123992,-0.825674,
14:41:12:380864,-0.608195,-0.059603,1.78921,0,1.27561,1.74699,-10.192,2.863,-18.466,0.56,-0.018317,-0.725635,
14:41:12:385790,-0.608841,-0.0600219,1.78882,0,1.27563,1.74617,-9.856,2.324,-19.649,-0.224,0.164853,-0.435381,
14:41:12:390986,-0.609469,-0.0604757,1.78833,0,1.27566,1.74528,-8.218,2.639,-17.941,-0.392,0.209941,-0.147945,
14:41:12:395939,-0.610097,-0.0609469,1.78779,0,1.27575,1.7447,-9.065,3.752,-16.548,0.021,0.049315,-0.092994,
14:41:12:401083,-0.610761,-0.061453,1.78732,0,1.2758,1.74437,-8.54,3.402,-19.768,0.28,-0.085949,-0.597416,
14:41:12:406100,-0.611424,-0.0619417,1.78687,0,1.27587,1.74383,-7.987,4.767,-18.634,1.295,-0.109902,-0.60587,
14:41:12:411207,-0.612087,-0.0624479,1.78641,0,1.27591,1.74304,-7.595,5.18,-19.691,1.673,0.077495,-0.308571,
14:41:12:416155,-0.612768,-0.062954,1.78593,0,1.27596,1.74224,-7.175,6.083,-19.25,-0.252,-0.052133,-0.167671,
14:41:12:421367,-0.613396,-0.0634776,1.78544,0,1.27599,1.74166,-8.001,6.671,-21.168,-0.056,0.004227,-0.317025,
