time,bd,bv,hd,hv,md1,md2
0.0,0.0,0.0,0,0,-0.03,0.03
0.001,-1.1435833403222118e-06,-0.0011435833403222117,0,0,-0.03,0.03
0.002,-3.4029950064061834e-06,-0.0022594116660839716,0,0,-0.03,0.03
0.003,-6.750386583836081e-06,-0.0033473915774298968,0,0,-0.03,0.03
0.004,-1.1157824537728581e-05,-0.004407437953892501,0,0,-0.03,0.03
0.005,-1.659729868744882e-05,-0.0054394741497202385,0,0,-0.03,0.03
0.006,-2.3040730863523835e-05,-0.006443432176075015,0,0,-0.03,0.03
0.007,-3.045998373269788e-05,-0.007419252869174046,0,0,-0.03,0.03
0.008,-3.882686977619554e-05,-0.008366886043497663,0,0,-0.03,0.03
0.009,-4.8113160405434905e-05,-0.00928629062923936,0,0,-0.03,0.03
0.01,-5.829059519867207e-05,-0.010177434793237164,0,0,-0.03,0.03
0.011,-6.933089124136748e-05,-0.01104029604269542,0,0,-0.03,0.03
0.012,-8.120575255245093e-05,-0.011874861311083432,0,0,-0.03,0.03
0.013,-9.388687957813189e-05,-0.01268112702568097,0,0,-0.03,0.03
0.014,-0.00010734597873446199,-0.01345909915633009,0,0,-0.03,0.03
0.015,-0.00012155477197950911,-0.014208793245047133,0,0,-0.03,0.03
0.016,-0.0001364850063957564,-0.014930234416247277,0,0,-0.03,0.03
0.017,-0.00015210846376319208,-0.015623457367435664,0,0,-0.03,0.03
0.018,-0.00016839697010351503,-0.016288506340322997,0,0,-0.03,0.03
0.019,-0.0001853224051759435,-0.016925435072428455,0,0,-0.03,0.03
0.02,-0.00020285671190528116,-0.01753430672933763,0,0,-0.03,0.03
0.021,-0.0002209719057231686,-0.01811519381788742,0,0,-0.03,0.03
0.022,-0.00023964008380381982,-0.01866817808065128,0,0,-0.03,0.03
0.023,-0.000258833434176017,-0.019193350372197222,0,0,-0.03,0.03
0.024,-0.00027852424469370225,-0.019690810517685165,0,0,-0.03,0.03
0.025,-0.0002986849118481622,-0.020160667154459928,0,0,-0.03,0.03
0.026,-0.00031928794940554146,-0.020603037557379317,0,0,-0.03,0.03
0.027,-0.00034030599685423523,-0.021018047448693712,0,0,-0.03,0.03
0.028,-0.00036171182764759783,-0.021405830793362612,0,0,-0.03,0.03
0.029,-0.00038347835722835305,-0.021766529580755208,0,0,-0.03,0.03
0.03,-0.0004055786508220878,-0.022100293593734815,0,0,-0.03,0.03
0.031,-0.0004279859309882591,-0.022407280166171262,0,0,-0.03,0.03
0.032,-0.00045067358491821983,-0.022687653929960708,0,0,-0.03,0.03
0.033,-0.00047361517147087855,-0.022941586552658676,0,0,-0.03,0.03
0.034,-0.000496784427937728,-0.02316925646684944,0,0,-0.03,0.03
0.035,-0.0005201552765301115,-0.023370848592383517,0,0,-0.03,0.03
0.036,-0.0005437018305827266,-0.023546554052615187,0,0,-0.03,0.03
0.037,-0.0005673984004684904,-0.023696569885763793,0,0,-0.03,0.03
0.038,-0.0005912194992209973,-0.02382109875250674,0,0,-0.03,0.03
0.039,-0.0006151398478618865,-0.023920348640889315,0,0,-0.03,0.03
0.04,-0.0006391343804314931,-0.023994532569606514,0,0,-0.03,0.03
0.041,-0.0006631782487221698,-0.02404386829067673,0,0,-0.03,0.03
0.042,-0.0006872468267146559,-0.024068577992485993,0,0,-0.03,0.03
0.043,-0.0007113157147187917,-0.02406888800413589,0,0,-0.03,0.03
0.044,-0.0007353607432207704,-0.024045028501978764,0,0,-0.03,0.03
0.045,-0.0007593579764399413,-0.023997233219170813,0,0,-0.03,0.03
0.046,-0.0007832837155989597,-0.023925739159018494,0,0,-0.03,0.03
0.047,-0.0008071145019117959,-0.02383078631283609,0,0,-0.03,0.03
0.048,-0.0008308271192947697,-0.023712617382973818,0,0,-0.03,0.03
0.049,-0.0008543985968063863,-0.023571477511616593,0,0,-0.03,0.03
0.05,-0.0008778062108222805,-0.023407614015894137,0,0,-0.03,0.03
0.051,-0.0009010274869520645,-0.0232212761297841,0,0,-0.03,0.03
0.052,-0.0009240402017052966,-0.02301271475323196,0,0,-0.03,0.03
0.053,-0.0009468223839141511,-0.02278218220885456,0,0,-0.03,0.03
0.054,-0.00096935231592069,-0.02252993200653897,0,0,-0.03,0.03
0.055,-0.0009916085345368856,-0.022256218616195513,0,0,-0.03,0.03
0.056,-0.0010135698317857583,-0.021961297248872726,0,0,-0.03,0.03
0.057,-0.0010352152554321521,-0.021645423646393797,0,0,-0.03,0.03
0.058,-0.0010565241093117804,-0.02130885387962836,0,0,-0.03,0.03
0.059,-0.001077475953467251,-0.02095184415547053,0,0,-0.03,0.03
0.06,-0.001098050604099805,-0.02057465063255423,0,0,-0.03,0.03
0.061,-0.0011182281333455048,-0.02017752924569973,0,0,-0.03,0.03
0.062,-0.001137988868884556,-0.019760735539051073,0,0,-0.03,0.03
0.063,-0.0011573133933923893,-0.01932452450783321,0,0,-0.03,0.03
0.064,-0.0011761825438410182,-0.018869150448629156,0,0,-0.03,0.03
0.065,-0.0011945774106590706,-0.018394866818052198,0,0,-0.03,0.03
0.066,-0.0012124793367587362,-0.017901926099665507,0,0,-0.03,0.03
0.067,-0.0012298699164377178,-0.01739057967898152,0,0,-0.03,0.03
0.068,-0.001246730994164074,-0.01686107772635606,0,0,-0.03,0.03
0.069,-0.0012630446632516507,-0.01631366908757712,0,0,-0.03,0.03
0.07,-0.0012787932644335864,-0.015748601181935527,0,0,-0.03,0.03
0.071,-0.0012939593843411404,-0.01516611990755418,0,0,-0.03,0.03
0.072,-0.001308525853894884,-0.014566469553743914,0,0,-0.03,0.03
0.073,-0.001322475746615032,-0.013949892720147633,0,0,-0.03,0.03
0.074,-0.0013357923768574607,-0.013316630242428976,0,0,-0.03,0.03
0.075,-0.0013484592979817198,-0.012666921124258887,0,0,-0.03,0.03
0.076,-0.001360460300457071,-0.012001002475351272,0,0,-0.03,0.03
0.077,-0.0013717794099123695,-0.011319109455298466,0,0,-0.03,0.03
0.078,-0.0013824008851353274,-0.010621475222957774,0,0,-0.03,0.03
0.079,-0.0013923092160264695,-0.009908330891142098,0,0,-0.03,0.03
0.08,-0.0014014891215128396,-0.00917990548637018,0,0,-0.03,0.03
0.081,-0.0014099255474262753,-0.008436425913435542,0,0,-0.03,0.03
0.082,-0.0014176036643508325,-0.007678116924557253,0,0,-0.03,0.03
0.083,-0.0014245088654437131,-0.006905201092880627,0,0,-0.03,0.03
0.084,-0.0014306267642338142,-0.006117898790101114,0,0,-0.03,0.03
0.085,-0.0014359431924018048,-0.005316428167990591,0,0,-0.03,0.03
0.086,-0.0014404441975454161,-0.004501005143611363,0,0,-0.03,0.03
0.087,-0.0014441160409334258,-0.003671843388009561,0,0,-0.03,0.03
0.088,-0.0014469451952516124,-0.0028291543181867356,0,0,-0.03,0.03
0.089,-0.001448918342343767,-0.0019731470921546196,0,0,-0.03,0.03
0.09,-0.0014500223709506528,-0.0011040286068857838,0,0,-0.03,0.03
0.091,-0.0014502443744496326,-0.00022200349897953743,0,0,-0.03,0.03
0.092,-0.001449571648597502,0.000672725852130302,0,0,-0.03,0.03
0.093,-0.00144799168927891,0.0015799593185920515,0,0,-0.03,0.03
0.094,-0.0014454921902625735,0.0024994990163364427,0,0,-0.03,0.03
0.095,-0.001442061040967361,0.003431149295212746,0,0,-0.03,0.03
0.096,-0.001437686324240155,0.0043747167272060565,0,0,-0.03,0.03
0.097,-0.0014323563141472805,0.005330010092874277,0,0,-0.03,0.03
0.098,-0.0014260594737811438,0.006296840366136672,0,0,-0.03,0.03
0.099,-0.0014187844530836045,0.0072750206975393744,0,0,-0.03,0.03
0.1,-0.0014105200866874877,0.008264366396116916,0,0,-0.03,0.03
