Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
20:10:06:339019,0.41774,0,0.034,-0.057,-0.093,-0.006,-0.002,-0.005,460,-0.000469208
20:10:06:344172,0.41774,0,0.039,-0.053,0.038,-0.006,-0.001,-0.006,460,-0.000469208
20:10:06:349114,0.41774,0,0.054,-0.034,0.172,-0.006,0,-0.008,460,-0.000469208
20:10:06:354139,0.41774,-0.000223416,0.109,-0.013,0.223,-0.005,0.002,-0.007,460,-0.000469208
20:10:06:359333,0.417739,-0.00048431,0.165,-0.014,0.07,-0.005,0,-0.005,460,-0.000469208
20:10:06:364412,0.417739,-0.000842083,0.164,-0.014,-0.069,-0.004,0,-0.004,460,-0.000469208
20:10:06:369375,0.417735,-0.0012998,0.104,0.003,-0.206,-0.003,-0.002,-0.002,460,-0.000469208
20:10:06:374514,0.417732,-0.00185902,0.062,0.023,-0.209,-0.002,-0.002,-0.002,460,-0.000469208
20:10:06:379510,0.417724,-0.00251496,0.064,0.048,-0.101,-0.001,-0.001,-0.002,460,-0.000469208
20:10:06:384534,0.41776,-0.00326755,0.103,0.06,-0.011,-0.001,0,-0.002,460,-0.000469208
20:10:06:389672,0.41775,-0.00397694,0.152,0.073,0.032,-0.001,0,-0.001,460,-0.000469208
20:10:06:394776,0.417738,-0.00458802,0.151,0.078,-0.007,-0.001,0,-0.001,460,-0.000469208
20:10:06:399773,0.417729,-0.00509769,0.118,0.065,-0.068,-0.001,0,-0.003,460,-0.000469208
20:10:06:404790,0.417764,-0.00550827,0.094,0.045,-0.056,-0.002,-0.001,-0.005,461,-0.000410557
20:10:06:409894,0.417756,-0.00581981,0.059,0.023,0.023,-0.003,-0.002,-0.001,465,-0.000175953
20:10:06:414915,0.417751,-0.00603172,0.035,0.035,0.077,-0.003,-0.001,0.005,465,-0.000175953
20:10:06:420035,0.417747,-0.00617389,0.018,0.09,0.115,-0.001,0.001,0.013,475,0.000410557
20:10:06:425066,0.417742,-0.00639956,0.03,0.122,0.102,0.001,0.003,0.012,487,0.00111437
20:10:06:430112,0.417733,-0.00672486,0.026,0.077,0.029,0.003,0.003,0.009,487,0.00111437
20:10:06:435146,0.417762,-0.00715214,-0.125,-0.23,-0.027,-0.003,-0.001,0.016,498,0.00175953
20:10:06:440279,0.417748,-0.00767719,-0.308,-0.682,-0.009,-0.017,-0.007,0.014,503,0.00205279
20:10:06:445211,0.417725,-0.00830216,-0.512,-1.772,0.09,-0.051,-0.019,-0.024,503,0.00205279
20:10:06:450379,0.417745,-0.00902941,-0.449,-2.628,0.175,-0.078,-0.024,-0.074,505,0.00217009
20:10:06:455378,0.417755,-0.00985465,0.089,-3.593,0.323,-0.105,-0.018,-0.141,505,0.00217009
20:10:06:460495,0.41776,-0.01078,0.684,-3.739,0.418,-0.109,0.001,-0.152,502,0.00199413
20:10:06:465530,0.417755,-0.0118071,1.544,-3.133,0.425,-0.089,0.051,-0.115,491,0.00134897
20:10:06:470650,0.417742,-0.0129317,1.785,-2.414,0.269,-0.068,0.083,-0.078,491,0.00134897
20:10:06:475638,0.417758,-0.0141577,1.305,-1.403,-0.094,-0.045,0.091,-0.045,477,0.000527859
20:10:06:480786,0.417763,-0.015483,0.517,-0.905,-0.241,-0.044,0.058,-0.039,465,-0.000175953
20:10:06:485762,0.417755,-0.0169081,-0.726,-0.173,-0.132,-0.056,-0.029,-0.016,465,-0.000175953
20:10:06:490921,0.41773,-0.0184333,-1.213,0.51,0.053,-0.054,-0.082,0.024,455,-0.000762463
20:10:06:495895,0.41773,-0.0200585,-1.258,1.765,0.138,-0.011,-0.108,0.09,455,-0.000762463
20:10:06:500892,0.417756,-0.0217852,-1.037,2.455,-0.015,0.03,-0.086,0.105,453,-0.000879765
20:10:06:506145,0.417758,-0.0236104,-0.74,2.801,-0.311,0.068,-0.03,0.08,461,-0.000410557
20:10:06:511179,0.417735,-0.0255342,-0.534,2.348,-0.295,0.056,0.011,0.055,461,-0.000410557
20:10:06:516127,0.41773,-0.027559,-0.316,1.814,-0.088,0.036,0.022,0.056,475,0.000410557
20:10:06:521141,0.417736,-0.0296863,-0.013,1.189,0.163,0.023,0.023,0.059,495,0.00158358
20:10:06:526262,0.417726,-0.0318152,0.369,0.006,0.407,0.02,0.014,0.029,495,0.00158358
20:10:06:531296,0.417757,-0.0338454,0.366,-1.622,0.377,0.006,0.003,-0.038,518,0.00293255
20:10:06:536411,0.41774,-0.0357689,0.215,-2.867,0.266,-0.021,0,-0.08,543,0.00439883
20:10:06:541495,0.417766,-0.0375966,0.172,-4.505,0.179,-0.079,0.007,-0.114,543,0.00439883
20:10:06:546536,0.417751,-0.0393201,0.424,-5.163,0.257,-0.109,0.025,-0.121,567,0.00580645
20:10:06:551508,0.417741,-0.0409442,1.08,-5.34,0.476,-0.121,0.057,-0.125,567,0.00580645
20:10:06:556649,0.417739,-0.0424714,1.447,-5.075,0.545,-0.113,0.073,-0.127,585,0.00686217
20:10:06:561664,0.417747,-0.0438941,1.501,-4.587,0.396,-0.104,0.072,-0.122,596,0.00750733
20:10:06:566758,0.417761,-0.0452245,1.138,-4.409,0.18,-0.112,0.055,-0.113,596,0.00750733
20:10:06:571783,0.417747,-0.0464457,0.161,-4.344,-0.116,-0.135,0.014,-0.095,599,0.00768328
20:10:06:576867,0.417746,-0.0475708,-0.568,-4.245,-0.193,-0.144,-0.015,-0.083,593,0.00733138
20:10:06:581872,0.41776,-0.0485955,-1.347,-3.7,-0.07,-0.133,-0.057,-0.068,593,0.00733138
20:10:06:586998,0.417744,-0.0495186,-1.44,-3.062,0.106,-0.113,-0.076,-0.066,579,0.00651026
20:10:06:592136,0.417748,-0.0503459,-0.85,-1.987,0.29,-0.081,-0.078,-0.079,555,0.00510264
20:10:06:597158,0.417727,-0.0510676,0.216,-1.218,0.166,-0.068,-0.034,-0.081,555,0.00510264
20:10:06:602134,0.417766,-0.0517025,0.836,-0.948,-0.051,-0.076,0.013,-0.063,520,0.00304985
20:10:06:607317,0.41774,-0.0522263,1.291,-0.585,-0.313,-0.092,0.078,-0.013,520,0.00304985
20:10:06:612391,0.417734,-0.052654,1.28,-0.1,-0.315,-0.085,0.091,0.016,479,0.000645161
20:10:06:617407,0.417748,-0.0529813,0.896,1.146,-0.119,-0.034,0.053,0.04,438,-0.00175953
20:10:06:622387,0.417742,-0.0532114,0.391,2.157,-0.029,0.007,0.002,0.051,438,-0.00175953
20:10:06:627490,0.417757,-0.0533412,-0.659,3.515,-0.151,0.054,-0.071,0.08,397,-0.00416422
20:10:06:632647,0.41775,-0.0533691,-1.328,4.159,-0.313,0.072,-0.098,0.106,362,-0.00621701
20:10:06:637636,0.417768,-0.0532972,-1.804,4.623,-0.314,0.09,-0.099,0.127,362,-0.00621701
20:10:06:642630,0.417761,-0.0531232,-1.695,4.555,-0.055,0.095,-0.081,0.121,334,-0.00785924
20:10:06:647779,0.417736,-0.0528479,-1.125,3.907,0.487,0.086,-0.045,0.091,334,-0.00785924
20:10:06:652864,0.417728,-0.0524761,-0.611,3.241,0.726,0.071,-0.022,0.067,317,-0.0088563
20:10:06:657883,0.417743,-0.0520043,0.261,2.236,0.756,0.053,0.013,0.035,314,-0.00903226
20:10:06:663005,0.417735,-0.051435,0.791,1.702,0.645,0.048,0.037,0.021,314,-0.00903226
20:10:06:667989,0.417749,-0.0507617,1.116,1.156,0.436,0.045,0.061,0.012,319,-0.008739
20:10:06:673009,0.417735,-0.0499906,0.907,0.937,0.276,0.041,0.058,0.014,331,-0.00803519
20:10:06:678135,0.417739,-0.0491193,0.305,0.797,0.039,0.035,0.029,0.019,331,-0.00803519
20:10:06:683141,0.41776,-0.0481476,0.063,0.884,0.037,0.037,0,0.017,341,-0.00744868
20:10:06:688166,0.417755,-0.0470749,0.22,1.039,0.246,0.043,-0.008,0.012,345,-0.00721408
20:10:06:693269,0.417756,-0.0459461,0.508,1.299,0.654,0.048,-0.003,0.009,345,-0.00721408
20:10:06:698293,0.417735,-0.0449016,0.439,1.405,0.758,0.043,0.002,0.013,346,-0.00715543
20:10:06:703261,0.417732,-0.0439622,-0.122,1.38,0.46,0.02,0.005,0.022,346,-0.00715543
20:10:06:708505,0.417755,-0.0431245,-0.58,1.28,0.058,0,0,0.024,345,-0.00721408
20:10:06:713540,0.417755,-0.0423871,-0.916,1.249,-0.428,-0.017,-0.019,0.024,342,-0.00739003
20:10:06:718629,0.417737,-0.0417422,-0.764,1.466,-0.456,-0.006,-0.035,0.029,342,-0.00739003
20:10:06:723626,0.417743,-0.0412023,-0.099,2.185,-0.025,0.04,-0.044,0.046,336,-0.00774194
20:10:06:728629,0.417731,-0.040759,0.392,2.739,0.353,0.071,-0.035,0.054,333,-0.00791789
20:10:06:733753,0.417744,-0.0404215,0.756,3.238,0.577,0.082,-0.001,0.053,333,-0.00791789
20:10:06:738745,0.41774,-0.0401805,0.662,3.245,0.399,0.068,0.024,0.05,332,-0.00797654
20:10:06:743862,0.417764,-0.0400421,0.294,3.035,-0.083,0.05,0.047,0.056,332,-0.00797654
20:10:06:748885,0.417726,-0.0399978,0.157,3.014,-0.309,0.059,0.045,0.068,333,-0.00791789
20:10:06:749655,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:749691,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:749702,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:749712,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:749721,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:749731,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:749740,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:749749,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:749758,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:749768,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:749787,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:749797,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:749807,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:749816,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:749825,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:749834,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:749843,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
20:10:06:749853,0.417726,-0.0399978,0.16,3.081,-0.357,-0.07,0.039,0.075,333,-0.00791789
