Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
20:10:32:778754,0.41774,0,0.081,0.053,0.166,-0.005,0,-0.005,459,-0.000527859
20:10:32:783924,0.41774,0,0.08,0.071,0.378,-0.006,0,-0.007,460,-0.000469208
20:10:32:788900,0.41774,0,0.066,0.059,0.382,-0.006,0,-0.008,460,-0.000469208
20:10:32:793992,0.41774,-0.000223416,0.038,0.017,0.165,-0.006,0,-0.007,459,-0.000527859
20:10:32:799051,0.417739,-0.00048431,0.029,-0.007,-0.016,-0.006,0,-0.006,459,-0.000527859
20:10:32:804122,0.417739,-0.000842083,0.026,-0.024,-0.138,-0.005,0,-0.005,460,-0.000469208
20:10:32:809134,0.417735,-0.0012998,0.018,-0.02,-0.095,-0.005,0,-0.004,459,-0.000527859
20:10:32:814284,0.417732,-0.00185902,-0.005,0.011,0.034,-0.004,0,-0.005,459,-0.000527859
20:10:32:819265,0.417724,-0.00251496,-0.014,0.045,0.082,-0.003,0,-0.005,459,-0.000527859
20:10:32:824415,0.41776,-0.00326755,0.001,0.079,0.058,-0.003,0,-0.005,459,-0.000527859
20:10:32:829376,0.41775,-0.00397694,0.027,0.08,0.003,-0.003,0,-0.003,459,-0.000527859
20:10:32:834499,0.417738,-0.00458802,0.065,0.072,-0.106,-0.003,0,-0.001,459,-0.000527859
20:10:32:839531,0.417729,-0.00509769,0.079,0.078,-0.186,-0.003,0,-0.001,459,-0.000527859
20:10:32:844663,0.417764,-0.00550827,0.069,0.098,-0.261,-0.002,-0.001,-0.003,460,-0.000469208
20:10:32:849657,0.417756,-0.00581981,0.03,0.107,-0.195,-0.002,-0.001,0,461,-0.000410557
20:10:32:854784,0.417751,-0.00603172,0.009,0.106,-0.086,-0.002,0,0.007,461,-0.000410557
20:10:32:859746,0.417747,-0.00617389,0.015,0.101,0.031,-0.001,0.002,0.014,469,5.8651e-05
20:10:32:864885,0.417742,-0.00639956,0.033,0.086,0.008,0,0.003,0.013,479,0.000645161
20:10:32:869884,0.417733,-0.00672486,0.006,-0.012,-0.144,0.002,0.002,0.012,479,0.000645161
20:10:32:875050,0.417762,-0.00715214,-0.096,-0.199,-0.235,0,0,0.016,491,0.00134897
20:10:32:880030,0.417748,-0.00767719,-0.362,-0.835,-0.253,-0.019,-0.008,0.014,500,0.00187683
20:10:32:884998,0.417725,-0.00830216,-0.523,-1.547,-0.198,-0.043,-0.015,-0.01,500,0.00187683
20:10:32:890140,0.417745,-0.00902941,-0.489,-2.833,-0.062,-0.085,-0.02,-0.082,504,0.00211144
20:10:32:895242,0.417755,-0.00985465,-0.175,-3.53,0.064,-0.106,-0.017,-0.129,504,0.00211144
20:10:32:900272,0.41776,-0.01078,0.683,-3.807,0.269,-0.111,0.007,-0.152,503,0.00205279
20:10:32:905398,0.417755,-0.0118071,1.303,-3.403,0.312,-0.096,0.037,-0.129,497,0.00170088
20:10:32:910420,0.417742,-0.0129317,1.753,-2.306,0.044,-0.063,0.083,-0.071,497,0.00170088
20:10:32:915525,0.417758,-0.0141577,1.495,-1.595,-0.321,-0.047,0.092,-0.045,484,0.000938416
20:10:32:920514,0.417763,-0.015483,0.367,-0.834,-0.787,-0.047,0.052,-0.033,470,0.000117302
20:10:32:925464,0.417755,-0.0169081,-0.514,-0.389,-0.827,-0.058,-0.004,-0.02,470,0.000117302
20:10:32:930670,0.41773,-0.0184333,-1.331,0.576,-0.48,-0.056,-0.084,0.033,459,-0.000527859
20:10:32:935761,0.41773,-0.0200585,-1.309,1.855,-0.1,-0.008,-0.103,0.093,452,-0.000938416
20:10:32:940778,0.417756,-0.0217852,-1.061,2.54,-0.052,0.036,-0.08,0.104,452,-0.000938416
20:10:32:945769,0.417758,-0.0236104,-0.768,2.84,-0.237,0.075,-0.026,0.079,453,-0.000879765
20:10:32:950896,0.417735,-0.0255342,-0.659,2.559,-0.331,0.07,0.002,0.062,453,-0.000879765
20:10:32:955995,0.41773,-0.027559,-0.407,1.794,-0.148,0.038,0.022,0.06,465,-0.000175953
20:10:32:961042,0.417736,-0.0296863,-0.131,1.211,0.151,0.023,0.024,0.058,483,0.000879765
