Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
22:17:42:244368,0.41774,0,-0.005,-0.022,-0.112,-0.003,0,-0.001,460,-0.000469208
22:17:42:249379,0.41774,0,-0.037,-0.007,-0.199,-0.003,0.001,0,460,-0.000469208
22:17:42:254366,0.41774,0,-0.062,0.02,-0.276,-0.002,0.001,0,460,-0.000469208
22:17:42:259375,0.41774,0,-0.052,0.036,-0.269,-0.001,0.001,0.001,459,-0.000527859
22:17:42:264672,0.41774,0,0.003,0.038,-0.277,0,0,0.001,460,-0.000469208
22:17:42:269621,0.41774,0,0.073,0.03,-0.357,0,0,0.002,460,-0.000469208
22:17:42:274735,0.41774,0.000154531,0.092,0.043,-0.365,0,0.001,0.003,459,-0.000527859
22:17:42:279789,0.41774,0.00025517,0.046,0.103,-0.195,0.001,0.001,0.001,460,-0.000469208
22:17:42:284886,0.417739,0.000392132,-0.016,0.14,-0.013,0,0,0,460,-0.000469208
22:17:42:289868,0.417739,0.000570938,-0.093,0.134,0.167,0,0,-0.001,459,-0.000527859
22:17:42:295068,0.417739,0.000797028,-0.104,0.093,0.173,0,0,-0.001,459,-0.000527859
22:17:42:300006,0.417738,0.00107555,-0.067,0.043,0.074,0,0,-0.001,459,-0.000527859
22:17:42:305009,0.417735,0.00141155,-0.026,0.043,-0.004,-0.001,0,-0.001,459,-0.000527859
22:17:42:310161,0.417732,0.00180959,0.036,0.062,-0.077,-0.002,0.001,-0.001,459,-0.000527859
22:17:42:315277,0.41773,0.00227367,0.07,0.059,-0.067,-0.003,0.001,-0.001,459,-0.000527859
22:17:42:320228,0.417767,0.00280739,0.09,0.038,0.05,-0.002,0.002,0,459,-0.000527859
22:17:42:325356,0.417758,0.00341306,0.079,0.033,0.152,0,0.001,0.001,459,-0.000527859
22:17:42:330404,0.417749,0.00409334,0.05,0.035,0.216,0,0,-0.004,459,-0.000527859
22:17:42:335490,0.417735,0.00485058,0.044,0.026,0.176,-0.001,0,-0.012,459,-0.000527859
22:17:42:340506,0.41776,0.00568653,0.069,0.022,0.075,-0.005,-0.001,-0.02,459,-0.000527859
22:17:42:345653,0.417735,0.00660168,0.111,0.131,0.021,-0.004,0,-0.011,459,-0.000527859
22:17:42:350654,0.41775,0.00759615,0.123,0.29,0.014,0.003,0.001,0.001,459,-0.000527859
22:17:42:355814,0.417758,0.00866888,0.087,0.593,0.028,0.019,0.005,0.021,459,-0.000527859
22:17:42:360755,0.417756,0.00981777,0.038,0.781,0.051,0.027,0.006,0.026,459,-0.000527859
22:17:42:365779,0.417748,0.01104,-0.012,0.996,0.076,0.03,0.003,0.02,459,-0.000527859
22:17:42:370873,0.417728,0.0123314,-0.005,1.115,0.068,0.031,0,0.011,459,-0.000527859
22:17:42:376005,0.417741,0.0136902,0.042,1.347,0.038,0.035,-0.005,0.006,459,-0.000527859
22:17:42:381002,0.417744,0.0151106,0.056,1.577,0.032,0.042,-0.004,0.016,459,-0.000527859
22:17:42:385979,0.417736,0.0165862,0.01,1.994,-0.001,0.057,0,0.043,459,-0.000527859
22:17:42:391119,0.417755,0.0181125,-0.049,2.243,-0.095,0.07,0.004,0.055,459,-0.000527859
22:17:42:396244,0.417763,0.0196787,-0.135,2.483,-0.312,0.087,0.007,0.057,459,-0.000527859
22:17:42:401224,0.417758,0.0212741,-0.173,2.574,-0.385,0.096,0.004,0.057,459,-0.000527859
22:17:42:406361,0.417739,0.0228873,-0.21,2.682,-0.219,0.102,-0.007,0.062,459,-0.000527859
22:17:42:411386,0.417754,0.0245076,-0.228,2.732,0.016,0.101,-0.018,0.061,459,-0.000527859
22:17:42:416362,0.41776,0.0261167,-0.229,2.716,0.269,0.095,-0.027,0.048,459,-0.000527859
22:17:42:421381,0.417757,0.0276965,-0.204,2.646,0.261,0.089,-0.025,0.041,459,-0.000527859
22:17:42:426529,0.417752,0.0292276,-0.155,2.502,0.054,0.08,-0.011,0.046,459,-0.000527859
22:17:42:431609,0.417743,0.0306874,-0.148,2.337,-0.116,0.072,0,0.053,459,-0.000527859
22:17:42:436523,0.417739,0.0320599,-0.167,2.218,-0.117,0.066,0.002,0.049,459,-0.000527859
22:17:42:441773,0.417738,0.0333376,-0.162,2.065,-0.01,0.06,0,0.037,460,-0.000469208
22:17:42:446863,0.417747,0.0345187,-0.105,1.993,0.037,0.059,0,0.034,460,-0.000469208
22:17:42:451879,0.417763,0.0356027,0.035,1.881,0.017,0.06,0.002,0.034,460,-0.000469208
22:17:42:457028,0.417748,0.0365861,0.147,1.78,0.013,0.061,0.005,0.032,459,-0.000527859
22:17:42:462014,0.417741,0.0374712,0.35,1.629,0.13,0.06,0.012,0.026,459,-0.000527859
22:17:42:467120,0.417749,0.0382587,0.492,1.556,0.224,0.061,0.018,0.023,460,-0.000469208
22:17:42:472165,0.417726,0.0389442,0.551,1.424,0.171,0.063,0.024,0.022,461,-0.000410557
22:17:42:477281,0.417761,0.0395361,0.376,1.246,-0.001,0.058,0.022,0.021,461,-0.000410557
22:17:42:482228,0.417767,0.040026,-0.188,0.773,-0.227,0.031,0.009,0.017,461,-0.000410557
22:17:42:487279,0.417745,0.0404138,-0.597,0.346,-0.257,0,-0.005,0.013,461,-0.000410557
22:17:42:492359,0.417741,0.0407027,-0.909,-0.303,-0.221,-0.048,-0.025,0.004,461,-0.000410557
22:17:42:497395,0.417751,0.0408961,-0.814,-0.623,-0.234,-0.062,-0.035,-0.002,460,-0.000469208
22:17:42:502533,0.417737,0.0409847,-0.294,-0.835,-0.263,-0.043,-0.038,-0.013,460,-0.000469208
22:17:42:507510,0.417738,0.0409766,0.14,-0.9,-0.214,-0.022,-0.029,-0.023,461,-0.000410557
22:17:42:512627,0.417755,0.0408721,0.577,-1.248,-0.103,-0.021,0.003,-0.037,461,-0.000410557
22:17:42:517677,0.417746,0.0406623,0.517,-2.086,-0.175,-0.074,0.042,-0.046,461,-0.000410557
22:17:42:522671,0.417754,0.0403558,0.27,-2.728,-0.324,-0.116,0.057,-0.051,461,-0.000410557
22:17:42:527791,0.417734,0.0399463,-0.037,-3.322,-0.434,-0.144,0.044,-0.063,460,-0.000469208
22:17:42:532924,0.417731,0.0394391,-0.015,-3.356,-0.308,-0.131,0.017,-0.072,460,-0.000469208
22:17:42:537900,0.417744,0.0388335,0.312,-3.13,0.073,-0.093,-0.019,-0.084,460,-0.000469208
22:17:42:543026,0.417726,0.0381254,0.494,-3.063,0.25,-0.079,-0.029,-0.087,460,-0.000469208
22:17:42:548020,0.417766,0.0373223,0.328,-3.324,0.092,-0.096,-0.02,-0.087,460,-0.000469208
22:17:42:553157,0.417728,0.0364127,-0.058,-3.651,-0.291,-0.125,-0.007,-0.083,461,-0.000410557
22:17:42:558142,0.41775,0.0354085,-0.592,-3.958,-0.89,-0.165,0.005,-0.074,461,-0.000410557
22:17:42:563131,0.417736,0.0343015,-0.621,-3.819,-0.991,-0.169,0.006,-0.068,460,-0.000469208
22:17:42:568247,0.41773,0.033095,-0.09,-3.029,-0.477,-0.129,0.002,-0.06,460,-0.000469208
22:17:42:573412,0.417731,0.0317894,0.418,-2.283,0.116,-0.083,0.002,-0.052,460,-0.000469208
22:17:42:578368,0.417737,0.0303842,0.87,-1.272,0.793,-0.022,0.01,-0.029,460,-0.000469208
22:17:42:583385,0.417749,0.0288795,0.786,-0.86,0.871,-0.002,0.02,-0.012,461,-0.000410557
22:17:42:588492,0.417762,0.0272751,0.187,-0.707,0.477,-0.01,0.034,-0.002,461,-0.000410557
22:17:42:593528,0.417731,0.0255677,-0.291,-0.824,0.088,-0.028,0.037,-0.006,462,-0.000351906
22:17:42:598605,0.417742,0.0237631,-0.715,-1.048,-0.266,-0.053,0.021,-0.015,462,-0.000351906
22:17:42:603605,0.417748,0.0218587,-0.601,-1.071,-0.119,-0.054,-0.009,-0.01,461,-0.000410557
22:17:42:608767,0.417747,0.0198538,-0.333,-0.99,0.153,-0.04,-0.027,-0.001,461,-0.000410557
22:17:42:613751,0.417739,0.0177489,0.007,-1.024,0.43,-0.019,-0.034,0,461,-0.000410557
22:17:42:618895,0.417757,0.0155928,0.062,-1.332,0.369,-0.024,-0.022,-0.013,462,-0.000351906
22:17:42:623908,0.41775,0.0135331,-0.055,-2.229,-0.026,-0.073,0.007,-0.046,461,-0.000410557
22:17:42:628997,0.417766,0.0115738,-0.137,-2.908,-0.313,-0.117,0.025,-0.061,461,-0.000410557
22:17:42:634016,0.417762,0.00971373,-0.117,-3.637,-0.512,-0.153,0.032,-0.065,461,-0.000410557
22:17:42:639012,0.417739,0.00795306,-0.019,-3.871,-0.462,-0.148,0.024,-0.067,461,-0.000410557
22:17:42:644111,0.417744,0.00629301,0.134,-4.115,-0.283,-0.126,0.004,-0.088,461,-0.000410557
22:17:42:649120,0.417737,0.00473267,0.162,-4.402,-0.228,-0.131,-0.008,-0.109,461,-0.000410557
22:17:42:654229,0.417759,0.0032727,0.036,-5.041,-0.313,-0.175,-0.021,-0.129,461,-0.000410557
22:17:42:659243,0.417731,0.00191226,-0.075,-5.391,-0.384,-0.208,-0.025,-0.129,460,-0.000469208
22:17:42:664417,0.417739,0.000652013,0.014,-5.326,-0.278,-0.214,-0.019,-0.118,459,-0.000527859
22:17:42:669370,0.417739,-0.000508338,0.341,-4.78,-0.054,-0.181,-0.001,-0.104,459,-0.000527859
22:17:42:674526,0.417733,-0.00156867,0.953,-3.576,0.224,-0.102,0.042,-0.076,459,-0.000527859
22:17:42:679481,0.417724,-0.00252898,1.11,-2.947,0.185,-0.062,0.069,-0.061,458,-0.00058651
22:17:42:684513,0.417759,-0.00338964,0.668,-2.719,-0.171,-0.062,0.073,-0.064,458,-0.00058651
22:17:42:689631,0.417747,-0.00415006,-0.173,-2.892,-0.343,-0.114,0.023,-0.085,457,-0.000645161
22:17:42:694745,0.417736,-0.00481047,-0.533,-2.687,-0.127,-0.136,-0.023,-0.088,457,-0.000645161
22:17:42:699732,0.417765,-0.0053713,-0.46,-1.513,0.48,-0.105,-0.066,-0.059,458,-0.00058651
22:17:42:704857,0.417755,-0.00583156,-0.131,-0.327,0.782,-0.047,-0.061,-0.026,459,-0.000527859
22:17:42:709856,0.417747,-0.00619213,0.291,1.617,0.836,0.047,-0.012,0.023,459,-0.000527859
22:17:42:714883,0.417741,-0.00645264,0.299,2.95,0.706,0.104,0.021,0.058,459,-0.000527859
22:17:42:720006,0.417735,-0.00661303,-0.168,4.977,0.515,0.192,0.043,0.121,460,-0.000469208
22:17:42:725162,0.417734,-0.00667339,-0.658,6.165,0.42,0.251,0.036,0.163,460,-0.000469208
22:17:42:730141,0.417735,-0.0066341,-1.285,7.175,0.257,0.309,0.009,0.198,460,-0.000469208
22:17:42:735127,0.417738,-0.00649474,-1.461,7.137,0.149,0.305,-0.012,0.193,460,-0.000469208
22:17:42:740265,0.417746,-0.00625575,-1.303,6.14,0.108,0.234,-0.049,0.15,460,-0.000469208
22:17:42:745280,0.417754,-0.00591625,-0.994,5.135,0.178,0.169,-0.07,0.113,459,-0.000527859
22:17:42:750393,0.417764,-0.00547706,-0.405,3.658,0.267,0.096,-0.075,0.069,459,-0.000527859
22:17:42:755372,0.417732,-0.00493725,-0.002,2.885,0.205,0.074,-0.055,0.053,460,-0.000469208
22:17:42:760507,0.417745,-0.00429836,0.527,2.067,-0.045,0.061,0,0.042,459,-0.000527859
22:17:42:765527,0.417757,-0.00355901,0.776,1.668,-0.183,0.054,0.036,0.035,459,-0.000527859
22:17:42:770601,0.417767,-0.00271979,0.904,1.185,-0.153,0.04,0.073,0.019,460,-0.000469208
22:17:42:775730,0.417732,-0.00178033,0.719,0.777,0.067,0.029,0.071,0.004,460,-0.000469208
22:17:42:780764,0.417739,-0.00089046,0.476,0.488,0.151,0.022,0.049,-0.004,460,-0.000469208
22:17:42:785727,0.41774,-0.000100545,0.075,-0.024,0.023,0.002,-0.001,-0.019,459,-0.000527859
22:17:42:790873,0.417739,0.000589413,-0.144,-0.354,-0.175,-0.015,-0.036,-0.028,459,-0.000527859
22:17:42:795886,0.417738,0.00117939,-0.349,-0.616,-0.418,-0.034,-0.066,-0.037,458,-0.00058651
22:17:42:800912,0.417732,0.00166932,-0.395,-0.573,-0.473,-0.034,-0.065,-0.038,458,-0.00058651
22:17:42:806017,0.417731,0.00205929,-0.3,-0.237,-0.46,-0.019,-0.037,-0.031,458,-0.00058651
22:17:42:811120,0.417729,0.00234928,-0.119,0.144,-0.423,-0.004,-0.008,-0.016,459,-0.000527859
22:17:42:816133,0.417724,0.00253923,0.246,1.006,-0.251,0.017,0.029,0.019,459,-0.000527859
22:17:42:821113,0.417768,0.00262951,0.428,1.765,-0.037,0.035,0.042,0.04,459,-0.000527859
22:17:42:826115,0.417768,0.00261954,0.423,2.979,0.262,0.077,0.041,0.05,459,-0.000527859
22:17:42:831148,0.417725,0.00250929,0.236,3.712,0.334,0.117,0.027,0.056,459,-0.000527859
22:17:42:836365,0.417729,0.00229936,-0.128,4.644,0.294,0.186,0,0.093,460,-0.000469208
22:17:42:841421,0.417731,0.0019894,-0.323,5.129,0.281,0.224,-0.019,0.13,461,-0.000410557
22:17:42:846486,0.417733,0.00157945,-0.542,5.399,0.291,0.236,-0.037,0.157,461,-0.000410557
22:17:42:851509,0.417738,0.00106951,-0.712,5.078,0.221,0.207,-0.039,0.147,463,-0.000293255
22:17:42:856487,0.417739,0.000459554,-0.99,3.825,-0.015,0.132,-0.03,0.116,463,-0.000293255
22:17:42:861609,0.41774,-0.000250417,-1.004,2.183,-0.111,0.064,-0.018,0.084,463,-0.000293255
22:17:42:866618,0.417738,-0.00106035,-0.753,1.205,0.028,0.037,-0.013,0.052,462,-0.000351906
