Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
21:37:47:606976,0.41774,0,0.011,0.033,0.119,-0.002,0,-0.004,461,-0.000410557
21:37:47:611977,0.41774,0,-0.002,0.034,0.222,-0.003,0,-0.005,461,-0.000410557
21:37:47:617130,0.41774,0,0.024,-0.031,0.056,-0.003,0.001,-0.004,460,-0.000469208
21:37:47:622247,0.41774,0.000243261,0.064,-0.083,-0.122,-0.002,0.001,-0.003,460,-0.000469208
21:37:47:627205,0.417739,0.000472438,0.115,-0.124,-0.246,-0.003,0.001,-0.003,461,-0.000410557
21:37:47:632203,0.417739,0.000762182,0.119,-0.117,-0.185,-0.004,0.001,-0.003,461,-0.000410557
21:37:47:637393,0.417738,0.00110334,0.07,-0.077,-0.035,-0.004,0,-0.003,461,-0.000410557
21:37:47:642315,0.417735,0.00148651,0.018,-0.044,0.009,-0.004,0,-0.003,461,-0.000410557
21:37:47:647476,0.417732,0.00188479,-0.044,0.003,0.023,-0.003,-0.001,-0.002,461,-0.000410557
21:37:47:652496,0.417729,0.00231184,-0.051,0.031,0.056,-0.002,-0.002,-0.003,460,-0.000469208
21:37:47:657608,0.417767,0.00275403,-0.005,0.048,0.086,-0.002,-0.001,-0.005,461,-0.000410557
21:37:47:662573,0.417762,0.00320063,0.04,0.038,0.007,-0.002,0,-0.004,461,-0.000410557
21:37:47:667734,0.417756,0.0036473,0.069,0.014,-0.241,-0.001,0.002,0.002,461,-0.000410557
21:37:47:672654,0.417749,0.00408443,0.047,0.003,-0.388,0,0.003,0.006,460,-0.000469208
21:37:47:677821,0.41774,0.00451672,-0.005,-0.04,-0.47,0.002,0.002,-0.003,460,-0.000469208
21:37:47:682855,0.417732,0.0049401,-0.016,-0.11,-0.451,-0.001,0,-0.022,460,-0.000469208
21:37:47:687962,0.417768,0.00533285,0.035,-0.187,-0.337,-0.01,-0.004,-0.04,460,-0.000469208
21:37:47:692968,0.417759,0.00571207,0.108,-0.095,-0.185,-0.014,-0.005,-0.027,460,-0.000469208
21:37:47:698105,0.417751,0.00607141,0.235,0.377,0.074,-0.001,0,0.019,460,-0.000469208
21:37:47:703106,0.417742,0.00638253,0.288,1.064,0.108,0.03,0.011,0.045,460,-0.000469208
21:37:47:708553,0.417734,0.00667339,0.226,1.468,-0.044,0.051,0.016,0.036,460,-0.000469208
21:37:47:713448,0.417726,0.00693549,-0.006,1.903,-0.289,0.071,0.014,0.02,461,-0.000410557
21:37:47:718591,0.417765,0.00713679,-0.19,2.121,-0.292,0.077,0.007,0.033,461,-0.000410557
21:37:47:723634,0.41776,0.00731098,-0.379,2.349,-0.069,0.08,-0.011,0.074,461,-0.000410557
21:37:47:728591,0.417754,0.00744909,-0.423,2.361,0.074,0.081,-0.024,0.081,461,-0.000410557
21:37:47:733715,0.417752,0.0075196,-0.412,2.092,0.113,0.078,-0.035,0.046,461,-0.000410557
21:37:47:738855,0.417752,0.00756093,-0.382,1.788,0.072,0.073,-0.035,0.021,461,-0.000410557
21:37:47:743836,0.417751,0.00756255,-0.287,1.321,0.053,0.061,-0.022,0.021,461,-0.000410557
21:37:47:748827,0.417752,0.00752446,-0.157,1.021,0.071,0.049,-0.011,0.032,461,-0.000410557
21:37:47:754016,0.417754,0.00744747,0.125,0.459,0.063,0.017,0.004,0.022,461,-0.000410557
21:37:47:759100,0.41776,0.00731058,0.35,-0.321,0.007,-0.029,0.02,-0.013,461,-0.000410557
21:37:47:764073,0.417763,0.00714606,0.366,-0.886,-0.018,-0.055,0.027,-0.03,461,-0.000410557
21:37:47:769150,0.417726,0.00694602,0.214,-1.612,-0.012,-0.072,0.025,-0.041,461,-0.000410557
21:37:47:774240,0.417733,0.00671474,0.118,-1.962,0.018,-0.073,0.015,-0.049,461,-0.000410557
21:37:47:779264,0.417741,0.00645426,0.141,-2.28,0.099,-0.081,-0.003,-0.065,461,-0.000410557
21:37:47:784458,0.417747,0.00616903,0.231,-2.339,0.152,-0.09,-0.01,-0.066,460,-0.000469208
21:37:47:789334,0.417755,0.00586358,0.289,-2.178,0.148,-0.086,-0.009,-0.053,460,-0.000469208
21:37:47:794471,0.417763,0.00555244,0.244,-1.974,0.055,-0.068,-0.002,-0.045,461,-0.000410557
21:37:47:799470,0.417727,0.00523706,0.181,-1.744,-0.163,-0.046,0.009,-0.045,461,-0.000410557
21:37:47:804615,0.417732,0.0049251,0.206,-1.702,-0.271,-0.05,0.013,-0.046,460,-0.000469208
21:37:47:809611,0.417738,0.0046249,0.303,-1.662,-0.272,-0.071,0.01,-0.041,461,-0.000410557
21:37:47:814721,0.417745,0.00434455,0.339,-1.525,-0.187,-0.072,0.003,-0.033,461,-0.000410557
21:37:47:819752,0.417749,0.00409375,0.304,-1.115,-0.053,-0.046,-0.003,-0.024,461,-0.000410557
21:37:47:824898,0.41775,0.00392033,0.24,-0.79,-0.013,-0.023,-0.004,-0.02,462,-0.000351906
21:37:47:829836,0.417754,0.00378336,0.108,-0.326,-0.041,-0.006,0,-0.01,462,-0.000351906
21:37:47:834974,0.417755,0.00370066,0.005,-0.024,-0.099,-0.002,0.001,0.002,461,-0.000410557
21:37:47:840006,0.417755,0.00367866,-0.129,0.418,-0.175,0.006,0.001,0.023,461,-0.000410557
21:37:47:845080,0.417754,0.00372302,-0.165,0.632,-0.162,0.016,-0.001,0.03,461,-0.000410557
21:37:47:850107,0.417753,0.00383863,-0.118,0.681,-0.016,0.027,-0.005,0.022,461,-0.000410557
21:37:47:855214,0.417749,0.00406336,-0.024,0.39,0.149,0.026,-0.01,0,461,-0.000410557
21:37:47:860242,0.417745,0.00434779,0.015,0.066,0.17,0.018,-0.013,-0.009,460,-0.000469208
21:37:47:865207,0.417737,0.00471363,0.057,-0.506,0.047,-0.008,-0.016,-0.014,461,-0.000410557
21:37:47:870347,0.417728,0.00516333,0.118,-0.875,-0.059,-0.035,-0.013,-0.014,461,-0.000410557
21:37:47:875456,0.41776,0.00569828,0.309,-1.222,-0.143,-0.066,0.001,-0.02,461,-0.000410557
21:37:47:880458,0.417743,0.00631933,0.474,-1.239,-0.141,-0.064,0.017,-0.027,460,-0.000469208
21:37:47:885463,0.417768,0.0070278,0.665,-1.003,-0.088,-0.033,0.034,-0.038,460,-0.000469208
21:37:47:890587,0.417743,0.00782383,0.701,-0.793,-0.036,-0.015,0.034,-0.04,460,-0.000469208
21:37:47:895584,0.417757,0.0087086,0.593,-0.538,-0.01,-0.013,0.017,-0.033,460,-0.000469208
21:37:47:900711,0.417763,0.00968253,0.422,-0.386,-0.095,-0.021,0.001,-0.023,460,-0.000469208
21:37:47:905693,0.41776,0.0107731,0.078,-0.069,-0.354,-0.021,-0.014,-0.004,460,-0.000469208
21:37:47:910844,0.417749,0.011931,-0.127,0.251,-0.473,-0.008,-0.018,0.007,460,-0.000469208
21:37:47:915827,0.417726,0.0131774,-0.212,0.939,-0.358,0.019,-0.017,0.022,460,-0.000469208
21:37:47:920962,0.417737,0.0145136,-0.084,1.515,-0.144,0.041,-0.013,0.029,460,-0.000469208
21:37:47:925997,0.417733,0.0159363,0.193,2.37,0.067,0.08,-0.004,0.037,460,-0.000469208
21:37:47:931089,0.417761,0.0174453,0.256,2.773,0.039,0.107,0,0.043,460,-0.000469208
21:37:47:936090,0.417727,0.0190304,0.076,2.973,-0.131,0.131,0,0.055,460,-0.000469208
21:37:47:941211,0.417766,0.0206879,-0.164,2.853,-0.231,0.118,-0.012,0.066,460,-0.000469208
21:37:47:946215,0.417742,0.0223969,-0.189,2.777,-0.225,0.098,-0.021,0.067,460,-0.000469208
21:37:47:951344,0.417748,0.0241444,-0.026,2.829,-0.15,0.078,-0.024,0.061,460,-0.000469208
21:37:47:956335,0.417738,0.0259041,0.097,2.958,-0.065,0.079,-0.016,0.056,460,-0.000469208
21:37:47:961280,0.417764,0.0276521,0.164,3.168,0.082,0.098,0,0.058,460,-0.000469208
21:37:47:966512,0.417736,0.0293514,0.145,3.255,0.151,0.112,0.008,0.065,460,-0.000469208
21:37:47:971603,0.417753,0.0309486,0.129,3.277,0.152,0.123,0.014,0.075,460,-0.000469208
21:37:47:976590,0.417727,0.0324757,0.145,3.227,0.111,0.119,0.014,0.076,460,-0.000469208
21:37:47:981715,0.417747,0.033914,0.162,3.061,0.094,0.104,0.006,0.065,460,-0.000469208
21:37:47:986696,0.417728,0.0352551,0.157,2.888,0.144,0.094,0,0.055,460,-0.000469208
21:37:47:991831,0.417759,0.0365045,0.176,2.578,0.262,0.084,-0.006,0.042,460,-0.000469208
21:37:47:996846,0.417756,0.0376545,0.226,2.398,0.318,0.082,-0.004,0.039,460,-0.000469208
21:37:48:1996,0.417764,0.0387075,0.291,2.245,0.327,0.079,0.005,0.04,461,-0.000410557
21:37:48:6971,0.417738,0.0396595,0.262,2.204,0.28,0.075,0.008,0.041,461,-0.000410557
21:37:48:12083,0.417727,0.0405148,0.057,2.111,0.123,0.066,0.002,0.04,462,-0.000351906
21:37:48:17096,0.417729,0.0412746,-0.26,1.862,-0.122,0.053,-0.011,0.041,461,-0.000410557
21:37:48:22225,0.417746,0.0419314,-0.439,1.6,-0.28,0.042,-0.021,0.045,461,-0.000410557
21:37:48:27249,0.417737,0.0424917,-0.481,1.133,-0.389,0.027,-0.033,0.046,461,-0.000410557
21:37:48:32348,0.417741,0.0429551,-0.299,0.826,-0.355,0.021,-0.037,0.039,462,-0.000351906
21:37:48:37333,0.417767,0.0432938,0.183,0.379,-0.252,0.02,-0.034,0.012,462,-0.000351906
21:37:48:42492,0.417764,0.0435516,0.47,-0.002,-0.254,0.017,-0.02,-0.007,462,-0.000351906
21:37:48:47571,0.417734,0.0437125,0.576,-0.916,-0.433,-0.017,0.013,-0.029,462,-0.000351906
21:37:48:52598,0.417768,0.0437817,0.432,-1.75,-0.57,-0.066,0.036,-0.038,462,-0.000351906
21:37:48:57652,0.417731,0.0437409,0.186,-2.946,-0.505,-0.145,0.046,-0.054,461,-0.000410557
21:37:48:62710,0.417755,0.0436039,0.182,-3.41,-0.229,-0.167,0.033,-0.071,461,-0.000410557
21:37:48:67740,0.417754,0.0433703,0.402,-3.497,0.227,-0.133,-0.004,-0.095,462,-0.000351906
21:37:48:72876,0.417726,0.0430312,0.492,-3.404,0.305,-0.093,-0.024,-0.102,461,-0.000410557
21:37:48:77900,0.417761,0.0426007,0.245,-3.584,-0.036,-0.081,-0.032,-0.1,461,-0.000410557
21:37:48:82987,0.417768,0.0420647,-0.091,-3.97,-0.385,-0.119,-0.024,-0.097,461,-0.000410557
21:37:48:88019,0.417746,0.0414319,-0.345,-4.482,-0.642,-0.188,-0.005,-0.095,461,-0.000410557
21:37:48:93080,0.417741,0.0406946,-0.109,-4.46,-0.489,-0.199,0.005,-0.092,461,-0.000410557
21:37:48:98207,0.417754,0.0398382,0.749,-3.799,0.101,-0.148,0.019,-0.086,461,-0.000410557
21:37:48:103194,0.417734,0.0389025,1.563,-2.878,0.588,-0.082,0.042,-0.079,461,-0.000410557
21:37:48:108207,0.417765,0.037872,1.708,-2.375,0.572,-0.062,0.061,-0.069,462,-0.000351906
21:37:48:113327,0.417767,0.0367386,1.098,-1.785,0.061,-0.061,0.074,-0.037,462,-0.000351906
21:37:48:118340,0.417735,0.0355027,0.256,-1.393,-0.343,-0.058,0.057,-0.008,462,-0.000351906
21:37:48:123463,0.417754,0.0341712,-1.108,-0.794,-0.598,-0.039,-0.012,0.025,461,-0.000410557
21:37:48:128464,0.417734,0.0327369,-1.716,-0.496,-0.467,-0.025,-0.071,0.029,461,-0.000410557
21:37:48:133585,0.417763,0.0312066,-1.803,-0.32,-0.029,-0.01,-0.128,0.006,461,-0.000410557
21:37:48:138696,0.417752,0.0295734,-1.346,-0.35,0.244,0.002,-0.124,-0.015,462,-0.000351906
21:37:48:143734,0.41774,0.0278402,-0.239,-0.581,0.406,0.016,-0.053,-0.033,462,-0.000351906
21:37:48:148703,0.417727,0.0260072,0.548,-0.913,0.322,0.003,0.016,-0.032,462,-0.000351906
21:37:48:153849,0.417755,0.0240774,1.474,-1.654,0.051,-0.061,0.108,-0.022,462,-0.000351906
21:37:48:158846,0.417732,0.0220444,1.749,-2.113,-0.102,-0.109,0.139,-0.017,462,-0.000351906
21:37:48:163966,0.417742,0.0199137,1.46,-2.388,-0.211,-0.123,0.117,-0.019,462,-0.000351906
21:37:48:169002,0.41774,0.0177249,0.858,-2.36,-0.245,-0.09,0.063,-0.027,462,-0.000351906
21:37:48:174093,0.417754,0.0156283,-0.234,-2.564,-0.303,-0.046,-0.039,-0.052,462,-0.000351906
21:37:48:179103,0.417745,0.0136298,-0.786,-3.103,-0.322,-0.062,-0.094,-0.073,461,-0.000410557
21:37:48:184302,0.417758,0.0117325,-1.03,-4.277,-0.287,-0.148,-0.116,-0.101,461,-0.000410557
21:37:48:189344,0.417752,0.00993403,-0.533,-5.112,-0.262,-0.218,-0.061,-0.117,461,-0.000410557
21:37:48:194317,0.41773,0.00823539,0.089,-5.225,-0.308,-0.22,0,-0.117,461,-0.000410557
21:37:48:199342,0.417734,0.00666246,1.085,-4.918,-0.419,-0.174,0.077,-0.109,461,-0.000410557
21:37:48:204492,0.417728,0.00516414,1.497,-4.652,-0.449,-0.146,0.097,-0.105,461,-0.000410557
21:37:48:209469,0.417754,0.00376594,1.355,-4.448,-0.405,-0.141,0.069,-0.105,461,-0.000410557
21:37:48:214572,0.417725,0.00246728,0.764,-4.416,-0.381,-0.157,0.026,-0.103,461,-0.000410557
21:37:48:219603,0.417735,0.00126889,-0.357,-4.21,-0.404,-0.17,-0.039,-0.087,460,-0.000469208
21:37:48:224736,0.41774,0.000170378,-0.84,-3.787,-0.366,-0.155,-0.066,-0.071,459,-0.000527859
21:37:48:229718,0.417739,-0.000828186,-0.753,-2.749,-0.049,-0.097,-0.068,-0.057,459,-0.000527859
21:37:48:234856,0.417732,-0.00172677,-0.253,-2.042,0.279,-0.055,-0.043,-0.06,457,-0.000645161
21:37:48:239835,0.417724,-0.00252538,0.591,-1.421,0.617,-0.025,0.018,-0.069,457,-0.000645161
21:37:48:244995,0.417762,-0.00322434,0.916,-1.317,0.63,-0.031,0.058,-0.064,458,-0.00058651
21:37:48:249943,0.417753,-0.00382299,0.936,-1.17,0.486,-0.051,0.087,-0.036,459,-0.000527859
21:37:48:255133,0.417745,-0.00432187,0.744,-0.464,0.397,-0.044,0.067,-0.003,459,-0.000527859
21:37:48:260223,0.417737,-0.00472052,0.69,0.406,0.368,-0.021,0.037,0.013,460,-0.000469208
21:37:48:265243,0.41773,-0.00501908,0.636,2.19,0.271,0.037,-0.003,0.045,460,-0.000469208
21:37:48:270230,0.417727,-0.00521803,0.407,3.6,0.179,0.099,-0.017,0.08,460,-0.000469208
21:37:48:275365,0.417769,-0.00531745,-0.416,5.715,0.085,0.225,-0.026,0.146,461,-0.000410557
