Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
21:38:16:971071,0.41774,0,-0.013,0.071,0.123,-0.002,0,-0.004,455,-0.000762463
21:38:16:976230,0.41774,0,-0.096,0.078,0.245,-0.002,0,-0.004,455,-0.000762463
21:38:16:981179,0.41774,0,-0.117,0.066,0.19,-0.003,0,-0.004,455,-0.000762463
21:38:16:986239,0.41774,0.000243261,-0.066,0.039,0.009,-0.004,0,-0.004,455,-0.000762463
21:38:16:991319,0.417739,0.000472438,-0.006,0.032,-0.067,-0.004,0,-0.004,455,-0.000762463
21:38:16:996302,0.417739,0.000762182,0.041,0.037,-0.055,-0.004,0,-0.005,455,-0.000762463
21:38:17:1427,0.417738,0.00110334,0.024,0.036,-0.031,-0.004,0,-0.005,455,-0.000762463
21:38:17:6472,0.417735,0.00148651,-0.036,0.005,-0.081,-0.004,0.001,-0.004,455,-0.000762463
21:38:17:11571,0.417732,0.00188479,-0.067,-0.024,-0.136,-0.004,0.001,-0.003,455,-0.000762463
21:38:17:16578,0.417729,0.00231184,-0.079,-0.048,-0.112,-0.006,0,-0.004,455,-0.000762463
21:38:17:21579,0.417767,0.00275403,-0.072,-0.036,-0.019,-0.006,0,-0.006,455,-0.000762463
21:38:17:26725,0.417762,0.00320063,-0.057,0.016,0.096,-0.005,0,-0.005,455,-0.000762463
21:38:17:31674,0.417756,0.0036473,-0.048,0.085,0.083,-0.001,0,0.001,455,-0.000762463
21:38:17:36826,0.417749,0.00408443,-0.047,0.112,0.047,0,0.001,0.004,453,-0.000879765
21:38:17:42009,0.41774,0.00451672,-0.05,0.075,0.043,0,0.001,-0.011,450,-0.00105572
21:38:17:46927,0.417732,0.0049401,-0.044,0.005,0.066,-0.003,0,-0.032,450,-0.00105572
21:38:17:51933,0.417768,0.00533285,0.005,-0.029,0.078,-0.009,-0.004,-0.044,444,-0.00140762
21:38:17:57095,0.417759,0.00571207,0.073,0.098,0.06,-0.01,-0.003,-0.024,438,-0.00175953
21:38:17:62176,0.417751,0.00607141,0.193,0.557,0.016,0,0.005,0.027,438,-0.00175953
21:38:17:67223,0.417742,0.00638253,0.239,0.948,-0.019,0.014,0.013,0.047,431,-0.00217009
21:38:17:72351,0.417734,0.00667339,0.172,1.448,-0.083,0.04,0.016,0.029,425,-0.00252199
21:38:17:77321,0.417726,0.00693549,0.028,1.671,-0.127,0.05,0.009,0.011,425,-0.00252199
21:38:17:82447,0.417765,0.00713679,-0.24,1.891,-0.184,0.047,-0.006,0.023,421,-0.0027566
21:38:17:87597,0.41776,0.00731098,-0.37,1.993,-0.215,0.041,-0.015,0.055,421,-0.0027566
21:38:17:92587,0.417754,0.00744909,-0.415,2.025,-0.226,0.04,-0.022,0.076,420,-0.00281525
