Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
21:38:41:181871,0.41774,0,-0.042,0.077,-0.022,-0.002,-0.001,-0.003,446,-0.00129032
21:38:41:187092,0.41774,0,0.01,0.015,-0.081,-0.003,-0.001,-0.002,446,-0.00129032
21:38:41:192022,0.41774,0,0.054,-0.013,-0.096,-0.003,-0.001,-0.002,446,-0.00129032
21:38:41:197009,0.41774,0.000243261,0.081,-0.01,-0.036,-0.004,0,-0.003,446,-0.00129032
21:38:41:202162,0.417739,0.000472438,0.056,0.025,0.047,-0.004,0.001,-0.004,446,-0.00129032
21:38:41:207156,0.417739,0.000762182,0.031,0.046,0.058,-0.004,0.001,-0.003,446,-0.00129032
21:38:41:212250,0.417738,0.00110334,0.006,0.066,0.018,-0.004,0,-0.003,446,-0.00129032
21:38:41:217269,0.417735,0.00148651,0.008,0.071,0.002,-0.003,0,-0.003,446,-0.00129032
21:38:41:222416,0.417732,0.00188479,0.044,0.066,0.031,-0.003,-0.001,-0.003,446,-0.00129032
21:38:41:227372,0.417729,0.00231184,0.083,0.058,0.058,-0.002,-0.002,-0.004,446,-0.00129032
21:38:41:232485,0.417767,0.00275403,0.13,0.057,0.056,-0.002,-0.001,-0.004,446,-0.00129032
21:38:41:237498,0.417762,0.00320063,0.138,0.077,0.028,-0.001,-0.001,-0.003,446,-0.00129032
21:38:41:242645,0.417756,0.0036473,0.117,0.135,0,0,0,0.002,445,-0.00134897
21:38:41:247651,0.417749,0.00408443,0.092,0.162,0.019,0,0.001,0.005,443,-0.00146628
21:38:41:252746,0.41774,0.00451672,0.05,0.122,0.127,0,0,-0.008,443,-0.00146628
21:38:41:257731,0.417732,0.0049401,0.033,0.044,0.228,-0.001,-0.001,-0.028,439,-0.00170088
21:38:41:262729,0.417768,0.00533285,0.076,-0.02,0.31,-0.007,-0.005,-0.045,439,-0.00170088
21:38:41:267854,0.417759,0.00571207,0.172,0.081,0.26,-0.009,-0.005,-0.029,435,-0.00193548
21:38:41:273005,0.417751,0.00607141,0.373,0.501,0.07,-0.001,0.002,0.023,431,-0.00217009
21:38:41:277979,0.417742,0.00638253,0.459,0.858,-0.022,0.011,0.011,0.047,431,-0.00217009
21:38:41:282994,0.417734,0.00667339,0.365,1.289,0.04,0.037,0.018,0.033,428,-0.00234604
21:38:41:288148,0.417726,0.00693549,0.009,1.581,0.238,0.052,0.009,0.007,428,-0.00234604
21:38:41:293127,0.417765,0.00713679,-0.236,1.786,0.272,0.054,-0.002,0.018,428,-0.00234604
21:38:41:298249,0.41776,0.00731098,-0.375,2.098,0.053,0.054,-0.016,0.065,429,-0.00228739
21:38:41:303278,0.417754,0.00744909,-0.297,2.179,-0.164,0.058,-0.021,0.077,429,-0.00228739
21:38:41:308379,0.417752,0.0075196,-0.13,1.956,-0.298,0.064,-0.024,0.046,433,-0.00205279
21:38:41:313394,0.417752,0.00756093,-0.106,1.659,-0.195,0.063,-0.024,0.019,440,-0.00164223
21:38:41:318399,0.417751,0.00756255,-0.184,1.272,0.073,0.056,-0.02,0.019,440,-0.00164223
21:38:41:323491,0.417752,0.00752446,-0.208,1.113,0.191,0.054,-0.014,0.033,450,-0.00105572
21:38:41:328494,0.417754,0.00744747,-0.088,0.871,0.197,0.055,-0.003,0.031,462,-0.000351906
21:38:41:333640,0.41776,0.00731058,0.06,0.587,0.125,0.049,0.006,0.012,462,-0.000351906
21:38:41:338743,0.417763,0.00714606,0.243,-0.074,0.007,0.021,0.021,-0.01,474,0.000351906
21:38:41:343735,0.417726,0.00694602,0.294,-0.597,-0.027,-0.004,0.028,-0.016,483,0.000879765
