Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp, magnet_pos
22:08:14:125215,0.374037,0,0.017,0.102,0.127,0.007,0,0.002,496,-0.00105572,620
22:08:14:130330,0.374037,0,0.027,0.076,0.128,0.007,0,0.002,496,-0.00105572,620
22:08:14:135356,0.374037,0,0.059,0.033,0.049,0.006,0,0.002,496,-0.00105572,620
22:08:14:140441,0.374034,0.000177133,0.064,0.015,0.017,0.005,0.001,0.002,496,-0.00105572,620
22:08:14:145463,0.374034,0.000375745,0.015,-0,0.038,0.003,0.001,0.001,496,-0.00105572,620
22:08:14:150571,0.374034,0.000642239,-0.031,-0.013,0.05,0.002,0.001,0,496,-0.00105572,620
22:08:14:155572,0.374032,0.000980786,-0.049,-0.041,0.024,0.002,0,0,496,-0.00105572,620
22:08:14:160717,0.374031,0.00138445,-0.014,-0.046,0.004,0.003,0,0,496,-0.00105572,620
22:08:14:165710,0.374074,0.00185724,0.058,-0.011,0.01,0.005,0,0.003,496,-0.00105572,620
22:08:14:170821,0.374067,0.00239189,0.082,0.034,0.027,0.006,0.002,0.004,496,-0.00105572,620
22:08:14:175821,0.374062,0.00299193,0.057,0.097,0.033,0.008,0.003,0.003,496,-0.00105572,620
22:08:14:180948,0.374052,0.0036505,0.018,0.123,0.028,0.009,0.003,0.003,496,-0.00105572,620
22:08:14:185958,0.374037,0.00437029,-0.029,0.152,0.028,0.009,0.002,0.007,498,-0.000938416,620
22:08:14:191075,0.374067,0.00514562,-0.039,0.171,0.029,0.009,0.001,0.011,498,-0.000938416,620
22:08:14:196190,0.374046,0.00597775,-0.021,0.157,-0.002,0.01,0,0.003,502,-0.000703812,620
22:08:14:201213,0.374065,0.00686079,0.021,0.05,-0.089,0.008,-0.002,-0.021,508,-0.000351906,620
22:08:14:206187,0.374034,0.00779531,0.069,-0.006,-0.132,0.004,-0.004,-0.03,508,-0.000351906,620
22:08:14:211314,0.374044,0.00877695,0.19,0.142,-0.078,0.002,0,-0.008,517,0.000175953,620
22:08:14:216326,0.374044,0.00980544,0.292,0.454,0.034,0.009,0.006,0.02,529,0.000879765,620
22:08:14:221436,0.374039,0.0108755,0.402,1.087,0.174,0.03,0.018,0.042,529,0.000879765,620
22:08:14:226465,0.374073,0.0119891,0.398,1.474,0.159,0.045,0.019,0.032,544,0.00175953,620
22:08:14:231573,0.374055,0.013137,0.254,1.892,-0.016,0.056,0.008,0.016,559,0.0026393,620
22:08:14:236558,0.37407,0.0143231,0.105,2.103,-0.146,0.057,-0.001,0.026,559,0.0026393,620
22:08:14:241694,0.374032,0.0155384,-0.101,2.379,-0.205,0.056,-0.011,0.063,573,0.00346041,620
22:08:14:246693,0.374032,0.016786,-0.187,2.509,-0.141,0.059,-0.014,0.079,573,0.00346041,620
22:08:14:251846,0.374069,0.0180622,-0.205,2.533,-0.001,0.065,-0.014,0.072,587,0.00428152,620
22:08:14:256842,0.37405,0.0193615,-0.144,2.427,0.042,0.067,-0.014,0.058,599,0.00498534,620
22:08:14:261951,0.374065,0.0206844,0.003,2.167,0.031,0.064,-0.014,0.044,599,0.00498534,620
22:08:14:266995,0.374073,0.0220282,0.078,1.99,0.035,0.059,-0.013,0.04,608,0.0055132,620
22:08:14:272117,0.374069,0.023388,0.07,1.752,0.111,0.053,-0.01,0.038,616,0.0059824,620
22:08:14:277075,0.374057,0.024764,0,1.58,0.14,0.049,-0.007,0.035,616,0.0059824,620
