Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp, magnet_pos
22:03:16:508868,0.374037,0,-0.081,0.004,0.03,0.003,0,0.001,514,0,140
22:03:16:514023,0.374037,0,-0.075,-0.004,-0.037,0.002,-0.001,0.002,514,0,140
22:03:16:519050,0.374037,0,-0.061,-0.022,-0.114,0.001,-0.002,0.002,514,0,140
22:03:16:524162,0.374034,0.000238972,-0.042,-0.05,-0.231,0.001,-0.003,0.003,514,0,140
22:03:16:529143,0.374034,0.000509755,-0.044,-0.07,-0.272,0.001,-0.003,0.002,514,0,140
22:03:16:534283,0.374034,0.000876084,-0.077,-0.1,-0.223,0,-0.002,0.001,514,0,140
22:03:16:539281,0.374031,0.00134584,-0.106,-0.113,-0.13,-0.001,-0.002,0,514,0,140
22:03:16:544282,0.374074,0.00191134,-0.125,-0.117,0.003,-0.002,-0.002,0,514,0,140
22:03:16:549407,0.374066,0.00258009,-0.115,-0.11,0.051,-0.002,-0.002,-0.001,514,0,140
22:03:16:554394,0.374055,0.00334425,-0.083,-0.092,0.067,-0.002,-0.002,-0.001,514,0,149
22:03:16:559536,0.374042,0.00421183,-0.069,-0.076,0.061,-0.001,-0.001,-0.002,514,0,160
22:03:16:564661,0.374067,0.00517471,-0.069,-0.04,0.068,0,0,-0.001,514,0,171
22:03:16:569657,0.374038,0.00624056,-0.084,-0.011,0.107,0,0,0,514,0,182
22:03:16:574766,0.374047,0.00740167,-0.11,0.009,0.191,0.002,-0.002,0.004,514,0,193
22:03:16:579785,0.374048,0.00866574,-0.115,-0.01,0.202,0.002,-0.003,0.001,514,0,205
22:03:16:584907,0.374034,0.0100242,-0.084,-0.069,0.087,0,-0.005,-0.014,515,5.8651e-05,216
22:03:16:589896,0.374054,0.0114862,-0.03,-0.06,-0.082,-0.001,-0.004,-0.026,516,0.000117302,227
22:03:16:595032,0.374058,0.0130432,-0.007,0.011,-0.145,0,-0.002,-0.021,516,0.000117302,238
22:03:16:600032,0.374046,0.014702,0.028,0.18,-0.145,0.008,0.001,-0.002,516,0.000117302,249
22:03:16:605158,0.374059,0.0164568,0.104,0.355,-0.111,0.013,0.002,0.003,516,0.000117302,260
22:03:16:610143,0.37405,0.0183134,0.357,0.913,-0.062,0.023,0.005,0,516,0.000117302,272
22:03:16:615271,0.374059,0.020266,0.572,1.595,-0.074,0.038,0.011,0.007,518,0.000234604,283
22:03:16:620271,0.374044,0.0223195,0.748,3.005,-0.226,0.089,0.028,0.058,518,0.000234604,293
22:03:16:625395,0.374044,0.024468,0.638,3.974,-0.373,0.14,0.036,0.102,518,0.000234604,304
22:03:16:630395,0.374054,0.0267191,0.082,5.016,-0.455,0.208,0.019,0.139,518,0.000234604,314
22:03:16:635519,0.374033,0.0290592,-0.429,5.287,-0.347,0.223,-0.014,0.136,518,0.000234604,322
22:03:16:640520,0.374062,0.0314925,-1.029,5.124,-0.089,0.192,-0.075,0.112,519,0.000293255,325
22:03:16:645644,0.374057,0.0339787,-1.12,4.806,-0.01,0.158,-0.095,0.101,519,0.000293255,318
22:03:16:650645,0.37407,0.0364767,-0.743,4.291,-0.116,0.129,-0.071,0.098,519,0.000293255,309
22:03:16:655645,0.374053,0.0389681,-0.316,3.958,-0.238,0.127,-0.029,0.095,519,0.000293255,299
22:03:16:660771,0.374055,0.0414635,0.177,3.38,-0.269,0.121,0.028,0.08,520,0.000351906,291
22:03:16:665898,0.374072,0.0439611,0.287,2.673,-0.03,0.095,0.047,0.055,520,0.000351906,290
22:03:16:670895,0.374065,0.0464598,0.262,2.209,0.196,0.075,0.039,0.041,521,0.000410557,299
22:03:16:676027,0.374071,0.0489535,0.351,1.68,0.426,0.056,0.017,0.028,521,0.000410557,309
22:03:16:681146,0.374052,0.0514483,0.484,1.474,0.434,0.053,0.007,0.024,523,0.000527859,320
22:03:16:686144,0.37405,0.0539426,0.47,1.312,0.291,0.054,0,0.021,525,0.000645161,331
22:03:16:691145,0.374069,0.0564302,0.224,1.245,0.199,0.053,-0.005,0.017,525,0.000645161,341
22:03:16:696144,0.374067,0.0588936,-0.081,1.211,0.192,0.046,-0.014,0.009,526,0.000703812,352
22:03:16:701291,0.374048,0.0613147,0.131,1.289,0.267,0.043,-0.008,0.005,526,0.000703812,362
22:03:16:706401,0.37406,0.0636862,1.107,1.574,0.356,0.049,0.032,0.011,526,0.000703812,372
22:03:16:711395,0.374071,0.0659954,1.726,1.803,0.303,0.056,0.072,0.027,525,0.000645161,381
22:03:16:716543,0.374072,0.0682442,1.702,2.073,0.016,0.06,0.106,0.062,524,0.00058651,385
22:03:16:721534,0.374075,0.0704303,0.915,2.187,-0.2,0.059,0.085,0.078,524,0.00058651,379
22:03:16:726536,0.37407,0.072567,-0.895,2.213,-0.286,0.061,-0.014,0.072,521,0.000410557,370
22:03:16:731659,0.374061,0.0746545,-2.009,2.067,-0.152,0.065,-0.102,0.051,521,0.000410557,360
22:03:16:736643,0.374042,0.0767139,-2.688,1.577,0.044,0.069,-0.185,0.021,518,0.000234604,350
22:03:16:741784,0.374055,0.0787625,-2.187,1.175,-0.029,0.066,-0.169,0.015,513,-5.8651e-05,340
22:03:16:746767,0.374055,0.0808011,-0.278,0.684,-0.429,0.053,-0.04,0.023,513,-5.8651e-05,332
22:03:16:751912,0.374074,0.0828606,1.659,0.4,-0.69,0.031,0.111,0.027,507,-0.000410557,339
22:03:16:756910,0.374062,0.0849489,2.154,0.262,-0.561,0.018,0.153,0.02,505,-0.000527859,349
22:03:16:762021,0.374054,0.0870932,1.382,-0.038,-0.037,0.006,0.091,-0.001,505,-0.000527859,360
22:03:16:767033,0.374047,0.0892973,0.307,-0.39,0.268,0,0.002,-0.017,504,-0.00058651,371
22:03:16:772144,0.374038,0.0915692,-0.915,-1.152,0.32,-0.018,-0.101,-0.035,504,-0.00058651,382
22:03:16:777160,0.374069,0.0939123,-1.005,-1.688,0.119,-0.037,-0.107,-0.041,503,-0.000645161,393
22:03:16:782269,0.374056,0.0962977,-0.214,-2.182,-0.174,-0.064,-0.021,-0.041,503,-0.000645161,404
22:03:16:787286,0.374044,0.0987267,0.41,-2.154,-0.182,-0.072,0.054,-0.035,503,-0.000645161,416
22:03:16:792410,0.374039,0.101185,0.649,-1.626,0.069,-0.058,0.102,-0.024,504,-0.00058651,427
22:03:16:797409,0.374043,0.103666,0.248,-1.193,0.234,-0.038,0.064,-0.02,510,-0.000234604,438
22:03:16:802520,0.374066,0.106158,-0.639,-0.953,0.198,-0.019,-0.048,-0.025,510,-0.000234604,449
22:03:16:807519,0.374056,0.108646,-1.01,-1.183,0.004,-0.028,-0.099,-0.037,524,0.00058651,460
22:03:16:812660,0.374069,0.111138,-0.934,-1.771,-0.241,-0.062,-0.081,-0.057,538,0.00140762,471
22:03:16:817659,0.374053,0.113626,-0.518,-1.971,-0.239,-0.081,-0.022,-0.064,538,0.00140762,482
22:03:16:822771,0.374058,0.116119,0.432,-1.572,-0.052,-0.084,0.056,-0.053,555,0.00240469,493
22:03:16:827785,0.374034,0.118604,1.039,-0.827,0.067,-0.064,0.071,-0.03,555,0.00240469,503
22:03:16:832910,0.374072,0.121108,1.262,0.69,0.137,-0.006,0.041,0.015,567,0.0031085,511
22:03:16:837912,0.374043,0.123592,0.425,2.12,0.119,0.049,0,0.053,577,0.00369501,517
22:03:16:843035,0.374074,0.126098,-0.236,2.796,0.082,0.071,-0.014,0.072,577,0.00369501,517
22:03:16:848037,0.374036,0.128579,-0.499,3.307,0.019,0.082,-0.014,0.09,582,0.00398827,518
22:03:16:853159,0.374059,0.131083,-0.248,3.308,-0.011,0.084,-0.01,0.092,584,0.00410557,518
22:03:16:858145,0.374059,0.133575,-0.032,2.821,-0.072,0.079,-0.013,0.079,584,0.00410557,517
22:03:16:863287,0.374034,0.136063,-0.24,2.291,-0.178,0.07,-0.017,0.063,582,0.00398827,516
22:03:16:868289,0.374067,0.138568,-0.813,1.586,-0.42,0.06,-0.022,0.041,582,0.00398827,512
22:03:16:873412,0.374036,0.141052,-1.153,1.337,-0.53,0.061,-0.026,0.034,578,0.00375367,503
22:03:16:878397,0.374062,0.143561,-1.453,1.218,-0.427,0.072,-0.044,0.032,569,0.00322581,494
22:03:16:883522,0.374067,0.146057,-1.466,1.147,-0.168,0.079,-0.064,0.031,569,0.00322581,484
22:03:16:888536,0.374049,0.148543,-1.121,0.917,0.345,0.079,-0.078,0.025,558,0.00258065,473
22:03:16:893660,0.374038,0.150979,-0.638,0.704,0.638,0.072,-0.056,0.018,550,0.00211144,463
22:03:16:898645,0.374059,0.153342,0.439,0.312,0.816,0.048,0.028,0.005,550,0.00211144,452
22:03:16:903788,0.374039,0.155587,1.258,-0.08,0.727,0.025,0.094,-0.004,547,0.00193548,442
22:03:16:908785,0.374056,0.157754,2.03,-0.98,0.388,-0.014,0.143,-0.023,547,0.00193548,432
