Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
23:22:58:761499,0.374037,0,0.024,-0.032,-0.065,-0.003,0,-0.002,512,-0.000117302
23:22:58:766468,0.374037,0,0.025,-0.021,0.025,-0.003,0,-0.004,512,-0.000117302
23:22:58:771618,0.374037,0,0.034,-0.001,0.092,-0.003,0.001,-0.004,512,-0.000117302
23:22:58:776616,0.374034,0.000177133,0.046,0.023,0.136,-0.004,0.001,-0.003,513,-5.8651e-05
23:22:58:781735,0.374034,0.000375745,0.055,0.019,0.1,-0.004,0.001,-0.003,513,-5.8651e-05
23:22:58:786740,0.374034,0.000642239,0.078,-0.022,-0.027,-0.003,0,-0.002,513,-5.8651e-05
23:22:58:791753,0.374032,0.000980786,0.095,-0.057,-0.12,-0.003,-0.001,-0.002,512,-0.000117302
23:22:58:796851,0.374031,0.00138445,0.098,-0.089,-0.2,-0.003,-0.001,-0.002,512,-0.000117302
23:22:58:801867,0.374074,0.00185724,0.083,-0.089,-0.204,-0.004,-0.001,-0.002,512,-0.000117302
23:22:58:806998,0.374067,0.00239189,0.055,-0.062,-0.175,-0.005,0,-0.002,513,-5.8651e-05
23:22:58:811995,0.374062,0.00299193,0.049,-0.033,-0.155,-0.006,0,-0.003,513,-5.8651e-05
23:22:58:817123,0.374052,0.0036505,0.058,0.016,-0.117,-0.005,0,-0.003,513,-5.8651e-05
23:22:58:822128,0.374037,0.00437029,0.064,0.047,-0.083,-0.004,0,0,513,-5.8651e-05
23:22:58:827251,0.374067,0.00514562,0.06,0.07,-0.065,-0.001,0,0.003,513,-5.8651e-05
23:22:58:832253,0.374046,0.00597775,0.057,0.054,-0.102,0,0,0,513,-5.8651e-05
23:22:58:837421,0.374065,0.00686079,0.068,-0.028,-0.187,0,-0.002,-0.022,513,-5.8651e-05
23:22:58:842351,0.374034,0.00779531,0.111,-0.098,-0.174,-0.007,-0.005,-0.035,514,0
23:22:58:847520,0.374044,0.00877695,0.162,-0.034,-0.088,-0.011,-0.003,-0.022,513,-5.8651e-05
23:22:58:852494,0.374044,0.00980544,0.278,0.369,0.071,-0.002,0.005,0.016,513,-5.8651e-05
23:22:58:857601,0.374039,0.0108755,0.358,0.836,0.146,0.017,0.013,0.033,513,-5.8651e-05
23:22:58:862606,0.374073,0.0119891,0.396,1.63,0.192,0.052,0.019,0.028,513,-5.8651e-05
23:22:58:867723,0.374055,0.013137,0.332,2.077,0.196,0.066,0.017,0.02,513,-5.8651e-05
23:22:58:872857,0.37407,0.0143231,0.127,2.542,0.179,0.072,0.008,0.033,513,-5.8651e-05
23:22:58:877848,0.374032,0.0155384,-0.037,2.771,0.145,0.078,0,0.057,513,-5.8651e-05
23:22:58:882994,0.374032,0.016786,-0.265,3.064,0.03,0.102,-0.016,0.082,513,-5.8651e-05
23:22:58:887987,0.374069,0.0180622,-0.372,3.166,-0.087,0.119,-0.029,0.082,513,-5.8651e-05
23:22:58:893120,0.37405,0.0193615,-0.395,3.028,-0.236,0.119,-0.042,0.066,513,-5.8651e-05
23:22:58:898099,0.374065,0.0206844,-0.296,2.761,-0.239,0.099,-0.039,0.053,512,-0.000117302
23:22:58:903215,0.374073,0.0220282,-0.035,2.319,-0.094,0.066,-0.021,0.04,513,-5.8651e-05
23:22:58:908237,0.374069,0.023388,0.132,2.09,-0.004,0.058,-0.005,0.037,513,-5.8651e-05
23:22:58:913343,0.374057,0.024764,0.245,1.783,-0.027,0.057,0.008,0.037,513,-5.8651e-05
23:22:58:918376,0.374032,0.0261521,0.146,1.339,-0.116,0.041,0.008,0.028,513,-5.8651e-05
