Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
23:23:21:537854,0.374037,0,0.012,0.048,-0.038,-0.003,0,-0.001,516,0.000117302
23:23:21:542859,0.374037,0,-0.001,0.03,-0.14,-0.002,0.001,0,516,0.000117302
23:23:21:547971,0.374037,0,-0.01,0.002,-0.167,-0.001,0,0,516,0.000117302
23:23:21:552974,0.374034,0.000198492,0.001,-0.043,-0.164,-0.001,0,0,516,0.000117302
23:23:21:558088,0.374034,0.000420973,0.025,-0.063,-0.145,-0.002,-0.001,-0.001,516,0.000117302
23:23:21:563102,0.374034,0.00071935,0.06,-0.067,-0.076,-0.003,-0.001,-0.002,516,0.000117302
23:23:21:568085,0.374031,0.00109825,0.07,-0.057,0.007,-0.004,-0.001,-0.003,516,0.000117302
23:23:21:573217,0.37403,0.00154987,0.06,-0.035,0.155,-0.005,0,-0.004,516,0.000117302
23:23:21:578218,0.374071,0.00207863,0.043,-0.024,0.2,-0.006,0,-0.004,516,0.000117302
23:23:21:583325,0.374065,0.00267623,0.018,-0.036,0.082,-0.006,0.001,-0.005,516,0.000117302
23:23:21:588346,0.374055,0.00334654,0.01,-0.061,-0.079,-0.006,0,-0.006,516,0.000117302
23:23:21:593486,0.374044,0.00408203,0.016,-0.083,-0.241,-0.005,0,-0.004,516,0.000117302
23:23:21:598462,0.374072,0.00488566,0.027,-0.052,-0.218,-0.004,-0.001,0,517,0.000175953
23:23:21:603578,0.374051,0.00574981,0.034,0.051,-0.07,-0.001,0,0.005,517,0.000175953
23:23:21:608491,0.374072,0.0066776,0.028,0.1,0.008,0,0,0,522,0.000469208
23:23:21:613735,0.374039,0.00766012,0.016,0.05,0.016,-0.001,-0.003,-0.026,522,0.000469208
23:23:21:618723,0.374046,0.00870097,0.043,-0.05,-0.061,-0.008,-0.005,-0.039,531,0.000997067
23:23:21:623837,0.374044,0.00979199,0.104,0.008,-0.095,-0.01,-0.003,-0.023,543,0.00170088
23:23:21:628861,0.374036,0.0109347,0.249,0.443,-0.024,-0.001,0.006,0.018,543,0.00170088
23:23:21:633966,0.374065,0.0121235,0.344,0.917,0.09,0.015,0.014,0.034,557,0.00252199
23:23:21:638961,0.37404,0.0133563,0.392,1.656,0.182,0.042,0.017,0.024,570,0.00328446
23:23:21:644093,0.37405,0.0146297,0.318,2.064,0.11,0.053,0.011,0.018,570,0.00328446
23:23:21:649081,0.374052,0.0159424,0.048,2.523,-0.07,0.057,-0.003,0.04,584,0.00410557
23:23:21:654074,0.37404,0.0172878,-0.181,2.738,-0.092,0.056,-0.012,0.066,597,0.00486804
23:23:21:659215,0.374065,0.0186682,-0.432,2.884,0.054,0.057,-0.018,0.085,597,0.00486804
23:23:21:664342,0.374033,0.0200735,-0.455,2.846,0.148,0.059,-0.019,0.077,607,0.00545455
23:23:21:669322,0.374034,0.0215074,-0.281,2.657,0.129,0.061,-0.018,0.05,607,0.00545455
23:23:21:674342,0.374067,0.0229659,-0.107,2.504,0.045,0.062,-0.018,0.038,615,0.00592375
23:23:21:679449,0.374046,0.0244422,0.085,2.253,-0.072,0.06,-0.015,0.035,619,0.00615836
23:23:21:684471,0.374056,0.0259371,0.125,2.048,-0.131,0.057,-0.013,0.039,619,0.00615836
23:23:21:689473,0.374057,0.0274473,0.058,1.71,-0.211,0.052,-0.011,0.039,619,0.00615836
23:23:21:694593,0.374045,0.0289676,-0.028,1.518,-0.261,0.05,-0.01,0.034,619,0.00615836
23:23:21:699629,0.374066,0.0305007,-0.102,1.327,-0.332,0.047,-0.005,0.025,619,0.00615836
23:23:21:704731,0.374031,0.0320357,0,1.19,-0.374,0.046,0.003,0.022,616,0.0059824
23:23:21:709713,0.374073,0.0335822,0.159,1.093,-0.33,0.047,0.008,0.02,616,0.0059824
23:23:21:714855,0.374062,0.0351263,0.418,0.967,-0.124,0.052,0.01,0.01,614,0.0058651
23:23:21:719850,0.374039,0.0366697,0.528,0.933,0.041,0.056,0.009,0.003,613,0.00580645
23:23:21:724958,0.374049,0.0382139,0.523,0.961,0.178,0.058,0.011,0.003,613,0.00580645
23:23:21:729964,0.374051,0.0397551,0.406,0.991,0.181,0.052,0.014,0.007,613,0.00580645
23:23:21:735106,0.374041,0.0412889,0.132,0.97,0.153,0.031,0.014,0.014,613,0.00580645
23:23:21:740103,0.374069,0.0428212,-0.04,0.9,0.163,0.014,0.008,0.016,613,0.00580645
23:23:21:745231,0.374043,0.0443413,-0.132,0.793,0.217,0.001,-0.005,0.015,613,0.00580645
23:23:21:750216,0.374053,0.0458561,0,0.807,0.262,0.003,-0.01,0.014,612,0.0057478
23:23:21:755336,0.374054,0.0473604,0.525,1.028,0.354,0.016,0.006,0.015,612,0.0057478
23:23:21:760351,0.37405,0.0488507,0.962,1.236,0.419,0.022,0.032,0.02,611,0.00568915
23:23:21:765475,0.374035,0.0503338,1.274,1.379,0.421,0.024,0.068,0.027,611,0.00568915
23:23:21:770457,0.37406,0.0518091,1.017,1.271,0.284,0.022,0.071,0.027,608,0.0055132
23:23:21:775586,0.374032,0.0532637,0.047,0.931,-0.089,0.017,0.036,0.02,604,0.00527859
23:23:21:780590,0.374043,0.0547147,-0.621,0.766,-0.319,0.013,-0.001,0.016,604,0.00527859
23:23:21:785701,0.374049,0.0561516,-1.075,0.777,-0.439,0.012,-0.049,0.015,599,0.00498534
23:23:21:790718,0.374046,0.0575739,-0.886,0.867,-0.38,0.019,-0.069,0.013,593,0.00463343
23:23:21:795842,0.37404,0.0589826,-0.682,0.767,-0.382,0.023,-0.068,0.008,593,0.00463343
23:23:21:800832,0.374076,0.060385,-0.514,0.326,-0.503,0.013,-0.056,-0.003,586,0.00422287
23:23:21:805844,0.374056,0.0617686,-0.411,-0.027,-0.601,0,-0.042,-0.009,580,0.00387097
23:23:21:810963,0.374036,0.0631353,-0.042,-0.406,-0.716,-0.014,-0.01,-0.012,580,0.00387097
23:23:21:815961,0.374056,0.0644954,0.314,-0.521,-0.789,-0.017,0.015,-0.012,573,0.00346041
23:23:21:821082,0.37407,0.0658413,0.701,-0.539,-0.859,-0.016,0.042,-0.013,573,0.00346041
23:23:21:826214,0.374035,0.0671688,0.739,-0.471,-0.801,-0.016,0.042,-0.014,567,0.0031085
23:23:21:831211,0.374043,0.0684871,0.595,-0.272,-0.496,-0.015,0.02,-0.013,559,0.0026393
23:23:21:836354,0.374047,0.0697913,0.516,-0.1,-0.234,-0.012,0.002,-0.009,559,0.0026393
23:23:21:841354,0.374047,0.0710815,0.441,0.124,0.012,-0.006,-0.011,-0.002,554,0.00234604
23:23:21:846340,0.374046,0.072358,0.289,0.189,0.005,-0.003,-0.014,-0.001,550,0.00211144
23:23:21:851455,0.374042,0.0736203,-0.189,0.065,-0.225,-0.007,-0.018,-0.006,550,0.00211144
23:23:21:856484,0.374034,0.0748686,-0.532,-0.151,-0.441,-0.017,-0.024,-0.011,547,0.00193548
23:23:21:861619,0.374069,0.0761122,-0.709,-0.489,-0.647,-0.031,-0.029,-0.017,547,0.00193548
23:23:21:866719,0.374056,0.0773324,-0.345,-0.578,-0.493,-0.031,-0.023,-0.016,547,0.00193548
23:23:21:871738,0.374043,0.078539,0.067,-0.472,-0.202,-0.025,-0.009,-0.012,547,0.00193548
23:23:21:876728,0.374072,0.0797409,0.591,-0.22,0.217,-0.017,0.025,-0.005,547,0.00193548
23:23:21:881840,0.374059,0.0809203,0.714,-0.059,0.32,-0.015,0.048,0.001,546,0.00187683
23:23:21:886835,0.37404,0.0820845,0.492,0.18,0.239,-0.012,0.058,0.01,544,0.00175953
23:23:21:891970,0.374066,0.0832452,0.166,0.337,0.183,-0.008,0.043,0.014,544,0.00175953
23:23:21:896979,0.374047,0.0843859,-0.34,0.425,0.233,-0.003,0.001,0.008,544,0.00175953
23:23:21:902106,0.374073,0.0855191,-0.585,0.29,0.275,-0.005,-0.025,-0.001,544,0.00175953
23:23:21:907090,0.37405,0.086631,-0.714,-0.183,0.164,-0.017,-0.049,-0.017,544,0.00175953
23:23:21:912233,0.37403,0.0877299,-0.605,-0.548,-0.019,-0.026,-0.053,-0.023,543,0.00170088
23:23:21:917217,0.374054,0.0888251,-0.163,-0.908,-0.279,-0.034,-0.037,-0.023,543,0.00170088
23:23:21:922328,0.374034,0.0898998,0.218,-0.948,-0.35,-0.036,-0.009,-0.02,543,0.00170088
23:23:21:927365,0.374055,0.0909705,0.665,-0.758,-0.322,-0.034,0.042,-0.015,542,0.00164223
23:23:21:932487,0.374035,0.0920209,0.765,-0.571,-0.303,-0.03,0.065,-0.013,542,0.00164223
23:23:21:937458,0.374055,0.0930713,0.584,-0.38,-0.367,-0.024,0.055,-0.013,541,0.00158358
23:23:21:942580,0.374035,0.0940973,0.299,-0.345,-0.42,-0.022,0.024,-0.014,540,0.00152493
23:23:21:947635,0.374056,0.0951237,-0.194,-0.382,-0.378,-0.025,-0.028,-0.017,540,0.00152493
23:23:21:952725,0.374036,0.0961292,-0.525,-0.455,-0.251,-0.028,-0.056,-0.017,540,0.00152493
23:23:21:957704,0.374055,0.0971387,-0.574,-0.502,-0.248,-0.027,-0.058,-0.014,540,0.00152493
23:23:21:962869,0.374036,0.0981235,-0.444,-0.529,-0.397,-0.021,-0.046,-0.011,540,0.00152493
23:23:21:967848,0.374057,0.0991128,-0.299,-0.502,-0.467,-0.017,-0.031,-0.01,540,0.00152493
23:23:21:972842,0.374035,0.10008,-0.064,-0.44,-0.293,-0.019,0,-0.011,540,0.00152493
23:23:21:977996,0.374057,0.101049,0.092,-0.433,-0.01,-0.026,0.022,-0.011,540,0.00152493
23:23:21:982981,0.374035,0.101999,0.281,-0.476,0.384,-0.035,0.04,-0.011,540,0.00152493
23:23:21:988109,0.374056,0.102955,0.338,-0.485,0.471,-0.033,0.037,-0.012,540,0.00152493
23:23:21:993094,0.374032,0.103887,0.328,-0.378,0.354,-0.018,0.016,-0.013,540,0.00152493
23:23:21:998216,0.374052,0.104826,0.295,-0.225,0.255,-0.008,0.005,-0.01,539,0.00146628
23:23:22:3226,0.374074,0.105754,0.249,0.046,0.27,0,0.008,-0.001,539,0.00146628
23:23:22:8355,0.374052,0.106663,0.226,0.195,0.368,0.004,0.018,0.003,539,0.00146628
23:23:22:13357,0.374072,0.107574,0.167,0.289,0.5,0.014,0.027,0.004,539,0.00146628
23:23:22:18462,0.374053,0.108466,0.055,0.235,0.537,0.017,0.022,0.003,539,0.00146628
23:23:22:23473,0.374031,0.109351,-0.25,0.008,0.524,0.006,0.002,-0.001,537,0.00134897
23:23:22:28598,0.374057,0.110236,-0.439,-0.156,0.455,-0.008,-0.01,-0.004,537,0.00134897
23:23:22:33596,0.374042,0.111097,-0.439,-0.274,0.249,-0.023,-0.019,-0.004,537,0.00134897
23:23:22:38710,0.37407,0.111965,-0.125,-0.255,0.062,-0.019,-0.018,-0.003,537,0.00134897
23:23:22:43729,0.374059,0.112802,0.077,-0.269,0.051,-0.013,-0.014,-0.008,537,0.00134897
23:23:22:48854,0.37405,0.113633,0.22,-0.41,0.166,-0.012,-0.002,-0.02,536,0.00129032
23:23:22:53858,0.374047,0.114447,0.233,-0.544,0.202,-0.017,0.01,-0.025,536,0.00129032
23:23:22:58975,0.374051,0.115244,0.13,-0.697,0.041,-0.031,0.023,-0.022,536,0.00129032
23:23:22:63968,0.374058,0.116027,-0.034,-0.727,-0.171,-0.038,0.018,-0.017,536,0.00129032
23:23:22:69075,0.374073,0.116793,-0.232,-0.624,-0.471,-0.037,-0.004,-0.013,536,0.00129032
23:23:22:74084,0.374055,0.117526,-0.172,-0.473,-0.586,-0.027,-0.018,-0.01,537,0.00134897
23:23:22:79224,0.374044,0.118241,0.135,-0.259,-0.61,-0.01,-0.024,-0.006,536,0.00129032
23:23:22:84212,0.374044,0.11893,0.27,-0.206,-0.533,-0.006,-0.02,-0.006,536,0.00129032
23:23:22:89339,0.374059,0.119599,0.181,-0.245,-0.32,-0.011,-0.008,-0.009,536,0.00129032
23:23:22:94355,0.374039,0.120229,0.024,-0.282,-0.18,-0.014,0.001,-0.009,536,0.00129032
23:23:22:99467,0.374036,0.120829,-0.176,-0.291,-0.108,-0.017,0.014,-0.003,536,0.00129032
23:23:22:104472,0.37405,0.121399,-0.258,-0.277,-0.167,-0.017,0.015,0,535,0.00123167
23:23:22:109594,0.374039,0.121926,-0.231,-0.222,-0.287,-0.014,0.003,-0.001,535,0.00123167
23:23:22:114587,0.374047,0.122418,-0.067,-0.163,-0.288,-0.009,-0.006,-0.002,534,0.00117302
23:23:22:119601,0.374032,0.122862,0.261,-0.132,-0.124,-0.004,-0.009,-0.004,534,0.00117302
23:23:22:124744,0.374039,0.123266,0.38,-0.292,0.102,-0.006,-0.002,-0.011,534,0.00117302
23:23:22:129702,0.374072,0.12363,0.296,-0.478,0.175,-0.012,0.005,-0.018,532,0.00105572
23:23:22:134842,0.374047,0.123922,0.024,-0.721,0.077,-0.023,0.016,-0.021,532,0.00105572
23:23:22:139733,0.374047,0.124169,-0.209,-0.783,-0.088,-0.032,0.019,-0.014,532,0.00105572
23:23:22:144961,0.374036,0.124352,-0.502,-0.678,-0.303,-0.039,0.009,0,531,0.000997067
23:23:22:149998,0.374056,0.124485,-0.509,-0.503,-0.316,-0.034,-0.002,0.005,530,0.000938416
23:23:22:155108,0.374067,0.124549,-0.185,-0.268,-0.111,-0.016,-0.015,0,530,0.000938416
23:23:22:160093,0.374067,0.12455,0.063,-0.265,0.077,-0.007,-0.017,-0.01,527,0.000762463
23:23:22:165214,0.374064,0.124472,0.167,-0.52,0.213,-0.011,-0.013,-0.023,527,0.000762463
23:23:22:170202,0.374054,0.124322,0.093,-0.728,0.154,-0.02,-0.009,-0.024,522,0.000469208
23:23:22:175217,0.374043,0.124091,0.004,-0.896,-0.047,-0.031,0.002,-0.015,519,0.000293255
