Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
23:24:15:343948,0.374037,0,-0.035,0.096,0.091,0.005,-0.001,0,513,-5.8651e-05
23:24:15:348951,0.374037,0,-0.05,0.092,0.078,0.004,-0.002,0,513,-5.8651e-05
23:24:15:354055,0.374037,0,-0.077,0.08,0.06,0.003,-0.004,0,513,-5.8651e-05
23:24:15:359089,0.374034,0.000238972,-0.082,0.063,0.049,0.002,-0.004,0,513,-5.8651e-05
23:24:15:364207,0.374034,0.000509755,-0.057,0.017,0.06,0.002,-0.004,0,513,-5.8651e-05
23:24:15:369216,0.374034,0.000876084,-0.034,-0.017,0.087,0.001,-0.003,0,513,-5.8651e-05
23:24:15:374186,0.374031,0.00134584,-0.03,-0.061,0.095,0,-0.003,0,513,-5.8651e-05
23:24:15:379348,0.374074,0.00191134,-0.05,-0.086,0.041,0,-0.003,0,513,-5.8651e-05
23:24:15:384448,0.374066,0.00258009,-0.074,-0.123,-0.082,0,-0.003,0,513,-5.8651e-05
23:24:15:389461,0.374055,0.00334425,-0.065,-0.139,-0.13,0,-0.002,0,513,-5.8651e-05
23:24:15:394462,0.374042,0.00421183,-0.019,-0.122,-0.074,0,-0.001,-0.002,513,-5.8651e-05
23:24:15:399572,0.374067,0.00517471,0.01,-0.05,0.129,-0.001,-0.001,-0.003,513,-5.8651e-05
23:24:15:404700,0.374038,0.00624056,-0.005,0.003,0.309,-0.001,-0.001,-0.002,513,-5.8651e-05
23:24:15:409717,0.374047,0.00740167,-0.072,0.043,0.506,0,-0.002,0,514,0
23:24:15:414850,0.374048,0.00866574,-0.111,0.035,0.51,0,-0.003,-0.002,515,5.8651e-05
23:24:15:419824,0.374034,0.0100242,-0.119,0.019,0.354,0,-0.005,-0.019,515,5.8651e-05
23:24:15:424950,0.374054,0.0114862,-0.103,0.041,0.25,0.001,-0.005,-0.03,516,0.000117302
23:24:15:429943,0.374058,0.0130432,-0.092,0.115,0.202,0.002,-0.005,-0.025,516,0.000117302
