Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
18:05:44:110897,0.374037,0,0.701,4.773,-0.637,0.502,0.05,0.124,508,-0.000351906
18:05:44:116042,0.374037,0,0.761,4.747,-0.596,0.502,0.05,0.122,508,-0.000351906
18:05:44:121050,0.374037,0,0.842,4.719,-0.529,0.502,0.05,0.122,508,-0.000351906
18:05:44:126154,0.374034,0.000279029,0.857,4.72,-0.53,0.502,0.049,0.123,508,-0.000351906
18:05:44:131154,0.374034,0.0005604,0.837,4.744,-0.59,0.503,0.049,0.124,508,-0.000351906
18:05:44:136277,0.374033,0.000951487,0.826,4.754,-0.629,0.503,0.049,0.124,508,-0.000351906
18:05:44:141276,0.37403,0.00143549,0.837,4.739,-0.635,0.502,0.049,0.123,508,-0.000351906
18:05:44:146382,0.374073,0.00201748,0.851,4.719,-0.589,0.501,0.05,0.123,508,-0.000351906
18:05:44:151396,0.374065,0.00270652,0.852,4.705,-0.459,0.5,0.05,0.122,508,-0.000351906
18:05:44:156530,0.374053,0.00348845,0.841,4.709,-0.381,0.499,0.05,0.12,508,-0.000351906
18:05:44:161635,0.374037,0.0043703,0.826,4.721,-0.379,0.498,0.049,0.118,509,-0.000293255
18:05:44:166648,0.37406,0.00535755,0.824,4.741,-0.447,0.499,0.049,0.12,509,-0.000293255
18:05:44:171672,0.374032,0.00643684,0.833,4.817,-0.536,0.502,0.049,0.13,513,-5.8651e-05
18:05:44:176774,0.374041,0.00761906,0.851,4.882,-0.564,0.507,0.05,0.131,513,-5.8651e-05
18:05:44:181784,0.374037,0.00890338,0.86,4.838,-0.6,0.509,0.049,0.117,523,0.000527859
18:05:44:186913,0.374069,0.0102817,0.864,4.658,-0.666,0.504,0.045,0.085,536,0.00129032
18:05:44:191901,0.37404,0.0117627,0.873,4.603,-0.633,0.498,0.043,0.081,536,0.00129032
18:05:44:196920,0.37404,0.0133447,0.955,4.882,-0.442,0.494,0.048,0.116,553,0.00228739
18:05:44:202030,0.37407,0.0150205,1.077,5.325,-0.345,0.504,0.056,0.146,572,0.00340176
18:05:44:207154,0.374031,0.0168001,1.289,6.179,-0.441,0.535,0.07,0.158,572,0.00340176
18:05:44:212147,0.374064,0.0186809,1.345,6.757,-0.613,0.556,0.073,0.15,593,0.00463343
18:05:44:217293,0.374071,0.0206526,1.16,7.536,-0.778,0.574,0.064,0.162,615,0.00592375
18:05:44:222283,0.374047,0.0227314,0.876,7.933,-0.775,0.575,0.052,0.191,615,0.00592375
18:05:44:227295,0.37404,0.0249053,0.421,8.219,-0.736,0.571,0.034,0.227,636,0.00715543
18:05:44:232413,0.374046,0.0271722,0.247,8.203,-0.743,0.57,0.024,0.223,636,0.00715543
18:05:44:237409,0.374058,0.0295486,0.325,8.051,-0.702,0.575,0.014,0.19,655,0.00826979
18:05:44:242768,0.374034,0.0320081,0.717,7.959,-0.484,0.584,0.013,0.172,670,0.00914956
18:05:44:247525,0.374068,0.0345069,0.972,7.939,-0.323,0.586,0.018,0.175,670,0.00914956
18:05:44:252653,0.374073,0.0370037,1.075,7.897,-0.269,0.585,0.024,0.183,683,0.00991202
18:05:44:257655,0.374051,0.0394975,0.877,7.725,-0.461,0.579,0.032,0.185,690,0.0103226
18:05:44:262782,0.374047,0.0419931,0.554,7.445,-0.729,0.576,0.039,0.178,690,0.0103226
18:05:44:267778,0.374059,0.0444908,0.507,7.27,-0.743,0.576,0.045,0.173,693,0.0104985
18:05:44:272903,0.374044,0.0469857,0.816,7.155,-0.467,0.581,0.058,0.168,693,0.0104985
18:05:44:277898,0.374046,0.0494833,1.153,7.204,-0.252,0.589,0.065,0.165,693,0.0104985
18:05:44:283029,0.374065,0.0519806,1.486,7.333,-0.218,0.604,0.065,0.162,692,0.0104399
18:05:44:288028,0.374058,0.0544716,1.443,7.315,-0.413,0.611,0.06,0.161,692,0.0104399
18:05:44:293151,0.374069,0.0569665,1.117,7.095,-0.735,0.606,0.05,0.161,688,0.0102053
18:05:44:298138,0.374052,0.0594511,1.025,7.007,-0.77,0.598,0.049,0.165,682,0.00985337
18:05:44:303283,0.374061,0.0619117,1.491,7.344,-0.505,0.603,0.064,0.178,682,0.00985337
18:05:44:308261,0.374071,0.0642882,2.095,7.849,-0.282,0.624,0.086,0.19,676,0.00950147
18:05:44:313270,0.374036,0.0665639,2.687,8.469,-0.207,0.651,0.115,0.205,676,0.00950147
