Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
23:43:42:152573,0.374037,0,-0.036,0.057,-0.118,-0.005,-0.001,-0.001,513,-5.8651e-05
23:43:42:157697,0.374037,0,-0.045,0.023,-0.173,-0.004,0,-0.001,513,-5.8651e-05
23:43:42:162691,0.374037,0,-0.032,0.023,-0.135,-0.003,0,-0.001,513,-5.8651e-05
23:43:42:167683,0.374034,-0.000210403,0.003,0.034,0.043,-0.004,0,-0.003,513,-5.8651e-05
23:43:42:172816,0.374034,-0.000465582,0.03,0.032,0.171,-0.005,0,-0.005,513,-5.8651e-05
23:43:42:177814,0.374034,-0.000820786,0.061,0.018,0.224,-0.006,0,-0.006,513,-5.8651e-05
23:43:42:182938,0.374031,-0.00127593,0.068,0.011,0.132,-0.006,0,-0.006,513,-5.8651e-05
23:43:42:187945,0.374074,-0.0018315,0.064,0.004,-0.102,-0.006,0,-0.003,513,-5.8651e-05
23:43:42:193059,0.374067,-0.00248683,0.051,-0.014,-0.231,-0.006,0,-0.002,513,-5.8651e-05
23:43:42:198054,0.374057,-0.00324213,0.032,-0.019,-0.179,-0.007,0,-0.003,513,-5.8651e-05
23:43:42:203193,0.374044,-0.0040973,-0.019,0.011,0.006,-0.007,-0.002,-0.003,513,-5.8651e-05
23:43:42:208180,0.374069,-0.00505291,-0.061,0.053,0.07,-0.006,-0.002,-0.003,513,-5.8651e-05
23:43:42:213312,0.374041,-0.00610787,-0.108,0.103,-0.028,-0.004,-0.002,-0.004,513,-5.8651e-05
23:43:42:218302,0.374052,-0.00726355,-0.118,0.111,-0.144,-0.003,-0.001,-0.004,513,-5.8651e-05
23:43:42:223458,0.374054,-0.0085189,-0.115,0.11,-0.191,-0.003,0,0,509,-0.000293255
23:43:42:228563,0.374042,-0.00987379,-0.113,0.124,-0.114,-0.002,0.002,0.006,509,-0.000293255
23:43:42:233570,0.374063,-0.0113296,-0.111,0.178,0.023,0,0.004,0.016,502,-0.000703812
23:43:42:238677,0.374069,-0.0128848,-0.109,0.206,0.046,0.001,0.004,0.019,508,-0.000351906
23:43:42:243686,0.374056,-0.0145396,-0.146,0.105,-0.046,0.003,0.002,0.019,508,-0.000351906
23:43:42:248688,0.37407,-0.0162951,-0.237,-0.172,-0.143,-0.001,-0.001,0.016,511,-0.000175953
23:43:42:253798,0.374061,-0.0181492,-0.468,-1.071,-0.231,-0.027,-0.011,-0.003,512,-0.000117302
23:43:42:258927,0.374075,-0.0201046,-0.596,-1.978,-0.222,-0.061,-0.017,-0.032,512,-0.000117302
23:43:42:263920,0.374059,-0.0221577,-0.528,-3.523,-0.145,-0.126,-0.019,-0.086,513,-5.8651e-05
23:43:42:268963,0.374059,-0.0243109,-0.256,-4.431,-0.096,-0.169,-0.012,-0.112,513,-5.8651e-05
23:43:42:274043,0.374033,-0.0265352,0.337,-5.252,-0.029,-0.205,0.014,-0.124,513,-5.8651e-05
23:43:42:279056,0.374035,-0.0286891,0.761,-5.27,0.063,-0.194,0.046,-0.118,513,-5.8651e-05
23:43:42:284205,0.374034,-0.0307437,0.772,-4.927,0.097,-0.168,0.057,-0.112,513,-5.8651e-05
23:43:42:289311,0.374069,-0.0327016,0.361,-4.213,-0.019,-0.127,0.043,-0.099,513,-5.8651e-05
23:43:42:294306,0.37406,-0.0345563,-0.068,-3.801,-0.204,-0.11,0.018,-0.086,513,-5.8651e-05
23:43:42:299417,0.374051,-0.0363114,-0.629,-3.44,-0.439,-0.104,-0.018,-0.07,513,-5.8651e-05
23:43:42:304423,0.374046,-0.0379674,-0.813,-3.334,-0.432,-0.109,-0.032,-0.066,513,-5.8651e-05
23:43:42:309432,0.374047,-0.0395228,-0.758,-3.157,-0.143,-0.114,-0.037,-0.066,513,-5.8651e-05
23:43:42:314560,0.374055,-0.0409812,-0.559,-2.895,0.117,-0.109,-0.034,-0.063,513,-5.8651e-05
23:43:42:319450,0.374072,-0.0423388,-0.185,-2.244,0.323,-0.084,-0.021,-0.049,513,-5.8651e-05
23:43:42:324567,0.374055,-0.0435901,0.022,-1.765,0.25,-0.061,-0.004,-0.036,513,-5.8651e-05
23:43:42:329680,0.374053,-0.0447484,0.175,-1.292,-0.033,-0.036,0.028,-0.018,511,-0.000175953
23:43:42:334811,0.374064,-0.0458058,0.179,-1.227,-0.146,-0.037,0.044,-0.014,510,-0.000234604
23:43:42:339811,0.374047,-0.0467607,0.199,-1.349,0.021,-0.058,0.041,-0.026,510,-0.000234604
23:43:42:344930,0.374046,-0.0476145,0.359,-1.375,0.33,-0.067,0.027,-0.041,506,-0.000469208
23:43:42:349928,0.374064,-0.0483752,0.866,-1.021,0.865,-0.045,0.02,-0.053,509,-0.000293255
23:43:42:355072,0.374056,-0.0490292,1.292,-0.154,1.172,0.009,0.047,-0.032,509,-0.000293255
23:43:42:360061,0.374069,-0.0495864,1.233,0.532,1.091,0.039,0.071,-0.003,509,-0.000293255
23:43:42:365170,0.374058,-0.0500405,0.579,1.354,0.462,0.048,0.074,0.037,504,-0.00058651
23:43:42:370187,0.374067,-0.0503975,-0.004,1.704,-0.137,0.034,0.044,0.053,504,-0.00058651
23:43:42:375304,0.374054,-0.0506514,-0.694,2.245,-0.788,0.026,-0.031,0.064,495,-0.00111437
23:43:42:380309,0.374065,-0.0508085,-0.953,2.85,-0.841,0.052,-0.081,0.072,495,-0.00111437
23:43:42:385436,0.374049,-0.0508658,-1.05,4.078,-0.501,0.136,-0.12,0.092,483,-0.00181818
23:43:42:390434,0.37406,-0.0508228,-0.926,4.785,-0.312,0.191,-0.115,0.104,513,-5.8651e-05
23:43:42:395420,0.37405,-0.0506767,-0.583,5.106,-0.487,0.215,-0.075,0.111,513,-5.8651e-05
23:43:42:400567,0.374058,-0.0504333,-0.401,4.777,-0.846,0.187,-0.046,0.106,513,-5.8651e-05
23:43:42:405558,0.374067,-0.0501899,-0.255,3.854,-1.248,0.117,-0.024,0.087,513,-5.8651e-05
23:43:42:410680,0.374057,-0.0500441,-0.067,3.224,-1.198,0.078,-0.02,0.072,513,-5.8651e-05
23:43:42:415690,0.374067,-0.050001,0.562,2.51,-0.74,0.055,-0.007,0.051,513,-5.8651e-05
23:43:42:416502,0.374067,-0.050001,0.562,2.51,-0.74,-0.055,-0.007,0.051,513,0.0026393
23:43:42:416551,0.374067,-0.050001,0.562,2.51,-0.74,-0.055,-0.007,0.051,513,0.0026393
23:43:42:416576,0.374067,-0.050001,0.562,2.51,-0.74,-0.055,-0.007,0.051,513,0.0026393
23:43:42:416598,0.374067,-0.050001,0.562,2.51,-0.74,-0.055,-0.007,0.051,513,0.0026393
23:43:42:416622,0.374067,-0.050001,0.562,2.51,-0.74,-0.055,-0.007,0.051,513,0.0026393
23:43:42:416645,0.374067,-0.050001,0.562,2.51,-0.74,-0.055,-0.007,0.051,513,0.0026393
23:43:42:416669,0.374067,-0.050001,0.562,2.51,-0.74,-0.055,-0.007,0.051,513,0.0026393
23:43:42:416692,0.374067,-0.050001,0.562,2.51,-0.74,-0.055,-0.007,0.051,513,0.0026393
23:43:42:416717,0.374067,-0.050001,0.562,2.51,-0.74,-0.055,-0.007,0.051,513,0.0026393
23:43:42:416739,0.374067,-0.050001,0.562,2.51,-0.74,-0.055,-0.007,0.051,513,0.0026393
