Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
18:12:16:990018,0.374037,0,0.11,-0.013,0.048,0,0,0.001,513,-5.8651e-05
18:12:16:995207,0.374037,0,0.095,0.004,0.196,0,0,0,513,-5.8651e-05
18:12:17:162,0.374037,0,0.026,-0.025,0.106,0,0,0,513,-5.8651e-05
18:12:17:5045,0.374034,0.000247745,-0.012,-0.069,-0.099,0,0,0.001,513,-5.8651e-05
18:12:17:10290,0.374034,0.000520263,-0.019,-0.12,-0.335,-0.001,0,0.002,513,-5.8651e-05
18:12:17:15436,0.374033,0.000891863,0.019,-0.119,-0.352,-0.001,0,0.003,513,-5.8651e-05
18:12:17:20393,0.374031,0.00136253,0.048,-0.099,-0.329,-0.001,0,0.002,513,-5.8651e-05
18:12:17:25536,0.374074,0.00193247,0.073,-0.071,-0.317,-0.001,0,0.003,513,-5.8651e-05
18:12:17:30513,0.374066,0.00260133,0.072,-0.059,-0.261,-0.001,0,0.002,513,-5.8651e-05
18:12:17:35578,0.374054,0.00337123,0.052,-0.054,-0.054,-0.003,0,0,513,-5.8651e-05
18:12:17:40657,0.374041,0.00424089,0.038,-0.057,0.079,-0.004,0,-0.002,513,-5.8651e-05
18:12:17:45656,0.374066,0.00521034,0.027,-0.05,0.094,-0.004,0,-0.001,513,-5.8651e-05
18:12:17:50804,0.374037,0.006278,0.026,-0.021,-0.017,-0.002,0,0.004,513,-5.8651e-05
18:12:17:55913,0.374045,0.00744526,0.029,0.039,-0.199,0.003,0,0.009,514,0
18:12:17:60910,0.374045,0.00871151,0.03,0.039,-0.23,0.005,0,-0.002,514,0
18:12:17:66021,0.374033,0.0100758,0.026,-0.072,-0.118,0,-0.002,-0.032,514,0
18:12:17:71034,0.374051,0.0115411,0.036,-0.149,-0.014,-0.009,-0.004,-0.041,514,0
18:12:17:76168,0.374057,0.0130948,0.124,0.001,0.042,-0.015,-0.001,-0.012,514,0
18:12:17:81152,0.374054,0.0145912,0.245,0.397,0.02,-0.003,0.005,0.017,515,5.8651e-05
18:12:17:86286,0.374046,0.0159906,0.456,1.352,0.038,0.036,0.02,0.034,515,5.8651e-05
18:12:17:91275,0.37404,0.0172932,0.542,2.064,0.118,0.066,0.028,0.028,515,5.8651e-05
18:12:17:96415,0.374074,0.0185607,0.489,3.024,0.203,0.097,0.028,0.037,516,0.000117302
18:12:17:101415,0.374046,0.0199108,0.206,3.811,0.081,0.123,0.009,0.086,516,0.000117302
18:12:17:106415,0.374047,0.0213608,-0.074,4.229,-0.068,0.145,-0.011,0.117,516,0.000117302
18:12:17:111520,0.374074,0.0229134,-0.51,4.573,-0.194,0.169,-0.046,0.12,517,0.000175953
18:12:17:116543,0.374034,0.0245608,-0.71,4.561,-0.16,0.168,-0.061,0.1,517,0.000175953
18:12:17:121651,0.374058,0.0263107,-0.728,4.268,-0.021,0.139,-0.059,0.076,517,0.000175953
18:12:17:126656,0.374059,0.028158,-0.553,3.985,0.035,0.117,-0.044,0.072,517,0.000175953
18:12:17:131786,0.374074,0.0301052,-0.174,3.51,-0.008,0.098,-0.017,0.071,517,0.000175953
18:12:17:136802,0.37406,0.0321492,0.034,3.176,-0.09,0.092,-0.003,0.069,513,-5.8651e-05
18:12:17:141797,0.374057,0.0342922,0.182,2.721,-0.178,0.084,0.01,0.076,506,-0.000469208
18:12:17:146917,0.374061,0.0365359,0.185,2.461,-0.196,0.078,0.017,0.088,506,-0.000469208
18:12:17:151922,0.37407,0.0388816,0.109,1.972,-0.228,0.07,0.022,0.089,500,-0.000821114
18:12:17:157030,0.374036,0.0413178,0.019,1.437,-0.263,0.063,0.017,0.061,500,-0.000821114
18:12:17:162024,0.374057,0.0438154,-0.169,0.229,-0.225,0.035,0,-0.014,499,-0.000879765
18:12:17:167146,0.37405,0.0463065,-0.286,-0.755,-0.091,0.001,-0.009,-0.064,503,-0.000645161
18:12:17:172147,0.374061,0.0488042,-0.287,-2.123,0.132,-0.059,-0.02,-0.102,503,-0.000645161
18:12:17:177284,0.374043,0.0512949,-0.1,-2.688,0.167,-0.086,-0.024,-0.103,514,0
18:12:17:182289,0.374043,0.0537892,0.486,-2.73,0.044,-0.088,-0.013,-0.089,534,0.00117302
18:12:17:187415,0.374061,0.0562836,1.396,-1.963,-0.017,-0.07,0.035,-0.069,534,0.00117302
18:12:17:192399,0.37405,0.0587791,2.072,-1.204,0.062,-0.064,0.085,-0.05,559,0.0026393
18:12:17:197532,0.374059,0.0612716,2.698,0.188,0.226,-0.047,0.14,-0.009,587,0.00428152
18:12:17:202428,0.374037,0.0637649,2.517,1.271,0.252,-0.016,0.137,0.021,587,0.00428152
18:12:17:207660,0.374037,0.066256,1.253,2.89,0.076,0.046,0.069,0.064,617,0.00604106
18:12:17:212692,0.37407,0.0686993,0.071,3.735,-0.174,0.074,0.005,0.087,617,0.00604106
18:12:17:217788,0.374063,0.0710356,-1.528,4.482,-0.636,0.087,-0.081,0.115,640,0.00739003
18:12:17:222790,0.374066,0.0732695,-2.243,4.727,-0.865,0.093,-0.128,0.126,655,0.00826979
18:12:17:227798,0.374035,0.0754034,-2.56,4.923,-0.855,0.115,-0.17,0.13,655,0.00826979
18:12:17:232911,0.374065,0.0774446,-2.195,4.925,-0.621,0.129,-0.167,0.124,662,0.00868035
18:12:17:237908,0.374064,0.079385,-1.01,4.496,-0.236,0.132,-0.099,0.108,660,0.00856305
18:12:17:243035,0.374039,0.0812173,-0.146,3.829,-0.132,0.118,-0.027,0.095,660,0.00856305
18:12:17:248046,0.374035,0.0829589,0.704,2.511,-0.169,0.088,0.068,0.075,651,0.00803519
18:12:17:253185,0.374056,0.0846024,0.839,1.737,-0.163,0.078,0.097,0.06,635,0.00709677
18:12:17:258184,0.374058,0.0861453,0.481,0.959,0.008,0.088,0.076,0.03,635,0.00709677
18:12:17:263340,0.374044,0.0875792,0.015,0.156,0.166,0.093,0.014,-0.01,614,0.0058651
18:12:17:268289,0.374059,0.0889267,0.066,-0.627,0.176,0.073,-0.019,-0.036,614,0.0058651
18:12:17:273411,0.374062,0.0901691,0.772,-1.782,0.2,0.02,-0.029,-0.055,588,0.00434018
18:12:17:278439,0.374056,0.0913069,1.231,-2.146,0.309,-0.006,-0.009,-0.053,557,0.00252199
18:12:17:283558,0.374038,0.0923466,1.142,-2.037,0.427,-0.022,0.039,-0.039,557,0.00252199
18:12:17:288560,0.374053,0.0932954,0.634,-1.886,0.271,-0.026,0.065,-0.032,526,0.000703812
18:12:17:293665,0.374063,0.0941433,0,-2.013,-0.335,-0.035,0.069,-0.032,500,-0.000821114
18:12:17:298652,0.374068,0.0948859,-0.044,-2.265,-0.726,-0.042,0.047,-0.036,500,-0.000821114
18:12:17:303795,0.374067,0.0955309,0.136,-2.503,-0.832,-0.05,0.003,-0.044,477,-0.00217009
18:12:17:308788,0.374062,0.0960738,0.056,-2.44,-0.588,-0.055,-0.018,-0.047,477,-0.00217009
18:12:17:313806,0.374054,0.096515,-0.478,-1.983,-0.177,-0.056,-0.035,-0.044,454,-0.00351906
18:12:17:318915,0.37404,0.0968619,-0.817,-1.442,-0.102,-0.044,-0.041,-0.032,432,-0.00480938
18:12:17:323914,0.374069,0.0971151,-0.831,-0.427,-0.297,-0.008,-0.049,-0.001,432,-0.00480938
18:12:17:329030,0.37405,0.097258,-0.605,0.1,-0.479,0.01,-0.049,0.019,410,-0.00609971
