Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
22:41:22:897339,0.374037,0,0.011,0.043,-0.002,0.001,-0.001,0,537,0.00134897
22:41:22:902429,0.374037,0,-0.03,0.055,0.107,0,0.001,-0.002,537,0.00134897
22:41:22:907442,0.374037,0,-0.057,0.039,0.078,0,0.002,-0.002,537,0.00134897
22:41:22:912444,0.374034,0.000212144,-0.054,0.007,0.047,0,0.002,-0.001,537,0.00134897
22:41:22:917548,0.374034,0.000467945,-0.027,-0,0.107,0,0,-0.001,537,0.00134897
22:41:22:922689,0.374034,0.000797008,0.003,0.002,0.206,0.001,-0.001,-0.001,537,0.00134897
22:41:22:927719,0.374032,0.00104946,0.008,-0.016,0.132,0.001,0,-0.001,537,0.00134897
22:41:22:932684,0.374031,0.00120212,0.012,-0.038,0.023,0.001,0.001,0,537,0.00134897
22:41:22:937823,0.374031,0.00125448,0.029,-0.051,-0.051,0,0.003,0,537,0.00134897
22:41:22:942949,0.374031,0.001207,0.032,-0.046,-0.023,0,0.003,0,537,0.00134897
22:41:22:947937,0.374032,0.00105968,0.008,-0.036,0.028,0,0.002,-0.002,537,0.00134897
22:41:22:952936,0.374034,0.000812023,-0.012,-0.022,0.04,0,0,-0.002,537,0.00134897
22:41:22:958074,0.374034,0.000464564,-0.014,0.046,0.049,0.002,0,0.005,537,0.00134897
22:41:22:963203,0.374037,0,0.005,0.107,0.039,0.004,0.001,0.009,540,0.00152493
22:41:22:968183,0.374034,-0.00053037,0.02,0.106,-0.069,0.006,0,-0.002,543,0.00170088
22:41:22:973221,0.374031,-0.0011778,0.007,-0,-0.188,0.005,-0.002,-0.023,543,0.00170088
22:41:22:978358,0.374074,-0.00192531,0.019,-0.158,-0.288,-0.003,-0.007,-0.041,544,0.00175953
22:41:22:983454,0.374063,-0.0027729,0.113,-0.062,-0.23,-0.008,-0.005,-0.024,543,0.00170088
22:41:22:988442,0.374049,-0.00372028,0.359,0.562,-0.022,0.002,0.007,0.035,543,0.00170088
22:41:22:993481,0.374076,-0.00476789,0.457,1.136,0.071,0.022,0.017,0.069,538,0.00140762
22:41:22:998558,0.374047,-0.00591522,0.265,1.664,-0.035,0.053,0.019,0.076,538,0.00140762
22:41:23:3600,0.374056,-0.00716285,-0.074,1.588,-0.248,0.059,0.008,0.059,528,0.000821114
22:41:23:8694,0.374054,-0.00851018,-0.573,0.994,-0.488,0.045,-0.013,0.031,511,-0.000175953
22:41:23:13700,0.374038,-0.00995739,-0.672,0.302,-0.336,0.025,-0.025,0.017,511,-0.000175953
22:41:23:18831,0.374053,-0.0115051,-0.491,-0.103,-0.077,0.015,-0.026,0.012,491,-0.00134897
22:41:23:23833,0.374052,-0.0131525,-0.105,-0.769,0.185,-0.002,-0.02,0.004,469,-0.0026393
22:41:23:28960,0.374033,-0.0148992,0.055,-1.342,0.139,-0.019,-0.016,-0.007,469,-0.0026393
22:41:23:33944,0.374037,-0.0167469,0.046,-2.415,-0.154,-0.049,-0.003,-0.04,444,-0.00410557
22:41:23:39074,0.374062,-0.0186953,-0.046,-3.193,-0.332,-0.071,0.009,-0.066,444,-0.00410557
22:41:23:44084,0.374062,-0.0207433,-0.077,-4.138,-0.388,-0.101,0.031,-0.092,420,-0.0055132
22:41:23:49169,0.37403,-0.0228887,0.034,-4.399,-0.288,-0.108,0.039,-0.094,394,-0.00703812
22:41:23:54192,0.374058,-0.0251378,0.263,-4.168,-0.059,-0.089,0.033,-0.087,394,-0.00703812
22:41:23:59295,0.374068,-0.0273738,0.324,-3.824,0.054,-0.067,0.021,-0.084,371,-0.0083871
22:41:23:64338,0.374065,-0.0295093,0.173,-3.466,0.063,-0.058,0.007,-0.082,352,-0.00950147
22:41:23:69438,0.374057,-0.0315441,-0.051,-3.374,-0.043,-0.068,0.002,-0.078,352,-0.00950147
22:41:23:74440,0.374044,-0.0334784,-0.431,-3.257,-0.274,-0.082,0,-0.064,341,-0.0101466
22:41:23:79597,0.374031,-0.0353124,-0.626,-3.157,-0.382,-0.083,-0.005,-0.053,335,-0.0104985
22:41:23:84695,0.374065,-0.0370506,-0.735,-3.102,-0.367,-0.088,-0.016,-0.047,335,-0.0104985
22:41:23:89684,0.374057,-0.0386854,-0.678,-3.122,-0.253,-0.096,-0.022,-0.051,331,-0.0107331
22:41:23:94670,0.374058,-0.0402233,-0.422,-2.986,-0.045,-0.1,-0.022,-0.056,331,-0.0107331
22:41:23:99805,0.374065,-0.0416599,-0.031,-2.423,0.105,-0.09,-0.003,-0.044,334,-0.0105572
22:41:23:104823,0.374037,-0.0429907,0.189,-1.918,0.182,-0.08,0.017,-0.029,340,-0.0102053
22:41:23:109933,0.374065,-0.0442296,0.19,-1.458,0.286,-0.073,0.044,-0.014,340,-0.0102053
22:41:23:114943,0.374064,-0.0453664,-0.067,-1.598,0.34,-0.079,0.045,-0.017,354,-0.00938416
22:41:23:120063,0.374032,-0.0463965,-0.479,-2.414,0.43,-0.106,0.017,-0.046,375,-0.00815249
22:41:23:125086,0.374061,-0.0473354,-0.447,-3,0.56,-0.125,-0.005,-0.077,375,-0.00815249
22:41:23:130178,0.374062,-0.0481715,0.263,-3.273,0.869,-0.128,-0.007,-0.114,404,-0.00645161
