Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
23:41:50:157861,0.374037,0,-0.072,0.003,-0.154,-0.004,-0.005,0,513,-5.8651e-05
23:41:50:162877,0.374037,0,-0.022,-0.044,-0.266,-0.005,-0.002,0,513,-5.8651e-05
23:41:50:167988,0.374037,0,0.089,-0.011,-0.17,-0.004,0.004,0,513,-5.8651e-05
23:41:50:172986,0.374034,0.000177133,0.15,0.051,-0.007,-0.002,0.008,0,513,-5.8651e-05
23:41:50:178091,0.374034,0.000375745,0.172,0.122,0.136,0,0.01,0,513,-5.8651e-05
23:41:50:183134,0.374034,0.000642239,0.143,0.131,0.118,0,0.007,0,513,-5.8651e-05
23:41:50:188241,0.374032,0.000980786,0.087,0.1,0.01,0,-0.001,-0.001,513,-5.8651e-05
23:41:50:193228,0.374031,0.00138445,0.066,0.059,-0.066,0,-0.007,-0.002,513,-5.8651e-05
23:41:50:198207,0.374074,0.00185724,0.063,-0.028,-0.188,-0.004,-0.011,-0.003,513,-5.8651e-05
23:41:50:203360,0.374067,0.00239189,0.087,-0.138,-0.325,-0.011,-0.008,-0.004,513,-5.8651e-05
23:41:50:208517,0.374062,0.00299193,0.114,-0.193,-0.387,-0.014,-0.004,-0.006,513,-5.8651e-05
23:41:50:213491,0.374052,0.0036505,0.158,-0.194,-0.366,-0.014,0,-0.006,509,-0.000293255
23:41:50:218478,0.374037,0.00437029,0.176,-0.133,-0.284,-0.011,0.002,-0.002,509,-0.000293255
23:41:50:223601,0.374067,0.00514562,0.175,-0.012,-0.163,-0.003,0.002,0.001,511,-0.000175953
23:41:50:228734,0.374046,0.00597775,0.157,0.033,-0.128,0.001,0,-0.003,507,-0.000410557
23:41:50:233725,0.374065,0.00686079,0.104,0.006,-0.087,0,-0.003,-0.024,507,-0.000410557
23:41:50:238852,0.374034,0.00779531,0.06,-0.029,0,-0.005,-0.005,-0.034,503,-0.000645161
23:41:50:243929,0.374044,0.00877695,0.05,0.067,0.182,-0.013,-0.004,-0.019,513,-5.8651e-05
23:41:50:248884,0.374044,0.00980544,0.126,0.316,0.222,-0.008,0.002,0.006,513,-5.8651e-05
23:41:50:253995,0.374039,0.0108755,0.34,0.946,0.056,0.02,0.016,0.034,508,-0.000351906
23:41:50:259002,0.374073,0.0119891,0.463,1.441,-0.11,0.044,0.023,0.035,508,-0.000351906
23:41:50:264108,0.374055,0.013137,0.467,2.127,-0.183,0.07,0.023,0.03,509,-0.000293255
23:41:50:269120,0.37407,0.0143231,0.333,2.504,-0.08,0.077,0.017,0.039,513,-5.8651e-05
23:41:50:274216,0.374032,0.0155384,0.027,2.958,0.095,0.09,0.001,0.068,513,-5.8651e-05
23:41:50:279232,0.374032,0.016786,-0.242,3.244,0.079,0.112,-0.022,0.083,513,-5.8651e-05
23:41:50:284351,0.374069,0.0180622,-0.339,3.277,-0.001,0.123,-0.037,0.079,513,-5.8651e-05
23:41:50:289341,0.37405,0.0193615,-0.323,3.023,-0.059,0.112,-0.046,0.063,513,-5.8651e-05
23:41:50:294479,0.374065,0.0206844,-0.21,2.71,-0.033,0.092,-0.039,0.052,513,-5.8651e-05
23:41:50:299458,0.374073,0.0220282,0.047,2.239,-0.007,0.065,-0.016,0.038,513,-5.8651e-05
23:41:50:304470,0.374069,0.023388,0.217,2,-0.053,0.057,-0.002,0.033,513,-5.8651e-05
23:41:50:309579,0.374057,0.024764,0.36,1.671,-0.188,0.05,0.007,0.032,513,-5.8651e-05
23:41:50:314594,0.374032,0.0261521,0.354,1.373,-0.264,0.038,0.008,0.028,513,-5.8651e-05
23:41:50:319732,0.374043,0.0275548,0.24,0.809,-0.309,0.009,0.006,0.014,513,-5.8651e-05
23:41:50:324728,0.374045,0.0289669,0.159,0.477,-0.304,-0.007,0.004,0.003,513,-5.8651e-05
23:41:50:329839,0.374035,0.0303861,0.124,0.228,-0.284,-0.01,0,-0.003,513,-5.8651e-05
23:41:50:334855,0.374063,0.0318153,0.174,0.211,-0.267,0,-0.001,-0.002,513,-5.8651e-05
23:41:50:339844,0.374034,0.0332449,0.295,0.253,-0.213,0.019,-0.002,-0.004,512,-0.000117302
23:41:50:345027,0.374041,0.0346814,0.351,0.277,-0.124,0.023,0,-0.007,512,-0.000117302
23:41:50:350081,0.374036,0.0361197,0.364,0.323,0.112,0.015,0.004,-0.009,511,-0.000175953
23:41:50:355103,0.374071,0.0375619,0.346,0.366,0.293,0.005,0.008,-0.005,511,-0.000175953
23:41:50:360229,0.374048,0.0390007,0.295,0.425,0.432,-0.003,0.015,0.001,513,-5.8651e-05
23:41:50:365234,0.374064,0.040441,0.215,0.476,0.381,-0.002,0.017,0.003,513,-5.8651e-05
23:41:50:370216,0.374069,0.0418814,0.01,0.641,0.208,0.008,0.011,0.007,513,-5.8651e-05
23:41:50:375355,0.374065,0.0433148,-0.079,0.93,0.176,0.023,0.004,0.017,512,-0.000117302
23:41:50:380346,0.374053,0.0447484,0.102,1.153,0.261,0.033,0.005,0.024,508,-0.000351906
23:41:50:385469,0.374032,0.0461711,0.749,1.486,0.377,0.051,0.021,0.031,508,-0.000351906
23:41:50:390466,0.374049,0.0476002,1.181,1.681,0.345,0.067,0.035,0.033,491,-0.00134897
23:41:50:395606,0.374057,0.0490183,1.226,1.775,0.095,0.081,0.042,0.032,491,-0.00134897
23:41:50:400589,0.374059,0.0504297,0.703,1.557,-0.185,0.07,0.03,0.029,513,-5.8651e-05
23:41:50:405730,0.374052,0.051834,-0.486,0.768,-0.666,0.016,-0.008,0.018,513,-5.8651e-05
23:41:50:410716,0.37404,0.0532315,-1.049,0.151,-0.891,-0.027,-0.037,0.009,513,-5.8651e-05
23:41:50:415868,0.374065,0.0546287,-1.006,-0.359,-0.841,-0.062,-0.062,-0.002,513,-5.8651e-05
23:41:50:420882,0.374037,0.0560083,-0.523,-0.276,-0.558,-0.051,-0.061,-0.006,513,-5.8651e-05
23:41:50:425970,0.374051,0.0573846,0.192,0.242,-0.081,0.002,-0.037,-0.006,513,-5.8651e-05
23:41:50:430975,0.374056,0.0587539,0.394,0.583,0.069,0.042,-0.016,-0.004,513,-5.8651e-05
23:41:50:435982,0.374057,0.060113,0.362,0.745,-0.033,0.074,0.004,-0.002,513,-5.8651e-05
23:41:50:441118,0.374052,0.0614575,0.282,0.535,-0.245,0.061,0.007,-0.002,513,-5.8651e-05
23:41:50:446242,0.374041,0.0627952,0.177,-0.194,-0.61,-0.007,0.001,-0.008,513,-5.8651e-05
23:41:50:451289,0.374071,0.0641304,0.066,-1.008,-0.839,-0.081,-0.003,-0.021,513,-5.8651e-05
23:41:50:456363,0.374049,0.065447,0.043,-1.299,-0.814,-0.099,-0.001,-0.03,512,-0.000117302
23:41:50:461394,0.374068,0.0667576,0.219,-1.163,-0.487,-0.069,0.005,-0.034,513,-5.8651e-05
23:41:50:466493,0.37404,0.0680499,0.447,-0.79,-0.182,-0.032,0.009,-0.029,513,-5.8651e-05
23:41:50:471504,0.374051,0.06934,0.701,-0.108,0.158,0.009,0.016,-0.011,513,-5.8651e-05
